# set	name	mps	zbest	bench
eval	10teams	/nfsd/rop/instances/miplib2017/10teams.mps.gz	924	0
eval	2club200v15p5scn	/nfsd/rop/instances/miplib2017/2club200v15p5scn.mps.gz	-70	0
eval	30_70_45_05_100	/nfsd/rop/instances/miplib2017/30_70_45_05_100.mps.gz	9	0
eval	30_70_45_095_98	/nfsd/rop/instances/miplib2017/30_70_45_095_98.mps.gz	12	0
eval	ab51-40-100	/nfsd/rop/instances/miplib2017/ab51-40-100.mps.gz	-10420305975	0
eval	ab67-40-100	/nfsd/rop/instances/miplib2017/ab67-40-100.mps.gz	-11186253442	0
eval	ab69-40-100	/nfsd/rop/instances/miplib2017/ab69-40-100.mps.gz	-11186281442	0
eval	ab71-20-100	/nfsd/rop/instances/miplib2017/ab71-20-100.mps.gz	-10420305975	0
eval	ab72-40-100	/nfsd/rop/instances/miplib2017/ab72-40-100.mps.gz	-11186620442	0
eval	air03	/nfsd/rop/instances/miplib2017/air03.mps.gz	340160	0
eval	air04	/nfsd/rop/instances/miplib2017/air04.mps.gz	56137	0
eval	air05	/nfsd/rop/instances/miplib2017/air05.mps.gz	26374	1
eval	aligninq	/nfsd/rop/instances/miplib2017/aligninq.mps.gz	2713	0
eval	app2-1	/nfsd/rop/instances/miplib2017/app2-1.mps.gz	19294.125	0
eval	app2-2	/nfsd/rop/instances/miplib2017/app2-2.mps.gz	212040.3571429	0
eval	assign1-5-8	/nfsd/rop/instances/miplib2017/assign1-5-8.mps.gz	211.999999999998	1
eval	blp-ar98	/nfsd/rop/instances/miplib2017/blp-ar98.mps.gz	6205.2147104	1
eval	blp-ic97	/nfsd/rop/instances/miplib2017/blp-ic97.mps.gz	4025.0235808	0
eval	blp-ic98	/nfsd/rop/instances/miplib2017/blp-ic98.mps.gz	4491.44758395	1
eval	blp-ir98	/nfsd/rop/instances/miplib2017/blp-ir98.mps.gz	2342.315488	0
eval	bppc4-08	/nfsd/rop/instances/miplib2017/bppc4-08.mps.gz	53	1
eval	cap6000	/nfsd/rop/instances/miplib2017/cap6000.mps.gz	-2451377	0
eval	cod105	/nfsd/rop/instances/miplib2017/cod105.mps.gz	-12	1
eval	core2536-691	/nfsd/rop/instances/miplib2017/core2536-691.mps.gz	689	0
eval	csched008	/nfsd/rop/instances/miplib2017/csched008.mps.gz	173	1
eval	cvs16r106-72	/nfsd/rop/instances/miplib2017/cvs16r106-72.mps.gz	-81	0
eval	cvs16r128-89	/nfsd/rop/instances/miplib2017/cvs16r128-89.mps.gz	-97	1
eval	cvs16r70-62	/nfsd/rop/instances/miplib2017/cvs16r70-62.mps.gz	-42	0
eval	cvs16r89-60	/nfsd/rop/instances/miplib2017/cvs16r89-60.mps.gz	-65	0
eval	d20200	/nfsd/rop/instances/miplib2017/d20200.mps.gz	12237	0
eval	dc1c	/nfsd/rop/instances/miplib2017/dc1c.mps.gz	1767903.6501	0
eval	dolom1	/nfsd/rop/instances/miplib2017/dolom1.mps.gz	6609253	0
eval	eil33-2	/nfsd/rop/instances/miplib2017/eil33-2.mps.gz	934.007915999999	1
eval	eilC76-2	/nfsd/rop/instances/miplib2017/eilC76-2.mps.gz	762.514781999996	0
eval	ex1010-pi	/nfsd/rop/instances/miplib2017/ex1010-pi.mps.gz	233	0
eval	fast0507	/nfsd/rop/instances/miplib2017/fast0507.mps.gz	174	1
eval	fhnw-schedule-paira100	/nfsd/rop/instances/miplib2017/fhnw-schedule-paira100.mps.gz	-15.1131226682367	0
eval	fhnw-schedule-paira200	/nfsd/rop/instances/miplib2017/fhnw-schedule-paira200.mps.gz	-19.2298568218154	0
eval	fiber	/nfsd/rop/instances/miplib2017/fiber.mps.gz	405935.18	0
eval	glass-sc	/nfsd/rop/instances/miplib2017/glass-sc.mps.gz	23	1
eval	glass4	/nfsd/rop/instances/miplib2017/glass4.mps.gz	1200012599.97238	1
eval	gmu-35-40	/nfsd/rop/instances/miplib2017/gmu-35-40.mps.gz	-2406733.3688	1
eval	gmu-35-50	/nfsd/rop/instances/miplib2017/gmu-35-50.mps.gz	-2607958.33	1
eval	gmut-76-40	/nfsd/rop/instances/miplib2017/gmut-76-40.mps.gz	-14169477.7955035	0
eval	gmut-76-50	/nfsd/rop/instances/miplib2017/gmut-76-50.mps.gz	-14171893.7789212	0
eval	graph20-20-1rand	/nfsd/rop/instances/miplib2017/graph20-20-1rand.mps.gz	-9	1
eval	iis-glass-cov	/nfsd/rop/instances/miplib2017/iis-glass-cov.mps.gz	21	0
eval	iis-hc-cov	/nfsd/rop/instances/miplib2017/iis-hc-cov.mps.gz	17	0
eval	irp	/nfsd/rop/instances/miplib2017/irp.mps.gz	12159.492835397	1
eval	leo1	/nfsd/rop/instances/miplib2017/leo1.mps.gz	404227536.16	1
eval	leo2	/nfsd/rop/instances/miplib2017/leo2.mps.gz	404077441.12	1
eval	liu	/nfsd/rop/instances/miplib2017/liu.mps.gz	1083.984782	0
eval	mad	/nfsd/rop/instances/miplib2017/mad.mps.gz	0.0268	1
eval	mas74	/nfsd/rop/instances/miplib2017/mas74.mps.gz	11801.18572	1
eval	mas76	/nfsd/rop/instances/miplib2017/mas76.mps.gz	40005.05399	1
eval	mcsched	/nfsd/rop/instances/miplib2017/mcsched.mps.gz	211913	1
eval	mine-90-10	/nfsd/rop/instances/miplib2017/mine-90-10.mps.gz	-784302337.6332	0
eval	misc07	/nfsd/rop/instances/miplib2017/misc07.mps.gz	2810	0
eval	mkc	/nfsd/rop/instances/miplib2017/mkc.mps.gz	-563.8460100132	0
eval	mod010	/nfsd/rop/instances/miplib2017/mod010.mps.gz	6548	0
eval	n2seq36f	/nfsd/rop/instances/miplib2017/n2seq36f.mps.gz	52200	0
eval	n2seq36q	/nfsd/rop/instances/miplib2017/n2seq36q.mps.gz	52200	1
eval	n3div36	/nfsd/rop/instances/miplib2017/n3div36.mps.gz	130800	1
eval	n3seq24	/nfsd/rop/instances/miplib2017/n3seq24.mps.gz	52200	0
eval	neos-1337307	/nfsd/rop/instances/miplib2017/neos-1337307.mps.gz	-202319	0
eval	neos-1516309	/nfsd/rop/instances/miplib2017/neos-1516309.mps.gz	35954	0
eval	neos-1599274	/nfsd/rop/instances/miplib2017/neos-1599274.mps.gz	32075.6	0
eval	neos-3118745-obra	/nfsd/rop/instances/miplib2017/neos-3118745-obra.mps.gz	255	0
eval	neos-3352863-ancoa	/nfsd/rop/instances/miplib2017/neos-3352863-ancoa.mps.gz	28700	0
eval	neos-3581454-haast	/nfsd/rop/instances/miplib2017/neos-3581454-haast.mps.gz	2295	0
eval	neos-498623	/nfsd/rop/instances/miplib2017/neos-498623.mps.gz	16.6	0
eval	neos-503737	/nfsd/rop/instances/miplib2017/neos-503737.mps.gz	50	0
eval	neos-5107597-kakapo	/nfsd/rop/instances/miplib2017/neos-5107597-kakapo.mps.gz	3644.99999999952	1
eval	neos-5115478-kaveri	/nfsd/rop/instances/miplib2017/neos-5115478-kaveri.mps.gz	1233.99999999096	0
eval	neos-525149	/nfsd/rop/instances/miplib2017/neos-525149.mps.gz	60.9999999910658	0
eval	neos-633273	/nfsd/rop/instances/miplib2017/neos-633273.mps.gz	6996841097.99778	0
eval	neos-860300	/nfsd/rop/instances/miplib2017/neos-860300.mps.gz	3201	1
eval	neos-911970	/nfsd/rop/instances/miplib2017/neos-911970.mps.gz	54.76	1
eval	neos-914441	/nfsd/rop/instances/miplib2017/neos-914441.mps.gz	9347771.99999999	0
eval	neos-932721	/nfsd/rop/instances/miplib2017/neos-932721.mps.gz	52030	0
eval	neos-933562	/nfsd/rop/instances/miplib2017/neos-933562.mps.gz	17.9999999999998	0
eval	neos-933638	/nfsd/rop/instances/miplib2017/neos-933638.mps.gz	276	0
eval	neos-933966	/nfsd/rop/instances/miplib2017/neos-933966.mps.gz	318	1
eval	neos-941313	/nfsd/rop/instances/miplib2017/neos-941313.mps.gz	9360.99999999999	0
eval	neos-948346	/nfsd/rop/instances/miplib2017/neos-948346.mps.gz	-227.6	0
eval	neos-953928	/nfsd/rop/instances/miplib2017/neos-953928.mps.gz	-99.9044444446	0
eval	neos-956971	/nfsd/rop/instances/miplib2017/neos-956971.mps.gz	-237.7688889	0
eval	neos-957143	/nfsd/rop/instances/miplib2017/neos-957143.mps.gz	-237.7688889	0
eval	neos-957323	/nfsd/rop/instances/miplib2017/neos-957323.mps.gz	-237.7566815	1
eval	neos-960392	/nfsd/rop/instances/miplib2017/neos-960392.mps.gz	-238	1
eval	neos18	/nfsd/rop/instances/miplib2017/neos18.mps.gz	16	0
eval	neos6	/nfsd/rop/instances/miplib2017/neos6.mps.gz	83	0
eval	nexp-150-20-8-5	/nfsd/rop/instances/miplib2017/nexp-150-20-8-5.mps.gz	231	1
eval	nsrand-ipx	/nfsd/rop/instances/miplib2017/nsrand-ipx.mps.gz	51200	0
eval	nw04	/nfsd/rop/instances/miplib2017/nw04.mps.gz	16862	1
eval	opm2-z6-s1	/nfsd/rop/instances/miplib2017/opm2-z6-s1.mps.gz	-6202	0
eval	opm2-z7-s8	/nfsd/rop/instances/miplib2017/opm2-z7-s8.mps.gz	-11242	0
eval	opm2-z8-s0	/nfsd/rop/instances/miplib2017/opm2-z8-s0.mps.gz	-15775	0
eval	opt1217	/nfsd/rop/instances/miplib2017/opt1217.mps.gz	-16.0000000000001	0
eval	p0201	/nfsd/rop/instances/miplib2017/p0201.mps.gz	7615	0
eval	polygonpack3-15	/nfsd/rop/instances/miplib2017/polygonpack3-15.mps.gz	-55055635.4664255	0
eval	polygonpack4-15	/nfsd/rop/instances/miplib2017/polygonpack4-15.mps.gz	-63613643.5617142	0
eval	polygonpack4-7	/nfsd/rop/instances/miplib2017/polygonpack4-7.mps.gz	-51837758.96242	0
eval	polygonpack5-15	/nfsd/rop/instances/miplib2017/polygonpack5-15.mps.gz	-55494687.6476085	0
eval	probportfolio	/nfsd/rop/instances/miplib2017/probportfolio.mps.gz	16.734246764	0
eval	queens-30	/nfsd/rop/instances/miplib2017/queens-30.mps.gz	-40	0
eval	rail507	/nfsd/rop/instances/miplib2017/rail507.mps.gz	174	1
eval	ramos3	/nfsd/rop/instances/miplib2017/ramos3.mps.gz	186	0
eval	reblock115	/nfsd/rop/instances/miplib2017/reblock115.mps.gz	-36800603.2332	1
eval	reblock166	/nfsd/rop/instances/miplib2017/reblock166.mps.gz	-600052168.91	0
eval	reblock354	/nfsd/rop/instances/miplib2017/reblock354.mps.gz	-39280521.2281657	0
eval	reblock420	/nfsd/rop/instances/miplib2017/reblock420.mps.gz	-517793000	0
