# set	name	mps	zbest	bench
# NTUNE=0 SEED=4242 WIDE=inst_wide.txt ELIGIBLE=ideas_names.txt  candidate=39 (benchmark=0, fuori benchmark=39)  scartate={'no_best': 33, 'dup': 0, 'not_eligible': 391}  --  eleggibilita' (pilota, t_LP, at_best) decisa NEL TASK e qui gia' filtrata con ELIGIBLE
eval	2club200v15p5scn	/nfsd/rop/instances/miplib2017/2club200v15p5scn.mps.gz	-70	0
eval	aligninq	/nfsd/rop/instances/miplib2017/aligninq.mps.gz	2713	0
eval	biella1	/nfsd/rop/instances/miplib2017/biella1.mps.gz	3065005.78	0
eval	blp-ic97	/nfsd/rop/instances/miplib2017/blp-ic97.mps.gz	4025.0235808	0
eval	blp-ir98	/nfsd/rop/instances/miplib2017/blp-ir98.mps.gz	2342.315488	0
eval	bppc6-02	/nfsd/rop/instances/miplib2017/bppc6-02.mps.gz	116	0
eval	cap6000	/nfsd/rop/instances/miplib2017/cap6000.mps.gz	-2451377	0
eval	dolom1	/nfsd/rop/instances/miplib2017/dolom1.mps.gz	6609253	0
eval	eilC76-2	/nfsd/rop/instances/miplib2017/eilC76-2.mps.gz	762.514781999996	0
eval	fhnw-schedule-paira100	/nfsd/rop/instances/miplib2017/fhnw-schedule-paira100.mps.gz	-15.1131226682367	0
eval	fhnw-schedule-paira200	/nfsd/rop/instances/miplib2017/fhnw-schedule-paira200.mps.gz	-19.2298568218154	0
eval	fiber	/nfsd/rop/instances/miplib2017/fiber.mps.gz	405935.18	0
eval	gmut-76-40	/nfsd/rop/instances/miplib2017/gmut-76-40.mps.gz	-14169477.7955035	0
eval	gmut-76-50	/nfsd/rop/instances/miplib2017/gmut-76-50.mps.gz	-14171893.7789212	0
eval	mine-166-5	/nfsd/rop/instances/miplib2017/mine-166-5.mps.gz	-566395707.9	0
eval	mine-90-10	/nfsd/rop/instances/miplib2017/mine-90-10.mps.gz	-784302337.6332	0
eval	mkc	/nfsd/rop/instances/miplib2017/mkc.mps.gz	-563.8460100132	0
eval	neos-1337307	/nfsd/rop/instances/miplib2017/neos-1337307.mps.gz	-202319	0
eval	neos-1601936	/nfsd/rop/instances/miplib2017/neos-1601936.mps.gz	2.99999999999894	0
eval	neos-3118745-obra	/nfsd/rop/instances/miplib2017/neos-3118745-obra.mps.gz	255	0
eval	neos-3581454-haast	/nfsd/rop/instances/miplib2017/neos-3581454-haast.mps.gz	2295	0
eval	neos-5115478-kaveri	/nfsd/rop/instances/miplib2017/neos-5115478-kaveri.mps.gz	1233.99999999096	0
eval	neos-5140963-mincio	/nfsd/rop/instances/miplib2017/neos-5140963-mincio.mps.gz	14393	0
eval	neos-831188	/nfsd/rop/instances/miplib2017/neos-831188.mps.gz	2.61377462	0
eval	neos-933562	/nfsd/rop/instances/miplib2017/neos-933562.mps.gz	17.9999999999998	0
eval	neos-933638	/nfsd/rop/instances/miplib2017/neos-933638.mps.gz	276	0
eval	neos-941313	/nfsd/rop/instances/miplib2017/neos-941313.mps.gz	9360.99999999999	0
eval	neos-948346	/nfsd/rop/instances/miplib2017/neos-948346.mps.gz	-227.6	0
eval	neos18	/nfsd/rop/instances/miplib2017/neos18.mps.gz	16	0
eval	neos6	/nfsd/rop/instances/miplib2017/neos6.mps.gz	83	0
eval	polygonpack3-15	/nfsd/rop/instances/miplib2017/polygonpack3-15.mps.gz	-55055635.4664255	0
eval	polygonpack4-15	/nfsd/rop/instances/miplib2017/polygonpack4-15.mps.gz	-63613643.5617142	0
eval	polygonpack4-7	/nfsd/rop/instances/miplib2017/polygonpack4-7.mps.gz	-51837758.96242	0
eval	reblock166	/nfsd/rop/instances/miplib2017/reblock166.mps.gz	-600052168.91	0
eval	reblock420	/nfsd/rop/instances/miplib2017/reblock420.mps.gz	-517793000	0
eval	sp97ic	/nfsd/rop/instances/miplib2017/sp97ic.mps.gz	427684487.68	0
eval	swath	/nfsd/rop/instances/miplib2017/swath.mps.gz	467.407491	0
eval	t1722	/nfsd/rop/instances/miplib2017/t1722.mps.gz	108953	0
eval	vpphard	/nfsd/rop/instances/miplib2017/vpphard.mps.gz	5	0
