# name	mps	tlp	TL	pilot	n_bin	n_cont	zlp	zinc
# 272 istanze, t_LP <= 5 s; pilota found=176 failed=96 slow=0; somma TL=7107 s
10teams	/nfsd/rop/instances/miplib2017/10teams.mps.gz	0.0543	20	found	1800	225	916.9999999999998	994.0
2club200v15p5scn	/nfsd/rop/instances/miplib2017/2club200v15p5scn.mps.gz	0.3480	20	found	200	0	-121.22222222222219	-27.0
30_70_45_05_100	/nfsd/rop/instances/miplib2017/30_70_45_05_100.mps.gz	1.0025	20	found	10771	1	8.099999999997495	190.0
30_70_45_095_100	/nfsd/rop/instances/miplib2017/30_70_45_095_100.mps.gz	1.1181	22	found	10975	1	3.0000000000032205	163.0
30_70_45_095_98	/nfsd/rop/instances/miplib2017/30_70_45_095_98.mps.gz	0.8917	20	found	10989	1	11.500000000002801	194.0
ab51-40-100	/nfsd/rop/instances/miplib2017/ab51-40-100.mps.gz	0.9010	20	found	12675	0	-10887846283.417503	-1823703279.0
ab67-40-100	/nfsd/rop/instances/miplib2017/ab67-40-100.mps.gz	1.0357	21	found	12812	0	-11552655490.987167	-1165709213.0
ab69-40-100	/nfsd/rop/instances/miplib2017/ab69-40-100.mps.gz	1.1019	22	found	12622	0	-11558979156.970045	-1718283415.0
ab71-20-100	/nfsd/rop/instances/miplib2017/ab71-20-100.mps.gz	0.4200	20	found	6689	0	-10887769664.974136	-1910888280.0
ab72-40-100	/nfsd/rop/instances/miplib2017/ab72-40-100.mps.gz	0.8497	20	found	12370	0	-11608837352.473429	-1204674107.0
academictimetablebig	/nfsd/rop/instances/miplib2017/academictimetablebig.mps.gz	3.0422	61	failed	168974	0	25.444444444444443	
academictimetablesmall	/nfsd/rop/instances/miplib2017/academictimetablesmall.mps.gz	0.3627	20	failed	28926	0	0.0	
acc-tight2	/nfsd/rop/instances/miplib2017/acc-tight2.mps.gz	0.0621	20	found	1620	0	0.0	0.0
acc-tight4	/nfsd/rop/instances/miplib2017/acc-tight4.mps.gz	0.0778	20	failed	1620	0	0.0	
acc-tight5	/nfsd/rop/instances/miplib2017/acc-tight5.mps.gz	0.4248	20	failed	1339	0	0.0	
air03	/nfsd/rop/instances/miplib2017/air03.mps.gz	0.0759	20	found	10757	0	338864.25	505880.0
air04	/nfsd/rop/instances/miplib2017/air04.mps.gz	0.6393	20	found	8904	0	55535.436388224276	60928.0
air05	/nfsd/rop/instances/miplib2017/air05.mps.gz	0.1921	20	found	7195	0	25877.609267851407	30974.0
aligninq	/nfsd/rop/instances/miplib2017/aligninq.mps.gz	0.0493	20	found	1830	1	2654.736802205334	2743.0
app2-1	/nfsd/rop/instances/miplib2017/app2-1.mps.gz	0.0103	20	found	3283	0	19294.125	418219.086
app2-2	/nfsd/rop/instances/miplib2017/app2-2.mps.gz	0.0035	20	found	1226	0	212040.35714285716	243512.5
assign1-10-4	/nfsd/rop/instances/miplib2017/assign1-10-4.mps.gz	0.0814	20	found	520	52	353.9929264711326	478.0
assign1-5-8	/nfsd/rop/instances/miplib2017/assign1-5-8.mps.gz	0.0122	20	found	130	26	183.36255497382203	246.0
b-ball	/nfsd/rop/instances/miplib2017/b-ball.mps.gz	0.0200	20	found	88	12	-1.8181818181818181	-1.5
