# famiglia	banda	path	n	ncons	nnz	quota_bin
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/p2m2p1m1p0n100.mps.gz	101	1	101	0.990
miplib2017	bin0.88	/nfsd/rop/instances/miplib2017/b-ball.mps.gz	100	30	209	0.880
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/f2gap40400.mps.gz	400	40	800	1.000
miplib2017	bin0.93	/nfsd/rop/instances/miplib2017/neos-5140963-mincio.mps.gz	196	184	834	0.934
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/rlp1.mps.gz	461	68	836	0.976
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/supportcase16.mps.gz	319	130	1076	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/supportcase14.mps.gz	304	234	1129	1.000
miplib2017	bin0.88	/nfsd/rop/instances/miplib2017/neos-3046615-murg.mps.gz	274	498	1266	0.876
miplib2017	bin0.88	/nfsd/rop/instances/miplib2017/neos-3046601-motu.mps.gz	308	563	1430	0.883
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/opt1217.mps.gz	769	64	1542	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/mod008inf.mps.gz	319	7	1562	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/mas76.mps.gz	151	12	1640	0.993
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/mas74.mps.gz	151	13	1706	0.993
miplib2017	bin0.94	/nfsd/rop/instances/miplib2017/glass4.mps.gz	322	396	1815	0.938
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/p0201.mps.gz	201	133	1923	1.000
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/fhnw-sq2.mps.gz	650	91	1968	0.962
miplib2017	bin0.93	/nfsd/rop/instances/miplib2017/fhnw-binpack4-4.mps.gz	520	620	2332	0.925
miplib2017	bin0.93	/nfsd/rop/instances/miplib2017/fhnw-binpack4-18.mps.gz	520	650	2392	0.925
miplib2017	bin0.91	/nfsd/rop/instances/miplib2017/supportcase26.mps.gz	436	870	2492	0.908
miplib2017	bin0.80	/nfsd/rop/instances/miplib2017/nexp-50-20-4-2.mps.gz	1225	540	2695	0.800
miplib2017	bin0.89	/nfsd/rop/instances/miplib2017/neos16.mps.gz	377	1018	2801	0.891
miplib2017	bin0.91	/nfsd/rop/instances/miplib2017/mad.mps.gz	220	51	2808	0.909
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ponderthis0517-inf.mps.gz	975	78	2925	1.000
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/fiber.mps.gz	1298	363	2944	0.966
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/app2-2.mps.gz	1226	335	3130	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/f2gap201600.mps.gz	1600	20	3200	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/f2gap401600.mps.gz	1600	40	3200	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/f2gap801600.mps.gz	1600	80	3200	1.000
miplib2017	bin0.95	/nfsd/rop/instances/miplib2017/neos-911970.mps.gz	888	107	3408	0.946
miplib2017	bin0.83	/nfsd/rop/instances/miplib2017/assign1-5-8.mps.gz	156	161	3720	0.833
miplib2017	bin0.84	/nfsd/rop/instances/miplib2017/qnet1_o.mps.gz	1541	456	4214	0.836
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/bppc8-02.mps.gz	232	59	4387	0.987
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-3118745-obra.mps.gz	1131	144	4521	0.999
miplib2017	bin0.84	/nfsd/rop/instances/miplib2017/qnet1.mps.gz	1541	503	4622	0.836
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/gmu-35-40.mps.gz	1205	424	4843	0.996
miplib2017	bin0.84	/nfsd/rop/instances/miplib2017/csched008.mps.gz	1536	351	5687	0.836
miplib2017	bin0.94	/nfsd/rop/instances/miplib2017/neos-4338804-snowy.mps.gz	1344	1701	6342	0.938
miplib2017	bin0.83	/nfsd/rop/instances/miplib2017/csched010.mps.gz	1758	351	6376	0.829
miplib2017	bin0.83	/nfsd/rop/instances/miplib2017/csched007.mps.gz	1758	351	6379	0.829
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cvs08r139-94.mps.gz	1864	2398	6456	1.000
miplib2017	bin0.94	/nfsd/rop/instances/miplib2017/probportfolio.mps.gz	320	302	6620	0.938
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-3009394-lami.mps.gz	2757	2028	6760	0.981
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/fhnw-sq3.mps.gz	2450	167	7372	0.980
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/mcsched.mps.gz	1747	2107	8088	0.999
miplib2017	bin0.82	/nfsd/rop/instances/miplib2017/pigeon-10.mps.gz	490	931	8150	0.816
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/breastcancer-regularized.mps.gz	715	723	8283	0.968
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cvs16r89-60.mps.gz	2384	3068	8368	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/chromaticindex32-8.mps.gz	2304	2111	8436	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cvs16r70-62.mps.gz	2112	3278	8512	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/misc07.mps.gz	260	212	8619	0.996
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/gmu-35-50.mps.gz	1919	435	8643	0.997
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/app2-1.mps.gz	3283	1038	8652	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/bppc8-09.mps.gz	431	67	9051	0.981
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cvs16r106-72.mps.gz	2848	3608	9888	1.000
miplib2017	bin0.94	/nfsd/rop/instances/miplib2017/liu.mps.gz	1156	2178	10626	0.942
miplib2017	bin0.89	/nfsd/rop/instances/miplib2017/amaze22012-06-28i.mps.gz	4907	1751	10983	0.892
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/mod010.mps.gz	2655	146	11203	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-831188.mps.gz	4612	2185	11256	1.000
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/rococoC10-001000.mps.gz	3117	1293	11751	0.960
miplib2017	bin0.89	/nfsd/rop/instances/miplib2017/10teams.mps.gz	2025	230	12150	0.889
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/supportcase30.mps.gz	1024	1028	12288	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cvs16r128-89.mps.gz	3472	4633	12528	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-2328163-agri.mps.gz	2236	1963	12740	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-1330346.mps.gz	2664	4248	13032	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/toll-like.mps.gz	2883	4408	13224	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/no-ip-64999.mps.gz	2232	2547	13590	0.980
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/no-ip-65059.mps.gz	2232	2547	13590	0.980
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/reblock115.mps.gz	1150	4735	13724	1.000
miplib2017	bin0.84	/nfsd/rop/instances/miplib2017/pigeon-13.mps.gz	754	1561	13871	0.845
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/acc-tight2.mps.gz	1620	2520	15327	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/mine-90-10.mps.gz	900	6270	15407	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-555424.mps.gz	3815	2676	15667	0.996
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/aligninq.mps.gz	1831	340	15734	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/acc-tight5.mps.gz	1339	3052	16134	1.000
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/rococoB10-011000.mps.gz	4456	1667	16517	0.969
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-555001.mps.gz	3855	3474	16649	0.981
miplib2017	bin0.88	/nfsd/rop/instances/miplib2017/neos-503737.mps.gz	2850	500	16850	0.877
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-555343.mps.gz	3815	3326	16967	0.996
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/mkc.mps.gz	5325	3411	17038	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/acc-tight4.mps.gz	1620	3285	17073	1.000
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/fhnw-binpack4-48.mps.gz	3710	4480	17290	0.972
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/nu25-pr12.mps.gz	5868	2313	17712	0.994
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/nu120-pr12.mps.gz	5868	2313	17712	0.994
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/fhnw-binpack4-77.mps.gz	3924	4922	17726	0.972
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/pw-myciel4.mps.gz	1059	8164	17779	0.999
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-686190.mps.gz	3660	3664	18085	0.984
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/qap10.mps.gz	4150	1820	18200	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-555884.mps.gz	3815	4331	19067	0.996
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/graph20-20-1rand.mps.gz	2183	5587	19277	1.000
miplib2017	bin0.94	/nfsd/rop/instances/miplib2017/neos-5261882-treska.mps.gz	2900	2971	19342	0.941
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/neos-5115478-kaveri.mps.gz	3114	6498	19392	0.956
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/neos-5107597-kakapo.mps.gz	3114	6498	19392	0.956
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/mine-166-5.mps.gz	830	8429	19412	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-826650.mps.gz	5912	2414	20440	0.980
