fpc/out/fact/p2m2p1m1p0n100__bare_s0.log:presolved problem has 100 variables (100 bin, 0 int, 0 cont) and 23 constraints
fpc/out/fact/opt1217__bare_s0.log:presolved problem has 759 variables (758 bin, 0 int, 1 cont) and 64 constraints
fpc/out/fact/f2gap40400__bare_s0.log:presolved problem has 400 variables (400 bin, 0 int, 0 cont) and 40 constraints
fpc/out/fact/b-ball__bare_s0.log:presolved problem has 89 variables (88 bin, 0 int, 1 cont) and 36 constraints
fpc/out/fact/neos-3046601-motu__bare_s0.log:presolved problem has 172 variables (136 bin, 17 int, 19 cont) and 155 constraints
fpc/out/fact/mas76__bare_s0.log:presolved problem has 150 variables (149 bin, 0 int, 1 cont) and 14 constraints
fpc/out/fact/rlp1__bare_s0.log:presolved problem has 316 variables (315 bin, 0 int, 1 cont) and 52 constraints
fpc/out/fact/neos-5140963-mincio__bare_s0.log:presolved problem has 196 variables (183 bin, 0 int, 13 cont) and 184 constraints
fpc/out/fact/fhnw-sq2__bare_s0.log:presolved problem has 646 variables (621 bin, 25 int, 0 cont) and 94 constraints
fpc/out/fact/mas74__bare_s0.log:presolved problem has 150 variables (149 bin, 0 int, 1 cont) and 15 constraints
fpc/out/fact/glass4__bare_s0.log:presolved problem has 317 variables (298 bin, 0 int, 19 cont) and 393 constraints
fpc/out/fact/supportcase16__bare_s0.log:presolved problem has 142 variables (142 bin, 0 int, 0 cont) and 63 constraints
fpc/out/fact/mod008inf__bare_s0.log:presolved problem has 319 variables (319 bin, 0 int, 0 cont) and 7 constraints
fpc/out/fact/supportcase14__bare_s0.log:presolved problem has 149 variables (149 bin, 0 int, 0 cont) and 63 constraints
fpc/out/fact/p0201__bare_s0.log:presolved problem has 183 variables (183 bin, 0 int, 0 cont) and 107 constraints
fpc/out/fact/neos-3046615-murg__bare_s0.log:presolved problem has 154 variables (120 bin, 16 int, 18 cont) and 138 constraints
fpc/out/fact/fhnw-binpack4-4__bare_s0.log:presolved problem has 420 variables (381 bin, 0 int, 39 cont) and 510 constraints
fpc/out/fact/nexp-50-20-4-2__bare_s0.log:presolved problem has 1101 variables (879 bin, 0 int, 222 cont) and 493 constraints
fpc/out/fact/ponderthis0517-inf__bare_s0.log:presolved problem has 975 variables (975 bin, 0 int, 0 cont) and 78 constraints
fpc/out/fact/neos16__bare_s0.log:presolved problem has 376 variables (336 bin, 40 int, 0 cont) and 850 constraints
fpc/out/fact/fhnw-binpack4-18__bare_s0.log:presolved problem has 338 variables (312 bin, 0 int, 26 cont) and 453 constraints
fpc/out/fact/supportcase26__bare_s0.log:presolved problem has 436 variables (396 bin, 0 int, 40 cont) and 434 constraints
fpc/out/fact/mad__bare_s0.log:presolved problem has 213 variables (200 bin, 0 int, 13 cont) and 40 constraints
fpc/out/fact/f2gap201600__bare_s0.log:presolved problem has 1600 variables (1600 bin, 0 int, 0 cont) and 20 constraints
fpc/out/fact/qnet1_o__bare_s0.log:presolved problem has 1330 variables (1257 bin, 73 int, 0 cont) and 245 constraints
