# famiglia	banda	path	n	ncons	nnz	quota_bin   (E1: 176 istanze, da mk_inst_e1.py)
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/2club200v15p5scn.mps.gz	200	17013	104811	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/30_70_45_05_100.mps.gz	10772	12050	45889	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/30_70_45_095_100.mps.gz	10976	12526	46640	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/30_70_45_095_98.mps.gz	10990	12471	46387	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ab51-40-100.mps.gz	12675	11893	72745	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ab67-40-100.mps.gz	12812	12092	75871	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ab69-40-100.mps.gz	12622	11911	74233	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ab71-20-100.mps.gz	6689	6380	41961	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ab72-40-100.mps.gz	12370	11671	72137	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/acc-tight2.mps.gz	1620	2520	15327	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/air03.mps.gz	10757	124	91028	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/air04.mps.gz	8904	823	72965	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/air05.mps.gz	7195	426	52121	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/app2-1.mps.gz	3283	1038	8652	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/app2-2.mps.gz	1226	335	3130	1.000
miplib2017	bin0.91	/nfsd/rop/instances/miplib2017/assign1-10-4.mps.gz	572	582	28280	0.909
miplib2017	bin0.83	/nfsd/rop/instances/miplib2017/assign1-5-8.mps.gz	156	161	3720	0.833
miplib2017	bin0.88	/nfsd/rop/instances/miplib2017/b-ball.mps.gz	100	30	209	0.880
miplib2017	bin0.83	/nfsd/rop/instances/miplib2017/biella1.mps.gz	7328	1203	71489	0.834
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/blp-ic97.mps.gz	9845	923	118149	0.991
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/blp-ic98.mps.gz	13640	717	191947	0.993
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/blp-ir98.mps.gz	6097	486	79152	0.989
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/bppc4-08.mps.gz	1456	111	23964	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/bppc6-02.mps.gz	4784	309	188143	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/bppc6-06.mps.gz	3922	273	181510	0.999
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/bppc8-02.mps.gz	232	59	4387	0.987
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/bppc8-09.mps.gz	431	67	9051	0.981
