# nome	tl	zlp   (da results_fact.txt, mk_inst_e1.py)
2club200v15p5scn	20	-1.21222222222222e+02
30_70_45_05_100	185	+8.10000000000036e+00
30_70_45_095_100	219	+3.00000000000000e+00
30_70_45_095_98	173	+1.15000000000000e+01
ab51-40-100	76	-1.08863017940481e+10
ab67-40-100	82	-1.15522429544724e+10
ab69-40-100	74	-1.15574669694500e+10
ab71-20-100	39	-1.08857572676832e+10
ab72-40-100	75	-1.16068273159050e+10
acc-tight2	20	+0.00000000000000e+00
air03	20	+3.38864250000000e+05
air04	48	+5.55354363882243e+04
air05	20	+2.58776092678514e+04
app2-1	20	+1.92942500000000e+04
app2-2	20	+2.12040357142857e+05
assign1-10-4	20	+3.53992926471135e+02
assign1-5-8	20	+1.83362554973822e+02
b-ball	20	-1.81818181818182e+00
biella1	82	+3.06003743076311e+06
blp-ic97	20	+3.88539173967501e+03
blp-ic98	20	+4.37453424323269e+03
blp-ir98	20	+2.27692379848816e+03
bppc4-08	20	+5.15900000000000e+01
bppc6-02	42	+1.08340000000000e+02
bppc6-06	47	+2.00633333333333e+02
bppc8-02	20	+4.86500000000000e+02
bppc8-09	20	+4.44436046511628e+02
cap6000	20	-2.45153732502405e+06
chromaticindex128-5	72	+3.00000000000000e+00
chromaticindex256-8	300	+3.00000000000000e+00
chromaticindex32-8	20	+3.00000000000000e+00
co-100	44	+1.03233099944366e+06
cod105	32	-1.52146006964865e+01
core2536-691	145	+6.88476034042348e+02
core2586-950	262	+9.35921820567799e+02
core4284-1064	300	+1.05405449127484e+03
core4872-1529	300	+1.50971856105381e+03
cvs08r139-94	20	-1.39000000000000e+02
cvs16r106-72	46	-1.06000000000000e+02
cvs16r128-89	79	-1.28000000000000e+02
cvs16r70-62	20	-5.56371493668307e+01
cvs16r89-60	34	-8.90000000000000e+01
dc1c	125	+1.75494686363816e+06
dc1l	300	+1.74459169294178e+06
disctom	80	-5.00000000000000e+03
dolom1	152	+6.55606606831527e+06
drayage-100-12	20	+9.11340760803222e+04
drayage-100-23	20	+1.03333874073029e+05
ds	300	+5.72345652594394e+01
eil33-2	20	+8.11278996122806e+02
eilA101-2	300	+8.03373888329758e+02
eilC76-2	120	+7.25754457851429e+02
ex1010-pi	155	+2.20670087044837e+02
f2gap201600	20	+7.64298622962110e+04
f2gap401600	20	+8.22742374341957e+04
f2gap40400	20	+2.06508981539632e+04
f2gap801600	20	+8.65701208665628e+04
fast0507	96	+1.72145566676549e+02
fhnw-schedule-paira100	20	-3.66436808740924e+01
fiball	20	+1.37069167643611e+02
fiber	20	+1.98107357500000e+05
glass-sc	20	+1.40802958565341e+01
glass4	20	+8.00002400000000e+08
gmut-76-50	114	-1.41738841880632e+07
graph20-20-1rand	20	-1.20000000000000e+01
iis-glass-cov	20	+1.34606085147190e+01
iis-hc-cov	20	+9.51706077419848e+00
irp	20	+1.21235302223333e+04
leo1	20	+3.89475369404279e+08
liu	20	+3.46000000000000e+02
mad	20	-9.57567358739198e-16
mas74	20	+1.04827952803312e+04
mas76	20	+3.88939036405227e+04
mcsched	20	+1.93774753706622e+05
misc07	20	+1.42500000000000e+03
mkc	20	-6.11850000000000e+02
mod010	20	+6.53208333333333e+03
n2seq36f	20	+5.20000000000000e+04
n3div36	20	+1.14333374741201e+05
neos-1324574	25	+4.50000000000000e+00
neos-1330346	20	+4.50000000000000e+00
neos-1516309	20	+3.34323333333333e+04
neos-1599274	20	+3.12357428571429e+04
neos-1601936	107	+1.00000000000000e+00
neos-2746589-doon	133	+1.98593979591837e+03
neos-3118745-obra	20	+2.53833333333333e+02
neos-3352863-ancoa	251	+2.73004282193088e+04
neos-3402294-bobin	97	+0.00000000000000e+00
neos-3437289-erdre	20	+0.00000000000000e+00
neos-3634244-kauru	300	+2.59506808427641e+01
neos-3696678-lyvia	20	+8.37500000000000e+01
neos-4413714-turia	266	+4.34746510100000e+01
neos-4760493-puerua	300	+1.90824369506849e+03
neos-4763324-toguru	300	+1.12098606208699e+03
neos-498623	20	+1.60000000000000e+01
neos-5013590-toitoi	300	+1.06444709200728e+03
neos-503737	20	+5.00000000000000e+01
neos-5107597-kakapo	20	+0.00000000000000e+00
neos-5115478-kaveri	20	+0.00000000000000e+00
neos-525149	20	+6.00000000000000e+01
neos-633273	20	+6.99684109799779e+09
neos-780889	300	+3.42150000000000e+06
neos-820879	20	+2.48742678571429e+04
neos-827015	251	+2.09807071471553e+00
neos-829552	95	+2.09807071471553e+00
neos-860300	20	+2.21029995271681e+03
neos-911970	20	+2.32600000000000e+01
neos-914441	39	+5.66036428377036e+06
neos-932721	25	+5.20300000000000e+04
neos-933562	20	+0.00000000000000e+00
neos-933638	300	+2.76000000000000e+02
neos-933966	256	+3.18000000000000e+02
neos-954925	300	-2.37814378263328e+02
neos-956971	225	-2.37791358024691e+02
neos-957143	112	-2.37770000000000e+02
neos-957323	102	-2.37757907410063e+02
neos18	20	+7.00000000000000e+00
neos8	20	-3.72500000000000e+03
nexp-150-20-8-5	20	+1.82268041237113e+01
nexp-50-20-4-2	20	+4.90909090909091e+01
nsrand-ipx	20	+4.96678922558923e+04
nu120-pr12	20	+3.83700000000000e+04
nu120-pr9	20	+1.95125000000000e+04
nu25-pr12	20	+5.29575000000000e+04
nu4-pr9	20	+3.52125000000000e+04
nursesched-medium04	157	+2.33000000000000e+02
nursesched-sprint-hidden09	46	+2.20027777777778e+02
nursesched-sprint-late03	49	+3.42548060418812e+01
nursesched-sprint02	40	+5.44166666666667e+01
nw04	20	+1.63106666666667e+04
opm2-z10-s4	300	-4.69215078403987e+04
