inst,fam,it,pos
air03,MIPLIB2003,6,0.1127629897
air03,MIPLIB2003,21,0.01955553225
air03,MIPLIB2003,29,0.1186231362
air03,MIPLIB2003,47,0.04855852069
air03,MIPLIB2003,68,0.03981566929
air03,MIPLIB2003,90,0.05818107075
air03,MIPLIB2003,128,0.06756001194
air03,MIPLIB2003,141,0.05544723796
air03,MIPLIB2003,172,0.05203671389
air03,MIPLIB2003,179,0.05807280014
air03,MIPLIB2003,194,0.0340231919
air03,MIPLIB2003,214,0.06083370058
air03,MIPLIB2003,228,0.03958559426
air03,MIPLIB2003,234,0.001826220603
air03,MIPLIB2003,269,0.06239009053
air03,MIPLIB2003,275,0.04449837298
air03,MIPLIB2003,288,0.02625477596
air03,MIPLIB2003,310,0.02101718542
air03,MIPLIB2003,378,0.05390438183
air03,MIPLIB2003,387,0.03625627314
air03,MIPLIB2003,393,0.02385928881
air03,MIPLIB2003,399,0.05803219866
air03,MIPLIB2003,405,0.06387881136
air03,MIPLIB2003,420,0.02352094317
air03,MIPLIB2003,437,0.01029839548
air03,MIPLIB2003,458,6.682326431e-05
air03,MIPLIB2003,470,0.03682469382
air03,MIPLIB2003,476,0.03793446752
air03,MIPLIB2003,483,0.03942318835
air03,MIPLIB2003,490,0.0701720403
air03,MIPLIB2003,500,0.01276155175
air03,MIPLIB2003,534,0.03478108614
air03,MIPLIB2003,554,0.04727280725
air03,MIPLIB2003,578,0.05311941994
air03,MIPLIB2003,596,0.05084573723
air03,MIPLIB2003,615,0.01799914229
air03,MIPLIB2003,626,0.01299162679
air03,MIPLIB2003,643,1.268796158e-05
air03,MIPLIB2003,658,0.07356903055
air03,MIPLIB2003,669,0.0265931216
air03,MIPLIB2003,674,0.00682020228
air03,MIPLIB2003,690,0.2095839787
air03,MIPLIB2003,745,0.08306977618
air03,MIPLIB2003,754,0.07673594576
air03,MIPLIB2003,761,0.02660665543
air03,MIPLIB2003,789,0.04054649588
air03,MIPLIB2003,821,0.09871487867
air03,MIPLIB2003,828,0.0190547807
air03,MIPLIB2003,836,0.04897806928
air03,MIPLIB2003,850,0.1643810009
air03,MIPLIB2003,885,0.004072835666
air03,MIPLIB2003,891,0.01158410892
air03,MIPLIB2003,928,0.1038577324
air03,MIPLIB2003,949,0.08714345771
air03,MIPLIB2003,955,0.04330739632
air03,MIPLIB2003,967,0.05087280488
air03,MIPLIB2003,975,0.03300815498
air03,MIPLIB2003,981,0.005480353537
air03,MIPLIB2003,987,0.0717013626
air03,MIPLIB2003,995,0.02297959015
air03,MIPLIB2003,1005,0.0677494855
air03,MIPLIB2003,1018,0.05800513101
air03,MIPLIB2003,1072,0.04483671862
air03,MIPLIB2003,1084,0.01308636357
air03,MIPLIB2003,1118,0.1245238842
air03,MIPLIB2003,1125,0.03472695084
air03,MIPLIB2003,1156,0.1179599788
air03,MIPLIB2003,1162,0.04470138037
air03,MIPLIB2003,1182,0.07079459628
air03,MIPLIB2003,1201,0.0573690412
air03,MIPLIB2003,1207,0.07923970351
air03,MIPLIB2003,1215,0.04918107667
air03,MIPLIB2003,1279,0.07171489643
air03,MIPLIB2003,1307,0.02770289531
air03,MIPLIB2003,1319,0.005791631528
air03,MIPLIB2003,1330,0.04705626603
air03,MIPLIB2003,1351,0.06107730944
air03,MIPLIB2003,1356,0.1185283995
air03,MIPLIB2003,1381,0.006048774216
air03,MIPLIB2003,1396,0.08726526214
air03,MIPLIB2003,1406,0.01928485573
air03,MIPLIB2003,1417,0.01722771423
air03,MIPLIB2003,1471,0.0766006075
air03,MIPLIB2003,1485,0.03487582292
air03,MIPLIB2003,1508,0.01717357893
air03,MIPLIB2003,1543,0.01435854319
air03,MIPLIB2003,1557,0.06730286926
air03,MIPLIB2003,1606,0.09801111973
air03,MIPLIB2003,1613,0.05548783943
air03,MIPLIB2003,1641,0.04596002615
air03,MIPLIB2003,1652,0.01051493669
air03,MIPLIB2003,1657,0.04072243561
air03,MIPLIB2003,1669,0.1168908066
air03,MIPLIB2003,1687,0.04900513693
air03,MIPLIB2003,1777,0.02747282027
air03,MIPLIB2003,1821,0.07344722612
air03,MIPLIB2003,1869,0.02717507611
air03,MIPLIB2003,1875,0.01369538573
air03,MIPLIB2003,1899,0.03672995704
air03,MIPLIB2003,1905,0.07029384473
air03,MIPLIB2003,1911,0.05232092422
air03,MIPLIB2003,1939,0.06477204385
air03,MIPLIB2003,1950,0.005913435959
air03,MIPLIB2003,1957,0.029123947
air03,MIPLIB2003,1972,0.04280664477
air03,MIPLIB2003,1994,0.03651341583
air04,MIPLIB2003,21,0.05747180993
air04,MIPLIB2003,29,0.03032979981
air04,MIPLIB2003,45,0.07804720469
air04,MIPLIB2003,191,0.01238105118
air04,MIPLIB2003,200,0.09555817896
air04,MIPLIB2003,203,0.09555817896
air04,MIPLIB2003,215,0.009316630683
air05,MIPLIB2003,18,0.03862187195
air05,MIPLIB2003,91,0.02153336078
air05,MIPLIB2003,98,0.04770387788
air05,MIPLIB2003,122,0.01221235469
air05,MIPLIB2003,128,0.008268852117
air05,MIPLIB2003,139,0.05057187975
air05,MIPLIB2003,170,0.03073486679
air05,MIPLIB2003,201,0.02356486211
air05,MIPLIB2003,255,0.01041985352
air05,MIPLIB2003,287,0.01257085493
air05,MIPLIB2003,313,0.009105352663
air05,MIPLIB2003,328,0.004444849619
air05,MIPLIB2003,344,0.02368436219
air05,MIPLIB2003,365,0.05702488397
air05,MIPLIB2003,375,0.04328237499
air05,MIPLIB2003,379,0.009105352663
air05,MIPLIB2003,395,0.008149352039
air05,MIPLIB2003,402,0.006954351258
air05,MIPLIB2003,453,0.04423837562
air05,MIPLIB2003,458,0.01113685399
air05,MIPLIB2003,537,0.0737548949
air05,MIPLIB2003,625,0.009105352663
air05,MIPLIB2003,633,0.03001786633
air05,MIPLIB2003,645,0.008268852117
air05,MIPLIB2003,658,0.04710637749
air05,MIPLIB2003,699,0.008388352195
air05,MIPLIB2003,715,0.03121286711
air05,MIPLIB2003,737,0.0475843778
air05,MIPLIB2003,762,0.01125635407
air05,MIPLIB2003,770,0.02547686336
air05,MIPLIB2003,790,0.02810586508
cap6000,MIPLIB2003,10,0.04802723022
cap6000,MIPLIB2003,18,0.1585319881
cap6000,MIPLIB2003,20,0.05453690055
cap6000,MIPLIB2003,29,0.06959605615
cap6000,MIPLIB2003,39,0.04758379218
cap6000,MIPLIB2003,75,0.06088693318
cap6000,MIPLIB2003,92,0.06650972744
cap6000,MIPLIB2003,94,0.08422951125
cap6000,MIPLIB2003,98,0.06168512164
cap6000,MIPLIB2003,128,0.07433197435
cap6000,MIPLIB2003,137,0.03514978973
cap6000,MIPLIB2003,145,0.05950340652
cap6000,MIPLIB2003,202,0.01487580285
cap6000,MIPLIB2003,208,0.05001383261
cap6000,MIPLIB2003,214,0.2678305945
cap6000,MIPLIB2003,228,0.002654650655
