it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,338864.25,289542,-147777.875,-197100.125,-0.5,-0.6668796834,-49322.25,-0.1668796834,11.875,11.875,1,69,0,0,486642.125,0,1,0,0,0.000524520874
1,0,342837.2222,312694,-143804.9028,-173948.125,-0.4865576216,-0.5885459004,-30143.22222,-0.1019882788,9.888888889,9.888888889,1,43,0,0,486642.125,0,1,0,1,0.06146597862
2,0,351719.75,342008,-134922.375,-144634.125,-0.456503976,-0.4893632589,-9711.75,-0.03285928289,8.4,8.4,1,35,0,0,486642.125,0,1,0,2,0.1170277596
3,0,371121,352044,-115521.125,-134598.125,-0.3908606921,-0.4554068902,-19077,-0.06454619814,6.375,6.375,1,43,0,0,486642.125,0,1,0,3,0.1508333683
4,0,368702,366786,-117940.125,-119856.125,-0.3990452732,-0.4055279757,-1916,-0.006482702502,3.333333333,3.333333333,1,6,0,0,486642.125,0,1,0,4,0.1820874214
5,0,367858,367858,-118784.125,-118784.125,-0.4019009104,-0.4019009104,0,0,0,0,0,0,1,1,486642.125,0,1,367858,0,0.2175137997
6,0,366408.3125,344036,-120233.8125,-142606.125,-0.4068058649,-0.4825016093,-22372.3125,-0.07569574437,0.4247901754,17.57520982,5,46,0,0,486642.125,366408.3125,0,367858,1,0.2719244957
7,0,358199,327418,-128443.125,-159224.125,-0.434581716,-0.5387278881,-30781,-0.1041461721,4,4,1,13,0,0,486642.125,366408.3125,0,367858,2,0.3200535774
8,0,358199,410740,-128443.125,-75902.125,-0.434581716,-0.2568115322,52541,0.1777701838,4,19,14,141,0,0,486642.125,366408.3125,0,367858,3,0.350508213
9,0,366408.3125,382530,-120233.8125,-104112.125,-0.4068058649,-0.3522588378,16121.6875,0.05454702708,3.352594898,3.352594898,1,1,0,0,486642.125,366408.3125,0,367858,4,0.3976178169
10,0,366408.3125,369408,-120233.8125,-117234.125,-0.4068058649,-0.396656553,2999.6875,0.01014931193,1.33807097,1.33807097,0,0,1,0,486642.125,366408.3125,0,367858,5,0.4312548637
11,0,366408.3125,368778,-120233.8125,-117864.125,-0.4068058649,-0.3987881305,2369.6875,0.008017734387,1.33807097,21.66192903,13,119,0,0,486642.125,366408.3125,0,367858,6,0.4627439976
12,0,358199,5825746,-128443.125,5339103.875,-0.434581716,18.06462529,5467547,18.499207,4,2185,814,18520,0,0,486642.125,366408.3125,0,367858,7,0.5061182976
13,0,366408.3125,360976,-120233.8125,-125666.125,-0.4068058649,-0.4251858575,-5432.3125,-0.01837999261,8.150495883,8.150495883,1,29,0,0,486642.125,366408.3125,0,367858,8,0.5692846775
14,0,366408.3125,368442,-120233.8125,-118200.125,-0.4068058649,-0.3999249719,2033.6875,0.006880893029,2.45034138,2.45034138,1,6,0,0,486642.125,366408.3125,0,367858,9,0.6256911755
15,0,365656.3125,360578,-120985.8125,-126064.125,-0.4093502241,-0.4265324731,-5078.3125,-0.01718224903,2.496114349,13.50388565,4,47,0,0,486642.125,365656.3125,0,367858,10,0.6502027512
16,0,348640,348640,-138002.125,-138002.125,-0.4669241759,-0.4669241759,0,0,0,0,0,0,1,1,486642.125,365656.3125,0,348640,0,0.6911041737
17,0,346438.3125,366900,-140203.8125,-119742.125,-0.4743734896,-0.4051422617,20461.6875,0.06923122795,3.967425005,21.03257499,4,62,0,0,486642.125,346438.3125,0,348640,1,0.7511410713
18,0,345955.3125,335582,-140686.8125,-151060.125,-0.4760076991,-0.5111053498,-10373.3125,-0.03509765078,6.122307765,6.122307765,1,12,0,0,486642.125,345955.3125,0,348640,2,0.8091268539
19,0,343054,336964,-143588.125,-149678.125,-0.4858241635,-0.5064294131,-6090,-0.0206052496,2,2,1,13,0,0,486642.125,346438.3125,0,348640,3,0.8452954292
20,0,341738,341738,-144904.125,-144904.125,-0.4902767921,-0.4902767921,0,0,0,0,0,0,1,1,486642.125,347623.1562,0,341738,0,0.8736395836
21,0,341594.3125,363950,-145047.8125,-122692.125,-0.4907629525,-0.4151234581,22355.6875,0.07563949441,0.460536859,14.53946314,9,83,0,0,486642.125,341594.3125,0,341738,1,0.9352607727
22,0,340178,340178,-146464.125,-146464.125,-0.4955549841,-0.4955549841,0,0,0,0,0,0,1,1,486642.125,341594.3125,0,340178,0,0.984828949
23,0,340112.3125,342038,-146529.8125,-144604.125,-0.4957772349,-0.4892617552,1925.6875,0.006515479736,0.7172429481,19.67126365,1,44,0,0,486642.125,340112.3125,0,340178,1,1.072999239
24,0,340112.3125,304680,-146529.8125,-181962.125,-0.4957772349,-0.6156609201,-35432.3125,-0.1198836852,7.948331299,7.948331299,1,33,0,0,486642.125,340112.3125,0,340178,2,1.126218796
25,0,340112.3125,317772,-146529.8125,-168870.125,-0.4957772349,-0.5713647087,-22340.3125,-0.07558747377,7.073859312,7.073859312,1,26,0,0,486642.125,340112.3125,0,340178,3,1.160501719
26,0,340112.3125,322768,-146529.8125,-163874.125,-0.4957772349,-0.5544609604,-17344.3125,-0.05868372549,6.439219535,6.439219535,1,12,0,0,486642.125,340112.3125,0,340178,4,1.203268051
27,0,340112.3125,318816,-146529.8125,-167826.125,-0.4957772349,-0.5678323802,-21296.3125,-0.07205514526,6.413075021,6.413075021,1,18,0,0,486642.125,340112.3125,0,340178,5,1.230560541
28,0,340112.3125,5684554,-146529.8125,5197911.875,-0.4957772349,17.58690831,5344441.688,18.08268554,6.413075021,2154.007264,767,18135,0,0,486642.125,340112.3125,0,340178,6,1.25280571
29,0,340112.3125,305318,-146529.8125,-181324.125,-0.4957772349,-0.613502275,-34794.3125,-0.11772504,10.52331241,10.52331241,1,31,0,0,486642.125,340112.3125,0,340178,7,1.304803848
30,0,340112.3125,318580,-146529.8125,-168062.125,-0.4957772349,-0.5686308759,-21532.3125,-0.07285364098,5.317340095,5.317340095,1,22,0,0,486642.125,340112.3125,0,340178,8,1.370666981
31,0,339827,304854,-146815.125,-181788.125,-0.4967425773,-0.6150721987,-34973,-0.1183296214,5.25,5.25,1,23,0,0,486642.125,340112.3125,0,340178,9,1.433365107
32,0,339827,398658,-146815.125,-87984.125,-0.4967425773,-0.2976904526,58831,0.1990521247,5.25,18.75,12,135,0,0,486642.125,340112.3125,0,340178,10,1.465332747
33,0,340112.3125,351406,-146529.8125,-135236.125,-0.4957772349,-0.4575655354,11293.6875,0.03821169948,5.21993949,5.21993949,1,5,0,0,486642.125,340112.3125,0,340178,11,1.507921696
34,0,340112.3125,355548,-146529.8125,-131094.125,-0.4957772349,-0.4435512589,15435.6875,0.05222597598,5.21993949,14.78006051,7,71,0,0,486642.125,340112.3125,0,340178,12,1.552950621
35,0,339827,5625400,-146815.125,5138757.875,-0.4967425773,17.38676333,5285573,17.8835059,5.25,2107.75,765,17887,0,0,486642.125,340112.3125,0,340178,13,1.608547449
36,0,340112.3125,291586,-146529.8125,-195056.125,-0.4957772349,-0.6599638985,-48526.3125,-0.1641866636,8.096503304,8.096503304,1,24,0,0,486642.125,340112.3125,0,340178,14,1.675621986
37,0,340112.3125,337502,-146529.8125,-149140.125,-0.4957772349,-0.5046091135,-2610.3125,-0.008831878588,7.103260751,7.103260751,1,6,0,0,486642.125,340112.3125,0,340178,15,1.760925293
38,0,338890.525,291574,-147751.6,-195068.125,-0.4999110997,-0.6600045,-47316.525,-0.1600934003,11.78181385,11.78181385,1,61,0,0,486642.125,338890.525,0,340178,16,1.830518484
39,0,340112.3125,311116,-146529.8125,-175526.125,-0.4957772349,-0.5938849946,-28996.3125,-0.0981077597,10.1923384,10.1923384,1,42,0,0,486642.125,340112.3125,0,340178,17,1.893098354
40,0,340112.3125,297388,-146529.8125,-189254.125,-0.4957772349,-0.6403330844,-42724.3125,-0.1445558494,9.097072512,9.097072512,1,43,0,0,486642.125,340112.3125,0,340178,18,1.967397213
