it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,25877.60927,13098,-12765.29305,-25544.90232,-0.75,-1.500841122,-12779.60927,-0.7508411216,46.21565409,46.21565409,1,201,0,0,38642.90232,0,1,0,0,0.0005192756653
1,0,30266.40018,24679,-8376.502139,-13963.90232,-0.4921451141,-0.8204219596,-5587.400178,-0.3282768455,19.52406417,19.52406417,1,60,0,0,38642.90232,38642.90232,0,0,1,0.3369393349
2,0,31916,31916,-6726.902317,-6726.902317,-0.3952260805,-0.3952260805,0,0,0,0,0,0,1,1,38642.90232,38642.90232,0,31916,0,0.5598037243
3,0,31916,35205,-6726.902317,-3437.902317,-0.3952260805,-0.2019872734,3289,0.193238807,0,18,1,133,0,0,38642.90232,38642.90232,0,31916,1,0.6312541962
4,0,31916,820518,-6726.902317,781875.0977,-0.3952260805,45.93755279,788602,46.33277887,0,1470,83,10472,0,0,38642.90232,38642.90232,0,31916,2,0.7360255718
5,0,38642.90232,30585,0,-8057.902317,0,-0.4734264004,-8057.902317,-0.4734264004,39.11387353,39.11387353,1,94,0,0,38642.90232,38642.90232,0,31916,3,1.112402439
6,0,38642.90232,36104,-7.275957614e-12,-2538.902317,-4.274847581e-16,-0.1491682745,-2538.902317,-0.1491682745,10.91688215,10.91688215,1,27,0,0,38642.90232,38642.90232,0,31916,4,1.471123934
7,0,38604.5,34823,-38.40231696,-3819.902317,-0.002256253547,-0.2244309415,-3781.5,-0.222174688,6,6,1,42,0,0,38642.90232,38642.90232,0,31916,5,1.642659426
8,0,38642.90232,38784,0,141.097683,0,0.008289920323,141.097683,0.008289920323,1.959690042,1.959690042,0,0,1,0,38642.90232,38642.90232,0,31916,6,1.719270706
9,0,38642.90232,42882,2.182787284e-11,4239.097683,1.282454274e-15,0.2490599511,4239.097683,0.2490599511,0.3581159468,22.64188405,3,122,0,0,38642.90232,38642.90232,0,31916,7,1.85761857
10,0,36978.5,35544,-1664.402317,-3098.902317,-0.09778872549,-0.1820699869,-1434.5,-0.08428126137,1.5,1.5,1,8,0,0,38642.90232,38642.90232,0,31916,8,2.031919479
11,0,36789,36789,-1853.902317,-1853.902317,-0.1089224299,-0.1089224299,0,0,0,0,0,0,1,0,38642.90232,38642.90232,0,31916,9,2.098905325
12,0,36789,40376,-1853.902317,1733.097683,-0.1089224299,0.1018247883,3587,0.2107472182,0,25,1,174,0,0,38642.90232,38642.90232,0,31916,10,2.118456841
13,0,37192,37192,-1450.902317,-1450.902317,-0.08524494765,-0.08524494765,0,0,0,0,0,0,1,0,38642.90232,38642.90232,0,31916,11,2.228783131
14,0,37192,36659,-1450.902317,-1983.902317,-0.08524494765,-0.1165603274,-533,-0.03131537979,1.221245327e-15,13,6,96,0,0,38642.90232,38642.90232,0,31916,12,2.332874775
15,0,37192,832059,-1450.902317,793416.0977,-0.08524494765,46.61562182,794867,46.70086677,0,1498,83,10651,0,0,38642.90232,38642.90232,0,31916,13,2.459480762
16,0,38642.90232,28581,0,-10061.90232,0,-0.5911675281,-10061.90232,-0.5911675281,41.6746599,41.6746599,1,88,0,0,38642.90232,38642.90232,0,31916,14,2.840327978
17,0,38302.2,33178,-340.702317,-5464.902317,-0.02001730291,-0.3210797216,-5124.2,-0.3010624186,13.6,13.6,1,39,0,0,38642.90232,38642.90232,0,31916,15,3.187721252
18,0,38151,34467,-491.902317,-4175.902317,-0.02890076525,-0.2453470301,-3684,-0.2164462648,8.75,8.75,1,44,0,0,38642.90232,38642.90232,0,31916,16,3.325407028
19,0,38018,35991,-624.902317,-2651.902317,-0.03671492193,-0.15580737,-2027,-0.1190924481,3.5,3.5,1,24,0,0,38642.90232,38642.90232,0,31916,17,3.443446875
20,0,38018,42937,-624.902317,4294.097683,-0.03671492193,0.2522913693,4919,0.2890062912,3.5,9.5,6,74,0,0,38642.90232,38642.90232,0,31916,18,3.485176086
21,0,38018,763465,-624.902317,724822.0977,-0.03671492193,42.58551458,725447,42.6222295,3.5,1384.5,90,9684,0,0,38642.90232,38642.90232,0,31916,19,3.57613492
22,0,38642.90232,25618,0,-13024.90232,0,-0.7652528383,-13024.90232,-0.7652528383,48.28069118,48.28069118,1,150,0,0,38642.90232,38642.90232,0,31916,20,3.92427969
23,0,38007.66667,34626,-635.2356503,-4016.902317,-0.03732203686,-0.2360052939,-3381.666667,-0.198683257,13.5,13.5,1,40,0,0,38642.90232,38642.90232,0,31916,21,4.221189737
24,0,38022.9,36896,-620.002317,-1746.902317,-0.03642703195,-0.1026358528,-1126.9,-0.0662088208,5.1,5.1,1,13,0,0,38642.90232,38642.90232,0,31916,22,4.438282013
25,0,37841,37513,-801.902317,-1129.902317,-0.04711421316,-0.06638521611,-328,-0.01927100295,2,2,1,4,0,0,38642.90232,38642.90232,0,31916,23,4.486644506
26,0,37841,37991,-801.902317,-651.902317,-0.04711421316,-0.03830125449,150,0.008812958666,2,10,3,57,0,0,38642.90232,38642.90232,0,31916,24,4.505937338
27,0,37900,37900,-742.902317,-742.902317,-0.04364778275,-0.04364778275,0,0,0,0,0,0,1,0,38642.90232,38642.90232,0,31916,25,4.654940605
28,0,37900,40303,-742.902317,1660.097683,-0.04364778275,0.09753581508,2403,0.1411835978,0,10,1,73,0,0,38642.90232,38642.90232,0,31916,26,4.699011564
29,0,37900,778197,-742.902317,739554.0977,-0.04364778275,43.45106463,740297,43.49471241,0,1385,85,9959,0,0,38642.90232,38642.90232,0,31916,27,4.742807627
30,0,38642.90232,23354,-7.275957614e-12,-15288.90232,-4.274847581e-16,-0.8982697611,-15288.90232,-0.8982697611,40.63972733,40.63972733,1,169,0,0,38642.90232,38642.90232,0,31916,28,5.049095631
31,0,38642.90232,28931,7.275957614e-12,-9711.902317,4.274847581e-16,-0.5706039579,-9711.902317,-0.5706039579,19.55695175,19.55695175,1,113,0,0,38642.90232,38642.90232,0,31916,29,5.442464113
