it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,25877.60927,13098,-8368.195366,-21147.80463,-0.5,-1.263582153,-12779.60927,-0.7635821529,45.88049695,45.88049695,1,201,0,0,34245.80463,0,1,0,0,0.0004093647003
1,0,30521.63636,24202,-3724.16827,-10043.80463,-0.2225191996,-0.6001177192,-6319.636364,-0.3775985196,19.71212121,19.71212121,1,75,0,0,34245.80463,0,1,0,1,0.3353290558
2,0,32363,32363,-1882.804634,-1882.804634,-0.1124976504,-0.1124976504,0,0,0,0,0,0,1,1,34245.80463,0,1,32363,0,0.5079596043
3,0,32363,40043,-1882.804634,5797.195366,-0.1124976504,0.3463826496,7680,0.4588803,0,18,6,114,0,0,34245.80463,0,1,32363,1,0.595033884
4,0,32363,820809,-1882.804634,786563.1954,-0.1124976504,46.99718165,788446,47.1096793,0,1470,83,10464,0,0,34245.80463,0,1,32363,2,0.6688661575
5,0,41167.41134,34647,6921.606711,401.1953661,0.4135662713,0.02397143879,-6520.411345,-0.3895948325,38.83675035,38.83675035,1,80,0,0,34245.80463,0,1,32363,3,0.9370088577
6,0,41772,38886,7526.195366,4640.195366,0.4496904671,0.2772518544,-2886,-0.1724386127,9.5,9.5,1,18,0,0,34245.80463,0,1,32363,4,1.244809389
7,0,42038,42038,7792.195366,7792.195366,0.4655839775,0.4655839775,0,0,0,0,0,0,1,0,34245.80463,0,1,32363,5,1.354892731
8,0,42038,46537,7792.195366,12291.19537,0.4655839775,0.7343994032,4499,0.2688154257,-2.220446049e-16,23,6,139,0,0,34245.80463,0,1,32363,6,1.385508299
9,0,42038,835823,7792.195366,801577.1954,0.4655839775,47.89426873,793785,47.42868476,0,1497,76,10597,0,0,34245.80463,0,1,32363,7,1.511713982
10,0,46142.12108,37560,11896.31644,3314.195366,0.7108053723,0.1980233026,-8582.121079,-0.5127820697,39.35781237,39.35781237,1,109,0,0,34245.80463,0,1,32363,8,1.814967871
11,0,48856.45714,44476,14610.65251,10230.19537,0.8729870581,0.6112545727,-4380.457143,-0.2617324854,15.68571429,15.68571429,1,51,0,0,34245.80463,0,1,32363,9,2.098631859
12,0,48135,48135,13889.19537,13889.19537,0.8298799657,0.8298799657,0,0,-6.439293543e-15,6.439293543e-15,0,0,1,0,34245.80463,0,1,32363,10,2.216492653
13,0,48135,57250,13889.19537,23004.19537,0.8298799657,1.374501572,9115,0.544621606,0,21,7,130,0,0,34245.80463,0,1,32363,11,2.265203714
14,0,48135,759389,13889.19537,725143.1954,0.8298799657,43.32733425,711254,42.49745428,0,1382,87,9610,0,0,34245.80463,0,1,32363,12,2.296469212
15,0,45712.36238,36620,11466.55775,2374.195366,0.6851272733,0.1418582659,-9092.362382,-0.5432690075,40.39614344,40.39614344,1,104,0,0,34245.80463,0,1,32363,13,2.586416006
16,0,47515,45059,13269.19537,10813.19537,0.7928349414,0.6460888455,-2456,-0.1467460959,11.08333333,11.08333333,1,31,0,0,34245.80463,0,1,32363,14,2.881532192
17,0,47790.41667,45563,13544.61203,11317.19537,0.809291098,0.6762028652,-2227.416667,-0.1330882328,7.833333333,7.833333333,1,19,0,0,34245.80463,0,1,32363,15,3.052605867
18,0,47869.8,44514,13623.99537,10268.19537,0.8140342553,0.6135250742,-3355.8,-0.2005091811,6.7,6.7,1,35,0,0,34245.80463,0,1,32363,16,3.165820837
19,0,47869.8,46411,13623.99537,12165.19537,0.8140342553,0.7268708983,-1458.8,-0.08716335698,6.7,6.7,1,17,0,0,34245.80463,0,1,32363,17,3.251255989
20,0,47822.75,45805,13576.94537,11559.19537,0.811223016,0.6906623746,-2017.75,-0.1205606413,5,5,1,23,0,0,34245.80463,0,1,32363,18,3.343691826
21,0,47822.75,56400,13576.94537,22154.19537,0.811223016,1.323714039,8577.25,0.5124910225,5,24,6,118,0,0,34245.80463,0,1,32363,19,3.408694267
22,0,48596,48596,14350.19537,14350.19537,0.8574247337,0.8574247337,0,0,0,0,0,0,1,0,34245.80463,0,1,32363,20,3.53914237
23,0,48596,55579,14350.19537,21333.19537,0.8574247337,1.274659256,6983,0.4172345228,0,17,6,108,0,0,34245.80463,0,1,32363,21,3.592688322
24,0,48596,770757,14350.19537,736511.1954,0.8574247337,44.00657269,722161,43.14914796,1.110223025e-16,1385,76,9837,0,0,34245.80463,0,1,32363,22,3.619732618
25,0,47867.1168,38336,13621.31216,4090.195366,0.8138739338,0.2443893329,-9531.116796,-0.5694846009,42.99848414,42.99848414,1,114,0,0,34245.80463,0,1,32363,23,3.913456678
26,0,47109.26852,41501,12863.46388,7255.195366,0.7685924696,0.4334982065,-5608.268519,-0.3350942631,13.03703704,13.03703704,1,52,0,0,34245.80463,0,1,32363,24,4.204180241
27,0,46705,46705,12459.19537,12459.19537,0.7444374098,0.7444374098,0,0,1.310063169e-14,1.147970607e-13,0,0,1,0,34245.80463,0,1,32363,25,4.285031796
28,0,46705,51265,12459.19537,17019.19537,0.7444374098,1.016897588,4560,0.2724601781,0,11,4,67,0,0,34245.80463,0,1,32363,26,4.343763351
29,0,46705,46705,12459.19537,12459.19537,0.7444374098,0.7444374098,0,0,0,0,0,0,1,0,34245.80463,0,1,32363,27,4.372793436
30,0,46705,50385,12459.19537,16139.19537,0.7444374098,0.9643175535,3680,0.2198801437,9.992007222e-16,14,4,90,0,0,34245.80463,0,1,32363,28,4.408221722
31,0,46705,793604,12459.19537,759358.1954,0.7444374098,45.37168184,746899,44.62724443,0,1409,87,10043,0,0,34245.80463,0,1,32363,29,4.451962471
32,0,49809.22073,40547,15563.4161,6301.195366,0.9299147197,0.3764966693,-9262.220731,-0.5534180505,43.51971236,43.51971236,1,106,0,0,34245.80463,0,1,32363,30,4.736625195
33,0,48985,48121,14739.19537,13875.19537,0.8806674989,0.8290434651,-864,-0.05162403375,1.5,1.5,1,8,0,0,34245.80463,0,1,32363,31,5.022464275
34,0,48985,54288,14739.19537,20042.19537,0.8806674989,1.197521956,5303,0.3168544571,1.5,11.5,4,70,0,0,34245.80463,0,1,32363,32,5.089119434
35,0,48985,48532,14739.19537,14286.19537,0.8806674989,0.8536007312,-453,-0.0270667677,1.5,1.5,1,2,0,0,34245.80463,0,1,32363,33,5.14282608
36,0,49393,49393,15147.19537,15147.19537,0.9050455148,0.9050455148,0,0,0,0,0,0,1,0,34245.80463,0,1,32363,34,5.205963612
37,0,49393,59598,15147.19537,25352.19537,0.9050455148,1.514794663,10205,0.6097491486,0,27,11,162,0,0,34245.80463,0,1,32363,35,5.223506212
38,0,49393,813967,15147.19537,779721.1954,0.9050455148,46.58837188,764574,45.68332637,0,1460,91,10487,0,0,34245.80463,0,1,32363,36,5.280820608
39,0,47027.41918,37518,12781.61455,3272.195366,0.7637019687,0.1955138009,-9509.419185,-0.5681881677,46.95206791,46.95206791,1,103,0,0,34245.80463,0,1,32363,37,5.541759968
40,0,46625,46625,12379.19537,12379.19537,0.7396574067,0.7396574067,0,0,0,0,0,0,1,0,34245.80463,0,1,32363,38,5.842416525
41,0,46625,56500,12379.19537,22254.19537,0.7396574067,1.329689042,9875,0.5900316357,0,22,7,138,0,0,34245.80463,0,1,32363,39,5.936595678
42,0,46625,849734,12379.19537,815488.1954,0.7396574067,48.72545153,803109,47.98579412,0,1519,83,10801,0,0,34245.80463,0,1,32363,40,6.010459661
43,0,47070.70082,37104,12824.89618,2858.195366,0.7662880478,0.1707772848,-9966.700815,-0.595510763,41.22219235,41.22219235,1,110,0,0,34245.80463,0,1,32363,41,6.279848337
44,0,47158.42857,43499,12912.62394,9253.195366,0.7715297847,0.5528787846,-3659.428571,-0.2186510001,13.77777778,13.77777778,1,42,0,0,34245.80463,0,1,32363,42,6.513699055
45,0,47078.88172,44787,12833.07709,10541.19537,0.7667768572,0.6298368349,-2291.88172,-0.1369400223,10.17204301,10.17204301,1,23,0,0,34245.80463,0,1,32363,43,6.675929546
46,0,46581.4,49207,12335.59537,14961.19537,0.737052305,0.8939320075,2625.6,0.1568797026,8.266666667,15.53333333,2,47,0,0,34245.80463,0,1,32363,44,6.764903069
47,0,46508.64706,44288,12262.84242,10042.19537,0.7327053139,0.6000215654,-2220.647059,-0.1326837485,8.058823529,8.058823529,1,24,0,0,34245.80463,0,1,32363,45,6.953531027
48,0,46547.92308,45307,12302.11844,11061.19537,0.7350520575,0.6609068552,-1240.923077,-0.07414520232,6.461538462,6.461538462,1,11,0,0,34245.80463,0,1,32363,46,7.080432892
49,0,46470.08571,46174,12224.28108,11928.19537,0.7304012721,0.7127101391,-296.0857143,-0.01769113299,6.2,10.31428571,1,14,0,0,34245.80463,0,1,32363,47,7.147493124
50,0,46965.5,45043,12719.69537,10797.19537,0.760002295,0.6451328449,-1922.5,-0.1148694501,7.071428571,7.071428571,1,22,0,0,34245.80463,0,1,32363,48,7.328645229
51,0,46565.42857,45080,12319.62394,10834.19537,0.7360980115,0.6473435963,-1485.428571,-0.08875441517,6.142857143,6.142857143,1,20,0,0,34245.80463,0,1,32363,49,7.40305233
52,0,46748.25,51388,12502.44537,17142.19537,0.747021599,1.024246843,4639.75,0.2772252437,5.75,18.25,3,68,0,0,34245.80463,0,1,32363,50,7.440145969
53,0,47677.7,46578,13431.89537,12332.19537,0.8025562728,0.7368491548,-1099.7,-0.06570711796,5.3,5.3,1,12,0,0,34245.80463,0,1,32363,51,7.623144388
54,0,47584.25,45737,13338.44537,11491.19537,0.7969726316,0.686599372,-1847.25,-0.1103732597,4,4,1,17,0,0,34245.80463,0,1,32363,52,7.730783701
55,0,47524,47035,13278.19537,12789.19537,0.7933726918,0.7641549227,-489,-0.0292177691,2.75,2.75,1,2,0,0,34245.80463,0,1,32363,53,7.786684275
56,0,47085.5,46070,12839.69537,11824.19537,0.7671722997,0.706496135,-1015.5,-0.06067616467,2,2,1,11,0,0,34245.80463,0,1,32363,54,7.832663536
57,0,47085.5,57862,12839.69537,23616.19537,0.7671722997,1.411068596,10776.5,0.6438962959,2,25,8,149,0,0,34245.80463,0,1,32363,55,7.927008629
58,0,47085.5,784870,12839.69537,750624.1954,0.7671722997,44.84982499,737784.5,44.08265269,2,1399,89,9968,0,0,34245.80463,0,1,32363,56,7.998081446
59,0,45905.45703,36309,11659.65239,2063.195366,0.696664686,0.1232760037,-9596.457028,-0.5733886823,38.60656384,38.60656384,1,82,0,0,34245.80463,0,1,32363,57,8.283696175
60,0,44584.45736,41776,10338.65273,7530.195366,0.6177349045,0.4499294673,-2808.457364,-0.1678054372,11.0620155,11.0620155,1,29,0,0,34245.80463,0,1,32363,58,8.534325361
61,0,44168,44168,9922.195366,9922.195366,0.5928515607,0.5928515607,0,0,0,0,0,0,1,0,34245.80463,0,1,32363,59,8.617888451
62,0,44168,54806,9922.195366,20560.19537,0.5928515607,1.228472476,10638,0.6356209155,0,24,9,148,0,0,34245.80463,0,1,32363,60,8.651823997
63,0,44168,826127,9922.195366,791881.1954,0.5928515607,47.31493236,781959,46.72208079,0,1465,84,10327,0,0,34245.80463,0,1,32363,61,8.700896978
64,0,47697.81337,34885,13452.00873,639.1953661,0.8037580472,0.03819194809,-12812.81337,-0.7655660991,43.70809489,43.70809489,1,132,0,0,34245.80463,0,1,32363,62,8.965120554
65,0,46660.33333,42672,12414.5287,8426.195366,0.7417685747,0.5034655023,-3988.333333,-0.2383030725,13,13,1,49,0,0,34245.80463,0,1,32363,63,9.250056505
66,0,46172.75,44440,11926.94537,10194.19537,0.7126354515,0.6091035713,-1732.75,-0.1035318802,7.416666667,7.416666667,1,20,0,0,34245.80463,0,1,32363,64,9.401787043
67,0,46489,46489,12243.19537,12243.19537,0.7315314014,0.7315314014,0,0,0,0,0,0,1,0,34245.80463,0,1,32363,65,9.465648174
68,0,46489,52620,12243.19537,18374.19537,0.7315314014,1.097858891,6131,0.3663274895,0,15,6,93,0,0,34245.80463,0,1,32363,66,9.504473448
69,0,46489,801712,12243.19537,767466.1954,0.7315314014,45.85613515,755223,45.12460375,0,1443,87,10212,0,0,34245.80463,0,1,32363,67,9.539254427
70,0,44624.00549,35360,10378.20086,1114.195366,0.6200979065,0.06657321665,-9264.00549,-0.5535246899,41.00193901,41.00193901,1,107,0,0,34245.80463,0,1,32363,68,9.816956758
71,0,43957.61111,41354,9711.806477,7108.195366,0.5802808164,0.4247149508,-2603.611111,-0.1555658656,10.88888889,10.88888889,1,42,0,0,34245.80463,0,1,32363,69,10.08502173
72,0,44167,41597,9921.195366,7351.195366,0.5927918107,0.4392342103,-2570,-0.1535576004,5.5,5.5,1,39,0,0,34245.80463,0,1,32363,70,10.18863463
73,0,44167,49372,9921.195366,15126.19537,0.5927918107,0.903790764,5205,0.3109989533,5.5,12.5,3,79,0,0,34245.80463,0,1,32363,71,10.243469
74,0,44167,787657,9921.195366,753411.1954,0.5927918107,45.01634835,743490,44.42355654,5.5,1387.5,81,9969,0,0,34245.80463,0,1,32363,72,10.33254194
75,0,45968.09328,37530,11722.28864,3284.195366,0.7004072042,0.1962308014,-8438.093276,-0.5041764028,45.3618115,45.3618115,1,102,0,0,34245.80463,0,1,32363,73,10.60898089
76,0,47047,46391,12801.19537,12145.19537,0.7648719232,0.7256758975,-656,-0.03919602562,12.37142857,12.37142857,1,22,0,0,34245.80463,0,1,32363,74,10.92458582
77,0,47394.5,46265,13148.69537,12019.19537,0.7856350617,0.7181473926,-1129.5,-0.06748766912,1.5,1.5,1,10,0,0,34245.80463,0,1,32363,75,11.01143241
78,0,47116,47116,12870.19537,12870.19537,0.7689946759,0.7689946759,0,0,0,0,0,0,1,0,34245.80463,0,1,32363,76,11.04843235
79,0,47116,59886,12870.19537,25640.19537,0.7689946759,1.532002675,12770,0.7630079988,0,30,11,183,0,0,34245.80463,0,1,32363,77,11.06714582
80,0,47116,794358,12870.19537,760112.1954,0.7689946759,45.41673336,747242,44.64773869,0,1396,85,9977,0,0,34245.80463,0,1,32363,78,11.11436152
81,0,47304.13221,36652,13058.32757,2406.195366,0.7802355826,0.1437702671,-10652.13221,-0.6364653155,43.04336492,43.04336492,1,131,0,0,34245.80463,0,1,32363,79,11.41122675
82,0,47489.33333,47293,13243.5287,13047.19537,0.7913013571,0.7795704328,-196.3333333,-0.01173092434,2.833333333,2.833333333,1,2,0,0,34245.80463,0,1,32363,80,11.6782136
