it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-2451537.325,-2446894,-56377.66251,-51734.33749,-0.5,-0.4588194613,4643.325024,0.04118053868,0.4178579285,0.4178579285,0.00047,0.00047,0,0,-2395159.663,0,1,0,0,0.0004184246063
1,0,-2446863.912,-2455770,-51704.2493,-60610.33749,-0.4585526164,-0.5375385817,-8906.088187,-0.07898596528,0.0409363092,17.95906369,1,7.16403875,0,0,-2395159.663,0,1,0,1,0.01612496376
2,0,-2348672.002,-2341801,46487.66081,53358.66251,0.4122879412,0.4732252113,6871.001701,0.06093727015,0.7973302349,0.7973302349,0.01038125,0.01038125,0,0,-2395159.663,0,1,0,2,0.03028869629
3,0,-2341468.534,-2345008,53691.12882,50151.66251,0.4761737754,0.4447830956,-3539.466306,-0.03139067982,0.4161030112,22.58389699,1,3.18124375,0,0,-2395159.663,0,1,0,3,0.04407024384
4,0,-2338057.49,-2338768,57102.17229,56391.66251,0.5064255039,0.5001241627,-710.5097795,-0.006301341239,0.03990955342,0.03990955342,0.00044125,0.00044125,0,0,-2395159.663,0,1,0,4,0.05810713768
5,0,-2338057.49,-2331030,57102.17229,64129.66251,0.5064255039,0.5687506333,7027.49022,0.06232512938,0.03990955342,22.96009045,1,4.1832325,0,0,-2395159.663,0,1,0,5,0.07128739357
6,0,-2325271.318,-2324901,69888.34469,70258.66251,0.6198230077,0.6231072679,370.3178197,0.003284260141,0.4281527366,0.4281527366,0,0,1,1,-2395159.663,0,1,-2324901,0,0.08534407616
7,0,-2324901,-2324550,70258.66251,70609.66251,0.6231072679,0.6262202029,351,0.00311293502,0,16,1,2.10081125,0,0,-2395159.663,0,1,-2324901,1,0.09903502464
8,0,-2322390.181,-2322195,72769.48134,72964.66251,0.6453751193,0.6471061344,195.1811732,0.001731015126,0.4057440689,0.4057440689,0,0,1,0,-2395159.663,0,1,-2324901,2,0.1122920513
9,0,-2322195,-2326788,72964.66251,68371.66251,0.6471061344,0.6063719163,-4593,-0.04073421809,0,18,1,3.101225,0,0,-2395159.663,0,1,-2324901,3,0.1259696484
10,0,-2324549.867,-2324213,70609.79564,70946.66251,0.6262213836,0.6292089752,336.8668698,0.00298759167,0.3998863028,0.3998863028,0,0,1,0,-2395159.663,0,1,-2324901,4,0.1390771866
11,0,-2324213,-2326152,70946.66251,69007.66251,0.6292089752,0.6120124482,-1939,-0.01719652708,0,21,1,2.12599,0,0,-2395159.663,0,1,-2324901,5,0.1526730061
12,0,-2322099.875,-2321653,73059.78756,73506.66251,0.6479497757,0.6519130027,446.8749482,0.003963226997,0.6085962346,0.6085962346,0,0,1,0,-2395159.663,0,1,-2324901,6,0.1664025784
13,0,-2321653,-2329727,73506.66251,65432.66251,0.6519130027,0.5803066285,-8074,-0.07160637423,0,10,1,4.1607675,0,0,-2395159.663,0,1,-2324901,7,0.1802098751
14,0,-2325277.094,-2325864,69882.56812,69295.66251,0.6197717767,0.6145666513,-586.9056054,-0.005205125392,0.5657940191,0.5657940191,0.00631625,0.01244,0,0,-2395159.663,0,1,-2324901,8,0.1934857368
15,0,-2325277.094,-2324209,69882.56812,70950.66251,0.6197717767,0.6292444503,1068.094395,0.009472673636,0.5657940191,10.43420598,1,1.097145,0,0,-2395159.663,0,1,-2324901,9,0.2066862583
16,0,-2322245.076,-2322025,72914.58653,73134.66251,0.6466620225,0.6486138238,220.0759843,0.001951801249,0.4346263724,0.4346263724,0,0,1,0,-2395159.663,0,1,-2324901,10,0.2207920551
17,0,-2322025,-2329178,73134.66251,65981.66251,0.6486138238,0.5851755782,-7153,-0.06343824559,0,23,1,4.17679875,0,0,-2395159.663,0,1,-2324901,11,0.2344806194
18,0,-2324723.439,-2325323,70436.22339,69836.66251,0.6246820128,0.6193646508,-599.5608817,-0.00531736201,0.5257129527,0.5257129527,0.00719875,0.01221125,0,0,-2395159.663,0,1,-2324901,12,0.2479557991
19,0,-2324723.439,-2326312,70436.22339,68847.66251,0.6246820128,0.6105934465,-1588.560882,-0.01408856638,0.5257129527,23.47428705,1,1.1875075,0,0,-2395159.663,0,1,-2324901,13,0.2611587048
20,0,-2322276.225,-2322066,72883.43717,73093.66251,0.6463857663,0.6482502046,210.2253467,0.001864438302,0.3711328923,0.3711328923,0,0,1,0,-2395159.663,0,1,-2324901,14,0.2750246525
21,0,-2322066,-2330412,73093.66251,64747.66251,0.6482502046,0.5742315274,-8346,-0.07401867715,0,25,1,3.25879625,0,0,-2395159.663,0,1,-2324901,15,0.2887372971
22,0,-2324723.439,-3917950,70436.22339,-1522790.337,0.6246820128,-13.50526316,-1593226.561,-14.12994518,0.5257129527,1206.75643,6.17700125,383.6195462,0,0,-2395159.663,0,1,-2324901,16,0.3024449348
23,0,-1318331.016,-1315217,1076828.647,1079942.663,9.550135626,9.577753089,3114.015989,0.02761746275,0.5813245034,0.5813245034,0.0008225,0.0008225,0,0,-2395159.663,0,1,-2324901,17,0.3246028423
24,0,-1315206.255,-1323691,1079953.408,1071468.663,9.577848386,9.50259921,-8484.745321,-0.07524917621,0.120733945,19.87926606,1,5.20821,0,0,-2395159.663,0,1,-2324901,18,0.3577485085
25,0,-1315923.598,-1315463,1079236.065,1079696.663,9.571486444,9.575571374,460.597573,0.004084929673,1.225403227,1.225403227,0,0,1,0,-2395159.663,0,1,-2324901,19,0.3718221188
26,0,-1315463,-1322405,1079696.663,1072754.663,9.575571374,9.514004436,-6942,-0.06156693707,0,17,1,4.1856475,0,0,-2395159.663,0,1,-2324901,20,0.3861935139
27,0,-1315133.462,-1315418,1080026.201,1079741.663,9.578493971,9.575970468,-284.5384072,-0.002523503055,0.2023232626,0.2023232626,0.00075,0.00075,0,0,-2395159.663,0,1,-2324901,21,0.3995704651
28,0,-1315133.462,-1318814,1080026.201,1076345.663,9.578493971,9.545852156,-3680.538407,-0.03264181453,0.2023232626,21.79767674,1,2.14233,0,0,-2395159.663,0,1,-2324901,22,0.4127013683
29,0,-1315217.026,-1314717,1079942.636,1080442.663,9.577752854,9.582187469,500.0264354,0.00443461482,0.7443219338,0.7443219338,0.007715,0.007715,0,0,-2395159.663,0,1,-2324901,23,0.4268140793
30,0,-1315217.026,-1321693,1079942.636,1073466.663,9.577752854,9.520318994,-6475.973565,-0.05743386011,0.7443219338,20.25567807,1,4.17611625,0,0,-2395159.663,0,1,-2324901,24,0.4395859241
31,0,-1315155.535,-1314097,1080004.127,1081062.663,9.578298204,9.587686101,1058.535364,0.00938789688,1.32169278,1.32169278,0.00858,0.00858,0,0,-2395159.663,0,1,-2324901,25,0.4537041187
32,0,-1314687.65,-1320392,1080472.012,1074767.663,9.582447764,9.531857252,-5704.349646,-0.0505905122,0.803605924,11.19639408,1,2.14626,0,0,-2395159.663,0,1,-2324901,26,0.4677050114
33,0,-1314955.823,-1314825,1080203.84,1080334.663,9.580069405,9.581229643,130.822989,0.001160237789,1.256507168,1.256507168,0.00950625,0.00950625,0,0,-2395159.663,0,1,-2324901,27,0.481523037
34,0,-1314955.823,-1321023,1080203.84,1074136.663,9.580069405,9.526261064,-6067.177011,-0.05380834129,1.256507168,15.74349283,1,4.17411125,0,0,-2395159.663,0,1,-2324901,28,0.4947075844
35,0,-1314653.889,-1314430,1080505.773,1080729.663,9.582747185,9.584732803,223.8890861,0.001985618738,1.426181369,1.426181369,0.0131725,0.0131725,0,0,-2395159.663,0,1,-2324901,29,0.5087866783
36,0,-1314653.889,-1317508,1080505.773,1077651.663,9.582747185,9.557434758,-2854.110914,-0.02531242683,1.426181369,9.573818631,1,1.1277575,0,0,-2395159.663,0,1,-2324901,30,0.52232337
37,0,-1313906.278,-1312944,1081253.385,1082215.663,9.589377569,9.597911782,962.2779972,0.008534213324,1.243324786,1.243324786,0.00667375,0.00667375,0,0,-2395159.663,0,1,-2324901,31,0.5360069275
38,0,-1313403.423,-1325061,1081756.239,1070098.663,9.593837266,9.490449008,-11657.5766,-0.1033882577,0.6250658549,24.37493415,1,4.23391625,0,0,-2395159.663,0,1,-2324901,32,0.5499844551
39,0,-1315921.502,-1314645,1079238.161,1080514.663,9.571505029,9.58282602,1276.501992,0.01132099076,1.42538096,1.42538096,0.00956625,0.00956625,0,0,-2395159.663,0,1,-2324901,33,0.5637302399
40,0,-1315303.544,-1319688,1079856.118,1075471.663,9.576985549,9.538100859,-4384.455833,-0.03888468977,0.8959784581,9.104021542,1,2.137715,0,0,-2395159.663,0,1,-2324901,34,0.5777435303
41,0,-1315468.767,-1316594,1079690.895,1078565.663,9.575520225,9.565540805,-1125.232778,-0.009979420288,1.374320919,1.374320919,0.01249,0.01249,0,0,-2395159.663,0,1,-2324901,35,0.5914936066
42,0,-1315468.767,-1319242,1079690.895,1075917.663,9.575520225,9.542056327,-3773.232778,-0.03346389873,1.374320919,19.62567908,1,3.13842875,0,0,-2395159.663,0,1,-2324901,36,0.6041882038
43,0,-1315647.918,-1315430,1079511.745,1079729.663,9.573931384,9.575864043,217.9176007,0.001932659062,1.079502441,1.079502441,0.0086875,0.0086875,0,0,-2395159.663,0,1,-2324901,37,0.618052721
44,0,-1315647.918,-1320479,1079511.745,1074680.663,9.573931384,9.53108567,-4831.082399,-0.04284571392,1.079502441,9.920497559,1,3.13998875,0,0,-2395159.663,0,1,-2324901,38,0.6311557293
45,0,-1315778.786,-1315524,1079380.876,1079635.663,9.57277074,9.575030379,254.7863901,0.002259639534,1.360379806,1.360379806,0.0126675,0.0126675,0,0,-2395159.663,0,1,-2324901,39,0.6452209949
46,0,-1315778.786,-1317998,1079380.876,1077161.663,9.57277074,9.553089065,-2219.21361,-0.01968167454,1.360379806,9.639620194,1,1.1302525,0,0,-2395159.663,0,1,-2324901,40,0.6586396694
47,0,-1314313.895,-1314904,1080845.768,1080255.663,9.585762513,9.580529011,-590.1052618,-0.00523350238,1.145702394,1.145702394,0.01028,0.01028,0,0,-2395159.663,0,1,-2324901,41,0.6723747253
48,0,-1314245.901,-1323101,1080913.762,1072058.663,9.586365534,9.507831779,-8855.099075,-0.07853375504,0.8953728906,24.10462711,1,3.2298125,0,0,-2395159.663,0,1,-2324901,42,0.6860907078
49,0,-1316157.865,-1316043,1079001.798,1079116.663,9.569408782,9.570427492,114.8650101,0.001018710293,1.339984932,1.339984932,0.01001625,0.01001625,0,0,-2395159.663,0,1,-2324901,43,0.6998159885
50,0,-1316157.865,-1319706,1079001.798,1075453.663,9.569408782,9.537941222,-3548.13499,-0.0314675603,1.339984932,9.660015068,1,2.13943625,0,0,-2395159.663,0,1,-2324901,44,0.7125179768
51,0,-1315305.758,-1315609,1079853.904,1079550.663,9.576965912,9.574276534,-303.2416123,-0.002689377307,1.364532228,1.364532228,0.009505,0.009505,0,0,-2395159.663,0,1,-2324901,45,0.7265591621
52,0,-1315000.514,-1414667,1080159.148,980492.6625,9.579673047,8.695754833,-99666.48557,-0.8839182145,0.8278715297,26.17212847,1,5.40038375,0,0,-2395159.663,0,1,-2324901,46,0.7403292656
53,0,-1315222.326,-1314947,1079937.337,1080212.663,9.577705854,9.580147654,275.3259033,0.002441799563,1.017554827,1.017554827,0.00853375,0.00853375,0,0,-2395159.663,0,1,-2324901,47,0.7539741993
54,0,-1315222.326,-1321815,1079937.337,1073344.663,9.577705854,9.519237005,-6592.674097,-0.05846884921,1.017554827,12.98244517,1,4.175135,0,0,-2395159.663,0,1,-2324901,48,0.7670898438
55,0,-1315353.193,-1314219,1079806.469,1080940.663,9.576545223,9.586604112,1134.193255,0.01005888861,1.388514081,1.388514081,0.0076075,0.0076075,0,0,-2395159.663,0,1,-2324901,49,0.7811090946
56,0,-1314742.703,-1323786,1080416.959,1071373.663,9.581959514,9.501756678,-9043.296903,-0.08020283655,0.7125212199,24.28747878,1,3.232565,0,0,-2395159.663,0,1,-2324901,50,0.7951052189
57,0,-1315204.308,-1314047,1079955.354,1081112.663,9.577865651,9.588129539,1157.308038,0.01026388809,1.340653755,1.340653755,0.0100675,0.0100675,0,0,-2395159.663,0,1,-2324901,51,0.8087830544
58,0,-1314740.05,-1323958,1080419.612,1071201.663,9.581983041,9.500231251,-9217.949599,-0.08175178952,0.9429257156,24.05707428,1,3.23055125,0,0,-2395159.663,0,1,-2324901,52,0.8227539062
59,0,-1315647.918,-3630422,1079511.745,-1235262.337,9.573931384,-10.95524612,-2314774.082,-20.52917751,1.079502441,1246.295743,6.80106375,432.4119975,0,0,-2395159.663,0,1,-2324901,53,0.8368754387
60,0,-1089519.873,-1089033,1305639.79,1306126.663,11.57940691,11.58372487,486.8727183,0.004317957651,0.9116437088,0.9116437088,0.004825,0.004825,0,0,-2395159.663,0,1,-2324901,54,0.8558132648
61,0,-1089362.17,-1173472,1305797.492,1221687.663,11.58080554,10.83485558,-84109.82997,-0.745949958,0.9093723888,27.09062761,1,3.2594975,0,0,-2395159.663,0,1,-2324901,55,0.8764941692
62,0,-1074180.969,-1074137,1320978.693,1321022.663,11.71544398,11.71583393,43.96917184,0.0003899520651,1.028489395,1.028489395,0.00522625,0.00522625,0,0,-2395159.663,0,1,-2324901,56,0.8905501366
63,0,-1074068.723,-1085647,1321090.939,1309512.663,11.71643946,11.61375449,-11578.27688,-0.1026849675,0.7671559633,24.23284404,1,5.39773375,0,0,-2395159.663,0,1,-2324901,57,0.9045639038
64,0,-1075207.779,-1075425,1319951.883,1319734.663,11.70633744,11.70441096,-217.2207743,-0.001926479076,1.006074436,1.006074436,0.00602375,0.00602375,0,0,-2395159.663,0,1,-2324901,58,0.9182543755
65,0,-1075207.779,-1176767,1319951.883,1218392.663,11.70633744,10.80563301,-101559.2208,-0.9007044302,1.006074436,26.99392556,1,5.4435425,0,0,-2395159.663,0,1,-2324901,59,0.9310433865
66,0,-1075068.021,-1074420,1320091.642,1320739.663,11.70757693,11.71332407,648.02089,0.005747142229,1.040036479,1.040036479,0.008795,0.008795,0,0,-2395159.663,0,1,-2324901,60,0.945069313
67,0,-1075025.451,-1081086,1320134.211,1314073.663,11.70795447,11.65420491,-6060.548967,-0.05374955875,0.8237429023,15.1762571,1,3.15457875,0,0,-2395159.663,0,1,-2324901,61,0.9590053558
68,0,-1074402.559,-1074189,1320757.103,1320970.663,11.71347875,11.71537275,213.5591786,0.00189400526,1.227338394,1.227338394,0.008655,0.008655,0,0,-2395159.663,0,1,-2324901,62,0.9727594852
69,0,-1074365.96,-1179087,1320793.702,1216072.663,11.71380333,10.78505749,-104721.0397,-0.9287458457,1.103423089,27.89657691,1,5.3624575,0,0,-2395159.663,0,1,-2324901,63,0.9865968227
70,0,-1075651.163,-1075534,1319508.499,1319625.663,11.70240518,11.70344427,117.1633312,0.001039093552,1.040670728,1.040670728,0.00504625,0.00504625,0,0,-2395159.663,0,1,-2324901,64,1.000464678
71,0,-1075468.075,-1084667,1319691.588,1310492.663,11.70402895,11.62244588,-9198.925321,-0.08158306775,0.740733945,23.25926606,1,5.25958875,0,0,-2395159.663,0,1,-2324901,65,1.014155626
72,0,-1074365.96,-3200346,1320793.702,-805186.3375,11.71380333,-7.14100498,-2125980.04,-18.85480831,1.103423089,1221.140402,6.67804375,424.1892838,0,0,-2395159.663,0,1,-2324901,66,1.028168201
73,0,-1022085.13,-1021568,1373074.533,1373591.663,12.17746951,12.18205581,517.1296436,0.004586299082,0.4749380882,0.4749380882,0,0,1,0,-2395159.663,0,1,-2324901,67,1.046956301
74,0,-1021568,-1029079,1373591.663,1366080.663,12.18205581,12.11544255,-7511,-0.06661326193,0,11,1,4.18681,0,0,-2395159.663,0,1,-2324901,68,1.080900192
75,0,-1022092.305,-1022092,1373067.357,1373067.663,12.17740588,12.17740858,0.3050124189,2.705082166e-06,0.5585104523,0.5585104523,0.00157625,0.00157625,0,0,-2395159.663,0,1,-2324901,69,1.094609737
76,0,-1022092.305,-1028380,1373067.357,1366779.663,12.17740588,12.12164181,-6287.694988,-0.05576406246,0.5585104523,13.44148955,1,2.15182125,0,0,-2395159.663,0,1,-2324901,70,1.107715368
77,0,-1018301.344,-1021602,1376858.318,1373557.663,12.211027,12.18175427,-3300.65591,-0.02927272755,0.6081876229,0.6081876229,0.00174,0.00174,0,0,-2395159.663,0,1,-2324901,71,1.121765852
78,0,-1018846.777,-1026082,1376312.886,1369077.663,12.20618969,12.14202223,-7235.223288,-0.06416746425,0.4957684123,19.50423159,1,5.19203625,0,0,-2395159.663,0,1,-2324901,72,1.135483503
79,0,-1017007.564,-1016911,1378152.099,1378248.663,12.22250123,12.22335763,96.56392323,0.0008564023314,0.4797477946,0.4797477946,4.25e-05,4.25e-05,0,0,-2395159.663,0,1,-2324901,73,1.149574757
80,0,-1016913.926,-1026292,1378245.737,1368867.663,12.22333168,12.14015979,-9378.074284,-0.08317189705,0.003980565474,22.99601943,1,5.21650125,0,0,-2395159.663,0,1,-2324901,74,1.164063931
81,0,-1008740.236,-1008539,1386419.426,1386620.663,12.29582218,12.2976069,201.2360257,0.001784714164,0.2021137524,0.2021137524,0.00206875,0.00206875,0,0,-2395159.663,0,1,-2324901,75,1.178214788
82,0,-1008681.414,-1016492,1386478.249,1378667.663,12.29634386,12.22707364,-7810.586489,-0.06927022283,0.1937598782,19.80624012,1,2.14991125,0,0,-2395159.663,0,1,-2324901,76,1.192265987
83,0,-1009931.155,-1009714,1385228.508,1385445.663,12.28526021,12.2871861,217.1547319,0.001925893361,0.2249263688,0.2249263688,0.00112125,0.00112125,0,0,-2395159.663,0,1,-2324901,77,1.205859661
84,0,-1009791.187,-1016047,1385368.475,1379112.663,12.28650155,12.23102024,-6255.812738,-0.05548130642,0.1050166833,16.89498332,1,3.153515,0,0,-2395159.663,0,1,-2324901,78,1.219730616
85,0,-1009179.314,-1009098,1385980.348,1386061.663,12.2919281,12.29264926,81.31408307,0.0007211551477,0.2928636157,0.2928636157,0.0024975,0.0024975,0,0,-2395159.663,0,1,-2324901,79,1.233513594
