it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-2451537.325,-2446894,-56377.66251,-51734.33749,-0.5,-0.4588194613,4643.325024,0.04118053868,0.4178579285,0.4178579285,0.00047,0.00047,0,0,-2395159.663,0,1,0,0,0.0004100799561
1,0,-2446863.912,-2455770,-51704.2493,-60610.33749,-0.4585526164,-0.5375385817,-8906.088187,-0.07898596528,0.0409363092,17.95906369,1,7.16403875,0,0,-2395159.663,0,1,0,1,0.01616501808
2,0,-2348672.002,-2341801,46487.66081,53358.66251,0.4122879412,0.4732252113,6871.001701,0.06093727015,0.7973302349,0.7973302349,0.01038125,0.01038125,0,0,-2395159.663,0,1,0,2,0.03049468994
3,0,-2341468.534,-2345008,53691.12882,50151.66251,0.4761737754,0.4447830956,-3539.466306,-0.03139067982,0.4161030112,22.58389699,1,3.18124375,0,0,-2395159.663,0,1,0,3,0.04431724548
4,0,-2338057.49,-2338768,57102.17229,56391.66251,0.5064255039,0.5001241627,-710.5097795,-0.006301341239,0.03990955342,0.03990955342,0.00044125,0.00044125,0,0,-2395159.663,0,1,0,4,0.05802536011
5,0,-2338057.49,-2331030,57102.17229,64129.66251,0.5064255039,0.5687506333,7027.49022,0.06232512938,0.03990955342,22.96009045,1,4.1832325,0,0,-2395159.663,0,1,0,5,0.07117557526
6,0,-2325271.318,-2324901,69888.34469,70258.66251,0.6198230077,0.6231072679,370.3178197,0.003284260141,0.4281527366,0.4281527366,0,0,1,1,-2395159.663,0,1,-2324901,0,0.08514928818
7,0,-2343896.449,-2414016,51263.21376,-18856.33749,0.4546411777,-0.1672323456,-70119.55125,-0.6218735233,0.2085029061,15.79149709,1,2.09525625,0,0,-2395159.663,-2343896.449,0,-2324901,1,0.09906959534
8,0,-2386634.567,-2412460,8525.095415,-17300.33749,0.07560703154,-0.1534325539,-25825.4329,-0.2290395855,0.3655649836,0.3655649836,0.00712375,0.0104475,0,0,-2395159.663,-2343896.449,0,-2324901,2,0.1129324436
9,0,-2386634.567,-2325989,8525.095415,69170.66251,0.07560703154,0.6134580562,60645.5671,0.5378510246,0.3655649836,17.63443502,1,2.07107875,0,0,-2395159.663,-2343896.449,0,-2324901,3,0.1261262894
10,0,-2343896.449,-2324213,51263.21376,70946.66251,0.4546411777,0.6292089752,19683.44875,0.1745677976,0.3078204162,0.3078204162,0,0,1,0,-2395159.663,-2343896.449,0,-2324901,4,0.1399338245
11,0,-2343896.449,-2486533,51263.21376,-91373.33749,0.4546411777,-0.8103682684,-142636.5512,-1.265009446,0.3078204162,20.69217958,1,2.23061375,0,0,-2395159.663,-2343896.449,0,-2324901,5,0.1531569958
12,0,-2355294.848,-2393361,39864.81452,1798.662512,0.353551502,0.01595190747,-38066.15201,-0.3375995945,0.7034129258,0.7034129258,0.01132875,0.02036375,0,0,-2395159.663,-2343896.449,0,-2324901,6,0.1669890881
