it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,3,3,-0.25,-0.25,-0.25,-0.25,0,0,4953.581036,4953.581036,1,1125,0,0,3.25,0,1,0,0,0.005174398422
1,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1550.25,1550.25,1,655,0,0,3.25,3.25,0,0,1,8.490129709
2,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1326.583333,1326.583333,1,585,0,0,3.25,3.25,0,0,2,8.646192551
3,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1265.208333,1265.208333,1,551,0,0,3.25,3.25,0,0,3,8.744704247
4,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1250.583333,1250.583333,1,546,0,0,3.25,3.25,0,0,4,8.838165522
5,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1242.833333,1242.833333,1,539,0,0,3.25,3.25,0,0,5,8.928935051
6,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1241.583333,1241.583333,1,524,0,0,3.25,3.25,0,0,6,9.019751787
7,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1237.083333,1237.083333,1,530,0,0,3.25,3.25,0,0,7,9.109224558
8,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1234.583333,1234.583333,1,527,0,0,3.25,3.25,0,0,8,9.198239088
9,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1234.583333,1234.583333,1,529,0,0,3.25,3.25,0,0,9,9.289177418
10,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1234.583333,1234.583333,1,514,0,0,3.25,3.25,0,0,10,9.388718128
11,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1232.333333,1232.333333,1,519,0,0,3.25,3.25,0,0,11,9.480512857
12,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1232.083333,1232.083333,1,522,0,0,3.25,3.25,0,0,12,9.569808245
13,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1230.583333,1230.583333,1,521,0,0,3.25,3.25,0,0,13,9.659614563
14,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1227.583333,1227.583333,1,518,0,0,3.25,3.25,0,0,14,9.748473167
15,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1227.583333,1227.583333,1,520,0,0,3.25,3.25,0,0,15,9.827495575
16,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1227.583333,1227.583333,1,503,0,0,3.25,3.25,0,0,16,9.917859793
17,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1224.833333,1224.833333,1,516,0,0,3.25,3.25,0,0,17,10.00814104
18,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1223.833333,1223.833333,1,502,0,0,3.25,3.25,0,0,18,10.09722877
19,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1222.833333,1222.833333,1,511,0,0,3.25,3.25,0,0,19,10.18675184
20,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1221.833333,1221.833333,1,510,0,0,3.25,3.25,0,0,20,10.27648616
21,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1221.833333,1221.833333,1,511,0,0,3.25,3.25,0,0,21,10.36569214
22,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1219.833333,1219.833333,1,512,0,0,3.25,3.25,0,0,22,10.46764612
23,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1214.333333,1214.333333,1,508,0,0,3.25,3.25,0,0,23,10.56339025
24,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1213.833333,1213.833333,1,495,0,0,3.25,3.25,0,0,24,10.66027212
25,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1213.333333,1213.333333,1,507,0,0,3.25,3.25,0,0,25,10.75737357
26,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1211.083333,1211.083333,1,506,0,0,3.25,3.25,0,0,26,10.85400629
27,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1206.333333,1206.333333,1,504,0,0,3.25,3.25,0,0,27,10.95018482
28,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1206.333333,1206.333333,1,486,0,0,3.25,3.25,0,0,28,11.03556633
29,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1205.333333,1205.333333,1,499,0,0,3.25,3.25,0,0,29,11.13618302
30,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1205.333333,1205.333333,1,491,0,0,3.25,3.25,0,0,30,11.23365974
31,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1205.333333,1205.333333,1,500,0,0,3.25,3.25,0,0,31,11.32957911
32,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1205.333333,1205.333333,1,489,0,0,3.25,3.25,0,0,32,11.41644931
33,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1201.833333,1201.833333,1,495,0,0,3.25,3.25,0,0,33,11.51357985
34,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1201.583333,1201.583333,1,474,0,0,3.25,3.25,0,0,34,11.60846472
35,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1196.583333,1196.583333,1,482,0,0,3.25,3.25,0,0,35,11.70543289
36,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1190.833333,1190.833333,1,475,0,0,3.25,3.25,0,0,36,11.80164647
37,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1190.583333,1190.583333,1,477,0,0,3.25,3.25,0,0,37,11.89848614
38,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1190.583333,1190.583333,1,460,0,0,3.25,3.25,0,0,38,11.9952538
39,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1190.333333,1190.333333,1,475,0,0,3.25,3.25,0,0,39,12.09057331
40,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1190.333333,1190.333333,1,457,0,0,3.25,3.25,0,0,40,12.185637
41,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1189.583333,1189.583333,1,474,0,0,3.25,3.25,0,0,41,12.28121328
42,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1188.583333,1188.583333,1,474,0,0,3.25,3.25,0,0,42,12.37572193
43,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1186.083333,1186.083333,1,471,0,0,3.25,3.25,0,0,43,12.46904588
44,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1185.583333,1185.583333,1,455,0,0,3.25,3.25,0,0,44,12.56454587
45,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1184.333333,1184.333333,1,465,0,0,3.25,3.25,0,0,45,12.65891814
46,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1184.333333,1184.333333,1,446,0,0,3.25,3.25,0,0,46,12.75428295
47,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1183.833333,1183.833333,1,460,0,0,3.25,3.25,0,0,47,12.84954
48,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1183.708333,1183.708333,1,445,0,0,3.25,3.25,0,0,48,12.94503951
49,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1183.708333,1183.708333,1,460,0,0,3.25,3.25,0,0,49,13.04895186
50,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1183.708333,1183.708333,1,436,0,0,3.25,3.25,0,0,50,13.15134692
51,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1183.458333,1183.458333,1,459,0,0,3.25,3.25,0,0,51,13.24606538
52,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1183.458333,1183.458333,1,444,0,0,3.25,3.25,0,0,52,13.34012961
53,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1182.791667,1182.791667,1,458,0,0,3.25,3.25,0,0,53,13.43523765
54,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1182.208333,1182.208333,1,457,0,0,3.25,3.25,0,0,54,13.52959442
55,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1182.208333,1182.208333,1,442,0,0,3.25,3.25,0,0,55,13.62509155
56,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1181.958333,1181.958333,1,456,0,0,3.25,3.25,0,0,56,13.72056198
57,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1181.958333,1181.958333,1,435,0,0,3.25,3.25,0,0,57,13.8145678
58,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1181.458333,1181.458333,1,454,0,0,3.25,3.25,0,0,58,13.91056013
59,0,3.25,3,0,-0.25,0,-0.25,-0.25,-0.25,1181.458333,1181.458333,1,433,0,0,3.25,3.25,0,0,59,14.00657916
