it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,3,3,-0.5,-0.5,-0.5,-0.5,0,0,2934.319884,2934.319884,1,1653,0,0,3.5,0,1,0,0,0.002942562103
1,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1373,1373,1,1266,0,0,3.5,3.5,0,0,1,2.84415102
2,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1250.833333,1250.833333,1,1220,0,0,3.5,3.5,0,0,2,2.955727816
3,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1241.833333,1241.833333,1,1212,0,0,3.5,3.5,0,0,3,3.043088913
4,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1241.833333,1241.833333,1,1207,0,0,3.5,3.5,0,0,4,3.12889576
5,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1228.833333,1228.833333,1,1197,0,0,3.5,3.5,0,0,5,3.214652777
6,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1227.833333,1227.833333,1,1198,0,0,3.5,3.5,0,0,6,3.299622536
7,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1227.833333,1227.833333,1,1198,0,0,3.5,3.5,0,0,7,3.376991272
8,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1226.833333,1226.833333,1,1197,0,0,3.5,3.5,0,0,8,3.462182045
9,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1226.833333,1226.833333,1,1196,0,0,3.5,3.5,0,0,9,3.531374454
10,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1214.833333,1214.833333,1,1183,0,0,3.5,3.5,0,0,10,3.616965294
11,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1213.833333,1213.833333,1,1184,0,0,3.5,3.5,0,0,11,3.701836109
12,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1213.833333,1213.833333,1,1177,0,0,3.5,3.5,0,0,12,3.770966768
13,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1209.833333,1209.833333,1,1180,0,0,3.5,3.5,0,0,13,3.856341362
14,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1209.833333,1209.833333,1,1178,0,0,3.5,3.5,0,0,14,3.942270517
15,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1205.833333,1205.833333,1,1176,0,0,3.5,3.5,0,0,15,4.027378082
16,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1205.833333,1205.833333,1,1178,0,0,3.5,3.5,0,0,16,4.113386154
17,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1201.833333,1201.833333,1,1172,0,0,3.5,3.5,0,0,17,4.198775768
18,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1198.833333,1198.833333,1,1169,0,0,3.5,3.5,0,0,18,4.283860683
19,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1197.833333,1197.833333,1,1168,0,0,3.5,3.5,0,0,19,4.360341311
20,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1197.833333,1197.833333,1,1164,0,0,3.5,3.5,0,0,20,4.437792063
21,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1195.833333,1195.833333,1,1166,0,0,3.5,3.5,0,0,21,4.522638798
22,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1195.833333,1195.833333,1,1167,0,0,3.5,3.5,0,0,22,4.608249903
23,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1195.833333,1195.833333,1,1166,0,0,3.5,3.5,0,0,23,4.693478823
24,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1195.833333,1195.833333,1,1170,0,0,3.5,3.5,0,0,24,4.771295309
25,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1189.833333,1189.833333,1,1160,0,0,3.5,3.5,0,0,25,4.857508898
26,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1189.833333,1189.833333,1,1156,0,0,3.5,3.5,0,0,26,4.943708658
27,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1188.833333,1188.833333,1,1159,0,0,3.5,3.5,0,0,27,5.029222488
28,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1188.833333,1188.833333,1,1160,0,0,3.5,3.5,0,0,28,5.106619835
29,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1187.833333,1187.833333,1,1158,0,0,3.5,3.5,0,0,29,5.191822529
30,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1187.833333,1187.833333,1,1155,0,0,3.5,3.5,0,0,30,5.277683496
31,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1184.833333,1184.833333,1,1155,0,0,3.5,3.5,0,0,31,5.363077879
32,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1184.833333,1184.833333,1,1156,0,0,3.5,3.5,0,0,32,5.449239016
33,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1172.833333,1172.833333,1,1143,0,0,3.5,3.5,0,0,33,5.534783363
34,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1169.833333,1169.833333,1,1140,0,0,3.5,3.5,0,0,34,5.619799137
35,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1169.833333,1169.833333,1,1134,0,0,3.5,3.5,0,0,35,5.69757247
36,0,3.5,2,0,-1.5,0,-1.5,-1.5,-1.5,1169.833333,8036,3,21769,0,0,3.5,3.5,0,0,36,5.783684254
37,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,2406.166667,2406.166667,1,2327,0,0,3.5,3.5,0,0,37,6.034223557
38,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,2071,2071,1,2060,0,0,3.5,3.5,0,0,38,6.252192497
39,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,2033,2033,1,2026,0,0,3.5,3.5,0,0,39,6.366600037
40,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,2017,2017,1,2010,0,0,3.5,3.5,0,0,40,6.46105814
41,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,2009,2009,1,2002,0,0,3.5,3.5,0,0,41,6.545618773
42,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,2009,2009,1,2001,0,0,3.5,3.5,0,0,42,6.631359577
43,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1991,1991,1,1984,0,0,3.5,3.5,0,0,43,6.716516972
44,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1984,1984,1,1977,0,0,3.5,3.5,0,0,44,6.801282644
45,0,3.5,3,0,-0.5,0,-0.5,-0.5,-0.5,1983,1983,1,1976,0,0,3.5,3.5,0,0,45,6.888579607
