it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,3,3,-0.5,-0.5,-0.5,-0.5,0,0,2934.319884,2934.319884,1,1653,0,0,3.5,0,1,0,0,0.002973079681
1,0,4,4,0.5,0.5,0.5,0.5,0,0,69,69,1,69,0,0,3.5,0,1,0,1,1.718509912
2,0,4,4,0.5,0.5,0.5,0.5,0,0,59,59,1,59,0,0,3.5,0,1,0,2,1.822087526
3,0,4,4,0.5,0.5,0.5,0.5,0,0,59,59,1,45,0,0,3.5,0,1,0,3,1.90604496
4,0,4,4,0.5,0.5,0.5,0.5,0,0,5,5,1,5,0,0,3.5,0,1,0,4,1.988733292
5,0,4,3,0.5,-0.5,0.5,-0.5,-1,-1,5,18,2,5823,0,0,3.5,0,1,0,5,2.071997881
6,0,4,4,0.5,0.5,0.5,0.5,0,0,5,5,1,5,0,0,3.5,0,1,0,6,2.147194862
7,0,4,3,0.5,-0.5,0.5,-0.5,-1,-1,5,18,2,5822,0,0,3.5,0,1,0,7,2.229993105
8,0,4,4,0.5,0.5,0.5,0.5,0,0,5,5,1,5,0,0,3.5,0,1,0,8,2.312623978
9,0,4,4,0.5,0.5,0.5,0.5,0,0,5,11,1,28,0,0,3.5,0,1,0,9,2.381674051
10,0,4,4,0.5,0.5,0.5,0.5,0,0,5,7319,3,12220,0,0,3.5,0,1,0,10,2.450680733
11,0,4,4,0.5,0.5,0.5,0.5,0,0,35,35,1,35,0,0,3.5,0,1,0,11,2.612444162
12,0,4,4,0.5,0.5,0.5,0.5,0,0,35,35,1,29,0,0,3.5,0,1,0,12,2.743348122
13,0,4,4,0.5,0.5,0.5,0.5,0,0,19,19,1,19,0,0,3.5,0,1,0,13,2.825089693
14,0,4,4,0.5,0.5,0.5,0.5,0,0,19,19,1,13,0,0,3.5,0,1,0,14,2.907771587
15,0,4,4,0.5,0.5,0.5,0.5,0,0,0,0,0,0,1,1,3.5,0,1,4,0,2.989701748
16,0,3.85,4,0.35,0.5,0.35,0.5,0.15,0.15,652.95,663.05,1,6,0,0,3.5,3.85,0,4,1,5.665208817
17,0,3.85,4,0.35,0.5,0.35,0.5,0.15,0.15,649.35,649.35,0,0,1,0,3.5,3.85,0,4,2,5.780439377
18,0,3.85,4,0.35,0.5,0.35,0.5,0.15,0.15,649.35,664.15,1,22,0,0,3.5,3.85,0,4,3,5.887947559
