it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-106,-2,-26,78,-0.25,0.75,104,1,175,175,0,0,1,1,-80,0,1,-2,0,0.000333070755
1,0,-80,-14,-2.842170943e-14,66,-2.732856676e-16,0.6346153846,66,0.6346153846,130,137.3333333,1,10,0,0,-80,-80,0,-2,1,0.7546982765
2,0,-80,-14,2.842170943e-14,66,2.732856676e-16,0.6346153846,66,0.6346153846,114.9906746,114.9906746,0,0,1,1,-80,-80,0,-14,0,1.254194736
3,0,-80,-28,0,52,0,0.5,52,0.5,114.2511985,121.610222,0.5,0.5,0,0,-80,-80,0,-14,1,1.339464426
4,0,-80,-28,0,52,0,0.5,52,0.5,94.63828991,94.63828991,0,0,1,1,-80,-80,0,-28,0,1.684054852
5,0,-80,-37,0,43,0,0.4134615385,43,0.4134615385,94.63828991,110.6948937,1,12.125,0,0,-80,-80,0,-28,1,1.697127104
6,0,-80,-41,1.421085472e-14,39,1.366428338e-16,0.375,39,0.375,74.68459205,74.68459205,0,0,1,1,-80,-80,0,-41,0,1.871370792
7,0,-80,-52,1.421085472e-14,28,1.366428338e-16,0.2692307692,28,0.2692307692,71.86842105,80.94950213,1,19.375,0,0,-80,-80,0,-41,1,2.376955748
8,0,-80,-413,-1.421085472e-14,-333,-1.366428338e-16,-3.201923077,-333,-3.201923077,72.95097132,676.2786772,8,850.625,0,0,-80,-80,0,-41,2,2.501678467
9,0,-80,-65,0,15,0,0.1442307692,15,0.1442307692,67.60706082,67.60706082,0.25,0.75,0,0,-80,-80,0,-41,3,2.802425623
10,0,-80,-66,-1.421085472e-14,14,-1.366428338e-16,0.1346153846,14,0.1346153846,45.1749839,45.1749839,0.25,0.5,0,0,-80,-80,0,-41,4,3.061234474
11,0,-80,-72,0,8,0,0.07692307692,8,0.07692307692,38.74204703,38.74204703,0.25,0.5,0,0,-80,-80,0,-41,5,3.533829927
12,0,-80,-80,0,2.046363079e-12,0,1.967656807e-14,2.046363079e-12,1.967656807e-14,30.41939252,30.41939252,0.5,1,0,0,-80,-80,0,-41,6,3.846057415
13,0,-80,-76,0,4,0,0.03846153846,4,0.03846153846,28.88888889,28.88888889,0.5,0.75,0,0,-80,-80,0,-41,7,4.12424469
14,0,-80,-76,0,4,0,0.03846153846,4,0.03846153846,21.56337242,21.56337242,0.25,0.5,0,0,-80,-80,0,-41,8,4.169094324
15,0,-80,-79,0,1,0,0.009615384615,1,0.009615384615,20.88888889,25.75,1,4.5,0,0,-80,-80,0,-41,9,4.200557947
16,0,-80,-80,0,2.046363079e-12,0,1.967656807e-14,2.046363079e-12,1.967656807e-14,21.10169492,21.10169492,0.25,0.75,0,0,-80,-80,0,-41,10,4.459804296
17,0,-80,-393,2.842170943e-14,-313,2.732856676e-16,-3.009615385,-313,-3.009615385,20.88888889,584.6414141,7,794.125,0,0,-80,-80,0,-41,11,4.59342885
18,0,-80,-73,0,7,0,0.06730769231,7,0.06730769231,40.67336011,40.67336011,0.25,0.625,0,0,-80,-80,0,-41,12,4.970054388
19,0,-80,-79,0,1,0,0.009615384615,1,0.009615384615,27.15277778,27.15277778,0.25,0.75,0,0,-80,-80,0,-41,13,5.308289528
20,0,-80,-79,0,1,0,0.009615384615,1,0.009615384615,23.63270757,26.48618742,1,1.5,0,0,-80,-80,0,-41,14,5.897016048
21,0,-80,-79,0,1,0,0.009615384615,1,0.009615384615,18.09628448,18.09628448,0.125,0.5,0,0,-80,-80,0,-41,15,6.112972021
22,0,-80,-72,0,8,0,0.07692307692,8,0.07692307692,18.04356061,38.79356061,1,10.25,0,0,-80,-80,0,-41,16,6.132963657
23,0,-80,-80,0,2.046363079e-12,0,1.967656807e-14,2.046363079e-12,1.967656807e-14,14.36790123,14.36790123,0.125,0.5,0,0,-80,-80,0,-41,17,6.38005805
24,0,-80,-78,0,2,0,0.01923076923,2,0.01923076923,13.34722222,29.67361111,1,5.375,0,0,-80,-80,0,-41,18,6.412261963
25,0,-80,-79,0,1,0,0.009615384615,1,0.009615384615,24.66666667,24.66666667,0.25,0.5,0,0,-80,-80,0,-41,19,6.557215929
26,0,-80,-75,0,5,0,0.04807692308,5,0.04807692308,17.53194444,30.625,0.125,0.5,0,0,-80,-80,0,-41,20,6.619630337
27,0,-80,-80,0,2.046363079e-12,0,1.967656807e-14,2.046363079e-12,1.967656807e-14,20.58333333,20.58333333,0.125,0.5,0,0,-80,-80,0,-41,21,6.844340801
28,0,-80,-80,0,2.046363079e-12,0,1.967656807e-14,2.046363079e-12,1.967656807e-14,13.31111111,23.78888889,1,6.5,0,0,-80,-80,0,-41,22,6.932282925
29,0,-80,-80,0,2.046363079e-12,0,1.967656807e-14,2.046363079e-12,1.967656807e-14,12.64814815,12.64814815,0.125,0.375,0,0,-80,-80,0,-41,23,6.981897354
30,0,-80,-79,0,1,0,0.009615384615,1,0.009615384615,10.68055556,28.09027778,1,4.375,0,0,-80,-80,0,-41,24,7.240479946
31,0,-80,-80,0,2.046363079e-12,0,1.967656807e-14,2.046363079e-12,1.967656807e-14,18.44444444,18.44444444,0.375,0.625,0,0,-80,-80,0,-41,25,7.353632689
32,0,-80,-75,0,5,0,0.04807692308,5,0.04807692308,17.17948718,24.12820513,1,7.125,0,0,-80,-80,0,-41,26,7.586984158
33,0,-80,-79,0,1,0,0.009615384615,1,0.009615384615,20.93939394,20.93939394,0.375,0.5,0,0,-80,-80,0,-41,27,7.823296785
34,0,-80,-71,-5.684341886e-14,9,-5.465713352e-16,0.08653846154,9,0.08653846154,18.60619057,24.29754571,1,1.125,0,0,-80,-80,0,-41,28,7.96133709
35,0,-80,-79,0,1,0,0.009615384615,1,0.009615384615,20.86111111,20.86111111,0.125,0.25,0,0,-80,-80,0,-41,29,8.049945593
36,0,-80,-81,0,-1,0,-0.009615384615,-1,-0.009615384615,13.97119342,20.34567901,1,4.625,0,0,-80,-80,0,-41,30,8.245065451
37,0,-80,-80,0,2.046363079e-12,0,1.967656807e-14,2.046363079e-12,1.967656807e-14,10.8626753,10.8626753,0.125,0.375,0,0,-80,-80,0,-41,31,8.708211899
38,0,-80,-78,0,2,0,0.01923076923,2,0.01923076923,10.64047619,16.76190476,1,4.125,0,0,-80,-80,0,-41,32,8.828078508
