it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-106,-2,-52,52,-0.5,0.5,104,1,175,175,0,0,1,1,-54,0,1,-2,0,0.0003123283386
1,0,-103.92,-11,-49.92,43,-0.48,0.4134615385,92.92,0.8934615385,171.36,186.36,1,21,0,0,-54,-103.92,0,-2,1,0.487339735
2,0,-100.46,-8,-46.46,46,-0.4467307692,0.4423076923,92.46,0.8890384615,160.397158,160.397158,0,0,1,1,-54,-100.46,0,-8,0,0.8557202816
3,0,-100.92,-20,-46.92,34,-0.4511538462,0.3269230769,80.92,0.7780769231,159.7379592,178.6940031,1,23.5,0,0,-54,-100.92,0,-8,1,1.180657625
4,0,-100.69,-436,-46.69,-382,-0.4489423077,-3.673076923,-335.31,-3.224134615,159.69,800.1302307,7,956.5,0,0,-54,-100.69,0,-8,2,1.653215647
5,0,-100.46,-14,-46.46,40,-0.4467307692,0.3846153846,86.46,0.8313461538,157.8725375,157.8725375,0,0,1,1,-54,-100.46,0,-14,0,2.189380407
6,0,-103.46,-9,-49.46,45,-0.4755769231,0.4326923077,94.46,0.9082692308,161.6797802,161.6797802,0,0,1,0,-54,-103.46,0,-14,1,2.899928808
7,0,-104.16,-26,-50.16,28,-0.4823076923,0.2692307692,78.16,0.7515384615,162.8034822,182.761377,1,20.375,0,0,-54,-104.16,0,-14,2,3.276568651
8,0,-103.46,-11,-49.46,43,-0.4755769231,0.4134615385,92.46,0.8890384615,160.3674938,160.3674938,0,0,1,0,-54,-103.46,0,-14,3,3.635541439
9,0,-104.16,-432,-50.16,-378,-0.4823076923,-3.634615385,-327.84,-3.152307692,162.8034822,798.8503556,8,923,0,0,-54,-104.16,0,-14,4,3.851265192
10,0,-103.46,-6,-49.46,48,-0.4755769231,0.4615384615,97.46,0.9371153846,165.6580198,165.6580198,0,0,1,0,-54,-103.46,0,-14,5,4.378166914
11,0,-103.46,-20,-49.46,34,-0.4755769231,0.3269230769,83.46,0.8025,164.305,186.5577473,1,20.75,0,0,-54,-103.46,0,-14,6,4.975098372
12,0,-98.96,-15,-44.96,39,-0.4323076923,0.375,83.96,0.8073076923,149.2533333,149.2533333,0.125,0.125,0,0,-54,-98.96,0,-14,7,5.285982132
13,0,-97.71,-27,-43.71,27,-0.4202884615,0.2596153846,70.71,0.6799038462,146.7533333,169.0134959,1,11.25,0,0,-54,-97.71,0,-14,8,5.541650295
14,0,-97.71,-9,-43.71,45,-0.4202884615,0.4326923077,88.71,0.8529807692,153.5787978,153.5787978,0,0,1,0,-54,-97.71,0,-14,9,6.024461746
15,0,-99.21,-22,-45.21,32,-0.4347115385,0.3076923077,77.21,0.7424038462,152.9896591,169.1990155,1,9,0,0,-54,-99.21,0,-14,10,6.605908871
16,0,-97.71,-15,-43.71,39,-0.4202884615,0.375,82.71,0.7952884615,144.9955227,144.9955227,0,0,1,1,-54,-97.71,0,-15,0,6.985995293
