it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,14.08029586,0,-8.459852072,-22.54014793,-0.5,-1.332183337,-14.08029586,-0.8321833371,14.08029586,14.08029586,1,6119,0,0,22.54014793,0,1,0,0,0.0003886222839
1,0,14.08029586,18,-8.459852072,-4.540147928,-0.5,-0.2683349478,3.919704143,0.2316650522,14.08029586,22.70756784,1,333,0,0,22.54014793,0,1,0,1,0.005084991455
2,0,25.69159248,41,3.151444552,18.45985207,0.186258845,1.091026883,15.30840752,0.9047680379,7.69159248,19.19318281,0,0,1,1,22.54014793,0,1,41,0,0.1620819569
3,0,36.96204438,37,14.42189645,14.45985207,0.8523728505,0.8546161298,0.03795562152,0.002243279268,0.03795562152,0.03795562152,0,0,1,1,22.54014793,36.96204438,0,37,0,0.1989240646
4,0,33.56204438,34,11.02189645,11.45985207,0.6514237103,0.6773080649,0.4379556215,0.02588435458,0.4379556215,0.4379556215,0,0,1,1,22.54014793,33.56204438,0,34,0,0.2040634155
5,0,31.01204438,31,8.47189645,8.459852072,0.5007118551,0.5,-0.01204437848,-0.000711855147,0.01204437848,0.01204437848,0,0,1,1,22.54014793,31.01204438,0,31,0,0.209059
6,0,28.46204438,26,5.92189645,3.459852072,0.35,0.2044865585,-2.462044378,-0.1455134415,2.537955622,2.537955622,1,19,0,0,22.54014793,28.46204438,0,31,1,0.2229032516
7,0,28.46204438,39,5.92189645,16.45985207,0.35,0.9728215063,10.53795562,0.6228215063,2.537955622,20.46204438,1,37,0,0,22.54014793,28.46204438,0,31,2,0.2361707687
8,0,28.46204438,29,5.92189645,6.459852072,0.35,0.3817946234,0.5379556215,0.03179462341,1.027006187,1.027006187,0,0,1,1,22.54014793,28.46204438,0,29,0,0.2675471306
9,0,26.76204438,15,4.22189645,-7.540147928,0.2495254299,-0.4456430127,-11.76204438,-0.6951684426,3.54018067,15.29040432,1,491,0,0,22.54014793,26.76204438,0,29,1,0.3215699196
10,0,22.76938925,33,0.2292413168,10.45985207,0.01354877809,0.6182053766,10.23061075,0.6046565985,7.769389245,14.53628864,0,0,1,0,22.54014793,26.76204438,0,29,2,0.3824157715
11,0,26.76204438,27,4.22189645,4.459852072,0.2495254299,0.2635892468,0.2379556215,0.01406381693,3.063259369,3.063259369,1,4,0,0,22.54014793,26.76204438,0,29,3,0.4364614487
12,0,26.76204438,26,4.22189645,3.459852072,0.2495254299,0.2044865585,-0.7620443785,-0.04503887137,1.524088757,1.524088757,0,0,1,1,22.54014793,26.76204438,0,26,0,0.4632751942
13,0,24.21204438,5,1.67189645,-17.54014793,0.09881357476,-1.036669896,-19.21204438,-1.13548347,3.409771368,19.56918956,1,2911,0,0,22.54014793,24.21204438,0,26,1,0.513686657
14,0,16.72594466,15,-5.814203271,-7.540147928,-0.3436350436,-0.4456430127,-1.725944657,-0.1020079691,11.72594466,15.67520359,1,395,0,0,22.54014793,24.21204438,0,26,2,0.641548872
15,0,22.15693399,26,-0.3832139374,3.459852072,-0.02264897389,0.2044865585,3.843066009,0.2271355324,7.156933991,10.61268276,1,2,0,0,22.54014793,24.21204438,0,26,3,0.7490544319
16,0,24.21204438,24,1.67189645,1.459852072,0.09881357476,0.08628118195,-0.2120443785,-0.01253239281,2.575911243,2.575911243,1,2,0,0,22.54014793,24.21204438,0,26,4,0.7926898003
17,0,24.21204438,17,1.67189645,-5.540147928,0.09881357476,-0.3274376361,-7.212044378,-0.4262512109,2.085526574,21.11285406,1,679,0,0,22.54014793,24.21204438,0,26,5,0.8310477734
18,0,24.21204438,23,1.67189645,0.4598520717,0.09881357476,0.02717849366,-1.212044378,-0.0716350811,7.61751462,7.61751462,1,39,0,0,22.54014793,24.21204438,0,26,6,0.8947138786
19,0,24.21204438,24,1.67189645,1.459852072,0.09881357476,0.08628118195,-0.2120443785,-0.01253239281,1.787955622,1.787955622,1,1,0,0,22.54014793,24.21204438,0,26,7,0.9447259903
20,0,24.21204438,24,1.67189645,1.459852072,0.09881357476,0.08628118195,-0.2120443785,-0.01253239281,0.2120443785,0.2120443785,0,0,1,1,22.54014793,24.21204438,0,24,0,0.9845230579
21,0,22.51204438,8,-0.02810354979,-14.54014793,-0.001660995343,-0.8593618307,-14.51204438,-0.8577008354,3.285615152,22.2638823,1,1429,0,0,22.54014793,22.51204438,0,24,1,1.058619976
22,0,19.23449082,33,-3.30565711,10.45985207,-0.1953732218,0.6182053766,13.76550918,0.8135785983,11.23449082,22.05611857,0,0,1,0,22.54014793,22.51204438,0,24,2,1.188235521
23,0,22.51204438,21,-0.02810354979,-1.540147928,-0.001660995343,-0.09102688293,-1.512044378,-0.08936588759,9.191270464,9.191270464,1,89,0,0,22.54014793,22.51204438,0,24,3,1.285129547
24,0,22.51204438,23,-0.02810354979,0.4598520717,-0.001660995343,0.02717849366,0.4879556215,0.028839489,7.08172687,7.08172687,1,12,0,0,22.54014793,22.51204438,0,24,4,1.329499006
25,0,22.51204438,23,-0.02810354979,0.4598520717,-0.001660995343,0.02717849366,0.4879556215,0.028839489,4.750614154,4.750614154,1,5,0,0,22.54014793,22.51204438,0,24,5,1.38738513
26,0,22.51204438,24,-0.02810354979,1.459852072,-0.001660995343,0.08628118195,1.487955622,0.08794217729,3.440538768,3.440538768,0,0,1,0,22.54014793,22.51204438,0,24,6,1.434671879
27,0,22.51204438,6,-0.02810354979,-16.54014793,-0.001660995343,-0.9775672073,-16.51204438,-0.975906212,3.212838268,18.6809286,1,2750,0,0,22.54014793,22.51204438,0,24,7,1.483136415
28,0,17.42470153,31,-5.115446399,8.459852072,-0.302336634,0.5,13.57529847,0.802336634,11.42470153,22.53457947,0,0,1,0,22.54014793,22.51204438,0,24,8,1.582138062
29,0,22.51204438,23,-0.02810354979,0.4598520717,-0.001660995343,0.02717849366,0.4879556215,0.028839489,6.060604073,6.060604073,1,13,0,0,22.54014793,22.51204438,0,24,9,1.711632252
30,0,22.51204438,21,-0.02810354979,-1.540147928,-0.001660995343,-0.09102688293,-1.512044378,-0.08936588759,5.043442593,13.35330442,1,89,0,0,22.54014793,22.51204438,0,24,10,1.763385057
31,0,22.51204438,22,-0.02810354979,-0.5401479283,-0.001660995343,-0.03192419464,-0.5120443785,-0.03026319929,5.71055527,5.71055527,1,53,0,0,22.54014793,22.51204438,0,24,11,1.833536863
32,0,22.51204438,18,-0.02810354979,-4.540147928,-0.001660995343,-0.2683349478,-4.512044378,-0.2666739525,5.302161975,23.03582451,1,252,0,0,22.54014793,22.51204438,0,24,12,1.874983549
33,0,22.51204438,19,-0.02810354979,-3.540147928,-0.001660995343,-0.2092322595,-3.512044378,-0.2075712642,9.208627635,9.208627635,1,247,0,0,22.54014793,22.51204438,0,24,13,1.963624477
34,0,22.51204438,20,-0.02810354979,-2.540147928,-0.001660995343,-0.1501295712,-2.512044378,-0.1484685759,8.649413955,8.649413955,1,233,0,0,22.54014793,22.51204438,0,24,14,1.999940634
35,0,22.51204438,21,-0.02810354979,-1.540147928,-0.001660995343,-0.09102688293,-1.512044378,-0.08936588759,8.200911839,8.200911839,1,103,0,0,22.54014793,22.51204438,0,24,15,2.03745079
36,0,22.51204438,20,-0.02810354979,-2.540147928,-0.001660995343,-0.1501295712,-2.512044378,-0.1484685759,6.942501076,6.942501076,1,157,0,0,22.54014793,22.51204438,0,24,16,2.079973698
37,0,22.51204438,24,-0.02810354979,1.459852072,-0.001660995343,0.08628118195,1.487955622,0.08794217729,6.677829039,11.42343678,1,13,0,0,22.54014793,22.51204438,0,24,17,2.111726522
38,0,22.51204438,23,-0.02810354979,0.4598520717,-0.001660995343,0.02717849366,0.4879556215,0.028839489,4.719889054,4.719889054,1,5,0,0,22.54014793,22.51204438,0,24,18,2.151886702
39,0,22.51204438,24,-0.02810354979,1.459852072,-0.001660995343,0.08628118195,1.487955622,0.08794217729,3.508633084,3.508633084,0,0,1,0,22.54014793,22.51204438,0,24,19,2.204517603
40,0,22.51204438,9,-0.02810354979,-13.54014793,-0.001660995343,-0.8002591424,-13.51204438,-0.7985981471,3.39396492,14.71032055,1,1311,0,0,22.54014793,22.51204438,0,24,20,2.247206211
41,0,19.18951132,10,-3.350636611,-12.54014793,-0.1980316312,-0.7411564542,-9.189511317,-0.543124823,10.18419713,10.18419713,1,1119,0,0,22.54014793,22.51204438,0,24,21,2.348961353
42,0,19.57730716,38,-2.962840771,15.45985207,-0.1751118545,0.9137188181,18.42269284,1.088830673,9.577307158,23.6459899,0,0,1,0,22.54014793,22.51204438,0,24,22,2.408257246
43,0,22.51204438,19,-0.02810354979,-3.540147928,-0.001660995343,-0.2092322595,-3.512044378,-0.2075712642,8.780552409,8.780552409,1,205,0,0,22.54014793,22.51204438,0,24,23,2.50278616
44,0,22.51204438,20,-0.02810354979,-2.540147928,-0.001660995343,-0.1501295712,-2.512044378,-0.1484685759,6.792303448,6.792303448,1,113,0,0,22.54014793,22.51204438,0,24,24,2.552546501
45,0,22.51204438,25,-0.02810354979,2.459852072,-0.001660995343,0.1453838702,2.487955622,0.1470448656,6.492347454,22.65752807,1,27,0,0,22.54014793,22.51204438,0,24,25,2.593742609
46,0,22.51204438,22,-0.02810354979,-0.5401479283,-0.001660995343,-0.03192419464,-0.5120443785,-0.03026319929,10.59446647,10.59446647,1,66,0,0,22.54014793,22.51204438,0,24,26,2.680230141
47,0,22.51204438,25,-0.02810354979,2.459852072,-0.001660995343,0.1453838702,2.487955622,0.1470448656,7.900528989,7.900528989,1,7,0,0,22.54014793,22.51204438,0,24,27,2.731420279
48,0,22.51204438,26,-0.02810354979,3.459852072,-0.001660995343,0.2044865585,3.487955622,0.2061475539,6.903176907,6.903176907,0,0,1,0,22.54014793,22.51204438,0,24,28,2.776103258
49,0,22.51204438,25,-0.02810354979,2.459852072,-0.001660995343,0.1453838702,2.487955622,0.1470448656,6.44800567,6.44800567,1,1,0,0,22.54014793,22.51204438,0,24,29,2.818592787
50,0,22.51204438,17,-0.02810354979,-5.540147928,-0.001660995343,-0.3274376361,-5.512044378,-0.3257766408,5.960937324,13.33798092,1,160,0,0,22.54014793,22.51204438,0,24,30,2.872053862
51,0,22.51204438,35,-0.02810354979,12.45985207,-0.001660995343,0.7364107532,12.48795562,0.7380717485,6.963151444,18.13808617,1,1,0,0,22.54014793,22.51204438,0,24,31,2.942281246
52,0,21.51204438,20,-1.02810355,-2.540147928,-0.06076368364,-0.1501295712,-1.512044378,-0.08936588759,8.658591479,8.658591479,1,84,0,0,22.54014793,21.51204438,0,24,32,3.001306534
53,0,22.51204438,21,-0.02810354979,-1.540147928,-0.001660995343,-0.09102688293,-1.512044378,-0.08936588759,5.952875914,5.952875914,1,26,0,0,22.54014793,22.51204438,0,24,33,3.057310343
54,0,22.51204438,22,-0.02810354979,-0.5401479283,-0.001660995343,-0.03192419464,-0.5120443785,-0.03026319929,5.581096174,5.581096174,1,16,0,0,22.54014793,22.51204438,0,24,34,3.093008757
55,0,22.51204438,23,-0.02810354979,0.4598520717,-0.001660995343,0.02717849366,0.4879556215,0.028839489,5.487955622,13.2550327,1,16,0,0,22.54014793,22.51204438,0,24,35,3.132284164
56,0,22.51204438,25,-0.02810354979,2.459852072,-0.001660995343,0.1453838702,2.487955622,0.1470448656,5.844591875,5.844591875,0,0,1,0,22.54014793,22.51204438,0,24,36,3.187593937
57,0,22.51204438,12,-0.02810354979,-10.54014793,-0.001660995343,-0.6229510776,-10.51204438,-0.6212900822,4.916983721,16.88388826,1,701,0,0,22.54014793,22.51204438,0,24,37,3.250226021
58,0,20.93715881,29,-1.602989119,6.459852072,-0.09474096626,0.3817946234,8.062841191,0.4765355897,8.937158809,15.78325806,1,1,0,0,22.54014793,22.51204438,0,24,38,3.328907728
59,0,22.51204438,24,-0.02810354979,1.459852072,-0.001660995343,0.08628118195,1.487955622,0.08794217729,4.563063906,4.563063906,0,0,1,0,22.54014793,22.51204438,0,24,39,3.399351358
60,0,22.51204438,6,-0.02810354979,-16.54014793,-0.001660995343,-0.9775672073,-16.51204438,-0.975906212,3.239026208,17.26521637,1,2300,0,0,22.54014793,22.51204438,0,24,40,3.454102278
61,0,17.32773609,25,-5.212411833,2.459852072,-0.3080675518,0.1453838702,7.672263905,0.4534514221,11.32773609,18.88817735,1,7,0,0,22.54014793,22.51204438,0,24,41,3.561510086
62,0,22.51204438,22,-0.02810354979,-0.5401479283,-0.001660995343,-0.03192419464,-0.5120443785,-0.03026319929,6.472981613,6.472981613,1,30,0,0,22.54014793,22.51204438,0,24,42,3.691179514
63,0,22.51204438,24,-0.02810354979,1.459852072,-0.001660995343,0.08628118195,1.487955622,0.08794217729,4.875506246,4.875506246,1,9,0,0,22.54014793,22.51204438,0,24,43,3.735888481
64,0,22.51204438,15,-0.02810354979,-7.540147928,-0.001660995343,-0.4456430127,-7.512044378,-0.4439820173,4.405895046,20.29365494,1,736,0,0,22.54014793,22.51204438,0,24,44,3.767716408
65,0,22.51204438,16,-0.02810354979,-6.540147928,-0.001660995343,-0.3865403244,-6.512044378,-0.3848793291,8.63174809,8.63174809,1,678,0,0,22.54014793,22.51204438,0,24,45,3.850425959
66,0,22.51204438,17,-0.02810354979,-5.540147928,-0.001660995343,-0.3274376361,-5.512044378,-0.3257766408,8.255332458,8.255332458,1,468,0,0,22.54014793,22.51204438,0,24,46,3.878913164
67,0,22.51204438,18,-0.02810354979,-4.540147928,-0.001660995343,-0.2683349478,-4.512044378,-0.2666739525,7.392647763,7.392647763,1,486,0,0,22.54014793,22.51204438,0,24,47,3.92416954
68,0,22.51204438,19,-0.02810354979,-3.540147928,-0.001660995343,-0.2092322595,-3.512044378,-0.2075712642,7.036491831,7.036491831,1,404,0,0,22.54014793,22.51204438,0,24,48,3.955037355
69,0,22.51204438,18,-0.02810354979,-4.540147928,-0.001660995343,-0.2683349478,-4.512044378,-0.2666739525,6.687955622,6.687955622,1,485,0,0,22.54014793,22.51204438,0,24,49,3.988207102
70,0,22.61476676,28,0.07461883478,5.459852072,0.004410173733,0.3226919351,5.385233237,0.3182817614,6.327355423,10.83539401,1,1,0,0,22.54014793,22.61476676,0,24,0,4.011695385
71,0,22.51204438,22,-0.02810354979,-0.5401479283,-0.001660995343,-0.03192419464,-0.5120443785,-0.03026319929,4.512044378,4.512044378,1,3,0,0,22.54014793,22.51204438,0,24,1,4.045510054
72,0,22.51204438,23,-0.02810354979,0.4598520717,-0.001660995343,0.02717849366,0.4879556215,0.028839489,1.25456824,1.25456824,0,0,1,1,22.54014793,22.51204438,0,23,0,4.114340067
73,0,21.66204438,10,-0.8781035498,-12.54014793,-0.05189828039,-0.7411564542,-11.66204438,-0.6892581738,3.243043153,13.0242125,1,1405,0,0,22.54014793,21.66204438,0,23,1,4.171212196
74,0,19.33867251,28,-3.201475414,5.459852072,-0.1892158035,0.3226919351,8.661327486,0.5119077386,9.338672514,17.04622854,0,0,1,0,22.54014793,21.66204438,0,23,2,4.283169985
75,0,21.66204438,18,-0.8781035498,-4.540147928,-0.05189828039,-0.2683349478,-3.662044378,-0.2164366674,6.871200108,6.871200108,1,150,0,0,22.54014793,21.66204438,0,23,3,4.384824753
76,0,21.66204438,20,-0.8781035498,-2.540147928,-0.05189828039,-0.1501295712,-1.662044378,-0.09823129083,6.108715259,6.108715259,1,41,0,0,22.54014793,21.66204438,0,23,4,4.447801828
77,0,21.66204438,21,-0.8781035498,-1.540147928,-0.05189828039,-0.09102688293,-0.6620443785,-0.03912860254,5.064533415,5.064533415,1,24,0,0,22.54014793,21.66204438,0,23,5,4.4890697
78,0,21.66204438,19,-0.8781035498,-3.540147928,-0.05189828039,-0.2092322595,-2.662044378,-0.1573339791,4.595576575,4.595576575,1,38,0,0,22.54014793,21.66204438,0,23,6,4.526563406
79,0,21.66204438,25,-0.8781035498,2.459852072,-0.05189828039,0.1453838702,3.337955622,0.1972821506,4.259709834,16.43539808,1,51,0,0,22.54014793,21.66204438,0,23,7,4.574000835
80,0,21.66204438,23,-0.8781035498,0.4598520717,-0.05189828039,0.02717849366,1.337955622,0.07907677405,8.393051828,8.393051828,1,26,0,0,22.54014793,21.66204438,0,23,8,4.646032572
81,0,21.66204438,19,-0.8781035498,-3.540147928,-0.05189828039,-0.2092322595,-2.662044378,-0.1573339791,6.726612065,20.89691253,1,259,0,0,22.54014793,21.66204438,0,23,9,4.70121026
82,0,21.66204438,20,-0.8781035498,-2.540147928,-0.05189828039,-0.1501295712,-1.662044378,-0.09823129083,10.66201371,10.66201371,1,62,0,0,22.54014793,21.66204438,0,23,10,4.786101818
83,0,21.66204438,20,-0.8781035498,-2.540147928,-0.05189828039,-0.1501295712,-1.662044378,-0.09823129083,8.489067171,8.489067171,1,61,0,0,22.54014793,21.66204438,0,23,11,4.838315964
84,0,21.66204438,21,-0.8781035498,-1.540147928,-0.05189828039,-0.09102688293,-0.6620443785,-0.03912860254,8.060866663,8.060866663,1,50,0,0,22.54014793,21.66204438,0,23,12,4.874996662
85,0,21.66204438,23,-0.8781035498,0.4598520717,-0.05189828039,0.02717849366,1.337955622,0.07907677405,7.677077858,9.944990942,1,39,0,0,22.54014793,21.66204438,0,23,13,4.920233727
86,0,21.66204438,22,-0.8781035498,-0.5401479283,-0.05189828039,-0.03192419464,0.3379556215,0.01997408576,7.238102713,7.238102713,1,48,0,0,22.54014793,21.66204438,0,23,14,4.976135254
87,0,21.66204438,23,-0.8781035498,0.4598520717,-0.05189828039,0.02717849366,1.337955622,0.07907677405,6.993287166,6.993287166,1,18,0,0,22.54014793,21.66204438,0,23,15,5.010012865
88,0,21.66204438,11,-0.8781035498,-11.54014793,-0.05189828039,-0.6820537659,-10.66204438,-0.6301554855,6.894007516,23.06256921,1,972,0,0,22.54014793,21.66204438,0,23,16,5.046902895
89,0,21.25864437,32,-1.281503559,9.459852072,-0.07574030537,0.5591026883,10.74135563,0.6348429937,10.25864437,18.23978501,0,0,1,0,22.54014793,21.66204438,0,23,17,5.127299547
90,0,21.66204438,23,-0.8781035498,0.4598520717,-0.05189828039,0.02717849366,1.337955622,0.07907677405,8.180863695,8.180863695,1,15,0,0,22.54014793,21.66204438,0,23,18,5.232965231
91,0,21.66204438,24,-0.8781035498,1.459852072,-0.05189828039,0.08628118195,2.337955622,0.1381794623,7.079801975,7.079801975,1,5,0,0,22.54014793,21.66204438,0,23,19,5.280778646
92,0,21.66204438,15,-0.8781035498,-7.540147928,-0.05189828039,-0.4456430127,-6.662044378,-0.3937447323,6.882511218,18.33333333,1,532,0,0,22.54014793,21.66204438,0,23,20,5.305063963
93,0,21.66204438,16,-0.8781035498,-6.540147928,-0.05189828039,-0.3865403244,-5.662044378,-0.334642044,8.688157198,8.688157198,1,461,0,0,22.54014793,21.66204438,0,23,21,5.374617338
94,0,21.66204438,29,-0.8781035498,6.459852072,-0.05189828039,0.3817946234,7.337955622,0.4336929038,8.375054973,14.90734216,0,0,1,0,22.54014793,21.66204438,0,23,22,5.426766157
95,0,21.66204438,25,-0.8781035498,2.459852072,-0.05189828039,0.1453838702,3.337955622,0.1972821506,7.905684367,7.905684367,0,0,1,0,22.54014793,21.66204438,0,23,23,5.518852711
96,0,21.66204438,4,-0.8781035498,-18.54014793,-0.05189828039,-1.095772584,-17.66204438,-1.043874304,6.615011426,21.46667713,1,4235,0,0,22.54014793,21.66204438,0,23,24,5.57383728
