it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-74353341.5,-73841749,-23395239.38,-22883646.87,-0.75,-0.7335994678,511592.5023,0.0164005322,5.485337543,5.485337543,20492870,67094243,0,0,-50958102.13,0,1,0,0,0.0002491474152
1,0,-73071567.56,-85225639,-22113465.43,-34267536.87,-0.7089091421,-1.098541983,-12154071.44,-0.3896328408,1.384652492,16.61534751,64613100,270652862,0,0,-50958102.13,-50958102.13,0,0,1,0.008869886398
2,0,-67012085.6,-65672761,-16053983.47,-14714658.87,-0.5146554566,-0.4717196511,1339324.596,0.04293580547,1.095641714,1.095641714,39985800,97229491,0,0,-50958102.13,-50958102.13,0,0,2,0.01565122604
3,0,-67009314.16,-88064796,-16051212.03,-37106693.87,-0.5145666103,-1.189559122,-21055481.84,-0.6749925114,1,22,82608600,618508842,0,0,-50958102.13,-50958102.13,0,0,3,0.02166819572
4,0,-67156021.51,-66400479,-16197919.38,-15442376.87,-0.5192697258,-0.4950486921,755542.5077,0.02422103368,1.964785178,1.964785178,39985800,85309711,0,0,-50958102.13,-50958102.13,0,0,4,0.02746105194
5,0,-67163172.03,-84723518,-16205069.9,-33765415.87,-0.5194989558,-1.082445086,-17560345.97,-0.5629461305,1.959163496,21.0408365,82608600,670915780,0,0,-50958102.13,-50958102.13,0,0,5,0.03308653831
6,0,-67086967.88,-64902769,-16128865.76,-13944666.87,-0.5170560182,-0.4470353984,2184198.883,0.07002061982,2.007889047,2.007889047,39985800,84250032,0,0,-50958102.13,-50958102.13,0,0,6,0.03875565529
7,0,-67086967.88,-82444750,-16128865.76,-31486647.87,-0.5170560182,-1.009392788,-15357782.12,-0.49233677,2,14,78109700,516672796,0,0,-50958102.13,-50958102.13,0,0,7,0.04450798035
8,0,-67086967.88,-868884292,-16128865.76,-817926189.9,-0.5170560182,-26.22091753,-801797324.1,-25.70386152,2,607.9192059,1.23169755e+10,1.288208669e+11,0,0,-50958102.13,-50958102.13,0,0,8,0.0499048233
9,0,-58060479.14,-57610228,-7102377.019,-6652125.874,-0.2276866109,-0.2132525479,450251.1446,0.01443406297,5.078931823,5.078931823,17464590,31819583,0,0,-50958102.13,-50958102.13,0,0,9,0.05836176872
