it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-74353341.5,-73841749,-12786198.75,-12274606.25,-0.5,-0.4799943473,511592.5023,0.02000565267,5.485337543,5.485337543,20492870,67094243,0,0,-61567142.75,0,1,0,0,0.0002150535583
1,0,-73065026.96,-89974843,-11497884.21,-28407700.25,-0.4496208932,-1.11087356,-16909816.04,-0.6612526667,1.384652492,16.61534751,320266130,516398040,0,0,-61567142.75,-62078735.25,0,0,1,0.01013636589
2,0,-67279928.13,-65904091,-5712785.38,-4336948.249,-0.2233965501,-0.169594902,1375837.131,0.05380164808,1.025443071,1.025443071,39985800,88913631,0,0,-61567142.75,-61567142.75,0,0,2,0.01883006096
3,0,-67240644.16,-93627314,-5673501.407,-32060171.25,-0.2218603636,-1.253702209,-26386669.84,-1.031841846,1,22,62846800,523459082,0,0,-61567142.75,-62078735.25,0,0,3,0.02556419373
4,0,-67240644.16,-875343080,-5673501.407,-813775937.2,-0.2218603636,-31.82243422,-808102435.8,-31.60057385,1,606.5145594,1.30929452e+10,1.297924255e+11,0,0,-61567142.75,-61567142.75,0,0,4,0.03096055984
5,0,-61567142.75,-61535959,0,31183.75115,0,0.001219430096,31183.75115,0.001219430096,6.568926496,6.568926496,124355960,356803010,0,0,-61567142.75,-61567142.75,0,0,5,0.0413980484
6,0,-61567142.75,-60229179,0,1337963.751,0,0.0523206223,1337963.751,0.0523206223,1.761958421,1.761958421,124355960,356803011,0,0,-61567142.75,-61567142.75,0,0,6,0.05304288864
7,0,-61598326.5,-90833027,-31183.75115,-29265884.25,-0.001219430096,-1.144432556,-29234700.5,-1.143213126,1.761958421,24.23804158,593206130,2296720249,0,0,-61567142.75,-61598326.5,0,0,7,0.05842423439
8,0,-61567142.75,-57810096,-7.450580597e-09,3757046.751,-2.913524474e-16,0.1469180491,3757046.751,0.1469180491,2.718346558,2.718346558,124355960,126775940,0,0,-61567142.75,-61567142.75,0,0,8,0.07202196121
9,0,-61598326.5,-50876736,-31183.75115,10690406.75,-0.001219430096,0.418044759,10721590.5,0.4192641891,1.991399676,1.991399676,124355960,126775941,0,0,-61567142.75,-61598326.5,0,0,9,0.0780673027
10,0,-61838530.88,-100866144,-271388.1267,-39299001.25,-0.01061254138,-1.536774221,-39027613.12,-1.52616168,2.07307405,8.92692595,478759030,1943919325,0,0,-61567142.75,-61838530.88,0,0,10,0.08435416222
11,0,-61567142.75,-58134234,7.450580597e-09,3432908.751,2.913524474e-16,0.1342427416,3432908.751,0.1342427416,1.90943192,1.90943192,2419980,4014316,0,0,-61567142.75,-61567142.75,0,0,11,0.09382271767
12,0,-62251716.5,-62599234,-684573.7511,-1032091.249,-0.0267700262,-0.04035958102,-347517.4977,-0.01358955482,0.9045025275,0.9045025275,70127700,74142015,0,0,-61567142.75,-62251716.5,0,0,12,0.1023292542
13,0,-61567142.75,-80791168,-7.450580597e-09,-19224025.25,-2.913524474e-16,-0.7517490391,-19224025.25,-0.7517490391,0.8300657299,26.16993427,223341100,1121146286,0,0,-61567142.75,-61567142.75,0,0,13,0.1091780663
14,0,-61567142.75,-60151061,-7.450580597e-09,1416081.751,-2.913524474e-16,0.05537540041,1416081.751,0.05537540041,1.51185002,1.51185002,124355960,124355960,0,0,-61567142.75,-61567142.75,0,0,14,0.1186106205
15,0,-62251716.5,-53217701,-684573.7511,8349441.751,-0.0267700262,0.3265021103,9034015.502,0.3532721365,1.628055685,1.628055685,124355960,126775941,0,0,-61567142.75,-62251716.5,0,0,15,0.1292834282
16,0,-62944165.5,-104055831,-1377022.751,-42488688.25,-0.05384801136,-1.661505858,-41111665.5,-1.607657846,1.917188371,11.08281163,272368430,680458807,0,0,-61567142.75,-62944165.5,0,0,16,0.138092041
17,0,-62312624.88,-62642401,-745482.1316,-1075258.249,-0.02915182793,-0.04204761203,-329776.1172,-0.0128957841,1.598842875,1.598842875,70127700,74142015,0,0,-61567142.75,-62101424.88,0,0,17,0.1474089622
18,0,-62110295.57,-74019874,-543152.817,-12452731.25,-0.02123980815,-0.4869598655,-11909578.43,-0.4657200574,0.877125178,19.12287482,196193130,785924842,0,0,-61567142.75,-62110295.57,0,0,18,0.1592473984
19,0,-61567142.75,-59857433,0,1709709.751,0,0.06685762455,1709709.751,0.06685762455,1.996682462,1.996682462,86179560,111694700,0,0,-61567142.75,-61567142.75,0,0,19,0.1704905033
20,0,-61567142.75,-52924073,0,8643069.751,0,0.3379843345,8643069.751,0.3379843345,1.073441547,1.073441547,86179560,114114681,0,0,-61567142.75,-61567142.75,0,0,20,0.1806092262
21,0,-62110295.57,-111550043,-543152.817,-49982900.25,-0.02123980815,-1.954564497,-49439747.43,-1.933324688,1.337009936,9.662990064,272368430,578466659,0,0,-61567142.75,-62110295.57,0,0,21,0.1883776188
22,0,-62089886,-62348773,-522743.2511,-781630.2489,-0.02044169895,-0.03056538789,-258886.9978,-0.01012368894,1.058797388,1.058797388,70127700,99018832,0,0,-61567142.75,-61567142.75,0,0,22,0.1990559101
23,0,-61567142.75,-83744047,-7.450580597e-09,-22176904.25,-2.913524474e-16,-0.8672203788,-22176904.25,-0.8672203788,1.039989996,20.96001,223341100,841761049,0,0,-61567142.75,-61567142.75,0,0,23,0.2056787014
24,0,-61567142.75,-62057831,7.450580597e-09,-490688.2489,2.913524474e-16,-0.01918819887,-490688.2489,-0.01918819887,1.675912809,1.675912809,86179560,113289035,0,0,-61567142.75,-61567142.75,0,0,24,0.2145740986
25,0,-61778080.9,-80947242,-210938.1465,-19380099.25,-0.008248665244,-0.7578522603,-19169161.1,-0.7496035951,0.9675068075,11.03249319,44849900,251348963,0,0,-61567142.75,-61567142.75,0,0,25,0.2213842869
26,0,-61778080.9,-62057831,-210938.1465,-490688.2489,-0.008248665244,-0.01918819887,-279750.1024,-0.01093953363,1.058966809,1.058966809,9581340,17683428,0,0,-61567142.75,-61567142.75,0,0,26,0.227449894
27,0,-61764540.93,-80630297,-197398.183,-19063154.25,-0.007719189527,-0.7454582327,-18865756.07,-0.7377390432,0.2386218928,13.76137811,209773700,570834670,0,0,-61567142.75,-61567142.75,0,0,27,0.2340304852
28,0,-61567142.75,-62057831,7.450580597e-09,-490688.2489,2.913524474e-16,-0.01918819887,-490688.2489,-0.01918819887,1.122727336,1.122727336,86179560,99775215,0,0,-61567142.75,-61567142.75,0,0,28,0.2417547703
29,0,-61778080.9,-92060187,-210938.1465,-30493044.25,-0.008248665244,-1.192420235,-30282106.1,-1.18417157,0.8521807557,15.14781924,209773700,628308887,0,0,-61567142.75,-61567142.75,0,0,29,0.250071764
30,0,-61778080.9,-62057831,-210938.1465,-490688.2489,-0.008248665244,-0.01918819887,-279750.1024,-0.01093953363,0.85846113,0.85846113,86179560,101443008,0,0,-61567142.75,-61567142.75,0,0,30,0.2561559677
31,0,-61778080.9,-93493484,-210938.1465,-31926341.25,-0.008248665244,-1.248468832,-31715403.1,-1.240220167,0.85846113,24.14153887,209773700,668846399,0,0,-61567142.75,-61567142.75,0,0,31,0.2627904415
32,0,-61596456.29,-61764203,-29313.53636,-197060.2489,-0.001146295976,-0.007705974727,-167746.7125,-0.00655967875,0.7997889848,0.7997889848,86179560,99136892,0,0,-61567142.75,-61567142.75,0,0,32,0.2687115669
33,0,-61596456.29,-93519626,-29313.53636,-31952483.25,-0.001146295976,-1.249491106,-31923169.71,-1.24834481,0.7997889848,23.20021102,62846800,499596491,0,0,-61567142.75,-61567142.75,0,0,33,0.2758681774
34,0,-61778080.9,-889116240,-210938.1465,-827549097.2,-0.008248665244,-32.361029,-827338159.1,-32.35278034,1.618649051,599.9211701,1.48012997e+10,1.194143407e+11,0,0,-61567142.75,-61567142.75,0,0,34,0.2818341255
35,0,-61567142.75,-60920924,7.450580597e-09,646218.7511,2.913524474e-16,0.02527016683,646218.7511,0.02527016683,5.616148066,5.616148066,100584212,187538260,0,0,-61567142.75,-61567142.75,0,0,35,0.2937350273
36,0,-61567142.75,-104212124,0,-42644981.25,0,-1.667617643,-42644981.25,-1.667617643,1.716368961,17.28363104,353935340,1140332881,0,0,-61567142.75,-61567142.75,0,0,36,0.30687356
37,0,-61843533.63,-60829432,-276390.8809,737710.7511,-0.0108081724,0.02884793071,1014101.632,0.03965610311,2.28352766,2.28352766,50620300,125007048,0,0,-61567142.75,-61567142.75,0,0,37,0.3173947334
38,0,-61567142.75,-98616621,7.450580597e-09,-37049478.25,2.913524474e-16,-1.448807381,-37049478.25,-1.448807381,1.384398049,22.61560195,250474800,854818937,0,0,-61567142.75,-61567142.75,0,0,38,0.3276686668
39,0,-61837636.84,-60849767,-270494.0917,717375.7511,-0.01057758044,0.02805273737,987869.8428,0.03863031782,1.935974104,1.935974104,50620300,125007048,0,0,-61567142.75,-61567142.75,0,0,39,0.3387176991
40,0,-61567142.75,-98153296,0,-36586153.25,0,-1.430689213,-36586153.25,-1.430689213,1.378762197,23.6212378,250474800,1022511936,0,0,-61567142.75,-61567142.75,0,0,40,0.3488218784
41,0,-61765904.84,-60778035,-198762.0917,789107.7511,-0.007772524717,0.0308577931,987869.8428,0.03863031782,1.935974104,1.935974104,50620300,125007048,0,0,-61567142.75,-61567142.75,0,0,41,0.3607902527
