it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,4656.363636,4146,-398.7272727,-909.0909091,-0.75,-1.70998632,-510.3636364,-0.9599863201,18.28282828,18.28282828,1,8.071428571,0,0,5055.090909,0,1,0,0,0.0002064704895
1,0,4778.77551,4164,-276.3153989,-891.0909091,-0.5197451073,-1.676128591,-614.7755102,-1.156383484,8.153061224,8.153061224,1,10.07142857,0,0,5055.090909,5055.090909,0,0,1,0.01383280754
2,0,4787.754098,4331,-267.3368107,-724.0909091,-0.5028565181,-1.362004104,-456.7540984,-0.8591475858,7.152224824,7.152224824,1,9.071428571,0,0,5055.090909,5055.090909,0,0,2,0.02106761932
3,0,4788.65445,5338,-266.4364588,282.9090909,-0.5011629698,0.5321477428,549.3455497,1.033310713,7.151832461,14.37696335,2,13.07142857,0,0,5055.090909,5055.090909,0,0,3,0.02591776848
4,0,4897,4897,-158.0909091,-158.0909091,-0.2973666211,-0.2973666211,0,0,0,0,0,0,1,1,5055.090909,5055.090909,0,4897,0,0.03788518906
5,0,4897,6611,-158.0909091,1555.909091,-0.2973666211,2.926641587,1714,3.224008208,0,23,12,67.72857143,0,0,5055.090909,5055.090909,0,4897,1,0.0489783287
6,0,4925,4925,-130.0909091,-130.0909091,-0.2446990424,-0.2446990424,0,0,0,0,0,0,1,0,5055.090909,5055.090909,0,4897,2,0.05938839912
7,0,4925,6639,-130.0909091,1583.909091,-0.2446990424,2.979309166,1714,3.224008208,0,23,12,69.81190476,0,0,5055.090909,5055.090909,0,4897,3,0.06947684288
8,0,4897,81621,-158.0909091,76565.90909,-0.2973666211,144.0193228,76724,144.3166895,0,414,47,1472.165476,0,0,5055.090909,5055.090909,0,4897,4,0.08025932312
9,0,5055.090909,4758,-9.094947018e-13,-297.0909091,-1.710745848e-15,-0.5588235294,-297.0909091,-0.5588235294,14.65584416,14.65584416,1,6.071428571,0,0,5055.090909,5055.090909,0,4897,5,0.1029586792
10,0,5055.090909,4988,9.094947018e-13,-67.09090909,1.710745848e-15,-0.1261969904,-67.09090909,-0.1261969904,4.273306312,4.273306312,0,0,1,0,5055.090909,5055.090909,0,4897,6,0.121355772
11,0,4988,6180,-67.09090909,1124.909091,-0.1261969904,2.115937073,1192,2.242134063,0,16,12,49.79166667,0,0,5055.090909,5055.090909,0,4897,7,0.1297776699
12,0,4988,79611,-67.09090909,74555.90909,-0.1261969904,140.2385431,74623,140.3647401,0,396,42.00833333,1374.65119,0,0,5055.090909,5055.090909,0,4897,8,0.1406345367
13,0,5055.090909,4324,9.094947018e-13,-731.0909091,1.710745848e-15,-1.375170999,-731.0909091,-1.375170999,14.24216866,14.24216866,1,14.14285714,0,0,5055.090909,5055.090909,0,4897,9,0.1591289043
14,0,5055.090909,4575,9.094947018e-13,-480.0909091,1.710745848e-15,-0.9030437756,-480.0909091,-0.9030437756,5.870534135,5.870534135,1,7.071428571,0,0,5055.090909,5055.090909,0,4897,10,0.1765196323
15,0,5016,5016,-39.09090909,-39.09090909,-0.07352941176,-0.07352941176,0,0,0,0,0,0,1,0,5055.090909,5055.090909,0,4897,11,0.1870577335
16,0,5016,6856,-39.09090909,1800.909091,-0.07352941176,3.3874829,1840,3.461012312,0,24,12,71.18095238,0,0,5055.090909,5055.090909,0,4897,12,0.1966404915
17,0,5016,75399,-39.09090909,70343.90909,-0.07352941176,132.3158345,70383,132.3893639,0,386,48,1328.796429,0,0,5055.090909,5055.090909,0,4897,13,0.2077269554
18,0,5055.090909,3872,0,-1183.090909,0,-2.225376197,-1183.090909,-2.225376197,19.57255111,19.57255111,1,24.21428571,0,0,5055.090909,5055.090909,0,4897,14,0.2275736332
19,0,5055.090909,4588,0,-467.0909091,0,-0.8785909713,-467.0909091,-0.8785909713,8.69277817,8.69277817,1,13.10714286,0,0,5055.090909,5055.090909,0,4897,15,0.2404079437
20,0,5055.090909,5058,0,2.909090909,0,0.005471956224,2.909090909,0.005471956224,5.278476828,5.278476828,0,0,1,0,5055.090909,5055.090909,0,4897,16,0.2462596893
21,0,5055.090909,6298,0,1242.909091,0,2.337893297,1242.909091,2.337893297,0.192336589,20.80766341,6,22.95833333,0,0,5055.090909,5055.090909,0,4897,17,0.2570707798
22,0,4951.759259,4121,-103.3316498,-934.0909091,-0.1943652784,-1.757010944,-830.7592593,-1.562645666,5.148148148,5.148148148,1,15.14285714,0,0,5055.090909,5055.090909,0,4897,18,0.2753534317
23,0,4979,4979,-76.09090909,-76.09090909,-0.143125855,-0.143125855,0,0,0,0,0,0,1,0,5055.090909,5055.090909,0,4897,19,0.2820153236
24,0,4979,6895,-76.09090909,1839.909091,-0.143125855,3.460841313,1916,3.603967168,0,25,12,77.29642857,0,0,5055.090909,5055.090909,0,4897,20,0.2884817123
25,0,4979,82732,-76.09090909,77676.90909,-0.143125855,146.1090971,77753,146.252223,0,423,46,1461.629762,0,0,5055.090909,5055.090909,0,4897,21,0.294315815
26,0,5055.090909,4236,0,-819.0909091,0,-1.540697674,-819.0909091,-1.540697674,17.09864628,17.09864628,1,19.17857143,0,0,5055.090909,5055.090909,0,4897,22,0.3091917038
27,0,5022,5022,-33.09090909,-33.09090909,-0.06224350205,-0.06224350205,0,0,0,0,0,0,1,0,5055.090909,5055.090909,0,4897,23,0.3218560219
28,0,5022,6119,-33.09090909,1063.909091,-0.06224350205,2.00119699,1097,2.063440492,0,13,11,43.64761905,0,0,5055.090909,5055.090909,0,4897,24,0.3307876587
29,0,5022,82338,-33.09090909,77282.90909,-0.06224350205,145.3679891,77316,145.4302326,0,408,46.23333333,1475.661905,0,0,5055.090909,5055.090909,0,4897,25,0.338457346
30,0,5055.090909,4762,9.094947018e-13,-293.0909091,1.710745848e-15,-0.5512995896,-293.0909091,-0.5512995896,8.338278826,8.338278826,1,4.035714286,0,0,5055.090909,5055.090909,0,4897,26,0.3528814316
31,0,5001,5001,-54.09090909,-54.09090909,-0.101744186,-0.101744186,0,0,0,0,0,0,1,0,5055.090909,5055.090909,0,4897,27,0.3619165421
32,0,5001,6981,-54.09090909,1925.909091,-0.101744186,3.622606019,1980,3.724350205,0,29,12,82.95119048,0,0,5055.090909,5055.090909,0,4897,28,0.36895895
33,0,5001,82102,-54.09090909,77046.90909,-0.101744186,144.9240766,77101,145.0258208,0,411,43.79166667,1437.113095,0,0,5055.090909,5055.090909,0,4897,29,0.378439188
34,0,5055.090909,4590,0,-465.0909091,0,-0.8748290014,-465.0909091,-0.8748290014,11.83504498,11.83504498,1,9.107142857,0,0,5055.090909,5055.090909,0,4897,30,0.3938295841
35,0,5055.090909,5039,0,-16.09090909,0,-0.03026675787,-16.09090909,-0.03026675787,1.043296893,1.043296893,0.01666666667,0.01666666667,0,0,5055.090909,5055.090909,0,4897,31,0.4109349251
36,0,5047.777778,7772,-7.313131313,2716.909091,-0.01375588995,5.110465116,2724.222222,5.124221006,0.2222222222,17.77777778,12,39.9452381,0,0,5055.090909,5055.090909,0,4897,32,0.4227097034
37,0,5055.090909,84364,0,79308.90909,0,149.1788646,79308.90909,149.1788646,0.4073647871,433,50,1511.034524,0,0,5055.090909,5055.090909,0,4897,33,0.4365878105
38,0,5055.090909,4175,9.094947018e-13,-880.0909091,1.710745848e-15,-1.655437756,-880.0909091,-1.655437756,14.5642641,14.5642641,1,18.17857143,0,0,5055.090909,5055.090909,0,4897,34,0.4551548958
39,0,5055.090909,4574,0,-481.0909091,0,-0.9049247606,-481.0909091,-0.9049247606,6.551529807,6.551529807,1,8.071428571,0,0,5055.090909,5055.090909,0,4897,35,0.4734737873
40,0,5055.090909,4695,0,-360.0909091,0,-0.6773255814,-360.0909091,-0.6773255814,5.646503955,5.646503955,1,8.071428571,0,0,5055.090909,5055.090909,0,4897,36,0.4812948704
41,0,5055.090909,4921,0,-134.0909091,0,-0.2522229822,-134.0909091,-0.2522229822,4.418289734,4.418289734,1,4.035714286,0,0,5055.090909,5055.090909,0,4897,37,0.4879658222
42,0,5055.090909,5931,-9.094947018e-13,875.9090909,-1.710745848e-15,1.647571819,875.9090909,1.647571819,4.028332634,13.97166737,3,17.20357143,0,0,5055.090909,5055.090909,0,4897,38,0.4919378757
43,0,5007,5007,-48.09090909,-48.09090909,-0.09045827633,-0.09045827633,0,0,0,0,0,0,1,0,5055.090909,5055.090909,0,4897,39,0.5122294426
44,0,5007,6417,-48.09090909,1361.909091,-0.09045827633,2.561730506,1410,2.652188782,0,21,12,58.27380952,0,0,5055.090909,5055.090909,0,4897,40,0.5214905739
45,0,5007,77644,-48.09090909,72588.90909,-0.09045827633,136.5386457,72637,136.629104,0,394,43.36666667,1378.866667,0,0,5055.090909,5055.090909,0,4897,41,0.5340850353
46,0,5055.090909,4285,0,-770.0909091,0,-1.448529412,-770.0909091,-1.448529412,11.82830048,11.82830048,1,18.17857143,0,0,5055.090909,5055.090909,0,4897,42,0.5489037037
47,0,5055.090909,5000,0,-55.09090909,0,-0.103625171,-55.09090909,-0.103625171,3.585151353,3.585151353,0.1083333333,0.1083333333,0,0,5055.090909,5055.090909,0,4897,43,0.5621302128
48,0,5039.52,5493,-15.57090909,437.9090909,-0.02928864569,0.8237004104,453.48,0.8529890561,1.872,10.752,2,12.07142857,0,0,5055.090909,5055.090909,0,4897,44,0.5756688118
49,0,5055.090909,4987,0,-68.09090909,0,-0.1280779754,-68.09090909,-0.1280779754,2.758112773,2.758112773,0,0,1,0,5055.090909,5055.090909,0,4897,45,0.5902423859
