it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,4656.363636,4148,-255.3181818,-763.6818182,-0.5,-1.495549226,-508.3636364,-0.9955492256,17.85858586,17.85858586,1,8.071428571,0,0,4911.681818,0,1,0,0,0.0001809597015
1,0,4750.343216,4335,-161.3386027,-576.6818182,-0.3159559604,-1.129339505,-415.3432155,-0.8133835447,7.711516534,7.711516534,1,4.035714286,0,0,4911.681818,0,1,0,1,0.01818680763
2,0,4771.484733,5801,-140.1970854,889.3181818,-0.2745536655,1.741588036,1029.515267,2.016141702,6.633587786,12.89312977,2,8.107142857,0,0,4911.681818,0,1,0,2,0.02773118019
3,0,5137.666667,5017,225.9848485,105.3181818,0.442555338,0.2062488873,-120.6666667,-0.2363064507,4.333333333,4.333333333,1,2.035714286,0,0,4911.681818,0,1,0,3,0.04498147964
4,0,5094,5094,182.3181818,182.3181818,0.3570411252,0.3570411252,0,0,0,0,0,0,1,1,4911.681818,0,1,5094,0,0.05375933647
5,0,5094,9636,182.3181818,4724.318182,0.3570411252,9.251824818,4542,8.894783692,0,23,22,84.62142857,0,0,4911.681818,0,1,5094,1,0.06302523613
6,0,5094,82140,182.3181818,77228.31818,0.3570411252,151.2393626,77046,150.8823215,0,414,46,1469.407143,0,0,4911.681818,0,1,5094,2,0.07276701927
7,0,5300.875,4485,389.1931818,-426.6818182,0.7621728681,-0.8355883924,-815.875,-1.59776126,18.59615385,18.59615385,1,16.17857143,0,0,4911.681818,0,1,5094,3,0.09824919701
8,0,5364,5364,452.3181818,452.3181818,0.885793128,0.885793128,0,0,0,0,0,0,1,0,4911.681818,0,1,5094,4,0.1124255657
9,0,5364,10121,452.3181818,5209.318182,0.885793128,10.20162008,4757,9.315826954,0,24,23,86.73214286,0,0,4911.681818,0,1,5094,5,0.1204786301
10,0,5364,80867,452.3181818,75955.31818,0.885793128,148.7463949,75503,147.8606017,0,396,41.88333333,1390.669048,0,0,4911.681818,0,1,5094,6,0.1253194809
11,0,5362.940614,4107,451.258796,-804.6818182,0.8837184895,-1.575841196,-1255.940614,-2.459559686,15.94495944,15.94495944,1,17.21428571,0,0,4911.681818,0,1,5094,7,0.1479289532
12,0,5317.25,5333,405.5681818,421.3181818,0.7942406979,0.8250845647,15.75,0.03084386683,1.730769231,1.730769231,0,0,1,0,4911.681818,0,1,5094,8,0.1648161411
13,0,5333,7899,421.3181818,2987.318182,0.8250845647,5.850186933,2566,5.025102368,0,13,12,48.68928571,0,0,4911.681818,0,1,5094,9,0.1726381779
14,0,5333,77563,421.3181818,72651.31818,0.8250845647,142.276037,72230,141.4509525,0,386,48,1358.258333,0,0,4911.681818,0,1,5094,10,0.1827776432
15,0,5454.827899,4010,543.1460804,-901.6818182,1.063665103,-1.765800249,-1444.827899,-2.829465352,20.4057971,20.4057971,1,22.25,0,0,4911.681818,0,1,5094,11,0.2068309784
16,0,5495.571429,5282,583.8896104,370.3181818,1.143454818,0.7252091864,-213.5714286,-0.4182456319,3.285714286,3.285714286,1,2.069047619,0,0,4911.681818,0,1,5094,12,0.2231371403
17,0,5500,5501,588.3181818,589.3181818,1.15212747,1.154085811,1,0.001958340751,0.8,0.8,0.03333333333,0.03333333333,0,0,4911.681818,0,1,5094,13,0.2363340855
18,0,5499.4,9193,587.7181818,4281.318182,1.150952466,8.384279865,3693.6,7.233327399,0.4,22.6,18,68.32857143,0,0,4911.681818,0,1,5094,14,0.24193573
19,0,5485,5485,573.3181818,573.3181818,1.122752359,1.122752359,0,0,0,0,0,0,1,0,4911.681818,0,1,5094,15,0.2517743111
20,0,5485,9837,573.3181818,4925.318182,1.122752359,9.645451309,4352,8.52269895,0,22,21,80.26071429,0,0,4911.681818,0,1,5094,16,0.2617340088
21,0,5485,83827,573.3181818,78915.31818,1.122752359,154.5430835,78342,153.4203311,0,423,46,1496.844048,0,0,4911.681818,0,1,5094,17,0.2676849365
22,0,5497.317352,4657,585.6355334,-254.6818182,1.14687393,-0.4987537832,-840.3173516,-1.645627714,12.64687976,12.64687976,1,14.14285714,0,0,4911.681818,0,1,5094,18,0.2950127125
23,0,5495,5495,583.3181818,583.3181818,1.142335766,1.142335766,0,0,0,0,0,0,1,0,4911.681818,0,1,5094,19,0.3146669865
24,0,5495,7856,583.3181818,2944.318182,1.142335766,5.76597828,2361,4.623642514,0,12,11,45.15357143,0,0,4911.681818,0,1,5094,20,0.3252155781
25,0,5495,81983,583.3181818,77071.31818,1.142335766,150.9319032,76488,149.7895674,0,408,46.54166667,1459.827381,0,0,4911.681818,0,1,5094,21,0.3309593201
26,0,5423.939822,4472,512.2580035,-439.6818182,1.003175723,-0.8610468221,-951.9398217,-1.864222546,16.05572065,16.05572065,1,17.17857143,0,0,4911.681818,0,1,5094,22,0.3564412594
27,0,5472.25,5461,560.5681818,549.3181818,1.097783514,1.075752181,-11.25,-0.02203133345,2.142857143,2.142857143,0.04166666667,0.04166666667,0,0,4911.681818,0,1,5094,23,0.3733668327
28,0,5455.866667,5552,544.1848485,640.3181818,1.065699365,1.253961189,96.13333333,0.1882618242,1.066666667,16.6,1,13.03571429,0,0,4911.681818,0,1,5094,24,0.3833487034
29,0,5333,5333,421.3181818,421.3181818,0.8250845647,0.8250845647,0,0,0,0,0,0,1,0,4911.681818,0,1,5094,25,0.3958415985
30,0,5333,11179,421.3181818,6267.318182,0.8250845647,12.2735446,5846,11.44846003,0,29,28,101.8607143,0,0,4911.681818,0,1,5094,26,0.4054336548
31,0,5333,82160,421.3181818,77248.31818,0.8250845647,151.2785295,76827,150.4534449,0,411,44.00833333,1449.40119,0,0,4911.681818,0,1,5094,27,0.4165275097
32,0,5259.78022,4490,348.0984016,-421.6818182,0.6816952853,-0.8257966886,-769.7802198,-1.507491974,13.31868132,13.31868132,1,12.14285714,0,0,4911.681818,0,1,5094,28,0.4422483444
33,0,5166.830508,4882,255.1486903,-29.68181818,0.4996680778,-0.05812711412,-284.8305085,-0.557795192,4,4,1,6.071428571,0,0,4911.681818,0,1,5094,29,0.4632344246
34,0,5174.660714,6478,262.9788961,1566.318182,0.515002289,3.067384725,1303.339286,2.552382436,4,14,4,27.30238095,0,0,4911.681818,0,1,5094,30,0.4699866772
35,0,5189,5083,277.3181818,171.3181818,0.5430834965,0.3354993769,-106,-0.2075841196,5,5,1,3.035714286,0,0,4911.681818,0,1,5094,31,0.4869978428
36,0,5120,5120,208.3181818,208.3181818,0.4079579847,0.4079579847,0,0,0,0,0,0,1,0,4911.681818,0,1,5094,32,0.5028178692
37,0,5120,10966,208.3181818,6054.318182,0.4079579847,11.85641802,5846,11.44846003,0,29,28,102.227381,0,0,4911.681818,0,1,5094,33,0.5078942776
38,0,5120,85350,208.3181818,80438.31818,0.4079579847,157.5256365,80230,157.1176785,0,433,52,1516.219048,0,0,4911.681818,0,1,5094,34,0.5184130669
39,0,5310.58982,3590,398.9080022,-1321.681818,0.7811977967,-2.588303365,-1720.58982,-3.369501161,17.86009799,17.86009799,1,29.28571429,0,0,4911.681818,0,1,5094,35,0.5405535698
40,0,5265.258065,4607,353.5762463,-304.6818182,0.6924227719,-0.5966708207,-658.2580645,-1.289093593,8.096774194,8.096774194,1,11.10714286,0,0,4911.681818,0,1,5094,36,0.5574622154
41,0,5260,5260,348.3181818,348.3181818,0.6821256899,0.6821256899,0,0,0,0,0,0,1,0,4911.681818,0,1,5094,37,0.563690424
42,0,5260,8229,348.3181818,3317.318182,0.6821256899,6.49643938,2969,5.814313691,0,15,14,56.31904762,0,0,4911.681818,0,1,5094,38,0.5718986988
43,0,5260,78089,348.3181818,73177.31818,0.6821256899,143.3061243,72829,142.6239986,0,394,43.4,1384.971429,0,0,4911.681818,0,1,5094,39,0.579656601
44,0,5330.222222,4306,418.540404,-605.6818182,0.8196447293,-1.186131387,-1024.222222,-2.005776116,10.33333333,10.33333333,1,18.17857143,0,0,4911.681818,0,1,5094,40,0.6005637646
45,0,5292,5292,380.3181818,380.3181818,0.7447925939,0.7447925939,0,0,0,0,0,0,1,0,4911.681818,0,1,5094,41,0.6158378124
46,0,5292,7653,380.3181818,2741.318182,0.7447925939,5.368435108,2361,4.623642514,0,12,11,45.33690476,0,0,4911.681818,0,1,5094,42,0.6267569065
47,0,5292,80004,380.3181818,75092.31818,0.7447925939,147.0563468,74712,146.3115542,0,395,45.30833333,1416.20119,0,0,4911.681818,0,1,5094,43,0.6372208595
48,0,5239.336356,4165,327.654538,-746.6818182,0.641659234,-1.462257433,-1074.336356,-2.103916667,17.26133553,17.26133553,1,19.21428571,0,0,4911.681818,0,1,5094,44,0.6600551605
