it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,4656.363636,4148,-255.3181818,-763.6818182,-0.5,-1.495549226,-508.3636364,-0.9955492256,17.85858586,17.85858586,1,8.071428571,0,0,4911.681818,0,1,0,0,0.0001816749573
1,0,4750.343216,4335,-161.3386027,-576.6818182,-0.3159559604,-1.129339505,-415.3432155,-0.8133835447,7.711516534,7.711516534,1,4.035714286,0,0,4911.681818,0,1,0,1,0.01819825172
2,0,4771.484733,5801,-140.1970854,889.3181818,-0.2745536655,1.741588036,1029.515267,2.016141702,6.633587786,12.89312977,2,8.107142857,0,0,4911.681818,0,1,0,2,0.02774858475
3,0,5137.666667,5017,225.9848485,105.3181818,0.442555338,0.2062488873,-120.6666667,-0.2363064507,4.333333333,4.333333333,1,2.035714286,0,0,4911.681818,0,1,0,3,0.04498720169
4,0,5094,5094,182.3181818,182.3181818,0.3570411252,0.3570411252,0,0,0,0,0,0,1,1,4911.681818,0,1,5094,0,0.05376958847
5,0,5072.118182,4443,160.4363636,-468.6818182,0.3141890689,-0.9178387039,-629.1181818,-1.232027773,0.7196839183,22.41739873,1,13.71904762,0,0,4911.681818,5072.118182,0,5094,1,0.07184767723
6,0,4764.382022,4033,-147.2997957,-878.6818182,-0.2884631926,-1.720758412,-731.3820225,-1.432295219,9,9,1,17.14285714,0,0,4911.681818,5072.118182,0,5094,2,0.09359908104
7,0,4787.137203,4386,-124.544615,-525.6818182,-0.2439007949,-1.029464127,-401.1372032,-0.7855633318,6.366754617,6.366754617,1,5.035714286,0,0,4911.681818,5072.118182,0,5094,3,0.1040005684
8,0,4792.666667,6264,-119.0151515,1352.318182,-0.2330722212,2.648299804,1471.333333,2.881372025,6.333333333,16.66666667,3,24.62261905,0,0,4911.681818,5072.118182,0,5094,4,0.1173126698
9,0,5072.118182,4424,160.4363636,-487.6818182,0.3141890689,-0.9550471782,-648.1181818,-1.269236247,5.194422238,5.194422238,1,14.14285714,0,0,4911.681818,5072.118182,0,5094,5,0.1367065907
10,0,5017.096774,4657,105.414956,-254.6818182,0.2064384042,-0.4987537832,-360.0967742,-0.7051921873,4.35483871,4.35483871,1,4.035714286,0,0,4911.681818,5072.118182,0,5094,6,0.1473476887
11,0,4978.480916,6284,66.79909785,1372.318182,0.1308153955,2.687466619,1305.519084,2.556651224,3.381679389,12.61832061,4,15.7452381,0,0,4911.681818,5072.118182,0,5094,7,0.1609728336
12,0,5072.118182,4814,160.4363636,-97.68181818,0.3141890689,-0.1912942852,-258.1181818,-0.5054833541,3.589600283,3.589600283,1,3.035714286,0,0,4911.681818,5072.118182,0,5094,8,0.1747374535
13,0,5072.118182,6927,160.4363636,2015.318182,0.3141890689,3.946679722,1854.881818,3.632490653,3.295951705,14.7040483,7,34.3797619,0,0,4911.681818,5072.118182,0,5094,9,0.1865577698
14,0,5005.4,4854,93.71818182,-57.68181818,0.1835321346,-0.1129606552,-151.4,-0.2964927897,3.6,3.6,0.1333333333,0.1333333333,0,0,4911.681818,5072.118182,0,5094,10,0.2057094574
15,0,4917.51145,6805,5.8296322,1893.318182,0.0114164063,3.707762151,1887.48855,3.696345744,1.832061069,19.16793893,6,29.95,0,0,4911.681818,5072.118182,0,5094,11,0.2176818848
16,0,5072.118182,5092,160.4363636,180.3181818,0.3141890689,0.3531244437,19.88181818,0.03893537476,0.4878973787,0.4878973787,0,0,1,1,4911.681818,5072.118182,0,5092,0,0.2303216457
17,0,5070.218182,6041,158.5363636,1129.318182,0.3104682215,2.211589817,970.7818182,1.901121595,0.5345231456,9.465476854,5,22.80595238,0,0,4911.681818,5070.218182,0,5092,1,0.2372140884
18,0,4665.076364,4147,-246.6054545,-764.6818182,-0.4829375111,-1.497507566,-518.0763636,-1.014570055,12.66461851,12.66461851,1,8.071428571,0,0,4911.681818,4665.076364,0,5092,2,0.2513828278
19,0,4751.335244,5149,-160.3465746,237.3181818,-0.3140132314,0.4647498665,397.6647564,0.7787630979,6.607449857,10.53581662,2,11.11904762,0,0,4911.681818,5070.218182,0,5092,3,0.266320467
20,0,4883.226713,4738,-28.4551055,-173.6818182,-0.05572479268,-0.3401281823,-145.2267127,-0.2844033896,4.735745124,4.735745124,1,1.119047619,0,0,4911.681818,4883.226713,0,5092,4,0.280528307
21,0,4824.181818,4736,-87.5,-175.6818182,-0.1713548157,-0.3440448638,-88.18181818,-0.1726900481,3.636363636,3.636363636,0.08333333333,0.08333333333,0,0,4911.681818,4883.226713,0,5092,5,0.2876896858
22,0,4779.8125,6358,-131.8693182,1446.318182,-0.2582450596,2.832383835,1578.1875,3.090628894,1.75,21.25,2,20.41190476,0,0,4911.681818,5070.218182,0,5092,6,0.2972884178
23,0,4883.226713,4935,-28.4551055,23.31818182,-0.05572479268,0.0456649457,51.77328731,0.1013897384,4.175265106,4.175265106,0,0,1,1,4911.681818,4883.226713,0,4935,0,0.3123416901
24,0,4899.172447,4841,-12.50937093,-70.68181818,-0.02449761087,-0.1384190849,-58.17244725,-0.1139214741,2.132592425,22.42188161,1.041666667,15.11309524,0,0,4911.681818,4899.172447,0,4935,1,0.321668148
25,0,4736.478261,4122,-175.2035573,-789.6818182,-0.3431082661,-1.546466085,-614.4782609,-1.203357819,9.043478261,9.043478261,1,6.071428571,0,0,4911.681818,4899.172447,0,4935,2,0.343118906
26,0,4812.98,3871,-98.70181818,-1040.681818,-0.1932917928,-2.038009614,-941.98,-1.844717821,6.36,6.36,1,18.21428571,0,0,4911.681818,4921.068182,0,4935,3,0.3516964912
27,0,4847.980198,4466,-63.70162016,-445.6818182,-0.1247494787,-0.8727968667,-381.980198,-0.748047388,6.089108911,6.089108911,1,8.107142857,0,0,4911.681818,4921.068182,0,4935,4,0.3622169495
28,0,4921.068182,4679,9.386363636,-232.6818182,0.01838169842,-0.4556702866,-242.0681818,-0.474051985,5.111881021,5.111881021,1,5.071428571,0,0,4911.681818,4921.068182,0,4935,5,0.3718965054
29,0,4921.068182,4905,9.386363636,-6.681818182,0.01838169842,-0.01308527684,-16.06818182,-0.03146697525,4.158383902,4.158383902,1,1.119047619,0,0,4911.681818,4921.068182,0,4935,6,0.3777515888
30,0,4921.068182,6433,9.386363636,1521.318182,0.01838169842,2.979259391,1511.931818,2.960877693,3.69305839,21.30694161,6,28.47380952,0,0,4911.681818,4921.068182,0,4935,7,0.3831658363
31,0,4906.5,4032,-5.181818182,-879.6818182,-0.01014776571,-1.722716753,-874.5,-1.712568987,5,5,1,16.17857143,0,0,4911.681818,4921.068182,0,4935,8,0.400251627
32,0,4909.973684,7960,-1.708133971,3048.318182,-0.003345108365,5.969645718,3050.026316,5.972990827,5,15,7,57.30238095,0,0,4911.681818,4921.068182,0,4935,9,0.4158682823
33,0,4910.5,4257,-1.181818182,-654.6818182,-0.002314402706,-1.282090084,-653.5,-1.279775681,5,5,1,14.14285714,0,0,4911.681818,4921.068182,0,4935,10,0.4314408302
34,0,4921.068182,4676,9.386363636,-235.6818182,0.01838169842,-0.4615453089,-245.0681818,-0.4799270073,4.547693296,4.547693296,1,7.071428571,0,0,4911.681818,4921.068182,0,4935,11,0.4493784904
35,0,4921.068182,6494,9.386363636,1582.318182,0.01838169842,3.098718177,1572.931818,3.080336479,4.466058865,20.53394114,5,39.25119048,0,0,4911.681818,4921.068182,0,4935,12,0.457742691
36,0,4921.068182,4487,9.386363636,-424.6818182,0.01838169842,-0.8316717109,-434.0681818,-0.8500534093,5.870479268,5.870479268,1,9.107142857,0,0,4911.681818,4921.068182,0,4935,13,0.4768989086
37,0,4921.068182,4904,9.386363636,-7.681818182,0.01838169842,-0.01504361759,-17.06818182,-0.033425316,3.831437721,3.831437721,1,1.119047619,0,0,4911.681818,4921.068182,0,4935,14,0.4894387722
38,0,4921.068182,4991,9.386363636,79.31818182,0.01838169842,0.1553320278,69.93181818,0.1369503294,3.68240031,12.87489085,2,9.107142857,0,0,4911.681818,4921.068182,0,4935,15,0.497477293
39,0,4906.631579,4056,-5.050239234,-855.6818182,-0.009890089297,-1.675716575,-850.6315789,-1.665826485,5,5,1,16.17857143,0,0,4911.681818,4921.068182,0,4935,16,0.5163230896
40,0,4906.565217,4687,-5.116600791,-224.6818182,-0.01002004784,-0.4400035606,-219.5652174,-0.4299835128,3.913043478,3.913043478,1,5.154761905,0,0,4911.681818,4921.068182,0,4935,17,0.5313742161
41,0,4921.068182,8461,9.386363636,3549.318182,0.01838169842,6.950774435,3539.931818,6.932392736,3.837327954,24.16267205,13,66.08928571,0,0,4911.681818,4921.068182,0,4935,18,0.5436544418
42,0,4905.5,4260,-6.181818182,-651.6818182,-0.01210610646,-1.276215061,-645.5,-1.264108955,4,4,1,12.14285714,0,0,4911.681818,4921.068182,0,4935,19,0.5550444126
43,0,4907.921053,7137,-3.76076555,2225.318182,-0.007364860433,4.35793128,2229.078947,4.36529614,4,12,6,46.5202381,0,0,4911.681818,4921.068182,0,4935,20,0.569909811
44,0,4905.5,82718,-6.181818182,77806.31818,-0.01210610646,152.3712836,77812.5,152.3833897,4,418,45.44166667,1484.941667,0,0,4911.681818,4921.068182,0,4935,21,0.5815751553
45,0,4908.568182,4118,-3.113636364,-793.6818182,-0.006097560976,-1.554299448,-790.5681818,-1.548201887,12.37054187,12.37054187,1,16.14285714,0,0,4911.681818,4908.568182,0,4935,22,0.601339817
46,0,4921.068182,4334,9.386363636,-577.6818182,0.01838169842,-1.131297846,-587.0681818,-1.149679544,6.195739446,6.195739446,1,12.10714286,0,0,4911.681818,4921.068182,0,4935,23,0.6202082634
47,0,4921.068182,7262,9.386363636,2350.318182,0.01838169842,4.602723874,2340.931818,4.584342176,5.423845472,19.07489497,5,45.47619048,0,0,4911.681818,4921.068182,0,4935,24,0.6250622272
48,0,4921.068182,4535,9.386363636,-376.6818182,0.01838169842,-0.7376713548,-386.0681818,-0.7560530532,6.171413682,6.171413682,1,8.071428571,0,0,4911.681818,4921.068182,0,4935,25,0.6359188557
49,0,4921.068182,5796,9.386363636,884.3181818,0.01838169842,1.731796333,874.9318182,1.713414634,4.797957072,11.44008626,3,19.7452381,0,0,4911.681818,4921.068182,0,4935,26,0.6520724297
50,0,4661.936364,3678,-249.7454545,-1233.681818,-0.4890867011,-2.415969379,-983.9363636,-1.926882678,11.83581886,11.83581886,1,18.17857143,0,0,4911.681818,4661.936364,0,4935,27,0.6668796539
51,0,4690.568182,4103,-221.1136364,-808.6818182,-0.4330158448,-1.583674559,-587.5681818,-1.150658715,6.966157457,6.966157457,1,12.10714286,0,0,4911.681818,4690.568182,0,4935,28,0.6757931709
52,0,4747.48855,4741,-164.1932686,-170.6818182,-0.3215463689,-0.33425316,-6.488549618,-0.01270679113,0.3816793893,0.3816793893,0.008333333333,0.008333333333,0,0,4911.681818,4921.068182,0,4935,29,0.683770895
53,0,4746.214724,6886,-165.4670943,1974.318182,-0.3240409537,3.866387751,2139.785276,4.190428705,0.1840490798,25.81595092,7,29.62738095,0,0,4911.681818,4921.068182,0,4935,30,0.6926116943
