it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,52000,32800,-2781450,-2800650,-0.75,-0.7551771558,-19200,-0.0051771558,56.94139151,56.94139151,2,58,0,0,2833450,0,1,0,0,0.001163005829
1,0,66452.38095,58800,-2766997.619,-2774650,-0.746103009,-0.748166424,-7652.380952,-0.002063415022,26.05151515,26.05151515,1,24,0,0,2833450,2833450,0,0,1,0.3716990948
2,0,66624.36975,60800,-2766825.63,-2772650,-0.7460566333,-0.7476271369,-5824.369748,-0.001570503626,22.30112045,22.30112045,2,24,0,0,2833450,2833450,0,0,2,0.4872367382
3,0,66371.70716,60800,-2767078.293,-2772650,-0.7461247621,-0.7476271369,-5571.707161,-0.001502374794,21.11459475,21.11459475,1,22,0,0,2833450,2833450,0,0,3,0.5945544243
4,0,65303.35678,60800,-2768146.643,-2772650,-0.7464128359,-0.7476271369,-4503.356777,-0.001214301024,21.11459475,21.50207981,2,35,0,0,2833450,2833450,0,0,4,0.6594848633
5,0,83017.3913,73800,-2750432.609,-2759650,-0.7416363611,-0.744121771,-9217.391304,-0.00248540994,7.459627329,7.459627329,1,10,0,0,2833450,2833450,0,0,5,0.7514591217
6,0,80517.3913,91800,-2752932.609,-2741650,-0.7423104699,-0.7392681875,11282.6087,0.00304228245,7.459627329,16.30394637,5,52,0,0,2833450,2833450,0,0,6,0.8206419945
7,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,3.166666667,3.166666667,1,4,0,0,2833450,2833450,0,0,7,0.8972935677
8,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,3,20,21,82,0,0,2833450,2833450,0,0,8,0.9534220695
9,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,2.119047619,2.119047619,2,4,0,0,2833450,2833450,0,0,9,1.009296417
10,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,2.085714286,13.91428571,14,44,0,0,2833450,2833450,0,0,10,1.069402218
11,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,3,3,1,5,0,0,2833450,2833450,0,0,11,1.130022526
12,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,3,15,17,55,0,0,2833450,2833450,0,0,12,1.186585188
13,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,1.285714286,1.285714286,1,2,0,0,2833450,2833450,0,0,13,1.245584965
14,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,1.285714286,19.71428571,17,70,0,0,2833450,2833450,0,0,14,1.302179575
15,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,1.285714286,1.285714286,1,2,0,0,2833450,2833450,0,0,15,1.357046604
16,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,1.285714286,8.714285714,8,28,0,0,2833450,2833450,0,0,16,1.409747601
17,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,1,1,1,1,0,0,2833450,2833450,0,0,17,1.464499235
18,0,91800,91800,-2741650,-2741650,-0.7392681875,-0.7392681875,0,0,1,10,10,37,0,0,2833450,2833450,0,0,18,1.521296263
19,0,91800,20113600,-2741650,17280150,-0.7392681875,4.659480667,20021800,5.398748854,1.285714286,4525.285714,1124,18544,0,0,2833450,2833450,0,0,19,1.575686693
20,0,2506400,2506400,-327050,-327050,-0.0881869169,-0.0881869169,0,0,15.98404558,15.98404558,1,15,0,0,2833450,2833450,0,0,20,1.690741539
21,0,2506400,2506400,-327050,-327050,-0.0881869169,-0.0881869169,0,0,12.83333333,13.17424242,6,33,0,0,2833450,2833450,0,0,21,1.767285347
22,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,5.5,5.5,1,7,0,0,2833450,2833450,0,0,22,1.825031519
23,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,5.166666667,5.166666667,1,7,0,0,2833450,2833450,0,0,23,1.884617329
24,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,5.166666667,9.352813853,6,20,0,0,2833450,2833450,0,0,24,1.941591263
25,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,4.133333333,4.133333333,1,4,0,0,2833450,2833450,0,0,25,2.00954771
26,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,3.333333333,13.66666667,9,64,0,0,2833450,2833450,0,0,26,2.066476345
27,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,2,2,1,2,0,0,2833450,2833450,0,0,27,2.122992754
28,0,2475600,2530200,-357850,-303250,-0.09649193766,-0.08176940085,54600,0.01472253681,2,27,25,91,0,0,2833450,2833450,0,0,28,2.179889441
29,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,1.5,1.5,1,2,0,0,2833450,2833450,0,0,29,2.236981392
30,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,1.4,11.6,21,51,0,0,2833450,2833450,0,0,30,2.295065403
31,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,0.6666666667,0.6666666667,1,1,0,0,2833450,2833450,0,0,31,2.352377415
32,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,0.6666666667,12.33333333,21,49,0,0,2833450,2833450,0,0,32,2.409557581
33,0,2475600,2475600,-357850,-357850,-0.09649193766,-0.09649193766,0,0,0,0,0,0,1,1,2833450,2833450,0,2475600,0,2.467046261
34,0,2475600,2721000,-357850,-112450,-0.09649193766,-0.03032141509,245400,0.06617052257,0,30,28,28,0,0,2833450,2833450,0,2475600,1,2.524576426
35,0,2476800,2476800,-356650,-356650,-0.09616836542,-0.09616836542,0,0,0,0,0,0,1,0,2833450,2833450,0,2475600,2,2.581774473
36,0,2476800,2602800,-356650,-230650,-0.09616836542,-0.06219328048,126000,0.03397508494,0,20,20,20,0,0,2833450,2833450,0,2475600,3,2.639046192
37,0,2476800,20368600,-356650,17535150,-0.09616836542,4.728239767,17891800,4.824408132,0,4460,1279,18472,0,0,2833450,2833450,0,2475600,4,2.696705341
38,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,16.59450549,16.59450549,1,15,0,0,2833450,2833450,0,2475600,5,2.771717072
39,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,11.4,11.4,1,14,0,0,2833450,2833450,0,2475600,6,2.851619959
40,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,11.4,11.4,7,25,0,0,2833450,2833450,0,2475600,7,2.907259941
41,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,6.4,6.4,1,9,0,0,2833450,2833450,0,2475600,8,2.972873926
42,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,5.4,5.4,1,8,0,0,2833450,2833450,0,2475600,9,3.029937267
43,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,5.4,10.6540404,1,7,0,0,2833450,2833450,0,2475600,10,3.086108208
44,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,3.066666667,3.066666667,1,4,0,0,2833450,2833450,0,2475600,11,3.166126966
45,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,3.066666667,13.93333333,13,49,0,0,2833450,2833450,0,2475600,12,3.232385397
46,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,1.857142857,1.857142857,1,1,0,0,2833450,2833450,0,2475600,13,3.289872646
47,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,1,13,20,47,0,0,2833450,2833450,0,2475600,14,3.346053123
48,0,1819600,1819600,-1013850,-1013850,-0.2733780942,-0.2733780942,0,0,0,0,0,0,1,1,2833450,2833450,0,1819600,0,3.404506922
49,0,1819600,1843000,-1013850,-990450,-0.2733780942,-0.2670684355,23400,0.006309658631,0,10,8,8,0,0,2833450,2833450,0,1819600,1,3.462695837
50,0,1820800,1820800,-1012650,-1012650,-0.2730545219,-0.2730545219,0,0,0,0,0,0,1,0,2833450,2833450,0,1819600,2,3.521228552
51,0,1820800,1855600,-1012650,-977850,-0.2730545219,-0.263670927,34800,0.009383594888,0,12,10,10,0,0,2833450,2833450,0,1819600,3,3.579829931
52,0,1822000,1822000,-1011450,-1011450,-0.2727309497,-0.2727309497,0,0,0,0,0,0,1,0,2833450,2833450,0,1819600,4,3.637591839
53,0,1822000,1879600,-1011450,-953850,-0.2727309497,-0.2571994823,57600,0.0155314674,0,15,13,13,0,0,2833450,2833450,0,1819600,5,3.695867062
54,0,1823800,1823800,-1009650,-1009650,-0.2722455913,-0.2722455913,0,0,0,0,0,0,1,0,2833450,2833450,0,1819600,6,3.753844023
55,0,1823800,1957600,-1009650,-875850,-0.2722455913,-0.2361672868,133800,0.03607830448,0,22,20,20,0,0,2833450,2833450,0,1819600,7,3.812177181
56,0,1828000,1828000,-1005450,-1005450,-0.2711130885,-0.2711130885,0,0,0,0,0,0,1,0,2833450,2833450,0,1819600,8,3.870108604
57,0,1828000,2080600,-1005450,-752850,-0.2711130885,-0.2030011325,252600,0.06811195599,0,30,28,28,0,0,2833450,2833450,0,1819600,9,3.928162813
58,0,1832800,1832800,-1000650,-1000650,-0.2698187995,-0.2698187995,0,0,0,0,0,0,1,0,2833450,2833450,0,1819600,10,3.986065865
59,0,1832800,1914400,-1000650,-919050,-0.2698187995,-0.2478158874,81600,0.02200291215,0,16,16,16,0,0,2833450,2833450,0,1819600,11,4.044137478
60,0,1832800,20723800,-1000650,17890350,-0.2698187995,4.824017149,18891000,5.093835949,0,4547,1252,18209,0,0,2833450,2833450,0,1819600,12,4.102941751
61,0,1327800,1327800,-1505650,-1505650,-0.4059887828,-0.4059887828,0,0,17.58181818,17.58181818,2,18,0,0,2833450,2833450,0,1819600,13,4.180612564
62,0,1327800,1327800,-1505650,-1505650,-0.4059887828,-0.4059887828,0,0,14.5,14.5,2,17,0,0,2833450,2833450,0,1819600,14,4.257236481
63,0,1327800,1327800,-1505650,-1505650,-0.4059887828,-0.4059887828,0,0,14.5,14.5,3,30,0,0,2833450,2833450,0,1819600,15,4.318053484
64,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,5.166666667,5.166666667,2,7,0,0,2833450,2833450,0,1819600,16,4.378261089
65,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,5.166666667,13.03787879,9,83,0,0,2833450,2833450,0,1819600,17,4.440200567
66,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,5.5,5.5,2,7,0,0,2833450,2833450,0,1819600,18,4.499629974
67,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,5.333333333,14.66666667,9,65,0,0,2833450,2833450,0,1819600,19,4.567079544
68,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,3.5,3.5,1,4,0,0,2833450,2833450,0,1819600,20,4.62701869
69,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,3.5,7.548989899,8,34,0,0,2833450,2833450,0,1819600,21,4.686362267
70,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,3.333333333,3.333333333,1,3,0,0,2833450,2833450,0,1819600,22,4.755163431
71,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,2.3,2.3,1,2,0,0,2833450,2833450,0,1819600,23,4.82348752
72,0,1319400,1361400,-1514050,-1472050,-0.4082537885,-0.3969287602,42000,0.01132502831,1.5,26.5,15,82,0,0,2833450,2833450,0,1819600,24,4.885501146
73,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,2.528985507,2.528985507,1,3,0,0,2833450,2833450,0,1819600,25,4.945070982
74,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,2.166666667,14.83333333,9,46,0,0,2833450,2833450,0,1819600,26,5.012816668
75,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,2,2,1,2,0,0,2833450,2833450,0,1819600,27,5.071818113
76,0,1319400,1319400,-1514050,-1514050,-0.4082537885,-0.4082537885,0,0,2,15,12,55,0,0,2833450,2833450,0,1819600,28,5.130334377
77,0,1319400,19656600,-1514050,16823150,-0.4082537885,4.536253573,18337200,4.944507361,1.5,4387.25,1213,17769,0,0,2833450,2833450,0,1819600,29,5.190485954
78,0,1426300,1426800,-1407150,-1406650,-0.379428895,-0.3792940732,500,0.0001348217656,13.89047619,13.89047619,3,14,0,0,2833450,2833450,0,1819600,30,5.268762112
79,0,1426800,1426800,-1406650,-1406650,-0.3792940732,-0.3792940732,0,0,6.123809524,6.123809524,3,13,0,0,2833450,2833450,0,1819600,31,5.344420433
80,0,1426800,1426800,-1406650,-1406650,-0.3792940732,-0.3792940732,0,0,6.123809524,23.87619048,12,75,0,0,2833450,2833450,0,1819600,32,5.403148174
81,0,1426800,1426800,-1406650,-1406650,-0.3792940732,-0.3792940732,0,0,1.8,1.8,2,3,0,0,2833450,2833450,0,1819600,33,5.471176863
82,0,1426800,1426800,-1406650,-1406650,-0.3792940732,-0.3792940732,0,0,1.8,15.2,18,50,0,0,2833450,2833450,0,1819600,34,5.527711868
83,0,1426800,1426800,-1406650,-1406650,-0.3792940732,-0.3792940732,0,0,0,0,0,0,1,1,2833450,2833450,0,1426800,0,5.588272333
84,0,1426800,1602600,-1406650,-1230850,-0.3792940732,-0.3318907404,175800,0.04740333279,0,25,23,24,0,0,2833450,2833450,0,1426800,1,5.646153212
85,0,1432200,1432200,-1401250,-1401250,-0.3778379982,-0.3778379982,0,0,0.5,0.5,0,0,1,0,2833450,2833450,0,1426800,2,5.703581572
86,0,1432200,1471800,-1401250,-1361650,-0.3778379982,-0.3671601143,39600,0.01067788384,0,11,11,11,0,0,2833450,2833450,0,1426800,3,5.763859749
87,0,1432200,19555000,-1401250,16721550,-0.3778379982,4.50885779,18122800,4.886695788,0,4503,1117,18369,0,0,2833450,2833450,0,1426800,4,5.821988344
88,0,1378600,1378600,-1454850,-1454850,-0.3922908914,-0.3922908914,0,0,16.90063492,16.90063492,4,20,0,0,2833450,2833450,0,1426800,5,5.897164106
89,0,1378600,1378600,-1454850,-1454850,-0.3922908914,-0.3922908914,0,0,11.88888889,11.88888889,4,19,0,0,2833450,2833450,0,1426800,6,5.965324163
90,0,1378600,1378600,-1454850,-1454850,-0.3922908914,-0.3922908914,0,0,11.88888889,12.99285714,5,36,0,0,2833450,2833450,0,1426800,7,6.024494886
91,0,1378600,1378600,-1454850,-1454850,-0.3922908914,-0.3922908914,0,0,7.755555556,7.755555556,4,14,0,0,2833450,2833450,0,1426800,8,6.083183765
92,0,1378600,1378600,-1454850,-1454850,-0.3922908914,-0.3922908914,0,0,7.755555556,18.24444444,11,69,0,0,2833450,2833450,0,1426800,9,6.14007473
93,0,1378600,1378600,-1454850,-1454850,-0.3922908914,-0.3922908914,0,0,3.8,3.8,2,5,0,0,2833450,2833450,0,1426800,10,6.19853735
94,0,1378600,1378600,-1454850,-1454850,-0.3922908914,-0.3922908914,0,0,3.8,10.2,11,47,0,0,2833450,2833450,0,1426800,11,6.256113052
95,0,1378600,1378600,-1454850,-1454850,-0.3922908914,-0.3922908914,0,0,3,3,1,3,0,0,2833450,2833450,0,1426800,12,6.313214064
96,0,1378600,1438600,-1454850,-1394850,-0.3922908914,-0.3761122796,60000,0.01617861188,3,27,14,64,0,0,2833450,2833450,0,1426800,13,6.372242212
97,0,1384600,1384600,-1448850,-1448850,-0.3906730303,-0.3906730303,0,0,1.666666667,1.666666667,1,2,0,0,2833450,2833450,0,1426800,14,6.429570913
98,0,1384600,1430200,-1448850,-1403250,-0.3906730303,-0.3783772852,45600,0.01229574503,1.666666667,28.33333333,15,66,0,0,2833450,2833450,0,1426800,15,6.495372295
99,0,1384000,1384000,-1449450,-1449450,-0.3908348164,-0.3908348164,0,0,0,0,0,0,1,1,2833450,2833450,0,1384000,0,6.552061081
100,0,1384000,1480000,-1449450,-1353450,-0.3908348164,-0.3649490374,96000,0.025885779,0,19,17,17,0,0,2833450,2833450,0,1384000,1,6.608670235
101,0,1386400,1386400,-1447050,-1447050,-0.3901876719,-0.3901876719,0,0,0,0,0,0,1,0,2833450,2833450,0,1384000,2,6.665168524
102,0,1386400,1515400,-1447050,-1318050,-0.3901876719,-0.3554036564,129000,0.03478401553,0,22,20,20,0,0,2833450,2833450,0,1384000,3,6.722272158
103,0,1388200,1388200,-1445250,-1445250,-0.3897023135,-0.3897023135,0,0,0,0,0,0,1,0,2833450,2833450,0,1384000,4,6.779496193
104,0,1388200,1588600,-1445250,-1244850,-0.3897023135,-0.3356657499,200400,0.05403656366,0,27,25,25,0,0,2833450,2833450,0,1384000,5,6.837132454
105,0,1391200,1391200,-1442250,-1442250,-0.3888933829,-0.3888933829,0,0,0,0,0,0,1,0,2833450,2833450,0,1384000,6,6.89443326
106,0,1391200,1556800,-1442250,-1276650,-0.3888933829,-0.3442404142,165600,0.04465296878,0,23,23,23,0,0,2833450,2833450,0,1384000,7,6.951721191
107,0,1391200,20011800,-1442250,17178350,-0.3888933829,4.632030955,18620600,5.020924338,0,4442,1196,18272,0,0,2833450,2833450,0,1384000,8,7.009492636
108,0,1263400,1263400,-1570050,-1570050,-0.4233538262,-0.4233538262,0,0,11.16529655,11.16529655,5,19,0,0,2833450,2833450,0,1384000,9,7.081007481
109,0,1263400,1263400,-1570050,-1570050,-0.4233538262,-0.4233538262,0,0,8.026984127,13.14801587,11,24,0,0,2833450,2833450,0,1384000,10,7.161506176
110,0,1263400,1263400,-1570050,-1570050,-0.4233538262,-0.4233538262,0,0,2.066666667,2.066666667,1,3,0,0,2833450,2833450,0,1384000,11,7.223156929
111,0,1263400,1263400,-1570050,-1570050,-0.4233538262,-0.4233538262,0,0,2.066666667,10.93333333,11,34,0,0,2833450,2833450,0,1384000,12,7.281239033
112,0,1263400,1263400,-1570050,-1570050,-0.4233538262,-0.4233538262,0,0,0,0,0,0,1,1,2833450,2833450,0,1263400,0,7.340059519
113,0,1263400,1504600,-1570050,-1328850,-0.4233538262,-0.3583158065,241200,0.06503801974,0,28,26,26,0,0,2833450,2833450,0,1263400,1,7.398323059
114,0,1279000,1279000,-1554450,-1554450,-0.4191473872,-0.4191473872,0,0,0,0,0,0,1,0,2833450,2833450,0,1263400,2,7.455779076
115,0,1279000,1381600,-1554450,-1451850,-0.4191473872,-0.3914819608,102600,0.02766542631,0,18,18,18,0,0,2833450,2833450,0,1263400,3,7.513724804
116,0,1279000,20431200,-1554450,17597750,-0.4191473872,4.745119452,19152200,5.164266839,0,4440,1218,18318,0,0,2833450,2833450,0,1263400,4,7.57250905
117,0,1361200,1356000,-1472250,-1477450,-0.3969826889,-0.3983848352,-5200,-0.001402146363,19.71190476,19.71190476,1,18,0,0,2833450,2833450,0,1263400,5,7.64917469
118,0,1356000,1356000,-1477450,-1477450,-0.3983848352,-0.3983848352,0,0,13.71904762,13.71904762,1,16,0,0,2833450,2833450,0,1263400,6,7.723711729
119,0,1356000,1356000,-1477450,-1477450,-0.3983848352,-0.3983848352,0,0,12.91904762,18.56349206,12,71,0,0,2833450,2833450,0,1263400,7,7.787518978
120,0,1356000,1356000,-1477450,-1477450,-0.3983848352,-0.3983848352,0,0,5.685714286,5.685714286,1,7,0,0,2833450,2833450,0,1263400,8,7.856807709
121,0,1356000,1356000,-1477450,-1477450,-0.3983848352,-0.3983848352,0,0,3.685714286,3.685714286,1,5,0,0,2833450,2833450,0,1263400,9,7.925851822
122,0,1356000,1356000,-1477450,-1477450,-0.3983848352,-0.3983848352,0,0,3.685714286,22.31428571,12,68,0,0,2833450,2833450,0,1263400,10,7.993151188
123,0,1356000,1356000,-1477450,-1477450,-0.3983848352,-0.3983848352,0,0,1.5,1.5,1,2,0,0,2833450,2833450,0,1263400,11,8.053024769
