it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,52000,40800,-1860400,-1871600,-0.5,-0.5030101054,-11200,-0.003010105354,55.39927422,55.39927422,1,31,0,0,1912400,0,1,0,0,0.001032829285
1,0,74658.82353,49000,-1837741.176,-1863400,-0.493910228,-0.5008062782,-25658.82353,-0.006896050185,18.00280112,18.00280112,1,20,0,0,1912400,1912400,0,0,1,0.2988665104
2,0,63714.28571,54000,-1848685.714,-1858400,-0.4968516755,-0.4994624812,-9714.285714,-0.002610805664,12.88095238,12.88095238,1,11,0,0,1912400,1912400,0,0,2,0.3658952713
3,0,64729.41176,67800,-1847670.588,-1844600,-0.4965788508,-0.4957536014,3070.588235,0.000825249472,11.43977591,14.45798319,3,24,0,0,1912400,1912400,0,0,3,0.4155032635
4,0,72900,70800,-1839500,-1841600,-0.4943829284,-0.4949473232,-2100,-0.0005643947538,4.166666667,4.166666667,1,3,0,0,1912400,1912400,0,0,4,0.4916083813
5,0,71400,70800,-1841000,-1841600,-0.4947860675,-0.4949473232,-600,-0.0001612556439,2.380952381,2.380952381,1,3,0,0,1912400,1912400,0,0,5,0.5420131683
6,0,76400,76400,-1836000,-1836000,-0.4934422705,-0.4934422705,0,0,1.333333333,1.333333333,1,2,0,0,1912400,1912400,0,0,6,0.6003890038
7,0,76400,76400,-1836000,-1836000,-0.4934422705,-0.4934422705,0,0,1.333333333,21.66666667,17,46,0,0,1912400,1912400,0,0,7,0.6444680691
8,0,76400,76400,-1836000,-1836000,-0.4934422705,-0.4934422705,0,0,1.8,1.8,1,2,0,0,1912400,1912400,0,0,8,0.6975810528
9,0,76400,76400,-1836000,-1836000,-0.4934422705,-0.4934422705,0,0,1.666666667,21.33333333,19,45,0,0,1912400,1912400,0,0,9,0.744715929
10,0,76400,20252200,-1836000,18339800,-0.4934422705,4.928993765,20175800,5.422436035,1.8,4524,1164,18500,0,0,1912400,1912400,0,0,10,0.8004179001
11,0,1912400,1913000,0,600,0,0.0001612556439,600,0.0001612556439,11.93809524,11.93809524,2,16,0,0,1912400,1912400,0,0,11,0.9265534878
12,0,1912400,1913000,0,600,0,0.0001612556439,600,0.0001612556439,11.04675325,12.64675325,4,26,0,0,1912400,1912400,0,0,12,1.004576921
13,0,1912400,1913000,0,600,0,0.0001612556439,600,0.0001612556439,6.246753247,6.246753247,2,10,0,0,1912400,1912400,0,0,13,1.05603075
14,0,1912400,1913000,0,600,0,0.0001612556439,600,0.0001612556439,6.246753247,12.77186147,5,23,0,0,1912400,1912400,0,0,14,1.101233006
15,0,1912100,1913000,-300,600,-8.062782197e-05,0.0001612556439,900,0.0002418834659,3.352240896,3.352240896,1,3,0,0,1912400,1912100,0,0,15,1.148827314
16,0,1911800,1913000,-600,600,-0.0001612556439,0.0001612556439,1200,0.0003225112879,1.691876751,1.691876751,1,2,0,0,1912400,1911800,0,0,16,1.202234268
17,0,1911800,1866000,-600,-46400,-0.0001612556439,-0.01247043647,-45800,-0.01230918082,1.691876751,14.30812325,8,36,0,0,1912400,1911800,0,0,17,1.246838093
18,0,1865400,1865400,-47000,-47000,-0.01263169211,-0.01263169211,0,0,1,1,1,1,0,0,1912400,1911800,0,0,18,1.291620493
19,0,1865400,1866000,-47000,-46400,-0.01263169211,-0.01247043647,600,0.0001612556439,1,13,7,32,0,0,1912400,1911800,0,0,19,1.336772442
20,0,1865400,1865400,-47000,-47000,-0.01263169211,-0.01263169211,0,0,1,1,1,1,0,0,1912400,1911800,0,0,20,1.381121397
