it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,52000,40800,-1860400,-1871600,-0.5,-0.5030101054,-11200,-0.003010105354,55.39927422,55.39927422,1,31,0,0,1912400,0,1,0,0,0.0009732246399
1,0,78285.71429,50400,-1834114.286,-1862000,-0.492935467,-0.5004300151,-27885.71429,-0.007494548023,19.01120448,19.01120448,1,17,0,0,1912400,0,1,0,1,0.2738058567
2,0,61997.19888,54400,-1850402.801,-1858000,-0.4973131588,-0.4993549774,-7597.19888,-0.002041818663,13.70938375,13.70938375,1,13,0,0,1912400,0,1,0,2,0.346319437
3,0,61661.76046,62400,-1850738.24,-1850000,-0.497403311,-0.4972049022,738.2395382,0.0001984088202,13.6031746,16.05133478,2,25,0,0,1912400,0,1,0,3,0.3979520798
4,0,74400,73000,-1838000,-1839400,-0.4939797893,-0.4943560525,-1400,-0.0003762631692,5,5,1,6,0,0,1912400,0,1,0,4,0.4823932648
5,0,74400,77200,-1838000,-1835200,-0.4939797893,-0.493227263,2800,0.0007525263384,5,18,10,56,0,0,1912400,0,1,0,5,0.5283215046
6,0,77200,77200,-1835200,-1835200,-0.493227263,-0.493227263,0,0,3,3,1,3,0,0,1912400,0,1,0,6,0.5813989639
7,0,77200,77200,-1835200,-1835200,-0.493227263,-0.493227263,0,0,2.666666667,2.666666667,1,3,0,0,1912400,0,1,0,7,0.6281774044
8,0,77200,77800,-1835200,-1834600,-0.493227263,-0.4930660073,600,0.0001612556439,2.666666667,20.33333333,14,67,0,0,1912400,0,1,0,8,0.6722314358
9,0,77800,77800,-1834600,-1834600,-0.4930660073,-0.4930660073,0,0,2.8,2.8,1,3,0,0,1912400,0,1,0,9,0.7183742523
10,0,77800,77200,-1834600,-1835200,-0.4930660073,-0.493227263,-600,-0.0001612556439,2.666666667,13.33333333,7,40,0,0,1912400,0,1,0,10,0.7656111717
11,0,77200,20243800,-1835200,18331400,-0.493227263,4.926736186,20166600,5.419963449,2.8,4526,1165,18510,0,0,1912400,0,1,0,11,0.8114249706
12,0,2687400,2687400,775000,775000,0.2082885401,0.2082885401,0,0,7.466666667,7.466666667,1,5,0,0,1912400,0,1,0,12,0.9077296257
13,0,2687400,2687400,775000,775000,0.2082885401,0.2082885401,0,0,4.333333333,13.66666667,7,21,0,0,1912400,0,1,0,13,0.9637634754
14,0,2687400,2687400,775000,775000,0.2082885401,0.2082885401,0,0,0,0,0,0,1,1,1912400,0,1,2687400,0,1.013275385
15,0,2555630,2546000,643230,633600,0.1728741131,0.17028596,-9630,-0.002588153085,0.2084415584,0.2084415584,0,0,1,1,1912400,2555630,0,2546000,0,1.058456659
16,0,2421300,2436600,508900,524200,0.136771662,0.1408836809,15300,0.004112018921,0.45,0.45,0,0,1,1,1912400,2421300,0,2436600,0,1.105632067
17,0,2317370,2312600,404970,400200,0.1088394969,0.1075575145,-4770,-0.001281982369,0.165625,0.165625,0,0,1,1,1912400,2317370,0,2312600,0,1.150236607
18,0,2199570,2202400,287170,290000,0.07717963879,0.07794022791,2830,0.0007605891206,0.1048148148,0.1048148148,0,0,1,1,1912400,2199570,0,2202400,0,1.196829557
19,0,2094880,2101400,182480,189000,0.04904321651,0.05079552784,6520,0.001752311331,0.2810344828,0.2810344828,0,0,1,1,1912400,2094880,0,2101400,0,1.241194248
20,0,1998930,2009000,86530,96600,0.02325575145,0.02596215868,10070,0.002706407224,0.4495535714,0.4495535714,0,0,1,1,1912400,1998930,0,2009000,0,1.285381317
21,0,1911150,1921800,-1250,9400,-0.0003359492582,0.002526338422,10650,0.00286228768,0.4930555556,0.4930555556,0,0,1,1,1912400,1911150,0,1921800,0,1.330055237
22,0,1828310,1835400,-84090,-77000,-0.0225999785,-0.02069447431,7090,0.001905504193,0.3408653846,0.3408653846,0,0,1,1,1912400,1828310,0,1835400,0,1.37504077
23,0,1746230,1753000,-166170,-159400,-0.04465975059,-0.04284024941,6770,0.001819501183,0.3318627451,0.3318627451,0,0,1,1,1912400,1746230,0,1753000,0,1.419235229
24,0,1667950,1673200,-244450,-239200,-0.06569823694,-0.06428725005,5250,0.001410986885,0.2651515152,0.2651515152,0,0,1,1,1912400,1667950,0,1673200,0,1.463989735
25,0,1592140,1595200,-320260,-317200,-0.08607288755,-0.08525048377,3060,0.0008224037841,0.159375,0.159375,0,0,1,1,1912400,1592140,0,1595200,0,1.508531809
26,0,1518040,1521000,-394360,-391400,-0.1059879596,-0.1051924317,2960,0.0007955278435,0.1644444444,0.1644444444,0,0,1,1,1912400,1518040,0,1521000,0,1.552981138
27,0,1447550,1449000,-464850,-463400,-0.1249328101,-0.124543109,1450,0.0003897011395,0.08630952381,0.08630952381,0,0,1,1,1912400,1447550,0,1449000,0,1.597578764
28,0,1379150,1383000,-533250,-529400,-0.1433159536,-0.1422812298,3850,0.001034723715,0.240625,0.240625,0,0,1,1,1912400,1379150,0,1383000,0,1.642086983
