it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-203123.9739,-45604,-803.9869281,156715.9869,-0.5,97.46177547,157519.9739,97.96177547,273.1938998,273.1938998,27,327.773421,0,0,-202319.9869,0,1,0,0,0.0003983974457
1,0,-201272,-45896,1047.986928,156423.9869,0.6517437607,97.28018047,155376,96.62843671,206.08947,206.08947,27,399.4386369,0,0,-202319.9869,0,1,0,1,0.6264023781
2,0,-201272,-45896,1047.986928,156423.9869,0.6517437607,97.28018047,155376,96.62843671,203.1838384,203.1838384,27,403.7719703,0,0,-202319.9869,0,1,0,2,0.7292728424
3,0,-201272,-50790,1047.986928,151529.9869,0.6517437607,94.23659865,150482,93.58485489,203.1838384,203.1838384,29,376.4143216,0,0,-202319.9869,0,1,0,3,0.7375614643
4,0,-201272,-73783,1047.986928,128536.9869,0.6517437607,79.93723681,127489,79.28549305,124.8154592,124.8154592,69,663.9667498,0,0,-202319.9869,0,1,0,4,0.8357241154
5,0,-201272,-113803,1047.986928,88516.98693,0.6517437607,55.04877246,87469,54.3970287,122.5265476,122.5265476,67,652.4345811,0,0,-202319.9869,0,1,0,5,1.089462996
6,0,-201272,-530116,1047.986928,-327796.0131,0.6517437607,-203.8565564,-328844,-204.5083001,122.5265476,686.7482405,4,883,0,0,-202319.9869,0,1,0,6,1.129369974
7,0,-201272,-136500,1047.986928,65819.98693,0.6517437607,40.93349321,64772,40.28174945,94.76295291,94.76295291,70,329.6551466,0,0,-202319.9869,0,1,0,7,1.255864859
8,0,-201272,-201604,1047.986928,715.9869281,0.6517437607,0.4452727421,-332,-0.2064710186,33.13777414,33.13777414,4,13.33333333,0,0,-202319.9869,0,1,0,8,1.354544401
9,0,-201545.75,-201505,774.2369281,814.9869281,0.4814984554,0.5068409072,40.75,0.02534245183,1,1,0,0,1,1,-202319.9869,0,1,-201505,0,1.462654114
10,0,-201505,-204151,814.9869281,-1831.013072,0.5068409072,-1.138708235,-2646,-1.645549142,0,10,6,12,0,0,-202319.9869,0,1,-201505,1,1.480710745
11,0,-201505,-432632,814.9869281,-230312.0131,0.5068409072,-143.2311926,-231127,-143.7380335,0,557,3,815,0,0,-202319.9869,0,1,-201505,2,1.48909235
12,0,-201272,-201219,1047.986928,1100.986928,0.6517437607,0.6847044956,53,0.0329607349,6.407972858,6.407972858,2,2.666929992,0,0,-202319.9869,0,1,-201505,3,1.595772982
13,0,-201272,-201219,1047.986928,1100.986928,0.6517437607,0.6847044956,53,0.0329607349,2.542635659,2.542635659,3.333333333,10.00026333,0,0,-202319.9869,0,1,-201505,4,1.667789221
14,0,-201272,-203988,1047.986928,-1668.013072,0.6517437607,-1.037338428,-2716,-1.689082188,2.430894309,16.56910569,6,18,0,0,-202319.9869,0,1,-201505,5,1.709588289
15,0,-201321.5,-201342,998.4869281,977.9869281,0.6209596781,0.6082107146,-20.5,-0.0127489635,1.5,1.5,2,5.666666667,0,0,-202319.9869,0,1,-201505,6,1.81344533
16,0,-201306.4833,-199211,1013.503595,3108.986928,0.630298553,1.933481018,2095.483333,1.303182465,1.25,28.75,2,24.01023987,0,0,-202319.9869,0,1,-201505,7,1.823131323
17,0,-201272,-201342,1047.986928,977.9869281,0.6517437607,0.6082107146,-70,-0.04353304609,1.586592179,1.586592179,2,2.666666667,0,0,-202319.9869,0,1,-201505,8,1.899535418
18,0,-201272,-199211,1047.986928,3108.986928,0.6517437607,1.933481018,2061,1.281737257,1.300484905,18.69951509,3,7.010239874,0,0,-202319.9869,0,1,-201505,9,1.98868227
19,0,-201272,-200984,1047.986928,1335.986928,0.6517437607,0.8308511503,288,0.1791073896,4.07821867,4.07821867,1,3.001430899,0,0,-202319.9869,0,1,-201505,10,2.093559265
20,0,-201272,-201953,1047.986928,366.9869281,0.6517437607,0.2282294122,-681,-0.4235143484,3.860510806,21.13948919,3,20.33333333,0,0,-202319.9869,0,1,-201505,11,2.119839907
21,0,-201423.2857,-201400,896.7012138,919.9869281,0.5576590753,0.5721404764,23.28571429,0.01448140105,1,1,0,0,1,0,-202319.9869,0,1,-201505,12,2.207024574
22,0,-201400,-204046,919.9869281,-1726.013072,0.5721404764,-1.073408666,-2646,-1.645549142,0,10,6,12,0,0,-202319.9869,0,1,-201505,13,2.224239111
23,0,-201400,-490030,919.9869281,-287710.0131,0.5721404764,-178.9270466,-288630,-179.4991871,0,601,4,863,0,0,-202319.9869,0,1,-201505,14,2.232353687
24,0,-201272,-201299,1047.986928,1020.986928,0.6517437607,0.6349524429,-27,-0.01679131778,2.593589744,2.593589744,0,0,1,0,-202319.9869,0,1,-201505,15,2.347321749
25,0,-201299,-203945,1020.986928,-1625.013072,0.6349524429,-1.010596699,-2646,-1.645549142,0,20,6,27,0,0,-202319.9869,0,1,-201505,16,2.48191762
26,0,-201299,-397000,1020.986928,-194680.0131,0.6349524429,-121.0716283,-195701,-121.7065808,0,592,4,852,0,0,-202319.9869,0,1,-201505,17,2.490170002
27,0,-201272,-201257,1047.986928,1062.986928,0.6517437607,0.6610722705,15,0.009328509877,1.358695652,1.358695652,7.452601455e-05,7.452601455e-05,0,0,-202319.9869,0,1,-201505,18,2.604053974
28,0,-201272,-201336,1047.986928,983.9869281,0.6517437607,0.6119421185,-64,-0.03980164214,0.3797468354,17.62025316,5,22,0,0,-202319.9869,0,1,-201505,19,2.662154913
29,0,-201336,-201336,983.9869281,983.9869281,0.6119421185,0.6119421185,0,0,0,0,0,0,1,0,-202319.9869,0,1,-201505,20,2.768626928
30,0,-201336,-203982,983.9869281,-1662.013072,0.6119421185,-1.033607024,-2646,-1.645549142,0,19,6,27,0,0,-202319.9869,0,1,-201505,21,2.776922703
31,0,-201336,-445632,983.9869281,-243312.0131,0.6119421185,-151.3159011,-244296,-151.9278433,0,602,4,894,0,0,-202319.9869,0,1,-201505,22,2.785098553
32,0,-201272,-201331,1047.986928,988.9869281,0.6517437607,0.6150516218,-59,-0.03669213885,3.939703154,3.939703154,3,5.666666667,0,0,-202319.9869,0,1,-201505,23,2.88399291
33,0,-201288.1667,-203463,1031.820261,-1143.013072,0.6416897,-0.7108405821,-2174.833333,-1.352530282,0.5,10.5,2,9.333333333,0,0,-202319.9869,0,1,-201505,24,2.998327732
34,0,-201272,-201332,1047.986928,987.9869281,0.6517437607,0.6144297212,-60,-0.03731403951,1.168831169,1.168831169,0,0,1,0,-202319.9869,0,1,-201505,25,3.119416475
35,0,-201332,-203978,987.9869281,-1658.013072,0.6144297212,-1.031119421,-2646,-1.645549142,0,29,6,44.33333333,0,0,-202319.9869,0,1,-201505,26,3.202006102
36,0,-201272,-430871,1047.986928,-228551.0131,0.6517437607,-142.1360255,-229599,-142.7877693,0.06739049045,546.0224635,4,815,0,0,-202319.9869,0,1,-201505,27,3.216746092
37,0,-201272,-201242,1047.986928,1077.986928,0.6517437607,0.6704007804,30,0.01865701975,4.741980474,4.741980474,9,13.33348239,0,0,-202319.9869,0,1,-201505,28,3.319903135
