it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,13.16666667,14,-0.2083333333,0.625,-0.25,0.75,0.8333333333,1,64.68632267,64.68632267,1,5,0,0,13.375,0,1,0,0,0.002825737
1,0,13.375,14,0,0.625,0,0.75,0.625,0.75,30.28349156,30.28349156,1,1,0,0,13.375,13.375,0,0,1,2.958926201
2,0,13.375,14,0,0.625,0,0.75,0.625,0.75,27.31547619,27.31547619,0,0,1,1,13.375,13.375,0,14,0,4.422141552
3,0,13.375,14,-1.776356839e-15,0.625,-2.131628207e-15,0.75,0.625,0.75,26.05895314,35.84549656,1,4,0,0,13.375,13.375,0,14,1,5.50428462
4,0,13.375,14,1.776356839e-15,0.625,2.131628207e-15,0.75,0.625,0.75,26.43269231,26.43269231,0,0,1,0,13.375,13.375,0,14,2,8.054099083
5,0,13.375,14,1.776356839e-15,0.625,2.131628207e-15,0.75,0.625,0.75,25.6471688,38.0045406,1,6,0,0,13.375,13.375,0,14,3,9.415958405
6,0,13.375,14,-1.776356839e-15,0.625,-2.131628207e-15,0.75,0.625,0.75,30.42672414,30.42672414,1,2,0,0,13.375,13.375,0,14,4,11.46304727
7,0,13.375,14,1.776356839e-15,0.625,2.131628207e-15,0.75,0.625,0.75,29.07211538,29.07211538,1,1,0,0,13.375,13.375,0,14,5,12.82263231
8,0,13.375,14,1.776356839e-15,0.625,2.131628207e-15,0.75,0.625,0.75,28.74038462,36.85576923,1,8,0,0,13.375,13.375,0,14,6,13.47639823
9,0,13.375,14,-1.776356839e-15,0.625,-2.131628207e-15,0.75,0.625,0.75,26.17307692,26.17307692,1,1,0,0,13.375,13.375,0,14,7,16.20227242
10,0,13.375,14,0,0.625,0,0.75,0.625,0.75,25.07692308,32.92307692,1,6,0,0,13.375,13.375,0,14,8,17.4100914
11,0,13.375,14,-1.776356839e-15,0.625,-2.131628207e-15,0.75,0.625,0.75,26.74519231,26.74519231,0,0,1,0,13.375,13.375,0,14,9,19.08024836
12,0,13.375,14,1.776356839e-15,0.625,2.131628207e-15,0.75,0.625,0.75,25.1875,32.65865385,1,5,0,0,13.375,13.375,0,14,10,19.65599537
13,0,13.375,14,0,0.625,0,0.75,0.625,0.75,23.94573643,23.94573643,0,0,1,0,13.375,13.375,0,14,11,21.29477763
14,0,13.375,14,0,0.625,0,0.75,0.625,0.75,22.72222222,35.125,2,11,0,0,13.375,13.375,0,14,12,22.18586969
15,0,13.375,14,0,0.625,0,0.75,0.625,0.75,22.76785714,22.76785714,1,1,0,0,13.375,13.375,0,14,13,23.8629837
16,0,13.375,14,0,0.625,0,0.75,0.625,0.75,18.8125,23.625,1,7,0,0,13.375,13.375,0,14,14,24.76177049
17,0,13.375,14,0,0.625,0,0.75,0.625,0.75,19.23214286,19.23214286,0,0,1,0,13.375,13.375,0,14,15,25.23158979
18,0,13.375,14,0,0.625,0,0.75,0.625,0.75,17.58928571,23.58928571,1,10,0,0,13.375,13.375,0,14,16,25.60542846
19,0,13.375,14,0,0.625,0,0.75,0.625,0.75,17.60714286,17.60714286,1,1,0,0,13.375,13.375,0,14,17,26.07736945
20,0,13.375,14,-1.776356839e-15,0.625,-2.131628207e-15,0.75,0.625,0.75,16.79166667,16.79166667,0,0,1,0,13.375,13.375,0,14,18,26.48587799
21,0,13.375,14,-1.776356839e-15,0.625,-2.131628207e-15,0.75,0.625,0.75,16.5,30.58333333,2,10,0,0,13.375,13.375,0,14,19,26.99804568
22,0,13.375,14,1.776356839e-15,0.625,2.131628207e-15,0.75,0.625,0.75,19.28125,19.28125,0,0,1,0,13.375,13.375,0,14,20,27.62209153
23,0,13.375,14,0,0.625,0,0.75,0.625,0.75,17.5,17.5,1,2,0,0,13.375,13.375,0,14,21,28.61544514
24,0,13.375,14,0,0.625,0,0.75,0.625,0.75,17.21875,17.21875,1,1,0,0,13.375,13.375,0,14,22,28.96757793
