it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,13.16666667,14,-0.4166666667,0.4166666667,-0.5,0.5,0.8333333333,1,64.68632267,64.68632267,1,5,0,0,13.58333333,0,1,0,0,0.001720666885
1,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,41.65078125,41.65078125,1,1,0,0,13.58333333,13.18333333,0,0,1,4.210661411
2,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,38.68666667,38.68666667,0,0,1,1,13.58333333,13.18333333,0,14,0,6.745843649
3,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,37.53461538,43.7,1,4,0,0,13.58333333,13.18333333,0,14,1,7.715112209
4,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,36.17306306,36.17306306,1,2,0,0,13.58333333,13.18333333,0,14,2,10.10762119
5,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,34.89852941,34.89852941,1,1,0,0,13.58333333,13.18333333,0,14,3,11.36856246
6,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,34.73917976,45.13237347,2,14,0,0,13.58333333,13.18333333,0,14,4,12.4557035
7,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,34.97424242,34.97424242,1,2,0,0,13.58333333,13.18333333,0,14,5,14.33949304
8,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,33.19513889,42.73125,2,14,0,0,13.58333333,13.18333333,0,14,6,15.64720607
9,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,31.87030075,31.87030075,1,3,0,0,13.58333333,13.18333333,0,14,7,18.48949742
10,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,30.1,30.1,1,1,0,0,13.58333333,13.18333333,0,14,8,20.09217286
11,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,29.72133333,34.889,1,6,0,0,13.58333333,13.18333333,0,14,9,21.1807642
12,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,29.93009259,29.93009259,1,1,0,0,13.58333333,13.18333333,0,14,10,23.23230624
13,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,28.56041667,36.4140625,1,5,0,0,13.58333333,13.18333333,0,14,11,24.31202054
14,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,30.33055556,30.33055556,1,3,0,0,13.58333333,13.18333333,0,14,12,27.0114162
15,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,29.40355191,37.51994536,2,15,0,0,13.58333333,13.18333333,0,14,13,27.75304532
16,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,29.95333333,29.95333333,1,5,0,0,13.58333333,13.18333333,0,14,14,29.27531028
17,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,27.625,27.625,1,1,0,0,13.58333333,13.18333333,0,14,15,31.70892978
18,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,26.81129386,29.25405702,1,6,0,0,13.58333333,13.18333333,0,14,16,33.35425186
19,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,25.7625,25.7625,1,1,0,0,13.58333333,13.18333333,0,14,17,35.47129631
20,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,24.71666667,24.71666667,0,0,1,0,13.58333333,13.18333333,0,14,18,36.62900758
21,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,24.6159197,27.41244041,1,2,0,0,13.58333333,13.18333333,0,14,19,38.17143154
22,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,20.77777778,20.77777778,0,0,1,0,13.58333333,13.18333333,0,14,20,39.10298252
23,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,20.41111111,36.06111111,1,11,0,0,13.58333333,13.18333333,0,14,21,39.43830538
24,0,13.18333333,13,-0.4,-0.5833333333,-0.48,-0.7,-0.1833333333,-0.22,20.13518519,20.13518519,1,3,0,0,13.58333333,13.18333333,0,14,22,40.52507615
25,0,13.18333333,13,-0.4,-0.5833333333,-0.48,-0.7,-0.1833333333,-0.22,9.333333333,9.333333333,1,1,0,0,13.58333333,13.18333333,0,14,23,42.34305668
26,0,13.18333333,14,-0.4,0.4166666667,-0.48,0.5,0.8166666667,0.98,8.45,22.25,1,7,0,0,13.58333333,13.18333333,0,14,24,42.77924037
