it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,13.16666667,14,-0.4166666667,0.4166666667,-0.5,0.5,0.8333333333,1,64.68632267,64.68632267,1,5,0,0,13.58333333,0,1,0,0,0.001726388931
1,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,0,0,0,0,1,1,13.58333333,0,1,14,0,0.9897487164
2,0,14,13,0.4166666667,-0.5833333333,0.5,-0.7,-1,-1.2,0,18,11,68,0,0,13.58333333,0,1,14,1,1.084603786
3,0,14,12,0.4166666667,-1.583333333,0.5,-1.9,-2,-2.4,0,8920,123,31869,0,0,13.58333333,0,1,14,2,1.158415556
4,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,115.4987058,115.4987058,1,17,0,0,13.58333333,0,1,14,3,4.969390869
5,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,27.125,27.125,1,4,0,0,13.58333333,0,1,14,4,7.214120388
6,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,8,8,1,2,0,0,13.58333333,0,1,14,5,8.049222469
7,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,0,0,0,0,1,0,13.58333333,0,1,14,6,8.218112469
8,0,14,13,0.4166666667,-0.5833333333,0.5,-0.7,-1,-1.2,0,23,11,86,0,0,13.58333333,0,1,14,7,8.29629159
9,0,14,9,0.4166666667,-4.583333333,0.5,-5.5,-5,-6,0,8858,120,31686,0,0,13.58333333,0,1,14,8,8.370629549
10,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,75.11450382,75.11450382,1,13,0,0,13.58333333,0,1,14,9,13.15840316
11,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,0,0,0,0,1,0,13.58333333,0,1,14,10,15.6522696
12,0,14,13,0.4166666667,-0.5833333333,0.5,-0.7,-1,-1.2,0,23,11,86,0,0,13.58333333,0,1,14,11,16.18383217
13,0,14,11,0.4166666667,-2.583333333,0.5,-3.1,-3,-3.6,0,8897,121,31876,0,0,13.58333333,0,1,14,12,16.26948476
14,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,53.08695652,53.08695652,1,4,0,0,13.58333333,0,1,14,13,19.76680088
15,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,0,0,0,0,1,0,13.58333333,0,1,14,14,20.4367485
16,0,14,13,0.4166666667,-0.5833333333,0.5,-0.7,-1,-1.2,0,22,11,77,0,0,13.58333333,0,1,14,15,20.56210518
17,0,14,11,0.4166666667,-2.583333333,0.5,-3.1,-3,-3.6,0,8871,127,31789,0,0,13.58333333,0,1,14,16,20.666888
18,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,72.92634098,72.92634098,1,11,0,0,13.58333333,0,1,14,17,25.34016514
19,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,9,9,1,6,0,0,13.58333333,0,1,14,18,27.16464257
20,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,0,0,0,0,1,0,13.58333333,0,1,14,19,27.50091052
21,0,14,13,0.4166666667,-0.5833333333,0.5,-0.7,-1,-1.2,0,19,11,66,0,0,13.58333333,0,1,14,20,27.78259683
22,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,0,0,0,0,1,0,13.58333333,0,1,14,21,27.89962196
23,0,14,13,0.4166666667,-0.5833333333,0.5,-0.7,-1,-1.2,0,21,11,71,0,0,13.58333333,0,1,14,22,27.98382854
24,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,0,0,0,0,1,0,13.58333333,0,1,14,23,28.05962968
25,0,14,13,0.4166666667,-0.5833333333,0.5,-0.7,-1,-1.2,0,20,11,69,0,0,13.58333333,0,1,14,24,28.13781881
26,0,14,13,0.4166666667,-0.5833333333,0.5,-0.7,-1,-1.2,0,8946,118,32100,0,0,13.58333333,0,1,14,25,28.2120688
27,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,101.0385282,101.0385282,1,13,0,0,13.58333333,0,1,14,26,32.94028974
28,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,2.5,2.5,1,2,0,0,13.58333333,0,1,14,27,33.62035942
