it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,13.16666667,14,-0.4166666667,0.4166666667,-0.5,0.5,0.8333333333,1,64.68632267,64.68632267,1,5,0,0,13.58333333,0,1,0,0,0.001735210419
1,0,14,14,0.4166666667,0.4166666667,0.5,0.5,0,0,0,0,0,0,1,1,13.58333333,0,1,14,0,0.9919676781
2,0,13.58333333,14,0,0.4166666667,0,0.5,0.4166666667,0.5,16.48511905,28.48511905,2,6,0,0,13.58333333,13.58333333,0,14,1,2.598893166
3,0,13.58333333,14,0,0.4166666667,0,0.5,0.4166666667,0.5,17.54487179,17.54487179,0,0,1,0,13.58333333,13.58333333,0,14,2,3.988374233
4,0,13.58333333,14,0,0.4166666667,0,0.5,0.4166666667,0.5,16.66826923,31.31570513,1,3,0,0,13.58333333,13.58333333,0,14,3,5.019931793
5,0,13.58333333,14,0,0.4166666667,0,0.5,0.4166666667,0.5,15.80128205,15.80128205,0,0,1,0,13.58333333,13.58333333,0,14,4,6.071426153
6,0,13.58333333,14,0,0.4166666667,0,0.5,0.4166666667,0.5,15.32051282,31.97435897,1,9,0,0,13.58333333,13.58333333,0,14,5,6.510269642
7,0,13.58333333,14,0,0.4166666667,0,0.5,0.4166666667,0.5,19.97727273,19.97727273,1,1,0,0,13.58333333,13.58333333,0,14,6,7.872491121
8,0,13.58333333,14,0,0.4166666667,0,0.5,0.4166666667,0.5,16.62765957,16.62765957,0,0,1,0,13.58333333,13.58333333,0,14,7,9.023899555
9,0,13.58333333,14,0,0.4166666667,0,0.5,0.4166666667,0.5,15.95,25.55,1,3,0,0,13.58333333,13.58333333,0,14,8,9.569442749
10,0,13.58333333,14,0,0.4166666667,0,0.5,0.4166666667,0.5,17.96428571,17.96428571,0,0,1,0,13.58333333,13.58333333,0,14,9,11.69177818
11,0,13.58333333,14,0,0.4166666667,0,0.5,0.4166666667,0.5,16.29781421,26.14480874,1,6,0,0,13.58333333,13.58333333,0,14,10,12.98025155
