it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,203.5,0,-9.625,-213.125,-0.25,-5.535714286,-203.5,-5.285714286,36,36,1,16,0,0,213.125,0,1,0,0,0.0002272129059
1,0,203.5,40,-9.625,-173.125,-0.25,-4.496753247,-163.5,-4.246753247,36,47.25,2,216,0,0,213.125,213.125,0,0,1,0.003977537155
2,0,213.125,214,4.263256415e-13,0.875,1.107339328e-14,0.02272727273,0.875,0.02272727273,4.8125,4.8125,0,0,1,1,213.125,213.125,0,214,0,0.1140863895
3,0,213.125,150,5.96855898e-13,-63.125,1.55027506e-14,-1.63961039,-63.125,-1.63961039,4.8125,24.421875,1,60,0,0,213.125,213.125,0,214,1,0.2820146084
4,0,213.125,2864,5.684341886e-14,2650.875,1.476452438e-15,68.8538961,2650.875,68.8538961,4.8125,339.640625,5,1172,0,0,213.125,213.125,0,214,2,0.3248357773
5,0,213.125,3634,5.684341886e-14,3420.875,1.476452438e-15,88.8538961,3420.875,88.8538961,5.384531101,330.8984326,5,1128,0,0,213.125,213.125,0,214,3,0.4978830814
6,0,213.125,214,1.136868377e-12,0.875,2.952904876e-14,0.02272727273,0.875,0.02272727273,4.8125,4.8125,0,0,1,0,213.125,213.125,0,214,4,0.6161270142
7,0,213.125,170,8.526512829e-14,-43.125,2.214678657e-15,-1.12012987,-43.125,-1.12012987,4.8125,18.1875,1,44,0,0,213.125,213.125,0,214,5,0.7444329262
8,0,213.125,3482,0,3268.875,0,84.90584416,3268.875,84.90584416,4.8125,341.40625,5,1168,0,0,213.125,213.125,0,214,6,0.7975859642
9,0,213.125,3496,2.842170943e-13,3282.875,7.38226219e-15,85.26948052,3282.875,85.26948052,5.273717527,339.4032317,5,1204,0,0,213.125,213.125,0,214,7,0.9601671696
10,0,213.125,3630,0,3416.875,0,88.75,3416.875,88.75,5.359446353,355.4166279,5,1188,0,0,213.125,213.125,0,214,8,1.08715868
11,0,213.125,3972,2.842170943e-14,3758.875,7.38226219e-16,97.63311688,3758.875,97.63311688,5.422951751,342.532378,5,1228,0,0,213.125,213.125,0,214,9,1.226916075
12,0,213.125,4180,2.842170943e-14,3966.875,7.38226219e-16,103.0357143,3966.875,103.0357143,5.48344901,351.0718592,7,1234,0,0,213.125,213.125,0,214,10,1.383577108
13,0,213.125,3786,7.958078641e-13,3572.875,2.067033413e-14,92.80194805,3572.875,92.80194805,5.314982757,352.5643158,5,1276,0,0,213.125,213.125,0,214,11,1.5608356
14,0,213.125,4022,1.136868377e-13,3808.875,2.952904876e-15,98.93181818,3808.875,98.93181818,5.314371183,352.9567064,5,1230,0,0,213.125,213.125,0,214,12,1.717438936
15,0,213.125,3570,5.96855898e-13,3356.875,1.55027506e-14,87.19155844,3356.875,87.19155844,4.8125,319.078125,5,1118,0,0,213.125,213.125,0,214,13,1.79743576
16,0,213.125,3802,0,3588.875,0,93.21753247,3588.875,93.21753247,4.8125,333.734375,5,1162,0,0,213.125,213.125,0,214,14,1.908293724
17,0,213.125,3060,-5.115907697e-13,2846.875,-1.328807194e-14,73.94480519,2846.875,73.94480519,5.267123089,291.0416641,5,1070,0,0,213.125,213.125,0,214,15,2.091617346
18,0,213.125,3518,-7.389644452e-13,3304.875,-1.919388169e-14,85.84090909,3304.875,85.84090909,4.8125,327.40625,5,1148,0,0,213.125,213.125,0,214,16,2.184819937
19,0,213.125,3428,-8.526512829e-13,3214.875,-2.214678657e-14,83.50324675,3214.875,83.50324675,4.8125,310.1875,5,1050,0,0,213.125,213.125,0,214,17,2.285690308
20,0,213.125,3942,-3.410605132e-13,3728.875,-8.858714628e-15,96.8538961,3728.875,96.8538961,4.8125,348.1875,5,1244,0,0,213.125,213.125,0,214,18,2.385801315
21,0,213.125,214,4.774847184e-12,0.875,1.240220048e-13,0.02272727273,0.875,0.02272727273,4.8125,4.8125,0,0,1,0,213.125,213.125,0,214,19,2.46251297
22,0,213.125,192,-1.932676241e-12,-21.125,-5.019938289e-14,-0.5487012987,-21.125,-0.5487012987,4.8125,21.75,1,64,0,0,213.125,213.125,0,214,20,2.555653334
23,0,213.125,3734,5.684341886e-13,3520.875,1.476452438e-14,91.4512987,3520.875,91.4512987,4.8125,320.96875,5,1108,0,0,213.125,213.125,0,214,21,2.609035254
24,0,213.125,3206,-2.842170943e-14,2992.875,-7.38226219e-16,77.73701299,2992.875,77.73701299,4.8125,313.84375,5,1190,0,0,213.125,213.125,0,214,22,2.71749711
25,0,213.125,3538,1.421085472e-13,3324.875,3.691131095e-15,86.36038961,3324.875,86.36038961,5.298066086,328.9372589,5,1198,0,0,213.125,213.125,0,214,23,2.896098137
26,0,213.125,3442,-4.547473509e-13,3228.875,-1.18116195e-14,83.86688312,3228.875,83.86688312,4.8125,338.421875,5,1218,0,0,213.125,213.125,0,214,24,2.994047165
27,0,213.125,3756,-1.080024958e-12,3542.875,-2.805259632e-14,92.02272727,3542.875,92.02272727,4.8125,324.96875,6,1146,0,0,213.125,213.125,0,214,25,3.057961226
28,0,213.125,3316,-5.684341886e-13,3102.875,-1.476452438e-14,80.59415584,3102.875,80.59415584,5.494149308,315.5013724,5,1084,0,0,213.125,213.125,0,214,26,3.25272584
29,0,213.125,3914,-3.126388037e-13,3700.875,-8.120488409e-15,96.12662338,3700.875,96.12662338,4.8125,321.859375,5,1166,0,0,213.125,213.125,0,214,27,3.354481459
30,0,213.125,214,-3.353761713e-12,0.875,-8.711069384e-14,0.02272727273,0.875,0.02272727273,4.8125,4.8125,0,0,1,0,213.125,213.125,0,214,28,3.446184397
31,0,213.125,250,3.126388037e-13,36.875,8.120488409e-15,0.9577922078,36.875,0.9577922078,4.8125,30.65625,1,52,0,0,213.125,213.125,0,214,29,3.565704346
32,0,213.125,3290,-3.410605132e-13,3076.875,-8.858714628e-15,79.91883117,3076.875,79.91883117,4.8125,344.296875,6,1220,0,0,213.125,213.125,0,214,30,3.64702487
33,0,213.125,3910,0,3696.875,0,96.02272727,3696.875,96.02272727,5.415346795,342.18789,5,1206,0,0,213.125,213.125,0,214,31,3.879979372
34,0,213.125,3392,-6.536993169e-13,3178.875,-1.697920304e-14,82.56818182,3178.875,82.56818182,4.8125,322.53125,6,1104,0,0,213.125,213.125,0,214,32,4.023842096
35,0,213.125,3406,8.526512829e-14,3192.875,2.214678657e-15,82.93181818,3192.875,82.93181818,4.8125,328.1875,5,1156,0,0,213.125,213.125,0,214,33,4.155446053
36,0,213.125,4332,-1.98951966e-13,4118.875,-5.167583533e-15,106.9837662,4118.875,106.9837662,4.8125,365.875,6,1282,0,0,213.125,213.125,0,214,34,4.297826767
37,0,213.125,214,-1.705302566e-13,0.875,-4.429357314e-15,0.02272727273,0.875,0.02272727273,4.8125,4.8125,0,0,1,0,213.125,213.125,0,214,35,4.418022633
38,0,213.125,218,2.842170943e-14,4.875,7.38226219e-16,0.1266233766,4.875,0.1266233766,4.8125,17.296875,1,40,0,0,213.125,213.125,0,214,36,4.588475943
39,0,213.125,3944,7.958078641e-13,3730.875,2.067033413e-14,96.90584416,3730.875,96.90584416,4.8125,356.96875,5,1208,0,0,213.125,213.125,0,214,37,4.627845764
40,0,213.125,214,-3.439026841e-12,0.875,-8.93253725e-14,0.02272727273,0.875,0.02272727273,4.8125,4.8125,0,0,1,0,213.125,213.125,0,214,38,4.75058651
41,0,213.125,138,-2.074784788e-12,-75.125,-5.389051398e-14,-1.951298701,-75.125,-1.951298701,4.8125,26.203125,1,90,0,0,213.125,213.125,0,214,39,4.907498121
42,0,213.125,3326,5.684341886e-14,3112.875,1.476452438e-15,80.8538961,3112.875,80.8538961,4.8125,310.84375,6,1114,0,0,213.125,213.125,0,214,40,4.959318638
43,0,213.125,4156,-5.684341886e-14,3942.875,-1.476452438e-15,102.4123377,3942.875,102.4123377,4.8125,375.96875,6,1282,0,0,213.125,213.125,0,214,41,5.08029151
44,0,213.125,4110,2.842170943e-14,3896.875,7.38226219e-16,101.2175325,3896.875,101.2175325,4.8125,368.296875,6,1292,0,0,213.125,213.125,0,214,42,5.184222698
45,0,213.125,3226,5.684341886e-14,3012.875,1.476452438e-15,78.25649351,3012.875,78.25649351,4.8125,309.625,5,1086,0,0,213.125,213.125,0,214,43,5.343128681
46,0,213.125,3286,-6.821210263e-13,3072.875,-1.771742926e-14,79.81493506,3072.875,79.81493506,4.8125,334.859375,5,1160,0,0,213.125,213.125,0,214,44,5.462632656
47,0,213.125,3240,-1.307398634e-12,3026.875,-3.395840607e-14,78.62012987,3026.875,78.62012987,4.8125,333.625,5,1230,0,0,213.125,213.125,0,214,45,5.581589222
