it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,203.5,0,-19.25,-222.75,-0.5,-5.785714286,-203.5,-5.285714286,36,36,1,16,0,0,222.75,0,1,0,0,0.0001885890961
1,0,203.5,40,-19.25,-182.75,-0.5,-4.746753247,-163.5,-4.246753247,36,47.25,2,216,0,0,222.75,222.75,0,0,1,0.004323244095
2,0,222.75,226,1.136868377e-13,3.25,2.952904876e-15,0.08441558442,3.25,0.08441558442,8.125,8.125,0,0,1,1,222.75,222.75,0,226,0,0.1592652798
3,0,222.75,62,-2.557953849e-13,-160.75,-6.644035971e-15,-4.175324675,-160.75,-4.175324675,7.222222222,25.34722222,1,56,0,0,222.75,222.75,0,226,1,0.357478857
4,0,222.75,2878,2.842170943e-14,2655.25,7.38226219e-16,68.96753247,2655.25,68.96753247,7.222222222,342.2638889,5,1172,0,0,222.75,222.75,0,226,2,0.4187021255
5,0,222.75,3582,-2.046363079e-12,3359.25,-5.315228777e-14,87.25324675,3359.25,87.25324675,14.89583333,341.25,5,1120,0,0,222.75,222.75,0,226,3,0.5985710621
6,0,222.75,3140,-1.421085472e-13,2917.25,-3.691131095e-15,75.77272727,2917.25,75.77272727,8.125,341.7083333,5,1152,0,0,222.75,222.75,0,226,4,0.8378899097
7,0,219.5,214,-3.25,-8.75,-0.08441558442,-0.2272727273,-5.5,-0.1428571429,13.75,13.75,0,0,1,1,222.75,219.5,0,214,0,1.097826242
8,0,214,326,-8.75,103.25,-0.2272727273,2.681818182,112,2.909090909,0,11,7,56,0,0,222.75,222.75,0,214,1,1.228724003
9,0,214,214,-8.75,-8.75,-0.2272727273,-0.2272727273,3.649347491e-11,9.478824652e-13,1.059465847e-12,9.042903064e-11,0,0,1,0,222.75,219.5,0,214,2,1.359792948
10,0,214,462,-8.75,239.25,-0.2272727273,6.214285714,248,6.441558442,0,20,7,92,0,0,222.75,221.125,0,214,3,1.465914726
11,0,204.27,0,-18.48,-222.75,-0.48,-5.785714286,-204.27,-5.305714286,36,36,1,16,0,0,222.75,204.27,0,214,4,1.91685605
12,0,204.27,104,-18.48,-118.75,-0.48,-3.084415584,-100.27,-2.604415584,36,47.79826685,1,160,0,0,222.75,204.27,0,214,5,1.920965672
13,0,204.27,3754,-18.48,3531.25,-0.48,91.72077922,3549.73,92.20077922,36,373.4488857,6,1242,0,0,222.75,204.27,0,214,6,1.98340416
14,0,204.27,0,-18.48,-222.75,-0.48,-5.785714286,-204.27,-5.305714286,36,36,1,16,0,0,222.75,204.27,0,214,7,2.091138601
15,0,204.27,60,-18.48,-162.75,-0.48,-4.227272727,-144.27,-3.747272727,36,41.19,1,106,0,0,222.75,204.27,0,214,8,2.095305443
16,0,214,3568,-8.75,3345.25,-0.2272727273,86.88961039,3354,87.11688312,2.664535259e-15,341,6,1204,0,0,222.75,222.75,0,214,9,2.253884554
17,0,214,3842,-8.75,3619.25,-0.2272727273,94.00649351,3628,94.23376623,1.465494393e-14,337,6,1192,0,0,222.75,222.75,0,214,10,2.46008563
18,0,204.27,4020,-18.48,3797.25,-0.48,98.62987013,3815.73,99.10987013,36,386.1645076,6,1238,0,0,222.75,204.27,0,214,11,2.924757242
19,0,204.27,3624,-18.48,3401.25,-0.48,88.34415584,3419.73,88.82415584,36,393.6631478,6,1254,0,0,222.75,204.27,0,214,12,3.092476368
20,0,204.27,3508,-18.48,3285.25,-0.48,85.33116883,3303.73,85.81116883,36,387.3031991,5,1232,0,0,222.75,204.27,0,214,13,3.288782597
21,0,204.27,3660,-18.48,3437.25,-0.48,89.27922078,3455.73,89.75922078,36,371.3187581,6,1194,0,0,222.75,204.27,0,214,14,3.516468287
22,0,204.27,3906,-18.48,3683.25,-0.48,95.66883117,3701.73,96.14883117,36,375.3596662,6,1210,0,0,222.75,204.27,0,214,15,3.75043869
23,0,204.27,3206,-18.48,2983.25,-0.48,77.48701299,3001.73,77.96701299,36,342.5362637,5,1118,0,0,222.75,204.27,0,214,16,3.966383457
24,0,204.27,3576,-18.48,3353.25,-0.48,87.0974026,3371.73,87.5774026,36,366.0112781,5,1166,0,0,222.75,204.27,0,214,17,4.218432426
25,0,204.27,3286,-18.48,3063.25,-0.48,79.56493506,3081.73,80.04493506,36,358.6924611,5,1182,0,0,222.75,204.27,0,214,18,4.433211088
26,0,204.27,4130,-18.48,3907.25,-0.48,101.487013,3925.73,101.967013,36,396.2601683,5,1306,0,0,222.75,204.27,0,214,19,4.694960594
27,0,204.27,3474,-18.48,3251.25,-0.48,84.44805195,3269.73,84.92805195,36,361.1788434,4,1142,0,0,222.75,204.27,0,214,20,4.947079659
28,0,204.27,3480,-18.48,3257.25,-0.48,84.6038961,3275.73,85.0838961,36,362.0237673,5,1176,0,0,222.75,204.27,0,214,21,5.130323648
29,0,204.27,3570,-18.48,3347.25,-0.48,86.94155844,3365.73,87.42155844,36,367.9964255,6,1166,0,0,222.75,204.27,0,214,22,5.377181053
30,0,204.27,3352,-18.48,3129.25,-0.48,81.27922078,3147.73,81.75922078,36,380.145802,5,1272,0,0,222.75,204.27,0,214,23,5.604095936
31,0,204.27,3726,-18.48,3503.25,-0.48,90.99350649,3521.73,91.47350649,36,362.0286729,5,1160,0,0,222.75,204.27,0,214,24,5.813179493
32,0,204.27,3492,-18.48,3269.25,-0.48,84.91558442,3287.73,85.39558442,36,353.8105167,5,1100,0,0,222.75,204.27,0,214,25,5.9794631
33,0,204.27,4152,-18.48,3929.25,-0.48,102.0584416,3947.73,102.5384416,36,365.7448975,5,1258,0,0,222.75,204.27,0,214,26,6.207959652
34,0,204.27,3482,-18.48,3259.25,-0.48,84.65584416,3277.73,85.13584416,36,385.1561067,6,1228,0,0,222.75,204.27,0,214,27,6.362026453
35,0,204.27,4100,-18.48,3877.25,-0.48,100.7077922,3895.73,101.1877922,36,383.5564544,5,1292,0,0,222.75,204.27,0,214,28,6.606652737
36,0,204.27,3558,-18.48,3335.25,-0.48,86.62987013,3353.73,87.10987013,36,374.7711649,5,1154,0,0,222.75,204.27,0,214,29,6.793301821
37,0,204.27,3490,-18.48,3267.25,-0.48,84.86363636,3285.73,85.34363636,36,371.190009,5,1246,0,0,222.75,204.27,0,214,30,7.051925421
