it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,6875,0,-3483.75,-10358.75,-0.75,-2.230086114,-6875,-1.480086114,20,20,1,50,0,0,10358.75,0,1,0,0,0.0001201629639
1,0,7745,375,-2613.75,-9983.75,-0.5627018299,-2.149354144,-7370,-1.586652314,19,19,1,49.35436508,0,0,10358.75,10358.75,0,0,1,0.002947807312
2,0,7805,2400,-2553.75,-7958.75,-0.5497847147,-1.713401507,-5405,-1.163616792,16,16,1,40.06746032,0,0,10358.75,10358.75,0,0,2,0.00501871109
3,0,7665,2925,-2693.75,-7433.75,-0.5799246502,-1.600376749,-4740,-1.020452099,14,14,1,37.25238095,0,0,10358.75,10358.75,0,0,3,0.00732254982
4,0,7585,3900,-2773.75,-6458.75,-0.5971474704,-1.390473628,-3685,-0.7933261572,12,12,1,32.31111111,0,0,10358.75,10358.75,0,0,4,0.009814977646
5,0,7465,4050,-2893.75,-6308.75,-0.6229817008,-1.35818084,-3415,-0.7351991389,11,11,1,31.1,0,0,10358.75,10358.75,0,0,5,0.01182556152
6,0,7465,10220,-2893.75,-138.75,-0.6229817008,-0.02987082885,2755,0.5931108719,11,11,1,10.1,0,0,10358.75,10358.75,0,0,6,0.01292538643
7,0,7935,7435,-2423.75,-2923.75,-0.5217976319,-0.6294402583,-500,-0.1076426265,0.15625,0.15625,1,2.620634921,0,0,10358.75,10358.75,0,0,7,0.0141210556
8,0,7935,40245,-2423.75,29886.25,-0.5217976319,6.434068891,32310,6.955866523,0.15625,22.84375,4.08,14.24,0,0,10358.75,10358.75,0,0,8,0.01514720917
9,0,10358.75,9985,0,-373.75,0,-0.08046286329,-373.75,-0.08046286329,0.4671875,0.4671875,0,0,1,1,10358.75,10358.75,0,9985,0,0.01603364944
10,0,9985,37695,-373.75,27336.25,-0.08046286329,5.885091496,27710,5.96555436,0,23,3.8,12.76,0,0,10358.75,10358.75,0,9985,1,0.0169069767
11,0,10358.75,10235,0,-123.75,0,-0.02664155005,-123.75,-0.02664155005,0.07734375,0.07734375,0,0,1,0,10358.75,10358.75,0,9985,2,0.01770997047
12,0,10235,20185,-123.75,9826.25,-0.02664155005,2.115446717,9950,2.142088267,0,16,3.44,6.88,0,0,10358.75,10358.75,0,9985,3,0.01852822304
13,0,10358.75,10585,0,226.25,0,0.04870828848,226.25,0.04870828848,0.1885416667,0.1885416667,0,0,1,0,10358.75,10358.75,0,9985,4,0.01932954788
14,0,10358.75,19235,0,8876.25,0,1.910925727,8876.25,1.910925727,0.1885416667,17.81145833,3.48,6.96,0,0,10358.75,10358.75,0,9985,5,0.0201010704
15,0,10358.75,9635,0,-723.75,0,-0.1558127018,-723.75,-0.1558127018,0.45234375,0.45234375,0,0,1,1,10358.75,10358.75,0,9635,0,0.02089476585
16,0,9635,36985,-723.75,26626.25,-0.1558127018,5.732238967,27350,5.888051668,0,21,3.92,10.8,0,0,10358.75,10358.75,0,9635,1,0.02174377441
17,0,10358.75,25650,0,15291.25,0,3.291980624,15291.25,3.291980624,0.1885416667,47.18854167,5,59.12,0,0,10358.75,10358.75,0,9635,2,0.02259039879
18,0,10358.75,11115,0,756.25,0,0.1628094726,756.25,0.1628094726,2.396346831,2.396346831,0.24,0.24,0,0,10358.75,10358.75,0,9635,3,0.02396345139
