it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,6875,4125,-2607.5,-5357.5,-0.5,-1.027325024,-2750,-0.527325024,10,10,1,30,0,0,9482.5,0,1,0,0,0.000128030777
1,0,7115,9855,-2367.5,372.5,-0.453978907,0.07142857143,2740,0.5254074784,10,10,1,9,0,0,9482.5,9482.5,0,0,1,0.002157211304
2,0,7865,7115,-1617.5,-2367.5,-0.3101629914,-0.453978907,-750,-0.1438159156,0.234375,0.234375,1,2.987301587,0,0,9482.5,9482.5,0,0,2,0.003486156464
3,0,7865,18330,-1617.5,8847.5,-0.3101629914,1.696548418,10465,2.006711409,0.234375,22.765625,7,33.16,0,0,9482.5,9482.5,0,0,3,0.00440120697
4,0,8487.5,7165,-995,-2317.5,-0.1907957814,-0.4443911793,-1322.5,-0.2535953979,0.41328125,0.41328125,1,3.65952381,0,0,9482.5,8487.5,0,0,4,0.005523681641
5,0,8165,15445,-1317.5,5962.5,-0.2526366251,1.143336529,7280,1.395973154,0.3125,22.6875,7,31.56,0,0,9482.5,9482.5,0,0,5,0.0065741539
6,0,8487.5,7355,-995,-2127.5,-0.1907957814,-0.407957814,-1132.5,-0.2171620326,2.409492925,2.409492925,1,3.802380952,0,0,9482.5,8487.5,0,0,6,0.007632255554
7,0,8605,16960,-877.5,7477.5,-0.1682646213,1.433844679,8355,1.6021093,0.390625,15.609375,7,24.16,0,0,9482.5,9482.5,0,0,7,0.008692264557
8,0,8487.5,7405,-995,-2077.5,-0.1907957814,-0.3983700863,-1082.5,-0.2075743049,1.504101562,1.504101562,1,3.773809524,0,0,9482.5,8487.5,0,0,8,0.009663105011
9,0,8605,17370,-877.5,7887.5,-0.1682646213,1.512464046,8765,1.680728667,0.375,17.625,7,28.12,0,0,9482.5,9482.5,0,0,9,0.0106818676
10,0,8487.5,26490,-995,17007.5,-0.1907957814,3.26126558,18002.5,3.452061361,1.519726562,47.81152344,4,59.48,0,0,9482.5,8487.5,0,0,10,0.01169276237
11,0,6979.3,4175,-2503.2,-5307.5,-0.48,-1.017737296,-2804.3,-0.5377372963,10.143,10.143,1,29.8,0,0,9482.5,6979.3,0,0,11,0.0140273571
12,0,6979.3,9735,-2503.2,252.5,-0.48,0.04841802493,2755.7,0.5284180249,9.833956368,11.22754127,2,11,0,0,9482.5,6979.3,0,0,12,0.01638507843
13,0,6979.3,6875,-2503.2,-2607.5,-0.48,-0.5,-104.3,-0.02,9.61539375,9.61539375,1,10,0,0,9482.5,6979.3,0,0,13,0.01790237427
14,0,8125,10475,-1357.5,992.5,-0.2603068073,0.190316395,2350,0.4506232023,5.390625,12.109375,1.56,14.13857143,0,0,9482.5,8156.8,0,0,14,0.01941347122
15,0,6979.3,5475,-2503.2,-4007.5,-0.48,-0.7684563758,-1504.3,-0.2884563758,9.630186298,9.630186298,1,18.12619048,0,0,9482.5,6979.3,0,0,15,0.02106070518
16,0,8100,6960,-1382.5,-2522.5,-0.2651006711,-0.4837008629,-1140,-0.2186001918,3.234375,3.234375,1,9.428571429,0,0,9482.5,8359.65,0,0,16,0.02231764793
17,0,8100,15405,-1382.5,5922.5,-0.2651006711,1.135666347,7305,1.400767018,3.234375,24.765625,7,34.56,0,0,9482.5,8359.65,0,0,17,0.02324175835
18,0,8350,7115,-1132.5,-2367.5,-0.2171620326,-0.453978907,-1235,-0.2368168744,1.890625,1.890625,1,3.953968254,0,0,9482.5,8359.65,0,0,18,0.02433729172
19,0,8115,18895,-1367.5,9412.5,-0.2622243528,1.804889741,10780,2.067114094,0.3125,24.6875,7,35.16,0,0,9482.5,8359.65,0,0,19,0.02538609505
20,0,8359.65,7045,-1122.85,-2437.5,-0.2153116012,-0.4674017258,-1314.65,-0.2520901246,1.327901278,1.327901278,0.9333333333,4.16952381,0,0,9482.5,8359.65,0,0,20,0.02645039558
21,0,8495,16090,-987.5,6607.5,-0.1893576222,1.267018217,7595,1.456375839,0.453125,11.546875,8,21.12,0,0,9482.5,9482.5,0,0,21,0.02754831314
22,0,8359.65,6995,-1122.85,-2487.5,-0.2153116012,-0.4769894535,-1364.65,-0.2616778523,1.035419671,1.035419671,1,4.626190476,0,0,9482.5,8359.65,0,0,22,0.02870988846
23,0,8495,18420,-987.5,8937.5,-0.1893576222,1.713806328,9925,1.90316395,0.46875,23.53125,7,34.16,0,0,9482.5,9482.5,0,0,23,0.02980542183
24,0,8877.5,24140,-605,14657.5,-0.1160115053,2.810642378,15262.5,2.926653883,0.57265625,33.42734375,5,50.12,0,0,9482.5,8877.5,0,0,24,0.03088355064
25,0,6979.3,6525,-2503.2,-2957.5,-0.48,-0.567114094,-454.3,-0.08711409396,9.408225309,9.408225309,1,8.683809524,0,0,9482.5,6979.3,0,0,25,0.0330247879
26,0,6979.3,6625,-2503.2,-2857.5,-0.48,-0.5479386385,-354.3,-0.06793863854,9.306344522,9.950171682,1,15.21420635,0,0,9482.5,6979.3,0,0,26,0.03458404541
27,0,6979.3,6175,-2503.2,-3307.5,-0.48,-0.6342281879,-804.3,-0.1542281879,9.608782959,9.608782959,1,14.41420635,0,0,9482.5,6979.3,0,0,27,0.03599452972
