it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,6875,4125,-2607.5,-5357.5,-0.5,-1.027325024,-2750,-0.527325024,10,10,1,30,0,0,9482.5,0,1,0,0,0.0001270771027
1,0,7235,9995,-2247.5,512.5,-0.4309683605,0.09827420901,2760,0.5292425695,10,10,1,9,0,0,9482.5,0,1,0,1,0.001959085464
2,0,8485,7235,-997.5,-2247.5,-0.1912751678,-0.4309683605,-1250,-0.2396931927,0.390625,0.390625,1,4.178571429,0,0,9482.5,0,1,0,2,0.003207206726
3,0,8485,18330,-997.5,8847.5,-0.1912751678,1.696548418,9845,1.887823586,0.390625,22.609375,7,33.16,0,0,9482.5,0,1,0,3,0.00413608551
4,0,9971.25,7640,488.75,-1842.5,0.09372003835,-0.3533077661,-2331.25,-0.4470278044,2.765625,2.765625,0.8,5.26984127,0,0,9482.5,0,1,0,4,0.005093097687
5,0,9081.666667,17585,-400.8333333,8102.5,-0.07686161713,1.553691275,8503.333333,1.630552892,1.453125,21.546875,7,26.16,0,0,9482.5,0,1,0,5,0.006338119507
6,0,10790,7590,1307.5,-1892.5,0.2507190796,-0.3628954938,-3200,-0.6136145733,0.84375,0.84375,0.8,4.075396825,0,0,9482.5,0,1,0,6,0.007534265518
7,0,9790,25720,307.5,16237.5,0.05896452541,3.113614573,15930,3.054650048,0.53125,15.46875,7,21.68,0,0,9482.5,0,1,0,7,0.008501052856
8,0,13690,7440,4207.5,-2042.5,0.8068072867,-0.3916586769,-6250,-1.198465964,1.171875,1.171875,1,3.83968254,0,0,9482.5,0,1,0,8,0.009346008301
9,0,10190,26130,707.5,16647.5,0.1356663471,3.192233941,15940,3.056567593,0.546875,17.453125,7,25.72,0,0,9482.5,0,1,0,9,0.01032543182
10,0,13790,28175,4307.5,18692.5,0.8259827421,3.584372004,14385,2.758389262,1.15625,48.375,5,65.52,0,0,9482.5,0,1,0,10,0.01126027107
11,0,10525,10405,1042.5,922.5,0.1999041227,0.1768935762,-120,-0.0230105465,2.790625,2.790625,0.32,0.7904761905,0,0,9482.5,0,1,0,11,0.01235365868
12,0,11055,25095,1572.5,15612.5,0.3015340364,2.993767977,14040,2.692233941,0.453125,20.546875,7,30.8,0,0,9482.5,0,1,0,12,0.01346445084
13,0,12755,8045,3272.5,-1437.5,0.6275167785,-0.2756471716,-4710,-0.9031639501,2.59375,2.59375,1,4.813333333,0,0,9482.5,0,1,0,13,0.01438117027
14,0,10000,27365,517.5,17882.5,0.09923298178,3.429050815,17365,3.329817833,2.2421875,11.7578125,6,22.36,0,0,9482.5,0,1,0,14,0.01538443565
15,0,13755,8455,4272.5,-1027.5,0.8192713327,-0.1970278044,-5300,-1.016299137,0.90625,0.90625,1,1.502222222,0,0,9482.5,0,1,0,15,0.01624155045
16,0,10255,29805,772.5,20322.5,0.1481303931,3.896931927,19550,3.748801534,0.28125,27.71875,7,37.4,0,0,9482.5,0,1,0,16,0.01708006859
17,0,13750,8500,4267.5,-982.5,0.8183125599,-0.1883988495,-5250,-1.006711409,0.890625,0.890625,0.8,1.619285714,0,0,9482.5,0,1,0,17,0.01794815063
18,0,10800,26360,1317.5,16877.5,0.2526366251,3.236337488,15560,2.983700863,0.28125,24.71875,7,33.16,0,0,9482.5,0,1,0,18,0.01886987686
19,0,13505,8455,4022.5,-1027.5,0.7713326942,-0.1970278044,-5050,-0.9683604986,0.828125,0.828125,1,1.502222222,0,0,9482.5,0,1,0,19,0.01971054077
20,0,10255,26425,772.5,16942.5,0.1481303931,3.248801534,16170,3.100671141,0.28125,11.71875,6,17.4,0,0,9482.5,0,1,0,20,0.02054238319
21,0,14055,8805,4572.5,-677.5,0.8767976989,-0.1299137105,-5250,-1.006711409,0.890625,0.890625,0.8,1.013333333,0,0,9482.5,0,1,0,21,0.02136659622
22,0,9805,28955,322.5,19472.5,0.06184084372,3.733940556,19150,3.672099712,0.1875,23.8125,7,35.36,0,0,9482.5,0,1,0,22,0.0222158432
23,0,13855,8555,4372.5,-927.5,0.8384467881,-0.177852349,-5300,-1.016299137,0.90625,0.90625,1,1.57047619,0,0,9482.5,0,1,0,23,0.02305912971
24,0,9855,26125,372.5,16642.5,0.07142857143,3.191275168,16270,3.119846596,0.28125,10.71875,5,15.4,0,0,9482.5,0,1,0,24,0.02397751808
25,0,13975,8725,4492.5,-757.5,0.8614573346,-0.1452540748,-5250,-1.006711409,0.890625,0.890625,0.8,1.013333333,0,0,9482.5,0,1,0,25,0.02482819557
26,0,9725,28735,242.5,19252.5,0.04650047939,3.691754554,19010,3.645254075,0.1875,23.8125,7,33.36,0,0,9482.5,0,1,0,26,0.02574086189
27,0,13815,8515,4332.5,-967.5,0.8307766059,-0.1855225312,-5300,-1.016299137,0.90625,0.90625,1,1.859365079,0,0,9482.5,0,1,0,27,0.02661013603
28,0,10565,27405,1082.5,17922.5,0.2075743049,3.436720997,16840,3.229146692,0.359375,17.640625,7,26.4,0,0,9482.5,0,1,0,28,0.02751064301
29,0,13935,8685,4452.5,-797.5,0.8537871524,-0.152924257,-5250,-1.006711409,0.890625,0.890625,0.8,1.302222222,0,0,9482.5,0,1,0,29,0.0283613205
30,0,10435,27655,952.5,18172.5,0.1826462128,3.484659636,17220,3.302013423,0.265625,18.734375,7,27.36,0,0,9482.5,0,1,0,30,0.02926039696
31,0,14055,8755,4572.5,-727.5,0.8767976989,-0.1395014382,-5300,-1.016299137,0.90625,0.90625,1,1.213333333,0,0,9482.5,0,1,0,31,0.03014111519
