it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,332.5662277,0,-14.35844309,-346.9246707,-0.25,-6.040429813,-332.5662277,-5.790429813,55,55,1,20,0,0,346.9246707,0,1,0,0,0.0006141662598
1,0,332.5662277,60,-14.35844309,-286.9246707,-0.25,-4.995748303,-272.5662277,-4.745748303,55,64.39179817,2,228,0,0,346.9246707,346.9246707,0,0,1,0.01128196716
2,0,346.9246707,4,-3.353761713e-12,-342.9246707,-5.839354749e-14,-5.970784379,-342.9246707,-5.970784379,52.95867493,52.95867493,1,48,0,0,346.9246707,346.9246707,0,0,2,3.560825348
3,0,346.9246707,120,1.080024958e-12,-226.9246707,1.880470173e-14,-3.951066793,-226.9246707,-3.951066793,52.62738501,54.78470272,1,192,0,0,346.9246707,346.9246707,0,0,3,7.656386614
4,0,346.9246707,228,-2.216893336e-12,-118.9246707,-3.859912461e-14,-2.070640076,-118.9246707,-2.070640076,39.00996492,39.00996492,1,48,0,0,346.9246707,346.9246707,0,0,4,8.901672125
5,0,346.9246707,252,-6.821210263e-13,-94.92467074,-1.187665373e-14,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,5,9.987490177
6,0,346.9246707,376,-8.98126018e-12,29.07532926,-1.563759407e-13,0.5062409811,29.07532926,0.5062409811,37.5225198,45.15065852,1,60,0,0,346.9246707,346.9246707,0,0,6,10.18950915
7,0,346.9246707,252,-6.878053682e-12,-94.92467074,-1.197562584e-13,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,7,10.47261024
8,0,346.9246707,410,7.389644452e-13,63.07532926,1.286637487e-14,1.09822717,63.07532926,1.09822717,37.5225198,42.54762955,1,32,0,0,346.9246707,346.9246707,0,0,8,10.79601407
9,0,346.9246707,252,-5.684341886e-14,-94.92467074,-9.897211438e-16,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,9,11.06145525
10,0,346.9246707,352,-1.284661266e-11,5.07532926,-2.236769785e-13,0.08836837722,5.07532926,0.08836837722,37.5225198,43.29135212,1,40,0,0,346.9246707,346.9246707,0,0,10,11.32066822
11,0,346.9246707,252,3.126388037e-12,-94.92467074,5.443466291e-14,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,11,11.70168853
12,0,346.9246707,338,-8.526512829e-13,-8.92467074,-1.484581716e-14,-0.1553906417,-8.92467074,-0.1553906417,37.5225198,44.40693596,1,60,0,0,346.9246707,346.9246707,0,0,12,11.91033435
13,0,346.9246707,252,6.821210263e-13,-94.92467074,1.187665373e-14,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,13,12.49905229
14,0,346.9246707,362,-1.364242053e-11,15.07532926,-2.375330745e-13,0.2624819622,15.07532926,0.2624819622,37.5225198,40.31646187,1,8,0,0,346.9246707,346.9246707,0,0,14,12.88570833
15,0,346.9246707,9684,8.526512829e-13,9337.075329,1.484581716e-14,162.5711658,9337.075329,162.5711658,37.5225198,877.1406936,6,3084,0,0,346.9246707,346.9246707,0,0,15,13.2043643
16,0,346.9246707,252,1.591615728e-12,-94.92467074,2.771219203e-14,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,16,14.79934144
17,0,346.9246707,350,6.082245818e-12,3.07532926,1.059001624e-13,0.05354566023,3.07532926,0.05354566023,37.5225198,40.68832315,1,12,0,0,346.9246707,346.9246707,0,0,17,18.77468109
18,0,346.9246707,252,-3.751665645e-12,-94.92467074,-6.532159549e-14,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,18,19.32836676
19,0,346.9246707,370,5.684341886e-14,23.07532926,9.897211438e-16,0.4017728301,23.07532926,0.4017728301,37.5225198,41.06018443,1,16,0,0,346.9246707,346.9246707,0,0,19,19.59047008
20,0,346.9246707,252,6.139089237e-12,-94.92467074,1.068898835e-13,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,20,19.86357403
21,0,346.9246707,410,8.697043086e-12,63.07532926,1.51427335e-13,1.09822717,63.07532926,1.09822717,37.5225198,45.15065852,1,60,0,0,346.9246707,346.9246707,0,0,21,20.06011057
22,0,346.9246707,252,4.035882739e-12,-94.92467074,7.027020121e-14,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,22,20.35500717
23,0,346.9246707,324,-3.922195901e-12,-22.92467074,-6.829075892e-14,-0.3991496606,-22.92467074,-0.3991496606,37.5225198,45.15065852,1,60,0,0,346.9246707,346.9246707,0,0,23,20.66479492
24,0,346.9246707,252,2.160049917e-12,-94.92467074,3.760940347e-14,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,24,21.18078327
25,0,346.9246707,372,-2.330580173e-12,25.07532926,-4.05785669e-14,0.4365955471,25.07532926,0.4365955471,37.5225198,45.89438108,1,68,0,0,346.9246707,346.9246707,0,0,25,21.5252893
26,0,346.9246707,252,7.560174708e-12,-94.92467074,1.316329121e-13,-1.652767472,-94.92467074,-1.652767472,37.5225198,37.5225198,1,32,0,0,346.9246707,346.9246707,0,0,26,21.83765292
27,0,346.9246707,366,-2.955857781e-12,19.07532926,-5.146549948e-14,0.3321273961,19.07532926,0.3321273961,37.5225198,40.31646187,1,8,0,0,346.9246707,346.9246707,0,0,27,22.19290185
28,0,346.9246707,9344,1.080024958e-12,8997.075329,1.880470173e-14,156.651304,8997.075329,156.651304,37.5225198,876.8844162,7,3086,0,0,346.9246707,346.9246707,0,0,28,22.57876348
29,0,346.9246707,9624,3.97903932e-13,9277.075329,6.928048007e-15,161.5264843,9277.075329,161.5264843,55,913.9616906,6,3108,0,0,346.9246707,346.9246707,0,0,29,25.53358126
30,0,338,396,-8.92467074,49.07532926,-0.1553906417,0.854468151,58,1.009858793,55,55,1,114,0,0,346.9246707,346.9246707,0,0,30,28.96832538
31,0,338,372,-8.92467074,25.07532926,-0.1553906417,0.4365955471,34,0.5919861888,55,55,1,112,0,0,346.9246707,346.9246707,0,0,31,30.71303654
32,0,346.9246707,260,-1.250555215e-12,-86.92467074,-2.177386516e-14,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,32,32.79927778
33,0,346.9246707,272,1.98951966e-12,-74.92467074,3.464024003e-14,-1.304540302,-74.92467074,-1.304540302,41.89188985,44.68084946,1,60,0,0,346.9246707,346.9246707,0,0,33,35.01208138
34,0,346.9246707,260,5.115907697e-13,-86.92467074,8.907490294e-15,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,34,35.34440899
35,0,346.9246707,414,-5.684341886e-13,67.07532926,-9.897211438e-15,1.167872604,67.07532926,1.167872604,41.89188985,48.30649694,1,60,0,0,346.9246707,346.9246707,0,0,35,35.74479961
36,0,346.9246707,260,-3.694822226e-12,-86.92467074,-6.433187435e-14,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,36,36.30371618
37,0,346.9246707,420,-1.125499693e-11,73.07532926,-1.959647865e-13,1.272340755,73.07532926,1.272340755,41.89188985,48.86428887,1,84,0,0,346.9246707,346.9246707,0,0,37,37.11520743
38,0,346.9246707,260,-1.023181539e-12,-86.92467074,-1.781498059e-14,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,38,37.72682977
39,0,346.9246707,400,-1.080024958e-12,53.07532926,-1.880470173e-14,0.9241135849,53.07532926,0.9241135849,41.89188985,49.70097675,1,90,0,0,346.9246707,346.9246707,0,0,39,38.57684326
40,0,346.9246707,260,-8.46966941e-12,-86.92467074,-1.474684504e-13,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,40,39.23243523
41,0,346.9246707,262,1.307398634e-12,-84.92467074,2.276358631e-14,-1.478653887,-84.92467074,-1.478653887,41.89188985,47.1909131,1,80,0,0,346.9246707,346.9246707,0,0,41,40.22706389
42,0,346.9246707,260,7.219114195e-12,-86.92467074,1.256945853e-13,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,42,40.64565063
43,0,346.9246707,268,-6.878053682e-12,-78.92467074,-1.197562584e-13,-1.374185736,-78.92467074,-1.374185736,41.89188985,44.95974542,1,72,0,0,346.9246707,346.9246707,0,0,43,41.20117736
44,0,346.9246707,260,9.947598301e-12,-86.92467074,1.732012002e-13,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,44,41.48424339
45,0,346.9246707,288,6.309619494e-12,-58.92467074,1.09859047e-13,-1.025958566,-58.92467074,-1.025958566,41.89188985,44.95974542,1,60,0,0,346.9246707,346.9246707,0,0,45,41.90553403
46,0,346.9246707,260,1.585931386e-11,-86.92467074,2.761321991e-13,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,46,42.19897604
47,0,346.9246707,240,-1.11413101e-11,-106.9246707,-1.939853442e-13,-1.861703774,-106.9246707,-1.861703774,41.89188985,47.74870502,1,92,0,0,346.9246707,346.9246707,0,0,47,42.55730367
48,0,346.9246707,260,4.945377441e-12,-86.92467074,8.610573951e-14,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,48,42.96404338
49,0,346.9246707,338,-1.932676241e-12,-8.92467074,-3.365051889e-14,-0.1553906417,-8.92467074,-0.1553906417,41.89188985,46.91201714,1,80,0,0,346.9246707,346.9246707,0,0,49,43.47130013
50,0,346.9246707,260,3.97903932e-13,-86.92467074,6.928048007e-15,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,50,43.82718921
51,0,346.9246707,252,-1.369926395e-11,-94.92467074,-2.385227957e-13,-1.652767472,-94.92467074,-1.652767472,41.89188985,46.35422522,1,88,0,0,346.9246707,346.9246707,0,0,51,44.33978534
52,0,346.9246707,260,-3.97903932e-13,-86.92467074,-6.928048007e-15,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,52,44.76457477
53,0,346.9246707,340,5.684341886e-13,-6.92467074,9.897211438e-15,-0.1205679247,-6.92467074,-0.1205679247,41.89188985,47.74870502,1,90,0,0,346.9246707,346.9246707,0,0,53,45.33787489
54,0,346.9246707,260,-1.256239557e-11,-86.92467074,-2.187283728e-13,-1.513476604,-86.92467074,-1.513476604,41.89188985,41.89188985,1,32,0,0,346.9246707,346.9246707,0,0,54,45.84387708
