it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,332.5662277,0,-28.71688617,-361.2831138,-0.5,-6.290429813,-332.5662277,-5.790429813,55,55,1,20,0,0,361.2831138,0,1,0,0,0.0003352165222
1,0,332.5662277,60,-28.71688617,-301.2831138,-0.5,-5.245748303,-272.5662277,-4.745748303,55,64.39179817,2,228,0,0,361.2831138,361.2831138,0,0,1,0.01066541672
2,0,361.2831138,118,-2.50111043e-12,-243.2831138,-4.354773033e-14,-4.23588951,-243.2831138,-4.23588951,46.61487749,46.61487749,1,64,0,0,361.2831138,361.2831138,0,0,2,2.921965122
3,0,361.2831138,368,-1.023181539e-11,6.716886173,-1.781498059e-13,0.1169501131,6.716886173,0.1169501131,27.61386538,27.61386538,0,0,1,1,361.2831138,361.2831138,0,368,0,6.624202251
4,0,361.2831138,172,-1.705302566e-13,-189.2831138,-2.969163431e-15,-3.295676152,-189.2831138,-3.295676152,17.68985455,32.41613456,1,72,0,0,361.2831138,361.2831138,0,368,1,8.737880945
5,0,361.2831138,368,1.023181539e-12,6.716886173,1.781498059e-14,0.1169501131,6.716886173,0.1169501131,18.06112118,18.06112979,0,0,1,0,361.2831138,361.2831138,0,368,2,9.9405725
6,0,361.2831138,172,7.389644452e-13,-189.2831138,1.286637487e-14,-3.295676152,-189.2831138,-3.295676152,17.68985455,32.41613456,1,72,0,0,361.2831138,361.2831138,0,368,3,10.86478496
7,0,361.2831138,368,-1.705302566e-13,6.716886173,-2.969163431e-15,0.1169501131,6.716886173,0.1169501131,18.06849325,18.06849325,0,0,1,0,361.2831138,361.2831138,0,368,4,11.97628427
8,0,361.2831138,228,4.718003765e-12,-133.2831138,8.214685494e-14,-2.320640076,-133.2831138,-2.320640076,17.68985455,27.74121057,1,44,0,0,361.2831138,361.2831138,0,368,5,13.12952018
9,0,361.2831138,368,2.50111043e-12,6.716886173,4.354773033e-14,0.1169501131,6.716886173,0.1169501131,17.87828969,17.87828969,0,0,1,0,361.2831138,361.2831138,0,368,6,13.97114778
10,0,361.2831138,222,1.364242053e-12,-139.2831138,2.375330745e-14,-2.425108227,-139.2831138,-2.425108227,17.68985455,29.05990398,1,52,0,0,361.2831138,361.2831138,0,368,7,14.98668456
11,0,361.2831138,368,1.250555215e-12,6.716886173,2.177386516e-14,0.1169501131,6.716886173,0.1169501131,17.93230397,17.93230397,0,0,1,0,361.2831138,361.2831138,0,368,8,15.90398455
12,0,361.2831138,202,1.932676241e-12,-159.2831138,3.365051889e-14,-2.773335397,-159.2831138,-2.773335397,17.68985455,31.06728774,1,64,0,0,361.2831138,361.2831138,0,368,9,17.02544856
13,0,361.2831138,9414,1.307398634e-12,9052.716886,2.276358631e-14,157.6200991,9052.716886,157.6200991,17.98993659,866.3923608,6,3140,0,0,361.2831138,361.2831138,0,368,10,18.13871527
14,0,361.2831138,9224,8.526512829e-13,8862.716886,1.484581716e-14,154.3119409,8862.716886,154.3119409,20.50688751,869.5399601,7,3124,0,0,361.2831138,361.2831138,0,368,11,20.41808081
15,0,354.5662277,40,-6.716886173,-321.2831138,-0.1169501131,-5.593975473,-314.5662277,-5.47702536,54.23354542,54.23354542,1,116,0,0,361.2831138,354.5662277,0,368,12,23.77700782
16,0,361.2831138,368,2.160049917e-12,6.716886173,3.760940347e-14,0.1169501131,6.716886173,0.1169501131,19.29962531,19.29962531,0,0,1,0,361.2831138,361.2831138,0,368,13,27.88339758
17,0,354.5662277,164,-6.716886173,-197.2831138,-0.1169501131,-3.43496702,-190.5662277,-3.318016907,35.3797091,42.53881542,1,80,0,0,361.2831138,354.5662277,0,368,14,30.48732972
18,0,361.2831138,368,2.785327524e-12,6.716886173,4.849633605e-14,0.1169501131,6.716886173,0.1169501131,18.03799951,18.03801008,0,0,1,0,361.2831138,361.2831138,0,368,15,31.63303065
19,0,354.5662277,202,-6.716886173,-159.2831138,-0.1169501131,-2.773335397,-152.5662277,-2.656385284,35.3797091,41.13457547,1,64,0,0,361.2831138,354.5662277,0,368,16,32.83774281
20,0,361.2831138,10142,2.728484105e-12,9780.716886,4.75066149e-14,170.295568,9780.716886,170.295568,17.99067533,881.2336906,7,3156,0,0,361.2831138,361.2831138,0,368,17,34.03234673
21,0,354.5662277,256,-6.716886173,-105.2831138,-0.1169501131,-1.833122038,-98.56622765,-1.716171925,49.05279425,49.05279425,1,32,0,0,361.2831138,354.5662277,0,368,18,36.68682098
22,0,361.2831138,9068,-1.932676241e-12,8706.716886,-3.365051889e-14,151.595769,8706.716886,151.595769,17.84718281,865.733465,6,3086,0,0,361.2831138,361.2831138,0,368,19,41.16856384
23,0,354.5662277,8874,-6.716886173,8512.716886,-0.1169501131,148.2179655,8519.433772,148.3349156,41.18494181,840.2622462,6,2958,0,0,361.2831138,354.5662277,0,368,20,43.34215593
24,0,354.5662277,250,-6.716886173,-111.2831138,-0.1169501131,-1.937590189,-104.5662277,-1.820640076,50.12535372,50.12535372,1,44,0,0,361.2831138,354.5662277,0,368,21,46.42933798
25,0,361.2831138,9562,1.534772309e-12,9200.716886,2.672247088e-14,160.1969801,9200.716886,160.1969801,17.78909926,841.6601255,6,2984,0,0,361.2831138,361.2831138,0,368,22,51.21390939
26,0,354.5662277,288,-6.716886173,-73.28311383,-0.1169501131,-1.275958566,-66.56622765,-1.159008453,49.81143577,49.81143577,1,28,0,0,361.2831138,354.5662277,0,368,23,53.7001524
27,0,361.2831138,9062,5.343281373e-12,8700.716886,9.303378752e-14,151.4913009,8700.716886,151.4913009,17.71880338,810.991308,6,2936,0,0,361.2831138,361.2831138,0,368,24,57.88455534
28,0,333.7149031,0,-27.56821073,-361.2831138,-0.48,-6.290429813,-333.7149031,-5.810429813,55,55,1,20,0,0,361.2831138,333.7149031,0,368,25,60.25947762
29,0,333.7149031,50,-27.56821073,-311.2831138,-0.48,-5.419861888,-283.7149031,-4.939861888,55,62.28001779,1,178,0,0,361.2831138,333.7149031,0,368,26,60.27012038
30,0,333.7149031,8990,-27.56821073,8628.716886,-0.48,150.2376831,8656.285097,150.7176831,55,893.6192966,6,3050,0,0,361.2831138,333.7149031,0,368,27,64.71531153
31,0,333.7149031,9976,-27.56821073,9614.716886,-0.48,167.4052825,9642.285097,167.8852825,55,898.5745622,6,3034,0,0,361.2831138,333.7149031,0,368,28,67.47506833
32,0,333.7149031,9242,-27.56821073,8880.716886,-0.48,154.6253454,8908.285097,155.1053454,55,912.6997142,6,3042,0,0,361.2831138,333.7149031,0,368,29,70.11998653
33,0,333.7149031,10344,-27.56821073,9982.716886,-0.48,173.8126625,10010.2851,174.2926625,55,958.121646,6,3212,0,0,361.2831138,333.7149031,0,368,30,72.9275465
34,0,333.7149031,10264,-27.56821073,9902.716886,-0.48,172.4197538,9930.285097,172.8997538,55,934.1370084,7,3102,0,0,361.2831138,333.7149031,0,368,31,75.54579353
35,0,333.7149031,8974,-27.56821073,8612.716886,-0.48,149.9591013,8640.285097,150.4391013,55,905.9129665,6,3040,0,0,361.2831138,333.7149031,0,368,32,78.49004531
36,0,333.7149031,9400,-27.56821073,9038.716886,-0.48,157.37634,9066.285097,157.85634,55,889.8642942,6,2984,0,0,361.2831138,333.7149031,0,368,33,81.15086865
37,0,333.7149031,9614,-27.56821073,9252.716886,-0.48,161.1023708,9280.285097,161.5823708,55,907.8028274,6,2954,0,0,361.2831138,333.7149031,0,368,34,84.27992225
38,0,333.7149031,0,-27.56821073,-361.2831138,-0.48,-6.290429813,-333.7149031,-5.810429813,55,55,1,20,0,0,361.2831138,333.7149031,0,368,35,87.06268573
39,0,333.7149031,60,-27.56821073,-301.2831138,-0.48,-5.245748303,-273.7149031,-4.765748303,55,70.25526528,3,340,0,0,361.2831138,333.7149031,0,368,36,87.07346678
40,0,333.7149031,9462,-27.56821073,9100.716886,-0.48,158.4558443,9128.285097,158.9358443,55,934.7249219,7,3100,0,0,361.2831138,333.7149031,0,368,37,90.97573447
41,0,333.7149031,9056,-27.56821073,8694.716886,-0.48,151.3868327,8722.285097,151.8668327,55,896.1090513,7,3030,0,0,361.2831138,333.7149031,0,368,38,93.53286481
42,0,333.7149031,9460,-27.56821073,9098.716886,-0.48,158.4210215,9126.285097,158.9010215,55,898.2640821,7,2984,0,0,361.2831138,333.7149031,0,368,39,96.69432092
43,0,333.7149031,9232,-27.56821073,8870.716886,-0.48,154.4512318,8898.285097,154.9312318,55,866.7274617,6,2886,0,0,361.2831138,333.7149031,0,368,40,99.45666289
44,0,333.7149031,0,-27.56821073,-361.2831138,-0.48,-6.290429813,-333.7149031,-5.810429813,55,55,1,20,0,0,361.2831138,333.7149031,0,368,41,102.2344398
45,0,333.7149031,30,-27.56821073,-331.2831138,-0.48,-5.768089058,-303.7149031,-5.288089058,55,63.24104362,2,222,0,0,361.2831138,333.7149031,0,368,42,102.2450163
46,0,333.7149031,9002,-27.56821073,8640.716886,-0.48,150.4466194,8668.285097,150.9266194,55,876.67202,6,2998,0,0,361.2831138,333.7149031,0,368,43,106.8383493
47,0,333.7149031,9346,-27.56821073,8984.716886,-0.48,156.4361267,9012.285097,156.9161267,55,864.9946461,7,2936,0,0,361.2831138,333.7149031,0,368,44,108.9511373
48,0,333.7149031,9388,-27.56821073,9026.716886,-0.48,157.1674037,9054.285097,157.6474037,55,884.7288372,7,2850,0,0,361.2831138,333.7149031,0,368,45,111.577601
49,0,333.7149031,9676,-27.56821073,9314.716886,-0.48,162.181875,9342.285097,162.661875,55,917.2943652,7,3214,0,0,361.2831138,333.7149031,0,368,46,114.0273306
50,0,333.7149031,8682,-27.56821073,8320.716886,-0.48,144.8749846,8348.285097,145.3549846,55,877.5199343,6,2744,0,0,361.2831138,333.7149031,0,368,47,116.3968596
51,0,333.7149031,9522,-27.56821073,9160.716886,-0.48,159.5005258,9188.285097,159.9805258,55,942.2421141,6,3198,0,0,361.2831138,333.7149031,0,368,48,118.497736
52,0,333.7149031,0,-27.56821073,-361.2831138,-0.48,-6.290429813,-333.7149031,-5.810429813,55,55.00000532,1,20,0,0,361.2831138,333.7149031,0,368,49,120.5833821
