it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,332.5662277,0,-28.71688617,-361.2831138,-0.5,-6.290429813,-332.5662277,-5.790429813,55,55,1,20,0,0,361.2831138,0,1,0,0,0.0003402233124
1,0,332.5662277,60,-28.71688617,-301.2831138,-0.5,-5.245748303,-272.5662277,-4.745748303,55,64.39179817,2,228,0,0,361.2831138,0,1,0,1,0.01058292389
2,0,466,466,104.7168862,104.7168862,1.823263246,1.823263246,5.684341886e-13,9.897211438e-15,8.026912468e-14,8.471001678e-14,0,0,1,1,361.2831138,0,1,466,0,1.784949064
3,0,466,642,104.7168862,280.7168862,1.823263246,4.887662341,176,3.064399095,-7.657912391e-12,23,2,92,0,0,361.2831138,0,1,466,1,2.984700203
4,0,466,466,104.7168862,104.7168862,1.823263246,1.823263246,-3.524291969e-11,-6.136271092e-13,1.478261537e-12,3.312163391e-10,0,0,1,0,361.2831138,0,1,466,2,3.801542997
5,0,466,442,104.7168862,80.71688617,1.823263246,1.405390642,-24,-0.4178726039,-3.852473895e-14,23,7,116,0,0,361.2831138,0,1,466,3,3.968746901
6,0,466,466,104.7168862,104.7168862,1.823263246,1.823263246,3.97903932e-12,6.928048007e-14,1.880008641e-12,2.091852209e-10,0,0,1,0,361.2831138,0,1,466,4,4.781641722
7,0,466,334,104.7168862,-27.28311383,1.823263246,-0.4750360757,-132,-2.298299321,-5.906386491e-14,16,1,60,0,0,361.2831138,0,1,466,5,5.568761349
8,0,466,9712,104.7168862,9350.716886,1.823263246,162.8086839,9246,160.9854206,-5.906386491e-14,843,6,3040,0,0,361.2831138,0,1,466,6,5.578351974
9,0,466,466,104.7168862,104.7168862,1.823263246,1.823263246,-7.275957614e-12,-1.266843064e-13,1.136178799e-13,9.170625612e-12,0,0,1,0,361.2831138,0,1,466,7,7.029301882
10,0,466,632,104.7168862,270.7168862,1.823263246,4.713548756,166,2.89028551,2.439571969e-13,19,2,76,0,0,361.2831138,0,1,466,8,8.434305429
11,0,466,466,104.7168862,104.7168862,1.823263246,1.823263246,-4.831690603e-12,-8.412629723e-14,7.25693783e-14,5.304226742e-12,0,0,1,0,361.2831138,0,1,466,9,9.533066034
12,0,466,520,104.7168862,158.7168862,1.823263246,2.763476604,54,0.9402133587,2.034878816e-12,10.00000001,2,40,0,0,361.2831138,0,1,466,10,10.14878178
13,0,466,9284,104.7168862,8922.716886,1.823263246,155.3566224,8818,153.5333592,4.440892099e-14,844,6,3086,0,0,361.2831138,0,1,466,11,10.95710325
14,0,466,10414,104.7168862,10052.71689,1.823263246,175.0314575,9948,173.2081943,1.487698853e-14,862,7,3114,0,0,361.2831138,0,1,466,12,12.97872877
15,0,466,466,104.7168862,104.7168862,1.823263246,1.823263246,1.023181539e-11,1.781498059e-13,1.93610518e-13,1.904238529e-11,0,0,1,0,361.2831138,0,1,466,13,14.98684669
16,0,466,616,104.7168862,254.7168862,1.823263246,4.43496702,150,2.611703774,-4.803628738e-13,25,2,100,0,0,361.2831138,0,1,466,14,16.35836673
17,0,466,466,104.7168862,104.7168862,1.823263246,1.823263246,-3.996092346e-10,-6.957739641e-12,-2.733332376e-12,3.899878205e-09,0,0,1,0,361.2831138,0,1,466,15,17.29430056
18,0,466,626,104.7168862,264.7168862,1.823263246,4.609080605,160,2.785817359,-5.064726027e-12,25,2,100,0,0,361.2831138,0,1,466,16,17.89490128
19,0,466,466,104.7168862,104.7168862,1.823263246,1.823263246,-1.98951966e-11,-3.464024003e-13,6.023287231e-14,1.40574104e-10,0,0,1,0,361.2831138,0,1,466,17,18.40910554
20,0,466,690,104.7168862,328.7168862,1.823263246,5.723407548,224,3.900144303,-2.734393128e-12,22.00000002,2,88,0,0,361.2831138,0,1,466,18,18.8277986
21,0,466,9494,104.7168862,9132.716886,1.823263246,159.0130077,9028,157.1897445,-2.930988785e-14,844,6,3088,0,0,361.2831138,0,1,466,19,19.48080373
22,0,466,466,104.7168862,104.7168862,1.823263246,1.823263246,-9.606537787e-12,-1.672628733e-13,2.075622914e-12,6.078900967e-11,0,0,1,0,361.2831138,0,1,466,20,20.86120772
23,0,466,550,104.7168862,188.7168862,1.823263246,3.285817359,84,1.462554114,-5.376163388e-12,21,2,84,0,0,361.2831138,0,1,466,21,22.41221666
