it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,332.5662277,0,-28.71688617,-361.2831138,-0.5,-6.290429813,-332.5662277,-5.790429813,55,55,1,20,0,0,361.2831138,0,1,0,0,0.0003366470337
1,0,332.5662277,60,-28.71688617,-301.2831138,-0.5,-5.245748303,-272.5662277,-4.745748303,55,64.39179817,2,228,0,0,361.2831138,0,1,0,1,0.01049494743
2,0,466,466,104.7168862,104.7168862,1.823263246,1.823263246,5.684341886e-13,9.897211438e-15,8.026912468e-14,8.471001678e-14,0,0,1,1,361.2831138,0,1,466,0,1.78630662
3,0,459.3283114,452,98.04519756,90.71688617,1.707100083,1.579504227,-7.328311383,-0.1275958566,3.464146013,23.51320682,1,48,0,0,361.2831138,459.3283114,0,466,1,4.283214808
4,0,459.3283114,9334,98.04519756,8972.716886,1.707100083,156.2271904,8874.671689,154.5200903,3.72829658,847.1584875,6,3056,0,0,361.2831138,459.3283114,0,466,2,5.142337799
5,0,459.3283114,9896,98.04519756,9534.716886,1.707100083,166.0123738,9436.671689,164.3052738,4.235992773,851.2238962,6,3078,0,0,361.2831138,459.3283114,0,466,3,7.607714891
6,0,459.3283114,10404,98.04519756,10042.71689,1.707100083,174.857344,9944.671689,173.1502439,6.319113139,875.319313,7,3158,0,0,361.2831138,459.3283114,0,466,4,11.18341589
7,0,459.3283114,9280,98.04519756,8918.716886,1.707100083,155.286977,8820.671689,153.5798769,5.822628499,853.0798751,6,3102,0,0,361.2831138,459.3283114,0,466,5,14.77241993
8,0,335.2349031,9272,-26.04821073,8910.716886,-0.4535347351,155.1476861,8936.765097,155.6012209,55,868.4211982,6,3004,0,0,361.2831138,335.2349031,0,466,6,19.21148157
9,0,335.2349031,9548,-26.04821073,9186.716886,-0.4535347351,159.9532211,9212.765097,160.4067558,55,896.101997,6,2988,0,0,361.2831138,335.2349031,0,466,7,22.06023908
10,0,335.2349031,8868,-26.04821073,8506.716886,-0.4535347351,148.1134973,8532.765097,148.567032,55,867.7829718,7,2784,0,0,361.2831138,335.2349031,0,466,8,25.09154701
11,0,335.2349031,9268,-26.04821073,8906.716886,-0.4535347351,155.0780407,8932.765097,155.5315754,55,909.6664736,7,3088,0,0,361.2831138,335.2349031,0,466,9,28.36206555
12,0,335.2349031,9786,-26.04821073,9424.716886,-0.4535347351,164.0971244,9450.765097,164.5506591,55,898.2244669,6,3012,0,0,361.2831138,335.2349031,0,466,10,31.76455879
13,0,335.2349031,8940,-26.04821073,8578.716886,-0.4535347351,149.3671151,8604.765097,149.8206499,55,903.3468699,7,3038,0,0,361.2831138,335.2349031,0,466,11,34.94431567
14,0,335.2349031,9748,-26.04821073,9386.716886,-0.4535347351,163.4354928,9412.765097,163.8890275,55,960.7367211,6,3232,0,0,361.2831138,335.2349031,0,466,12,38.37399387
15,0,335.2349031,10238,-26.04821073,9876.716886,-0.4535347351,171.9670585,9902.765097,172.4205932,55,940.1886423,7,3130,0,0,361.2831138,335.2349031,0,466,13,41.69324207
16,0,335.2349031,9324,-26.04821073,8962.716886,-0.4535347351,156.0530768,8988.765097,156.5066115,55,914.7225848,8,3024,0,0,361.2831138,335.2349031,0,466,14,44.71835852
17,0,335.2349031,0,-26.04821073,-361.2831138,-0.4535347351,-6.290429813,-335.2349031,-5.836895078,55,55.00000107,1,20,0,0,361.2831138,335.2349031,0,466,15,47.67901373
18,0,335.2349031,30,-26.04821073,-331.2831138,-0.4535347351,-5.768089058,-305.2349031,-5.314554323,55,63.80876548,2,230,0,0,361.2831138,335.2349031,0,466,16,47.68978786
19,0,335.2349031,0,-26.04821073,-361.2831138,-0.4535347351,-6.290429813,-335.2349031,-5.836895078,54.89232659,54.89232659,1,52,0,0,361.2831138,335.2349031,0,466,17,52.39295268
20,0,335.2349031,0,-26.04821073,-361.2831138,-0.4535347351,-6.290429813,-335.2349031,-5.836895078,54.5719628,54.5719628,1,100,0,0,361.2831138,335.2349031,0,466,18,56.1639719
21,0,335.2349031,30,-26.04821073,-331.2831138,-0.4535347351,-5.768089058,-305.2349031,-5.314554323,54.31558059,54.31558059,1,104,0,0,361.2831138,335.2349031,0,466,19,57.2777257
22,0,335.2349031,72,-26.04821073,-289.2831138,-0.4535347351,-5.036812001,-263.2349031,-4.583277266,54.27426482,55.96084077,1,92,0,0,361.2831138,335.2349031,0,466,20,57.94730735
23,0,340,340,-21.28311383,-21.28311383,-0.3705679247,-0.3705679247,0,0,-2.220446049e-15,2.220446049e-15,0,0,1,1,361.2831138,459.3283114,0,340,0,59.2249074
24,0,339.6283114,174,-21.65480244,-187.2831138,-0.3770395285,-3.260853435,-165.6283114,-2.883813906,4.755600799,18.31553004,1,60,0,0,361.2831138,339.6283114,0,340,1,63.44052935
