it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,145.8,0,-18.8,-164.6,-0.25,-2.188829787,-145.8,-1.938829787,145.8,145.8,1,2187,0,0,164.6,0,1,0,0,0.0005533695221
1,0,145.8,18,-18.8,-146.6,-0.25,-1.949468085,-127.8,-1.699468085,145.8,152.4360017,1,1923,0,0,164.6,164.6,0,0,1,0.08081126213
2,0,155.6640666,41,-8.93593339,-123.6,-0.1188289015,-1.643617021,-114.6640666,-1.52478812,137.6640666,147.908701,1,1589,0,0,164.6,164.6,0,0,2,27.5048151
3,0,164.6,40,8.526512829e-14,-124.6,1.133844791e-15,-1.656914894,-124.6,-1.656914894,133.2319669,133.2319669,1,1604,0,0,164.6,164.6,0,0,3,45.0649302
4,0,164.6,45,1.705302566e-13,-119.6,2.267689582e-15,-1.590425532,-119.6,-1.590425532,132.8419695,140.512728,1,1539,0,0,164.6,164.6,0,0,4,56.57707977
5,0,164.6,49,-2.842170943e-14,-115.6,-3.779482637e-16,-1.537234043,-115.6,-1.537234043,132.777919,137.1462358,1,1481,0,0,164.6,164.6,0,0,5,71.38807034
6,0,164.6,57,0,-107.6,0,-1.430851064,-107.6,-1.430851064,131.8361801,136.4055156,1,1374,0,0,164.6,164.6,0,0,6,83.62638092
7,0,164.6,58,3.694822226e-13,-106.6,4.913327428e-15,-1.417553191,-106.6,-1.417553191,130.7982199,130.7982199,1,1359,0,0,164.6,164.6,0,0,7,92.61628795
8,0,164.6,71,0,-93.6,0,-1.244680851,-93.6,-1.244680851,130.560797,135.0609671,1,1194,0,0,164.6,164.6,0,0,8,97.44513226
9,0,164.6,70,0,-94.6,0,-1.257978723,-94.6,-1.257978723,129.3655526,129.3655526,1,1199,0,0,164.6,164.6,0,0,9,104.7400506
10,0,164.6,69,0,-95.6,0,-1.271276596,-95.6,-1.271276596,128.9575706,128.9575706,1,1212,0,0,164.6,164.6,0,0,10,109.3604984
11,0,164.6,75,0,-89.6,0,-1.191489362,-89.6,-1.191489362,128.6903771,129.7146179,1,1133,0,0,164.6,164.6,0,0,11,112.8946187
12,0,164.6,75,-2.842170943e-14,-89.6,-3.779482637e-16,-1.191489362,-89.6,-1.191489362,127.1200181,127.1200181,1,1128,0,0,164.6,164.6,0,0,12,119.2619264
13,0,164.6,74,0,-90.6,0,-1.204787234,-90.6,-1.204787234,126.5410069,126.5410069,1,1139,0,0,164.6,164.6,0,0,13,122.964216
