it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,145.8,0,-37.6,-183.4,-0.5,-2.438829787,-145.8,-1.938829787,145.8,145.8,1,2187,0,0,183.4,0,1,0,0,0.0003073215485
1,0,145.8,18,-37.6,-165.4,-0.5,-2.199468085,-127.8,-1.699468085,145.8,152.4360017,1,1923,0,0,183.4,0,1,0,1,0.07663631439
2,0,155.6640666,41,-27.73593339,-142.4,-0.3688289015,-1.893617021,-114.6640666,-1.52478812,137.6640666,147.908701,1,1589,0,0,183.4,0,1,0,2,29.25092292
3,0,169.4960694,64,-13.9039306,-119.4,-0.1848926942,-1.587765957,-105.4960694,-1.402873263,128.4960694,137.8789673,1,1285,0,0,183.4,0,1,0,3,47.18228865
4,0,181.5331902,65,-1.866809841,-118.4,-0.02482459895,-1.574468085,-116.5331902,-1.549643486,117.5144955,117.5144955,1,1273,0,0,183.4,0,1,0,4,56.73273921
5,0,181.8845828,66,-1.515417215,-117.4,-0.02015182467,-1.561170213,-115.8845828,-1.541018388,116.8812498,116.8812498,1,1260,0,0,183.4,0,1,0,5,61.96497154
6,0,182.2183416,82,-1.181658405,-101.4,-0.01571354262,-1.348404255,-100.2183416,-1.332690713,116.2183416,120.0416071,1,1064,0,0,183.4,0,1,0,6,66.58915138
7,0,189.8735476,83,6.473547631,-100.4,0.08608440999,-1.335106383,-106.8735476,-1.421190793,107.8546195,107.8546195,1,1049,0,0,183.4,0,1,0,7,72.33080816
8,0,190.2025777,84,6.802577703,-99.4,0.09045980988,-1.321808511,-106.2025777,-1.412268321,107.1369456,107.1369456,1,1040,0,0,183.4,0,1,0,8,75.0602572
9,0,190.5161079,102,7.116107855,-81.4,0.09462909381,-1.082446809,-88.51610785,-1.177075902,106.5161079,109.9307538,1,850,0,0,183.4,0,1,0,9,77.92597461
10,0,197.596,106,14.19599995,-77.4,0.1887765951,-1.029255319,-91.59599995,-1.218031914,94.89979423,94.89979423,1,812,0,0,183.4,0,1,0,10,81.12438202
11,0,198.3636782,108,14.96367818,-75.4,0.1989850822,-1.002659574,-90.36367818,-1.201644657,92.28266505,92.28266505,1,791,0,0,183.4,0,1,0,11,83.04956675
12,0,199.0891161,109,15.68911614,-74.4,0.2086318636,-0.9893617021,-90.08911614,-1.197993566,91.06170169,91.06170169,1,779,0,0,183.4,0,1,0,12,84.34226227
13,0,199.4183838,130,16.01838375,-53.4,0.2130104222,-0.710106383,-69.41838375,-0.9231168052,90.41838375,93.04799326,1,573,0,0,183.4,0,1,0,13,85.64924502
14,0,207.103446,141,23.70344605,-42.4,0.3152053996,-0.5638297872,-66.10344605,-0.8790351868,75.69586092,75.69586092,1,487,0,0,183.4,0,1,0,14,86.89004302
15,0,209.5726356,159,26.1726356,-24.4,0.348040367,-0.3244680851,-50.5726356,-0.6725084521,66.59597105,66.59597105,1,350,0,0,183.4,0,1,0,15,87.63646555
16,0,214.0009711,177,30.60097111,-6.4,0.4069278074,-0.08510638298,-37.00097111,-0.4920341903,50.22490074,50.22490074,1,207,0,0,183.4,0,1,0,16,88.1169517
17,0,217.0229913,194,33.62299133,10.6,0.4471142464,0.1409574468,-23.02299133,-0.3061567996,35.54124932,35.54124932,1,110,0,0,183.4,0,1,0,17,88.33781314
18,0,220.0887817,209,36.68878168,25.6,0.4878827351,0.3404255319,-11.08878168,-0.1474572032,20.15963422,20.15963422,1,47,0,0,183.4,0,1,0,18,88.47031975
19,0,222,222,38.6,38.6,0.5132978723,0.5132978723,0,0,0,0,0,0,1,1,183.4,0,1,222,0,88.53727531
20,0,222,230,38.6,46.6,0.5132978723,0.6196808511,8,0.1063829787,0,10,1,3,0,0,183.4,0,1,222,1,88.57079673
21,0,231,231,47.6,47.6,0.6329787234,0.6329787234,0,0,0,0,0,0,1,0,183.4,0,1,222,2,88.59796739
22,0,231,222,47.6,38.6,0.6329787234,0.5132978723,-9,-0.1196808511,0,11,1,5,0,0,183.4,0,1,222,3,88.60469007
23,0,223,223,39.6,39.6,0.5265957447,0.5265957447,0,0,0,0,0,0,1,0,183.4,0,1,222,4,88.60980082
24,0,223,236,39.6,52.6,0.5265957447,0.6994680851,13,0.1728723404,0,23,1,12,0,0,183.4,0,1,222,5,88.61729527
25,0,240,240,56.6,56.6,0.7526595745,0.7526595745,0,0,0,0,0,0,1,0,183.4,0,1,222,6,88.63959098
26,0,240,224,56.6,40.6,0.7526595745,0.539893617,-16,-0.2127659574,0,24,1,9,0,0,183.4,0,1,222,7,88.67020774
27,0,226,226,42.6,42.6,0.5664893617,0.5664893617,0,0,0,0,0,0,1,0,183.4,0,1,222,8,88.68137074
28,0,226,237,42.6,53.6,0.5664893617,0.7127659574,11,0.1462765957,0,25,1,8,0,0,183.4,0,1,222,9,88.69934177
29,0,240,240,56.6,56.6,0.7526595745,0.7526595745,0,0,0,0,0,0,1,0,183.4,0,1,222,10,88.71429801
30,0,240,222,56.6,38.6,0.7526595745,0.5132978723,-18,-0.2393617021,0,20,1,18,0,0,183.4,0,1,222,11,88.73712707
31,0,226,226,42.6,42.6,0.5664893617,0.5664893617,0,0,0,0,0,0,1,0,183.4,0,1,222,12,88.74940324
32,0,226,241,42.6,57.6,0.5664893617,0.7659574468,15,0.1994680851,0,25,1,7,0,0,183.4,0,1,222,13,88.76542425
33,0,243,243,59.6,59.6,0.7925531915,0.7925531915,0,0,0,0,0,0,1,0,183.4,0,1,222,14,88.80294538
34,0,243,229,59.6,45.6,0.7925531915,0.6063829787,-14,-0.1861702128,0,16,1,11,0,0,183.4,0,1,222,15,88.83078098
35,0,232,232,48.6,48.6,0.6462765957,0.6462765957,0,0,0,0,0,0,1,0,183.4,0,1,222,16,88.85148525
36,0,232,240,48.6,56.6,0.6462765957,0.7526595745,8,0.1063829787,0,28,1,7,0,0,183.4,0,1,222,17,88.88619256
37,0,242,242,58.6,58.6,0.7792553191,0.7792553191,0,0,0,0,0,0,1,0,183.4,0,1,222,18,88.91661072
38,0,242,228,58.6,44.6,0.7792553191,0.5930851064,-14,-0.1861702128,0,16,1,10,0,0,183.4,0,1,222,19,88.94813323
39,0,230,230,46.6,46.6,0.6196808511,0.6196808511,0,0,0,0,0,0,1,0,183.4,0,1,222,20,88.95823026
40,0,230,239,46.6,55.6,0.6196808511,0.7393617021,9,0.1196808511,0,15,1,7,0,0,183.4,0,1,222,21,88.98306537
41,0,241,241,57.6,57.6,0.7659574468,0.7659574468,0,0,0,0,0,0,1,0,183.4,0,1,222,22,88.99727416
42,0,241,231,57.6,47.6,0.7659574468,0.6329787234,-10,-0.1329787234,0,28,1,9,0,0,183.4,0,1,222,23,89.01981497
43,0,233,233,49.6,49.6,0.6595744681,0.6595744681,0,0,0,0,0,0,1,0,183.4,0,1,222,24,89.02903485
44,0,233,240,49.6,56.6,0.6595744681,0.7526595745,7,0.09308510638,0,29,1,7,0,0,183.4,0,1,222,25,89.06028938
45,0,242,242,58.6,58.6,0.7792553191,0.7792553191,0,0,0,0,0,0,1,0,183.4,0,1,222,26,89.08301115
46,0,242,230,58.6,46.6,0.7792553191,0.6196808511,-12,-0.1595744681,0,14,1,9,0,0,183.4,0,1,222,27,89.11048532
47,0,232,232,48.6,48.6,0.6462765957,0.6462765957,0,0,0,0,0,0,1,0,183.4,0,1,222,28,89.11716127
48,0,232,244,48.6,60.6,0.6462765957,0.8058510638,12,0.1595744681,0,24,1,7,0,0,183.4,0,1,222,29,89.1220057
49,0,246,246,62.6,62.6,0.8324468085,0.8324468085,0,0,0,0,0,0,1,0,183.4,0,1,222,30,89.13033152
50,0,246,235,62.6,51.6,0.8324468085,0.6861702128,-11,-0.1462765957,0,15,1,8,0,0,183.4,0,1,222,31,89.13516116
51,0,237,237,53.6,53.6,0.7127659574,0.7127659574,0,0,0,0,0,0,1,0,183.4,0,1,222,32,89.14085817
52,0,237,240,53.6,56.6,0.7127659574,0.7526595745,3,0.03989361702,0,19,1,7,0,0,183.4,0,1,222,33,89.14568901
53,0,242,242,58.6,58.6,0.7792553191,0.7792553191,0,0,0,0,0,0,1,0,183.4,0,1,222,34,89.15044212
54,0,242,233,58.6,49.6,0.7792553191,0.6595744681,-9,-0.1196808511,0,17,1,8,0,0,183.4,0,1,222,35,89.15526438
55,0,235,235,51.6,51.6,0.6861702128,0.6861702128,0,0,0,0,0,0,1,0,183.4,0,1,222,36,89.16002536
56,0,235,241,51.6,57.6,0.6861702128,0.7659574468,6,0.07978723404,0,18,1,7,0,0,183.4,0,1,222,37,89.16483998
57,0,243,243,59.6,59.6,0.7925531915,0.7925531915,0,0,0,0,0,0,1,0,183.4,0,1,222,38,89.16959262
58,0,243,234,59.6,50.6,0.7925531915,0.6728723404,-9,-0.1196808511,0,19,1,8,0,0,183.4,0,1,222,39,89.17442417
59,0,236,236,52.6,52.6,0.6994680851,0.6994680851,0,0,0,0,0,0,1,0,183.4,0,1,222,40,89.17919016
60,0,236,241,52.6,57.6,0.6994680851,0.7659574468,5,0.0664893617,0,23,1,7,0,0,183.4,0,1,222,41,89.18402171
61,0,243,243,59.6,59.6,0.7925531915,0.7925531915,0,0,0,0,0,0,1,0,183.4,0,1,222,42,89.18876386
62,0,243,231,59.6,47.6,0.7925531915,0.6329787234,-12,-0.1595744681,0,14,1,8,0,0,183.4,0,1,222,43,89.19357848
63,0,233,233,49.6,49.6,0.6595744681,0.6595744681,0,0,0,0,0,0,1,0,183.4,0,1,222,44,89.19831634
64,0,233,243,49.6,59.6,0.6595744681,0.7925531915,10,0.1329787234,0,16,1,7,0,0,183.4,0,1,222,45,89.20314884
65,0,245,245,61.6,61.6,0.8191489362,0.8191489362,0,0,0,0,0,0,1,0,183.4,0,1,222,46,89.20791268
66,0,245,228,61.6,44.6,0.8191489362,0.5930851064,-17,-0.2260638298,0,29,1,10,0,0,183.4,0,1,222,47,89.21272659
67,0,230,230,46.6,46.6,0.6196808511,0.6196808511,0,0,0,0,0,0,1,0,183.4,0,1,222,48,89.21748996
68,0,230,237,46.6,53.6,0.6196808511,0.7127659574,7,0.09308510638,0,13,1,7,0,0,183.4,0,1,222,49,89.22231936
69,0,239,239,55.6,55.6,0.7393617021,0.7393617021,0,0,0,0,0,0,1,0,183.4,0,1,222,50,89.22706366
70,0,239,231,55.6,47.6,0.7393617021,0.6329787234,-8,-0.1063829787,0,18,1,9,0,0,183.4,0,1,222,51,89.23188519
71,0,233,233,49.6,49.6,0.6595744681,0.6595744681,0,0,0,0,0,0,1,0,183.4,0,1,222,52,89.23662901
72,0,233,235,49.6,51.6,0.6595744681,0.6861702128,2,0.02659574468,0,20,1,7,0,0,183.4,0,1,222,53,89.24145126
73,0,237,237,53.6,53.6,0.7127659574,0.7127659574,0,0,0,0,0,0,1,0,183.4,0,1,222,54,89.24620008
74,0,237,233,53.6,49.6,0.7127659574,0.6595744681,-4,-0.05319148936,0,26,1,8,0,0,183.4,0,1,222,55,89.25102854
75,0,235,235,51.6,51.6,0.6861702128,0.6861702128,0,0,0,0,0,0,1,0,183.4,0,1,222,56,89.25576925
76,0,235,243,51.6,59.6,0.6861702128,0.7925531915,8,0.1063829787,0,10,1,3,0,0,183.4,0,1,222,57,89.26059937
77,0,244,244,60.6,60.6,0.8058510638,0.8058510638,0,0,0,0,0,0,1,0,183.4,0,1,222,58,89.26534486
78,0,244,228,60.6,44.6,0.8058510638,0.5930851064,-16,-0.2127659574,0,28,1,9,0,0,183.4,0,1,222,59,89.27016473
79,0,230,230,46.6,46.6,0.6196808511,0.6196808511,0,0,0,0,0,0,1,0,183.4,0,1,222,60,89.27495289
80,0,230,243,46.6,59.6,0.6196808511,0.7925531915,13,0.1728723404,0,21,1,7,0,0,183.4,0,1,222,61,89.2797792
81,0,245,245,61.6,61.6,0.8191489362,0.8191489362,0,0,0,0,0,0,1,0,183.4,0,1,222,62,89.28453755
82,0,245,228,61.6,44.6,0.8191489362,0.5930851064,-17,-0.2260638298,0,23,1,9,0,0,183.4,0,1,222,63,89.28936815
83,0,230,230,46.6,46.6,0.6196808511,0.6196808511,0,0,0,0,0,0,1,0,183.4,0,1,222,64,89.29411626
84,0,230,241,46.6,57.6,0.6196808511,0.7659574468,11,0.1462765957,0,19,1,7,0,0,183.4,0,1,222,65,89.29893708
85,0,243,243,59.6,59.6,0.7925531915,0.7925531915,0,0,0,0,0,0,1,0,183.4,0,1,222,66,89.30367327
86,0,243,230,59.6,46.6,0.7925531915,0.6196808511,-13,-0.1728723404,0,25,1,9,0,0,183.4,0,1,222,67,89.30849266
87,0,232,232,48.6,48.6,0.6462765957,0.6462765957,0,0,0,0,0,0,1,0,183.4,0,1,222,68,89.31324148
88,0,232,242,48.6,58.6,0.6462765957,0.7792553191,10,0.1329787234,0,16,1,7,0,0,183.4,0,1,222,69,89.3180685
89,0,244,244,60.6,60.6,0.8058510638,0.8058510638,0,0,0,0,0,0,1,0,183.4,0,1,222,70,89.3228271
90,0,244,234,60.6,50.6,0.8058510638,0.6728723404,-10,-0.1329787234,0,10,1,4,0,0,183.4,0,1,222,71,89.32765102
91,0,235,235,51.6,51.6,0.6861702128,0.6861702128,0,0,0,0,0,0,1,0,183.4,0,1,222,72,89.33240461
92,0,235,239,51.6,55.6,0.6861702128,0.7393617021,4,0.05319148936,0,22,1,7,0,0,183.4,0,1,222,73,89.33722568
93,0,241,241,57.6,57.6,0.7659574468,0.7659574468,0,0,0,0,0,0,1,0,183.4,0,1,222,74,89.34197903
94,0,241,233,57.6,49.6,0.7659574468,0.6595744681,-8,-0.1063829787,0,20,1,8,0,0,183.4,0,1,222,75,89.34680462
95,0,235,235,51.6,51.6,0.6861702128,0.6861702128,0,0,0,0,0,0,1,0,183.4,0,1,222,76,89.35155416
