it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,145.8,0,-37.6,-183.4,-0.5,-2.438829787,-145.8,-1.938829787,145.8,145.8,1,2187,0,0,183.4,0,1,0,0,0.0003087520599
1,0,145.8,18,-37.6,-165.4,-0.5,-2.199468085,-127.8,-1.699468085,145.8,152.4360017,1,1923,0,0,183.4,0,1,0,1,0.07626152039
2,0,155.6640666,41,-27.73593339,-142.4,-0.3688289015,-1.893617021,-114.6640666,-1.52478812,137.6640666,147.908701,1,1589,0,0,183.4,0,1,0,2,29.34731269
3,0,169.4960694,64,-13.9039306,-119.4,-0.1848926942,-1.587765957,-105.4960694,-1.402873263,128.4960694,137.8789673,1,1285,0,0,183.4,0,1,0,3,47.26877451
4,0,181.5331902,65,-1.866809841,-118.4,-0.02482459895,-1.574468085,-116.5331902,-1.549643486,117.5144955,117.5144955,1,1273,0,0,183.4,0,1,0,4,56.81291485
5,0,181.8845828,66,-1.515417215,-117.4,-0.02015182467,-1.561170213,-115.8845828,-1.541018388,116.8812498,116.8812498,1,1260,0,0,183.4,0,1,0,5,62.05333185
6,0,182.2183416,82,-1.181658405,-101.4,-0.01571354262,-1.348404255,-100.2183416,-1.332690713,116.2183416,120.0416071,1,1064,0,0,183.4,0,1,0,6,66.67234254
7,0,189.8735476,83,6.473547631,-100.4,0.08608440999,-1.335106383,-106.8735476,-1.421190793,107.8546195,107.8546195,1,1049,0,0,183.4,0,1,0,7,72.41235209
8,0,190.2025777,84,6.802577703,-99.4,0.09045980988,-1.321808511,-106.2025777,-1.412268321,107.1369456,107.1369456,1,1040,0,0,183.4,0,1,0,8,75.13913393
9,0,190.5161079,102,7.116107855,-81.4,0.09462909381,-1.082446809,-88.51610785,-1.177075902,106.5161079,109.9307538,1,850,0,0,183.4,0,1,0,9,78.00837302
10,0,197.596,106,14.19599995,-77.4,0.1887765951,-1.029255319,-91.59599995,-1.218031914,94.89979423,94.89979423,1,812,0,0,183.4,0,1,0,10,81.20130062
11,0,198.3636782,108,14.96367818,-75.4,0.1989850822,-1.002659574,-90.36367818,-1.201644657,92.28266505,92.28266505,1,791,0,0,183.4,0,1,0,11,83.1273973
12,0,199.0891161,109,15.68911614,-74.4,0.2086318636,-0.9893617021,-90.08911614,-1.197993566,91.06170169,91.06170169,1,779,0,0,183.4,0,1,0,12,84.41880059
13,0,199.4183838,130,16.01838375,-53.4,0.2130104222,-0.710106383,-69.41838375,-0.9231168052,90.41838375,93.04799326,1,573,0,0,183.4,0,1,0,13,85.72569966
14,0,207.103446,141,23.70344605,-42.4,0.3152053996,-0.5638297872,-66.10344605,-0.8790351868,75.69586092,75.69586092,1,487,0,0,183.4,0,1,0,14,86.96650076
15,0,209.5726356,159,26.1726356,-24.4,0.348040367,-0.3244680851,-50.5726356,-0.6725084521,66.59597105,66.59597105,1,350,0,0,183.4,0,1,0,15,87.71255207
16,0,214.0009711,177,30.60097111,-6.4,0.4069278074,-0.08510638298,-37.00097111,-0.4920341903,50.22490074,50.22490074,1,207,0,0,183.4,0,1,0,16,88.19264984
17,0,217.0229913,194,33.62299133,10.6,0.4471142464,0.1409574468,-23.02299133,-0.3061567996,35.54124932,35.54124932,1,110,0,0,183.4,0,1,0,17,88.4139123
18,0,220.0887817,209,36.68878168,25.6,0.4878827351,0.3404255319,-11.08878168,-0.1474572032,20.15963422,20.15963422,1,47,0,0,183.4,0,1,0,18,88.54610229
19,0,222,222,38.6,38.6,0.5132978723,0.5132978723,0,0,0,0,0,0,1,1,183.4,0,1,222,0,88.61342096
20,0,210.57,218,27.17,34.6,0.3613031915,0.460106383,7.43,0.09880319149,27.17581708,27.17581708,0,0,1,1,183.4,210.57,0,218,0,90.94421077
21,0,207.17,208,23.77,24.6,0.3160904255,0.3271276596,0.83,0.01103723404,35.49885711,41.37418772,1,31,0,0,183.4,207.17,0,218,1,95.07812786
22,0,207.17,212,23.77,28.6,0.3160904255,0.3803191489,4.83,0.0642287234,38.34143109,38.34143109,1,18,0,0,183.4,207.17,0,218,2,98.83343291
23,0,207.17,217,23.77,33.6,0.3160904255,0.4468085106,9.83,0.1307180851,37.36474378,40.72539438,1,10,0,0,183.4,207.17,0,218,3,101.2672808
24,0,207.17,218,23.77,34.6,0.3160904255,0.460106383,10.83,0.1440159574,37.20856249,37.20856249,0,0,1,0,183.4,207.17,0,218,4,104.8853199
25,0,207.17,195,23.77,11.6,0.3160904255,0.1542553191,-12.17,-0.1618351064,35.65760797,50.43030159,1,92,0,0,183.4,207.17,0,218,5,108.8942947
26,0,207.17,203,23.77,19.6,0.3160904255,0.2606382979,-4.17,-0.05545212766,41.19683228,41.19683228,1,52,0,0,183.4,207.17,0,218,6,112.0527098
27,0,207.17,205,23.77,21.6,0.3160904255,0.2872340426,-2.17,-0.02885638298,39.4049916,39.4049916,1,43,0,0,183.4,207.17,0,218,7,113.9345698
28,0,207.17,206,23.77,22.6,0.3160904255,0.3005319149,-1.17,-0.01555851064,38.94279759,38.94279759,1,38,0,0,183.4,207.17,0,218,8,115.7068727
29,0,207.17,222,23.77,38.6,0.3160904255,0.5132978723,14.83,0.1972074468,38.75586971,47.01307076,1,15,0,0,183.4,207.17,0,218,9,117.2419116
30,0,207.17,213,23.77,29.6,0.3160904255,0.3936170213,5.83,0.07752659574,38.96034924,38.96034924,1,15,0,0,183.4,207.17,0,218,10,120.2159123
