it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-39365983.34,-37994657.43,-10935444.56,-9564118.653,-0.5,-0.4372990325,1371325.908,0.06270096748,271.5654723,271.5654723,8.549833333,17.05674242,0,0,-28430538.78,0,1,0,0,0.000287771225
1,0,-35560295.31,-28556285.5,-7129756.534,-125746.7257,-0.3259929898,-0.005749502225,7004009.809,0.3202434876,164.7124162,164.7124162,3.281454545,9.156621212,0,0,-28430538.78,-29801864.68,0,0,1,0.2447531223
2,0,-32618206.64,-35234305.68,-4187667.858,-6803766.9,-0.1914722275,-0.3110878055,-2616099.042,-0.1196155779,111.6290112,111.6290112,2.866166667,9.032883838,0,0,-28430538.78,-32618206.64,0,0,2,0.3451757431
3,0,-34163859.33,-36070777.76,-5733320.552,-7640238.987,-0.2621439174,-0.3493337168,-1906918.435,-0.08718979939,46.62194764,46.62194764,2.170833333,4.81539899,0,0,-28430538.78,-29801864.68,0,0,3,0.4251935482
4,0,-33739608.7,-33552006.07,-5309069.926,-5121467.292,-0.2427459578,-0.2341682254,187602.6342,0.008577732398,33.27246254,33.27246254,0.5832777778,2.715358586,0,0,-28430538.78,-28430538.78,0,0,4,0.4441745281
5,0,-33485410.55,-34161282.66,-5054871.769,-5730743.882,-0.2311232863,-0.2620261047,-675872.1139,-0.03090281836,15.53708656,15.53708656,0.3087878788,1.364131313,0,0,-28430538.78,-28618141.41,0,0,5,0.4558587074
6,0,-33579799.18,-33382145.41,-5149260.406,-4951606.637,-0.2354390065,-0.2264017073,197653.769,0.009037299211,10.73321473,10.73321473,0.264,1.009131313,0,0,-28430538.78,-28430538.78,0,0,6,0.4697051048
7,0,-33377229.69,-33437617.56,-4946690.913,-5007078.78,-0.2261769462,-0.2289380534,-60387.86736,-0.002761107106,4.512068014,4.512068014,0.06805555556,0.2988535354,0,0,-28430538.78,-28618141.41,0,0,7,0.4789571762
8,0,-33282252.32,-33040751.02,-4851713.548,-4610212.239,-0.2218343077,-0.2107921728,241501.3088,0.01104213493,3.046339874,15.56795928,1,6.742005051,0,0,-28430538.78,-28494146.16,0,0,8,0.4871072769
9,0,-32208542.94,-32205587.19,-3778004.158,-3775048.413,-0.1727412241,-0.1726060789,2955.745607,0.0001351451965,2.677407771,2.677407771,0.09538888889,0.2032070707,0,0,-28430538.78,-28618141.41,0,0,9,0.4964165688
10,0,-32125209.06,-32137027.59,-3694670.284,-3706488.811,-0.1689309595,-0.1694713365,-11818.5268,-0.0005403770616,1.126236876,1.126236876,0.08854545455,0.1139393939,0,0,-28430538.78,-28525817.97,0,0,10,0.5024254322
11,0,-32108849.42,-32525623.95,-3678310.642,-4095085.177,-0.1681829496,-0.1872390809,-416774.5348,-0.01905613131,0.8392577673,22.16074223,1,46.80969697,0,0,-28430538.78,-28430538.78,0,0,11,0.5083882809
12,0,-32439909.13,-32606844.68,-4009370.351,-4176305.899,-0.1833199523,-0.1909527261,-166935.5486,-0.007632773762,1.60978101,1.60978101,0.03088888889,0.06019191919,0,0,-28430538.78,-28430538.78,0,0,12,0.5157294273
13,0,-32647589.77,-32591075.06,-4217050.994,-4160536.287,-0.1928157091,-0.190231694,56514.7069,0.002584015062,0.5811227967,22.4188772,1,46.53282828,0,0,-28430538.78,-28430538.78,0,0,13,0.5235090256
14,0,-32264582.32,-32161791.01,-3834043.547,-3731252.236,-0.1753035062,-0.1706035916,102791.311,0.004699914596,2.439880205,2.439880205,0.09066666667,0.121469697,0,0,-28430538.78,-28430538.78,0,0,14,0.530274868
15,0,-32122525.97,-32369834.35,-3691987.19,-3939295.576,-0.1688082807,-0.1801159319,-247308.3861,-0.01130765122,0.7115221953,15.2884778,1,34.6440404,0,0,-28430538.78,-28430538.78,0,0,15,0.5371630192
16,0,-32237941.5,-32364571.17,-3807402.719,-3934032.39,-0.1740854109,-0.1798752839,-126629.6712,-0.005789873038,1.355630004,1.355630004,0.09066666667,0.141510101,0,0,-28430538.78,-28430538.78,0,0,16,0.5437734127
