it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-39641692.45,-36395502.02,-7738340.545,-4492150.11,-0.75,-0.4353792086,3246190.435,0.3146207914,575.7270608,575.7270608,4.993151515,12.17512121,0,0,-31903351.91,0,1,0,0,0.001415014267
1,0,-31903351.91,-31719739.16,5.215406418e-08,183612.7483,5.054772132e-15,0.01779574838,183612.7483,0.01779574838,110.1110072,110.1110072,0.4997575758,1.800429293,0,0,-31903351.91,-31903351.91,0,0,1,2.316631556
2,0,-31903351.91,-31419143.93,2.607703209e-08,484207.9776,2.527386066e-15,0.04692943934,484207.9776,0.04692943934,40.94375168,40.94375168,0.2184242424,1.145131313,0,0,-31903351.91,-31903351.91,0,0,2,2.890196562
3,0,-31903351.91,-31346130.55,4.470348358e-08,557221.3616,4.332661827e-15,0.05400589684,557221.3616,0.05400589684,39.98534118,42.60675078,0.2264242424,0.9921262626,0,0,-31903351.91,-31903351.91,0,0,3,3.045530796
4,0,-31903351.91,-31836160.59,1.11758709e-08,67191.3196,1.083165457e-15,0.006512182994,67191.3196,0.006512182994,17.03780613,17.03780613,0.1456969697,0.3706313131,0,0,-31903351.91,-31903351.91,0,0,4,3.293610096
5,0,-31903351.91,-31854563.35,2.607703209e-08,48788.5522,2.527386066e-15,0.004728586696,48788.5522,0.004728586696,5.800263053,5.800263053,0.1456969697,0.3194393939,0,0,-31903351.91,-31903351.91,0,0,5,3.492778063
6,0,-31903351.91,-32033749.06,3.352761269e-08,-130397.151,3.24949637e-15,-0.01263809245,-130397.151,-0.01263809245,5.687189144,17.35589928,1,3.045934343,0,0,-31903351.91,-31903351.91,0,0,6,3.619090319
7,0,-32059769.51,-32058297.08,-156417.6023,-154945.1707,-0.01515999471,-0.01501728663,1472.431601,0.0001427080773,0.8975755896,0.8975755896,0.01581818182,0.01709090909,0,0,-31903351.91,-31903351.91,0,0,7,3.703083038
8,0,-32068011.98,-32121426.36,-164660.077,-218074.4521,-0.01595885539,-0.02113577687,-53414.37516,-0.005176921477,0.3936715658,22.60632843,1,89.15571717,0,0,-31903351.91,-31903351.91,0,0,8,3.736381292
9,0,-31994336.26,-31987168.97,-90984.35194,-83817.05958,-0.008818203794,-0.008123549786,7167.292363,0.0006946540077,0.7569446588,0.7569446588,0.01581818182,0.01581818182,0,0,-31903351.91,-31903351.91,0,0,9,3.771058798
10,0,-31978303.01,-31895649.66,-74951.10031,7702.249806,-0.007264260974,0.0007465020854,82653.35011,0.00801076306,0.3645251397,15.63547486,1,28.00121212,0,0,-31903351.91,-31903351.91,0,0,10,3.80316329
