it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,287,279,-3,-11,-0.5,-1.833333333,-8,-1.333333333,12,12,1,3,0,0,290,0,1,0,0,0.0001814365387
1,0,358,358,68,68,11.33333333,11.33333333,0,0,0,0,0,0,1,1,290,0,1,358,0,0.006350755692
2,0,358,1508,68,1218,11.33333333,203,1150,191.6666667,0,18,1,1,0,0,290,0,1,358,1,0.01015639305
3,0,1515,1515,1225,1225,204.1666667,204.1666667,0,0,0,0,0,0,1,0,290,0,1,358,2,0.01384282112
4,0,1515,700,1225,410,204.1666667,68.33333333,-815,-135.8333333,0,23,0,0,1,0,290,0,1,358,3,0.01760864258
5,0,700,1515,410,1225,68.33333333,204.1666667,815,135.8333333,0,23,0,0,1,0,290,0,1,358,4,0.02132058144
6,0,1515,499,1225,209,204.1666667,34.83333333,-1016,-169.3333333,0,16,0,0,1,0,290,0,1,358,5,0.02502417564
7,0,499,1381,209,1091,34.83333333,181.8333333,882,147,0,18,0,0,1,0,290,0,1,358,6,0.02870559692
8,0,1381,700,1091,410,181.8333333,68.33333333,-681,-113.5,0,21,0,0,1,0,290,0,1,358,7,0.03238034248
9,0,700,1311,410,1021,68.33333333,170.1666667,611,101.8333333,0,10,0,0,1,0,290,0,1,358,8,0.03607344627
10,0,1311,768,1021,478,170.1666667,79.66666667,-543,-90.5,0,11,0,0,1,0,290,0,1,358,9,0.0397734642
11,0,768,1447,478,1157,79.66666667,192.8333333,679,113.1666667,0,23,0,0,1,0,290,0,1,358,10,0.04345846176
12,0,1447,835,1157,545,192.8333333,90.83333333,-612,-102,0,24,0,0,1,0,290,0,1,358,11,0.04715681076
13,0,835,1514,545,1224,90.83333333,204,679,113.1666667,0,25,0,0,1,0,290,0,1,358,12,0.05085372925
14,0,1514,902,1224,612,204,102,-612,-102,0,20,0,0,1,0,290,0,1,358,13,0.05458784103
15,0,902,1447,612,1157,102,192.8333333,545,90.83333333,0,25,0,0,1,0,290,0,1,358,14,0.05827856064
16,0,1447,567,1157,277,192.8333333,46.16666667,-880,-146.6666667,0,16,0,0,1,0,290,0,1,358,15,0.06195926666
17,0,567,1983,277,1693,46.16666667,282.1666667,1416,236,0,28,0,0,1,0,290,0,1,358,16,0.0656504631
18,0,1983,1103,1693,813,282.1666667,135.5,-880,-146.6666667,0,16,0,0,1,0,290,0,1,358,17,0.06933641434
19,0,1103,1916,813,1626,135.5,271,813,135.5,0,15,0,0,1,0,290,0,1,358,18,0.07301712036
20,0,1916,634,1626,344,271,57.33333333,-1282,-213.6666667,0,28,0,0,1,0,290,0,1,358,19,0.07670712471
21,0,634,1984,344,1694,57.33333333,282.3333333,1350,225,0,29,0,0,1,0,290,0,1,358,20,0.08040857315
22,0,1984,1238,1694,948,282.3333333,158,-746,-124.3333333,0,14,0,0,1,0,290,0,1,358,21,0.0840921402
23,0,1238,1716,948,1426,158,237.6666667,478,79.66666667,0,24,0,0,1,0,290,0,1,358,22,0.0877764225
24,0,1716,1037,1426,747,237.6666667,124.5,-679,-113.1666667,0,15,0,0,1,0,290,0,1,358,23,0.09147596359
25,0,1037,1850,747,1560,124.5,260,813,135.5,0,19,0,0,1,0,290,0,1,358,24,0.09515881538
26,0,1850,1171,1560,881,260,146.8333333,-679,-113.1666667,0,17,0,0,1,0,290,0,1,358,25,0.09884691238
27,0,1171,1783,881,1493,146.8333333,248.8333333,612,102,0,18,0,0,1,0,290,0,1,358,26,0.1025454998
28,0,1783,1104,1493,814,248.8333333,135.6666667,-679,-113.1666667,0,19,0,0,1,0,290,0,1,358,27,0.1062469482
29,0,1104,1917,814,1627,135.6666667,271.1666667,813,135.5,0,23,0,0,1,0,290,0,1,358,28,0.1099312305
30,0,1917,1171,1627,881,271.1666667,146.8333333,-746,-124.3333333,0,14,0,0,1,0,290,0,1,358,29,0.1136159897
31,0,1171,2051,881,1761,146.8333333,293.5,880,146.6666667,0,16,0,0,1,0,290,0,1,358,30,0.1173145771
32,0,2051,567,1761,277,293.5,46.16666667,-1484,-247.3333333,0,29,0,0,1,0,290,0,1,358,31,0.1209938526
33,0,567,1246,277,956,46.16666667,159.3333333,679,113.1666667,0,13,0,0,1,0,290,0,1,358,32,0.1246778965
34,0,1246,768,956,478,159.3333333,79.66666667,-478,-79.66666667,0,18,0,0,1,0,290,0,1,358,33,0.1283593178
35,0,768,1380,478,1090,79.66666667,181.6666667,612,102,0,20,0,0,1,0,290,0,1,358,34,0.1320436001
36,0,1380,1036,1090,746,181.6666667,124.3333333,-344,-57.33333333,0,26,0,0,1,0,290,0,1,358,35,0.135725975
37,0,1036,1647,746,1357,124.3333333,226.1666667,611,101.8333333,0,10,0,0,1,0,290,0,1,358,36,0.1394495964
38,0,1647,903,1357,613,226.1666667,102.1666667,-744,-124,0,28,0,0,1,0,290,0,1,358,37,0.1431241035
39,0,903,1446,613,1156,102.1666667,192.6666667,543,90.5,0,21,0,0,1,0,290,0,1,358,38,0.1468153
40,0,1446,1037,1156,747,192.6666667,124.5,-409,-68.16666667,0,23,0,0,1,0,290,0,1,358,39,0.1504971981
41,0,1037,1714,747,1424,124.5,237.3333333,677,112.8333333,0,19,0,0,1,0,290,0,1,358,40,0.1541688442
42,0,1714,903,1424,613,237.3333333,102.1666667,-811,-135.1666667,0,25,0,0,1,0,290,0,1,358,41,0.1578586102
43,0,903,1647,613,1357,102.1666667,226.1666667,744,124,0,16,0,0,1,0,290,0,1,358,42,0.1615393162
44,0,1647,1036,1357,746,226.1666667,124.3333333,-611,-101.8333333,0,10,0,0,1,0,290,0,1,358,43,0.1652183533
45,0,1036,1648,746,1358,124.3333333,226.3333333,612,102,0,22,0,0,1,0,290,0,1,358,44,0.1688973904
46,0,1648,1170,1358,880,226.3333333,146.6666667,-478,-79.66666667,0,20,0,0,1,0,290,0,1,358,45,0.1725838184
