it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,246.8368421,183,-61.79078947,-125.6276316,-0.25,-0.5082781457,-63.83684211,-0.2582781457,30.49473684,30.49473684,1,39,0,0,308.6276316,0,1,0,0,0.0002799034119
1,0,308.6276316,283,5.684341886e-14,-25.62763158,2.299833816e-16,-0.1036871021,-25.62763158,-0.1036871021,7.102998274,7.102998274,1,4,0,0,308.6276316,308.6276316,0,0,1,0.01898384094
2,0,308.6276316,311,0,2.372368421,0,0.009598390154,2.372368421,0.009598390154,0.8472744361,0.8472744361,0,0,1,1,308.6276316,308.6276316,0,311,0,0.02969169617
3,0,308.6276316,1781,0,1472.372368,0,5.957086732,1472.372368,5.957086732,0.4744736842,17.52552632,0,0,1,0,308.6276316,308.6276316,0,311,1,0.03692913055
4,0,308.6276316,296,0,-12.62763158,0,-0.05109026639,-12.62763158,-0.05109026639,0.1275518341,0.1275518341,0,0,1,1,308.6276316,308.6276316,0,296,0,0.04453206062
5,0,296,295,-12.62763158,-13.62763158,-0.05109026639,-0.05513617683,-1,-0.004045910436,0,23,1,20,0,0,308.6276316,308.6276316,0,296,1,0.05075740814
6,0,308.6276316,311,0,2.372368421,0,0.009598390154,2.372368421,0.009598390154,1.317982456,1.317982456,0,0,1,0,308.6276316,308.6276316,0,296,2,0.05678844452
7,0,308.6276316,2378,0,2069.372368,0,8.372495262,2069.372368,8.372495262,0.3953947368,22.60460526,0,0,1,0,308.6276316,308.6276316,0,296,3,0.06224727631
8,0,308.6276316,299,0,-9.627631579,0,-0.03895253508,-9.627631579,-0.03895253508,0.09724880383,0.09724880383,0,0,1,0,308.6276316,308.6276316,0,296,4,0.06827831268
9,0,299,289,-9.627631579,-19.62763158,-0.03895253508,-0.07941163945,-10,-0.04045910436,0,16,1,16,0,0,308.6276316,308.6276316,0,296,5,0.07340455055
10,0,308.6276316,310,0,1.372368421,0,0.005552479717,1.372368421,0.005552479717,0.2940789474,0.2940789474,0,0,1,0,308.6276316,308.6276316,0,296,6,0.07880830765
11,0,308.6276316,1986,0,1677.372368,0,6.786498371,1677.372368,6.786498371,0.1960526316,17.80394737,0,0,1,0,308.6276316,308.6276316,0,296,7,0.08443498611
12,0,308.6276316,303,0,-5.627631579,0,-0.02276889334,-5.627631579,-0.02276889334,0.05684476342,0.05684476342,0,0,1,0,308.6276316,308.6276316,0,296,8,0.09033894539
13,0,303,298,-5.627631579,-10.62763158,-0.02276889334,-0.04299844552,-5,-0.02022955218,0,21,1,19,0,0,308.6276316,308.6276316,0,296,9,0.09619736671
14,0,308.6276316,313,0,4.372368421,0,0.01769021103,4.372368421,0.01769021103,0.2732730263,0.2732730263,0,0,1,0,308.6276316,308.6276316,0,296,10,0.1014893055
15,0,308.6276316,1188,0,879.3723684,0,3.557861843,879.3723684,3.557861843,0.2732730263,9.726726974,0,0,1,0,308.6276316,308.6276316,0,296,11,0.1068851948
16,0,308.6276316,297,0,-11.62763158,0,-0.04704435595,-11.62763158,-0.04704435595,0.117450824,0.117450824,0,0,1,0,308.6276316,308.6276316,0,296,12,0.112426281
17,0,297,290,-11.62763158,-18.62763158,-0.04704435595,-0.07536572901,-7,-0.02832137305,0,11,1,15,0,0,308.6276316,308.6276316,0,296,13,0.1182262897
18,0,308.6276316,310,0,1.372368421,0,0.005552479717,1.372368421,0.005552479717,0.2940789474,0.2940789474,0,0,1,0,308.6276316,308.6276316,0,296,14,0.12383461
19,0,308.6276316,2276,0,1967.372368,0,7.959812398,1967.372368,7.959812398,0.2940789474,22.70592105,0,0,1,0,308.6276316,308.6276316,0,296,15,0.1297364235
20,0,308.6276316,296,0,-12.62763158,0,-0.05109026639,-12.62763158,-0.05109026639,0.1275518341,0.1275518341,0,0,1,0,308.6276316,308.6276316,0,296,16,0.1360440254
21,0,296,284,-12.62763158,-24.62763158,-0.05109026639,-0.09964119163,-12,-0.04855092524,0,24,1,23,0,0,308.6276316,308.6276316,0,296,17,0.1415669918
22,0,308.6276316,309,0,0.3723684211,0,0.001506569281,0.3723684211,0.001506569281,0.07979323308,0.07979323308,0,0,1,0,308.6276316,308.6276316,0,296,18,0.1472055912
23,0,308.6276316,2574,0,2265.372368,0,9.165493708,2265.372368,9.165493708,0.06206140351,24.9379386,0,0,1,0,308.6276316,308.6276316,0,296,19,0.1528935432
24,0,308.6276316,297,0,-11.62763158,0,-0.04704435595,-11.62763158,-0.04704435595,0.117450824,0.117450824,0,0,1,0,308.6276316,308.6276316,0,296,20,0.1591365337
25,0,297,291,-11.62763158,-17.62763158,-0.04704435595,-0.07131981857,-6,-0.02427546262,0,20,1,23,0,0,308.6276316,308.6276316,0,296,21,0.1641743183
26,0,308.6276316,300,-5.684341886e-14,-8.627631579,-2.299833816e-16,-0.03490662465,-8.627631579,-0.03490662465,0.743761343,0.743761343,0,0,1,0,308.6276316,308.6276316,0,296,22,0.1696693897
27,0,300,289,-8.627631579,-19.62763158,-0.03490662465,-0.07941163945,-11,-0.0445050148,0,25,1,21,0,0,308.6276316,308.6276316,0,296,23,0.1757574081
28,0,308.6276316,299,0,-9.627631579,0,-0.03895253508,-9.627631579,-0.03895253508,1.351246537,1.351246537,0,0,1,0,308.6276316,308.6276316,0,296,24,0.181125164
29,0,299,297,-9.627631579,-11.62763158,-0.03895253508,-0.04704435595,-2,-0.008091820873,0,16,1,12,0,0,308.6276316,308.6276316,0,296,25,0.1872289181
30,0,308.6276316,302,0,-6.627631579,0,-0.02681480377,-6.627631579,-0.02681480377,0.4041238768,0.4041238768,0,0,1,0,308.6276316,308.6276316,0,296,26,0.1923792362
31,0,302,288,-6.627631579,-20.62763158,-0.02681480377,-0.08345754988,-14,-0.05664274611,0,28,1,23,0,0,308.6276316,308.6276316,0,296,27,0.1979763508
32,0,308.6276316,299,0,-9.627631579,0,-0.03895253508,-9.627631579,-0.03895253508,1.110880567,1.110880567,0,0,1,0,308.6276316,308.6276316,0,296,28,0.2033162117
33,0,299,297,-9.627631579,-11.62763158,-0.03895253508,-0.04704435595,-2,-0.008091820873,0,16,1,14,0,0,308.6276316,308.6276316,0,296,29,0.2090575695
34,0,308.6276316,302,0,-6.627631579,0,-0.02681480377,-6.627631579,-0.02681480377,0.4041238768,0.4041238768,0,0,1,0,308.6276316,308.6276316,0,296,30,0.2143793106
35,0,302,295,-6.627631579,-13.62763158,-0.02681480377,-0.05513617683,-7,-0.02832137305,0,15,1,11,0,0,308.6276316,308.6276316,0,296,31,0.2199139595
36,0,308.6276316,30493,0,30184.37237,0,122.1232672,30184.37237,122.1232672,0.4862440191,607.2917464,0,0,1,0,308.6276316,308.6276316,0,296,32,0.2256088257
37,0,308.6276316,290,0,-18.62763158,0,-0.07536572901,-18.62763158,-0.07536572901,9.985452187,9.985452187,1,4,0,0,308.6276316,308.6276316,0,296,33,0.2331397533
38,0,304,304,-4.627631579,-4.627631579,-0.0187229829,-0.0187229829,0,0,0,0,0,0,1,0,308.6276316,308.6276316,0,296,34,0.2405297756
39,0,304,288,-4.627631579,-20.62763158,-0.0187229829,-0.08345754988,-16,-0.06473456698,0,28,1,26,0,0,308.6276316,308.6276316,0,296,35,0.2456538677
40,0,308.6276316,299,0,-9.627631579,0,-0.03895253508,-9.627631579,-0.03895253508,1.312858852,1.312858852,0,0,1,0,308.6276316,308.6276316,0,296,36,0.251475811
41,0,299,290,-9.627631579,-18.62763158,-0.03895253508,-0.07536572901,-9,-0.03641319393,0,21,1,24,0,0,308.6276316,308.6276316,0,296,37,0.2573206425
42,0,308.6276316,300,0,-8.627631579,0,-0.03490662465,-8.627631579,-0.03490662465,1.176495215,1.176495215,0,0,1,0,308.6276316,308.6276316,0,296,38,0.2626430988
43,0,300,296,-8.627631579,-12.62763158,-0.03490662465,-0.05109026639,-4,-0.01618364175,0,12,1,15,0,0,308.6276316,308.6276316,0,296,39,0.2692828178
44,0,308.6276316,301,0,-7.627631579,0,-0.03086071421,-7.627631579,-0.03086071421,0.4767269737,0.4767269737,0,0,1,0,308.6276316,308.6276316,0,296,40,0.2745113373
45,0,301,294,-7.627631579,-14.62763158,-0.03086071421,-0.05918208726,-7,-0.02832137305,0,15,1,18,0,0,308.6276316,308.6276316,0,296,41,0.2808580399
46,0,308.6276316,301,0,-7.627631579,0,-0.03086071421,-7.627631579,-0.03086071421,0.930198973,0.930198973,0,0,1,0,308.6276316,308.6276316,0,296,42,0.2860291004
47,0,301,290,-7.627631579,-18.62763158,-0.03086071421,-0.07536572901,-11,-0.0445050148,0,19,1,21,0,0,308.6276316,308.6276316,0,296,43,0.2922079563
48,0,308.6276316,300,0,-8.627631579,0,-0.03490662465,-8.627631579,-0.03490662465,1.643358396,1.643358396,0,0,1,0,308.6276316,308.6276316,0,296,44,0.2975001335
49,0,300,291,-8.627631579,-17.62763158,-0.03490662465,-0.07131981857,-9,-0.03641319393,0,27,1,26,0,0,308.6276316,308.6276316,0,296,45,0.3033394814
50,0,308.6276316,303,0,-5.627631579,0,-0.02276889334,-5.627631579,-0.02276889334,0.7034539474,0.7034539474,0,0,1,0,308.6276316,308.6276316,0,296,46,0.3087637424
51,0,303,289,-5.627631579,-19.62763158,-0.02276889334,-0.07941163945,-14,-0.05664274611,0,26,1,27,0,0,308.6276316,308.6276316,0,296,47,0.3145394325
52,0,308.6276316,301,0,-7.627631579,0,-0.03086071421,-7.627631579,-0.03086071421,1.452882206,1.452882206,0,0,1,0,308.6276316,308.6276316,0,296,48,0.3198812008
53,0,301,290,-7.627631579,-18.62763158,-0.03086071421,-0.07536572901,-11,-0.0445050148,0,27,1,26,0,0,308.6276316,308.6276316,0,296,49,0.3255810738
54,0,308.6276316,302,0,-6.627631579,0,-0.02681480377,-6.627631579,-0.02681480377,0.8284539474,0.8284539474,0,0,1,0,308.6276316,308.6276316,0,296,50,0.3310434818
55,0,302,296,-6.627631579,-12.62763158,-0.02681480377,-0.05109026639,-6,-0.02427546262,0,14,1,14,0,0,308.6276316,308.6276316,0,296,51,0.3367452621
56,0,308.6276316,302,0,-6.627631579,0,-0.02681480377,-6.627631579,-0.02681480377,0.8082477535,0.8082477535,0,0,1,0,308.6276316,308.6276316,0,296,52,0.342192173
57,0,302,295,-6.627631579,-13.62763158,-0.02681480377,-0.05513617683,-7,-0.02832137305,0,15,1,15,0,0,308.6276316,308.6276316,0,296,53,0.348524332
58,0,308.6276316,302,0,-6.627631579,0,-0.02681480377,-6.627631579,-0.02681480377,0.8082477535,0.8082477535,0,0,1,0,308.6276316,308.6276316,0,296,54,0.3539879322
59,0,302,291,-6.627631579,-17.62763158,-0.02681480377,-0.07131981857,-11,-0.0445050148,0,29,1,27,0,0,308.6276316,308.6276316,0,296,55,0.3596904278
60,0,308.6276316,303,0,-5.627631579,0,-0.02276889334,-5.627631579,-0.02276889334,0.7674043062,0.7674043062,0,0,1,0,308.6276316,308.6276316,0,296,56,0.3655011654
61,0,303,293,-5.627631579,-15.62763158,-0.02276889334,-0.0632279977,-10,-0.04045910436,0,22,1,24,0,0,308.6276316,308.6276316,0,296,57,0.37164855
62,0,308.6276316,304,0,-4.627631579,0,-0.0187229829,-4.627631579,-0.0187229829,0.6310406699,0.6310406699,0,0,1,0,308.6276316,308.6276316,0,296,58,0.3768777847
63,0,304,297,-4.627631579,-11.62763158,-0.0187229829,-0.04704435595,-7,-0.02832137305,0,13,1,18,0,0,308.6276316,308.6276316,0,296,59,0.3827903271
64,0,308.6276316,304,0,-4.627631579,0,-0.0187229829,-4.627631579,-0.0187229829,1.156907895,1.156907895,0,0,1,0,308.6276316,308.6276316,0,296,60,0.3881013393
65,0,304,296,-4.627631579,-12.62763158,-0.0187229829,-0.05109026639,-8,-0.03236728349,0,16,1,17,0,0,308.6276316,308.6276316,0,296,61,0.3938026428
66,0,308.6276316,303,-5.684341886e-14,-5.627631579,-2.299833816e-16,-0.02276889334,-5.627631579,-0.02276889334,0.686296534,0.686296534,0,0,1,0,308.6276316,308.6276316,0,296,62,0.398999691
67,0,303,294,-5.627631579,-14.62763158,-0.02276889334,-0.05918208726,-9,-0.03641319393,0,21,1,23,0,0,308.6276316,308.6276316,0,296,63,0.4049036503
68,0,308.6276316,305,0,-3.627631579,0,-0.01467707246,-3.627631579,-0.01467707246,0.6909774436,0.6909774436,0,0,1,0,308.6276316,308.6276316,0,296,64,0.4103055
69,0,305,291,-3.627631579,-17.62763158,-0.01467707246,-0.07131981857,-14,-0.05664274611,0,26,1,27,0,0,308.6276316,308.6276316,0,296,65,0.4158124924
70,0,308.6276316,303,0,-5.627631579,0,-0.02276889334,-5.627631579,-0.02276889334,0.7034539474,0.7034539474,0,0,1,0,308.6276316,308.6276316,0,296,66,0.4215052128
71,0,303,293,-5.627631579,-15.62763158,-0.02276889334,-0.0632279977,-10,-0.04045910436,0,24,1,27,0,0,308.6276316,308.6276316,0,296,67,0.4272429943
72,0,308.6276316,305,0,-3.627631579,0,-0.01467707246,-3.627631579,-0.01467707246,0.4946770335,0.4946770335,0,0,1,0,308.6276316,308.6276316,0,296,68,0.4327666759
73,0,305,292,-3.627631579,-16.62763158,-0.01467707246,-0.06727390814,-13,-0.05259683567,0,23,1,24,0,0,308.6276316,308.6276316,0,296,69,0.4386310577
74,0,308.6276316,30464,0,30155.37237,0,122.0059358,30155.37237,122.0059358,0.7034539474,599.2344846,0,0,1,0,308.6276316,308.6276316,0,296,70,0.4440951347
