it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,246.8368421,183,-123.5815789,-187.4184211,-0.5,-0.7582781457,-63.83684211,-0.2582781457,30.49473684,30.49473684,1,39,0,0,370.4184211,0,1,0,0,0.0002257823944
1,0,370.4184211,303,5.684341886e-14,-67.41842105,2.299833816e-16,-0.2727688933,-67.41842105,-0.2727688933,7.306120858,7.306120858,1,6,0,0,370.4184211,370.4184211,0,0,1,0.02657747269
2,0,370.4184211,397,0,26.58157895,0,0.1075466877,26.58157895,0.1075466877,1.092393655,1.092393655,0,0,1,1,370.4184211,370.4184211,0,397,0,0.03894615173
3,0,370.4184211,1337,0,966.5815789,0,3.910702498,966.5815789,3.910702498,1.092393655,16.90760634,0,0,1,0,370.4184211,370.4184211,0,397,1,0.04564619064
4,0,370.4184211,391,0,20.58157895,0,0.08327122506,20.58157895,0.08327122506,0.3071877455,0.3071877455,0,0,1,1,370.4184211,370.4184211,0,391,0,0.05278038979
5,0,349.8368421,324,-20.58157895,-46.41842105,-0.08327122506,-0.1878047742,-25.83684211,-0.1045335491,0.385624509,0.385624509,0,0,1,1,370.4184211,349.8368421,0,324,0,0.05864620209
6,0,324,1809,-46.41842105,1438.581579,-0.1878047742,5.820372224,1485,6.008176998,0,23,1,2,0,0,370.4184211,370.4184211,0,324,1,0.06508803368
7,0,349.8368421,30460,-20.58157895,30089.58158,-0.08327122506,121.7397521,30110.16316,121.8230234,0.385624509,606.3856245,0,0,1,0,370.4184211,349.8368421,0,324,2,0.07111692429
8,0,346.8368421,349,-23.58157895,-21.41842105,-0.09540895637,-0.08665701327,2.163157895,0.008751943102,0.4326315789,0.4326315789,0,0,1,0,370.4184211,346.8368421,0,324,3,0.07854056358
9,0,349,1767,-21.41842105,1396.581579,-0.08665701327,5.650443985,1418,5.737100999,0,22,1,2,0,0,370.4184211,349.8368421,0,324,4,0.08600687981
10,0,346.8368421,30274,-23.58157895,29903.58158,-0.09540895637,120.9872128,29927.16316,121.0826217,0.4326315789,598.4326316,0,0,1,0,370.4184211,346.8368421,0,324,5,0.09292554855
11,0,251.7801053,223,-118.6383158,-147.4184211,-0.48,-0.5964417282,-28.78010526,-0.1164417282,23.41711891,23.41711891,1,17,0,0,370.4184211,251.7801053,0,324,6,0.1077113152
12,0,251.7801053,207,-118.6383158,-163.4184211,-0.48,-0.6611762952,-44.78010526,-0.1811762952,15.12652632,15.12652632,1,24,0,0,370.4184211,251.7801053,0,324,7,0.1191277504
13,0,251.7801053,183,-118.6383158,-187.4184211,-0.48,-0.7582781457,-68.78010526,-0.2782781457,14.93978947,14.93978947,1,36,0,0,370.4184211,251.7801053,0,324,8,0.1287233829
14,0,359.0460526,327,-11.37236842,-43.41842105,-0.04601158408,-0.1756670429,-32.04605263,-0.1296554588,6.577115794,6.577115794,1,7,0,0,370.4184211,359.0460526,0,324,9,0.1514101028
15,0,370.4184211,381,0,10.58157895,0,0.0428121207,10.58157895,0.0428121207,2.586608187,2.586608187,0,0,1,0,370.4184211,370.4184211,0,324,10,0.1630909443
16,0,364.0460526,1609,-6.372368421,1238.581579,-0.0257820319,5.011190136,1244.953947,5.036972168,1.16923775,21.83076225,0,0,1,0,370.4184211,364.0460526,0,324,11,0.1703131199
17,0,364.0460526,390,-6.372368421,19.58157895,-0.0257820319,0.07922531462,25.95394737,0.1050073465,0.3873723488,0.3873723488,0,0,1,0,370.4184211,364.0460526,0,324,12,0.1773450375
18,0,364.0460526,1608,-6.372368421,1237.581579,-0.0257820319,5.007144226,1243.953947,5.032926258,0.3873723488,20.61262765,0,0,1,0,370.4184211,364.0460526,0,324,13,0.1838731766
19,0,352.1506579,324,-18.26776316,-46.41842105,-0.07390973361,-0.1878047742,-28.15065789,-0.1138950406,0.4201590731,0.4201590731,0,0,1,0,370.4184211,352.1506579,0,324,14,0.189811945
20,0,324,1131,-46.41842105,760.5815789,-0.1878047742,3.077244948,807,3.265049722,0,13,0,0,1,0,370.4184211,370.4184211,0,324,15,0.1965095997
21,0,370.4184211,390,0,19.58157895,0,0.07922531462,19.58157895,0.07922531462,0.2922623723,0.2922623723,0,0,1,0,370.4184211,370.4184211,0,324,16,0.2023139
22,0,355.3368421,323,-15.08157895,-47.41842105,-0.06101871766,-0.1918506846,-32.33684211,-0.130831967,0.4826394344,0.4826394344,0,0,1,1,370.4184211,355.3368421,0,323,0,0.2079539299
23,0,323,1404,-47.41842105,1033.581579,-0.1918506846,4.181778497,1081,4.373629182,0,17,0,0,1,0,370.4184211,355.3368421,0,323,1,0.2144806385
24,0,347.6506579,30992,-22.76776316,30621.58158,-0.09211633057,123.8921765,30644.34934,123.9842928,0.352994894,622.3529949,0,0,1,0,370.4184211,347.6506579,0,323,2,0.220310688
25,0,251.7801053,240,-118.6383158,-130.4184211,-0.48,-0.5276612508,-11.78010526,-0.04766125083,14.3191661,14.3191661,1,4,0,0,370.4184211,251.7801053,0,323,3,0.2329213619
26,0,251.7801053,242,-118.6383158,-128.4184211,-0.48,-0.51956943,-9.780105263,-0.03956942995,11.80881494,11.80881494,1,4,0,0,370.4184211,251.7801053,0,323,4,0.2436368465
27,0,347.6506579,387,-22.76776316,16.58157895,-0.09211633057,0.06708758331,39.34934211,0.1592039139,1.333876004,1.333876004,0,0,1,0,370.4184211,347.6506579,0,323,5,0.2611823082
28,0,340.9529605,318,-29.46546053,-52.41842105,-0.1192146143,-0.2120802368,-22.95296053,-0.09286562254,0.6653032037,0.6653032037,0,0,1,1,370.4184211,340.9529605,0,318,0,0.2692995071
29,0,318,2071,-52.41842105,1700.581579,-0.2120802368,6.880400758,1753,7.092480995,0,27,1,1,0,0,370.4184211,365.5176842,0,318,1,0.2764470577
30,0,340.9529605,31605,-29.46546053,31234.58158,-0.1192146143,126.3723196,31264.04704,126.4915342,0.3425815004,623.6574185,0,0,1,0,370.4184211,340.9529605,0,318,2,0.2830319405
31,0,340.9529605,335,-29.46546053,-35.41842105,-0.1192146143,-0.1432997594,-5.952960526,-0.02408514512,1.56656856,1.56656856,0,0,1,0,370.4184211,340.9529605,0,318,3,0.2907390594
32,0,335,1618,-35.41842105,1247.581579,-0.1432997594,5.04760333,1283,5.19090309,0,20,0,0,1,0,370.4184211,353.7202303,0,318,4,0.298003912
33,0,251.7801053,236,-118.6383158,-134.4184211,-0.48,-0.5438448926,-15.78010526,-0.06384489257,13.43978947,13.43978947,1,5,0,0,370.4184211,251.7801053,0,318,5,0.3095374107
34,0,322,322,-48.41842105,-48.41842105,-0.195896595,-0.195896595,0,0,0,0,0,0,1,0,370.4184211,353.7202303,0,318,6,0.3244152069
35,0,322,1943,-48.41842105,1572.581579,-0.195896595,6.362524222,1621,6.558420817,0,25,0,0,1,0,370.4184211,370.4184211,0,318,7,0.3323311806
36,0,350.74375,323,-19.67467105,-47.41842105,-0.07960195694,-0.1918506846,-27.74375,-0.1122487277,0.4140858209,0.4140858209,0,0,1,0,370.4184211,350.74375,0,318,8,0.339430809
37,0,323,2009,-47.41842105,1638.581579,-0.1918506846,6.629554311,1686,6.821404996,0,26,0,0,1,0,370.4184211,350.74375,0,318,9,0.346268177
38,0,251.7801053,240,-118.6383158,-130.4184211,-0.48,-0.5276612508,-11.78010526,-0.04766125083,11.35299415,11.35299415,1,4,0,0,370.4184211,251.7801053,0,318,10,0.3574709892
39,0,251.7801053,258,-118.6383158,-112.4184211,-0.48,-0.454834863,6.219894737,0.02516513703,11.17019845,20.3499258,1,8,0,0,370.4184211,251.7801053,0,318,11,0.3647687435
40,0,367.3084737,377,-3.109947368,6.581578947,-0.01258256851,0.02662847895,9.691526316,0.03921104746,0.9085805921,0.9085805921,0,0,1,0,370.4184211,367.3084737,0,318,12,0.3845038414
41,0,367.3084737,929,-3.109947368,558.5815789,-0.01258256851,2.25997104,561.6915263,2.272553608,0.5485769613,12.45142304,0,0,1,0,370.4184211,367.3084737,0,318,13,0.3928570747
42,0,362.4627105,390,-7.955710526,19.58157895,-0.03218809225,0.07922531462,27.53728947,0.1114134069,0.4110043205,0.4110043205,0,0,1,0,370.4184211,362.4627105,0,318,14,0.3995513916
43,0,362.4627105,1810,-7.955710526,1439.581579,-0.03218809225,5.824418134,1447.537289,5.856606226,0.4110043205,23.58899568,0,0,1,0,370.4184211,362.4627105,0,318,15,0.4053814411
