it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,71.21604977,39,-958.3379627,-990.5540124,-0.75,-0.7752124389,-32.21604977,-0.0252124389,21.75247462,21.75247462,1,74,0,0,1029.554012,0,1,0,0,0.0003826618195
1,0,448.4813515,896,-581.0726609,-133.5540124,-0.4547503205,-0.1045200266,447.5186485,0.3502302939,8.719799316,16.90410773,0,0,1,1,1029.554012,1029.554012,0,896,0,0.07687830925
2,0,896,895,-133.5540124,-134.5540124,-0.1045200266,-0.1053026315,-1,-0.0007826049152,0,23,1,19,0,0,1029.554012,1029.554012,0,896,1,0.1030111313
3,0,1029.554012,899,0,-130.5540124,0,-0.1021722118,-130.5540124,-0.1021722118,3.797183596,3.797183596,1,9,0,0,1029.554012,1029.554012,0,896,2,0.1295957565
4,0,1029.554012,958,2.273736754e-13,-71.55401244,1.77943756e-16,-0.05599852184,-71.55401244,-0.05599852184,2.412579926,2.412579926,1,2,0,0,1029.554012,1029.554012,0,896,3,0.1423053741
5,0,1029.554012,1044,0,14.44598756,0,0.01130550087,14.44598756,0.01130550087,0.7808641923,0.7808641923,0,0,1,0,1029.554012,1029.554012,0,896,4,0.1526818275
6,0,1029.554012,2570,0,1540.445988,0,1.205560601,1540.445988,1.205560601,0.2361741835,22.76382582,0,0,1,0,1029.554012,1029.554012,0,896,5,0.1612305641
7,0,1029.554012,1074,0,44.44598756,0,0.03478364832,44.44598756,0.03478364832,0.4489493693,0.4489493693,0,0,1,0,1029.554012,1029.554012,0,896,6,0.1698060036
8,0,1029.554012,2076,0,1046.445988,0,0.8189537733,1046.445988,0.8189537733,0.4489493693,15.55105063,0,0,1,0,1029.554012,1029.554012,0,896,7,0.1768593788
9,0,1029.554012,1076,0,46.44598756,0,0.03634885815,46.44598756,0.03634885815,0.4644598756,0.4644598756,0,0,1,0,1029.554012,1029.554012,0,896,8,0.1840755939
10,0,1029.554012,2272,0,1242.445988,0,0.9723443367,1242.445988,0.9723443367,0.4644598756,17.53554012,0,0,1,0,1029.554012,1029.554012,0,896,9,0.1909584999
