it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,71.21604977,39,-638.8919751,-671.1080249,-0.5,-0.5252124389,-32.21604977,-0.0252124389,21.75247462,21.75247462,1,74,0,0,710.1080249,0,1,0,0,0.0002670288086
1,0,448.4813515,896,-261.6266733,185.8919751,-0.2047503205,0.1454799734,447.5186485,0.3502302939,8.719799316,16.90410773,0,0,1,1,710.1080249,710.1080249,0,896,0,0.08750271797
2,0,502.4567255,482,-207.6512993,-228.1080249,-0.1625089275,-0.1785184615,-20.45672554,-0.01600953396,0.843576311,0.843576311,0,0,1,1,710.1080249,502.4567255,0,482,0,0.1150112152
3,0,482,1935,-228.1080249,1224.891975,-0.1785184615,0.9586064803,1453,1.137124942,0,23,0,0,1,0,710.1080249,710.1080249,0,482,1,0.130671978
4,0,496.5770634,483,-213.5309615,-227.1080249,-0.16711038,-0.1777358566,-13.57706343,-0.01062547657,0.2057130823,0.2057130823,0,0,1,0,710.1080249,496.5770634,0,482,2,0.1491272449
5,0,483,1934,-227.1080249,1223.891975,-0.1777358566,0.9578238754,1451,1.135559732,0,23,0,0,1,0,710.1080249,710.1080249,0,482,3,0.1630637646
6,0,493.1372324,29975,-216.9707925,29264.89198,-0.1698024087,22.9028483,29481.86277,23.07265071,0.168745945,606.1687459,0,0,1,0,710.1080249,493.1372324,0,482,4,0.1760327816
7,0,262.5893764,254,-447.5186485,-456.1080249,-0.3502302939,-0.3569523821,-8.589376431,-0.006722088213,2.147344108,2.147344108,0,0,1,1,710.1080249,262.5893764,0,254,0,0.1892392635
8,0,254,1243,-456.1080249,532.8919751,-0.3569523821,0.417043879,989,0.7739962611,0,16,0,0,1,0,710.1080249,490.6433889,0,254,1,0.1978871822
9,0,262.5893764,29734,-447.5186485,29023.89198,-0.3502302939,22.71424052,29471.41062,23.06447081,0.2642885056,598.2642885,0,0,1,0,710.1080249,262.5893764,0,254,2,0.2049612999
10,0,96.77172877,88,-613.3362961,-622.1080249,-0.48,-0.4868647981,-8.771728774,-0.006864798053,5.865926495,5.865926495,1,6,0,0,710.1080249,96.77172877,0,254,3,0.2157897949
