it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,234.5828818,178,-237.7085591,-294.2914409,-0.5,-0.6190173421,-56.58288182,-0.1190173421,35.73120952,35.73120952,1,54,0,0,472.2914409,0,1,0,0,0.0002777576447
1,0,472.2914409,329,-1.136868377e-13,-143.2914409,-2.391307199e-16,-0.3014015176,-143.2914409,-0.3014015176,9.659928144,9.659928144,1,17,0,0,472.2914409,472.2914409,0,0,1,0.05836200714
2,0,466,401,-6.291440909,-71.29144091,-0.01323351783,-0.1499555615,-65,-0.1367220437,3.2,3.2,1,2,0,0,472.2914409,472.2914409,0,0,2,0.085739851
3,0,411,411,-61.29144091,-61.29144091,-0.1289214009,-0.1289214009,0,0,0,0,0,0,1,1,472.2914409,472.2914409,0,411,0,0.09716844559
4,0,411,1549,-61.29144091,1076.708559,-0.1289214009,2.264766072,1138,2.393687472,0,18,1,4,0,0,472.2914409,472.2914409,0,411,1,0.1053078175
5,0,472.2914409,478,0,5.708559091,0,0.01200747485,5.708559091,0.01200747485,0.08520237449,0.08520237449,0,0,1,0,472.2914409,472.2914409,0,411,2,0.113175869
6,0,472.2914409,1817,0,1344.708559,0,2.828481575,1344.708559,2.828481575,0.08520237449,22.91479763,1,4,0,0,472.2914409,472.2914409,0,411,3,0.1210610867
7,0,472.2914409,478,0,5.708559091,0,0.01200747485,5.708559091,0.01200747485,0.08520237449,0.08520237449,0,0,1,0,472.2914409,472.2914409,0,411,4,0.1292090416
8,0,469.4371614,1817,-2.854279545,1344.708559,-0.006003737426,2.828481575,1347.562839,2.834485312,0.1278035617,22.87219644,1,4,0,0,472.2914409,469.4371614,0,411,5,0.1370987892
9,0,466.5828818,478,-5.708559091,5.708559091,-0.01200747485,0.01200747485,11.41711818,0.0240149497,0.170404749,0.170404749,0,0,1,0,472.2914409,466.5828818,0,411,6,0.1452214718
10,0,466.5828818,1348,-5.708559091,875.7085591,-0.01200747485,1.841979444,881.4171182,1.853986919,0.170404749,15.82959525,1,4,0,0,472.2914409,466.5828818,0,411,7,0.1531653404
11,0,463.7286023,41832,-8.562838636,41359.70856,-0.01801121228,86.99667508,41368.2714,87.01468629,0.2130059362,813.2130059,0,0,1,0,472.2914409,463.7286023,0,411,8,0.1614840031
