it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,16.5,0,-8.75,-25.25,-0.5,-1.442857143,-16.5,-0.9428571429,16.5,16.5,1,1023,0,0,25.25,0,1,0,0,0.0002801418304
1,0,16.5,18,-8.75,-7.25,-0.5,-0.4142857143,1.5,0.08571428571,16.5,32.7,1,160,0,0,25.25,0,1,0,1,0.006096839905
2,0,29.14636603,41,3.896366028,15.75,0.2226494873,0.9,11.85363397,0.6773505127,11.14636603,21.50028071,0,0,1,1,25.25,0,1,41,0,0.3652694225
3,0,39.5,39,14.25,13.75,0.8142857143,0.7857142857,-0.5,-0.02857142857,0.5,0.5,0,0,1,1,25.25,39.5,0,39,0,0.4020359516
4,0,37.875,38,12.625,12.75,0.7214285714,0.7285714286,0.125,0.007142857143,0.125,0.125,0,0,1,1,25.25,37.875,0,38,0,0.4091365337
5,0,36.925,37,11.675,11.75,0.6671428571,0.6714285714,0.075,0.004285714286,0.075,0.075,0,0,1,1,25.25,36.925,0,37,0,0.4122929573
6,0,35.975,36,10.725,10.75,0.6128571429,0.6142857143,0.025,0.001428571429,0.025,0.025,0,0,1,1,25.25,35.975,0,36,0,0.4172737598
7,0,35.025,35,9.775,9.75,0.5585714286,0.5571428571,-0.025,-0.001428571429,0.025,0.025,0,0,1,1,25.25,35.025,0,35,0,0.4195408821
8,0,34.075,34,8.825,8.75,0.5042857143,0.5,-0.075,-0.004285714286,0.075,0.075,0,0,1,1,25.25,34.075,0,34,0,0.4245111942
9,0,33.125,33,7.875,7.75,0.45,0.4428571429,-0.125,-0.007142857143,0.125,0.125,0,0,1,1,25.25,33.125,0,33,0,0.4307236671
10,0,32.175,32,6.925,6.75,0.3957142857,0.3857142857,-0.175,-0.01,0.175,0.175,0,0,1,1,25.25,32.175,0,32,0,0.4430112839
11,0,31.225,39,5.975,13.75,0.3414285714,0.7857142857,7.775,0.4442857143,1.55,21.45,1,22,0,0,25.25,31.225,0,32,1,0.466531992
12,0,31.225,30,5.975,4.75,0.3414285714,0.2714285714,-1.225,-0.07,4.708333333,4.708333333,1,1,0,0,25.25,31.225,0,32,2,0.5338616371
13,0,31,31,5.75,5.75,0.3285714286,0.3285714286,0,0,0,0,0,0,1,1,25.25,31.225,0,31,0,0.5498065948
14,0,30.275,30,5.025,4.75,0.2871428571,0.2714285714,-0.275,-0.01571428571,0.275,0.275,0,0,1,1,25.25,30.275,0,30,0,0.557554245
15,0,29.325,30,4.075,4.75,0.2328571429,0.2714285714,0.675,0.03857142857,1.35,14.65,1,10,0,0,25.25,29.325,0,30,1,0.5833005905
16,0,29.325,28,4.075,2.75,0.2328571429,0.1571428571,-1.325,-0.07571428571,4.65625,4.65625,1,2,0,0,25.25,29.325,0,30,2,0.6500647068
