it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,59.34537597,28,-636.827312,-668.172688,-0.5,-0.5246105776,-31.34537597,-0.02461057761,25.6970816,25.6970816,1,110,0,0,696.172688,0,1,0,0,0.0003542900085
1,0,492.4151427,914,-203.7575453,217.827312,-0.1599786484,0.1710254161,421.5848573,0.3310040645,10.09957578,20.17025952,1,8,0,0,696.172688,696.172688,0,0,1,0.2133920193
2,0,501.0529473,544,-195.1197407,-152.172688,-0.1531967434,-0.1194771998,42.94705267,0.03371954363,5.587487956,5.587487956,1,6,0,0,696.172688,501.0529473,0,0,2,0.2870197296
3,0,653.2256353,693,-42.94705267,-3.172687984,-0.03371954363,-0.002491011239,39.77436468,0.03122853239,1.321806681,1.321806681,0,0,1,1,696.172688,653.2256353,0,693,0,0.3277897835
4,0,654.8119793,851,-41.36070868,154.827312,-0.03247403801,0.1215614572,196.1880207,0.1540354952,1.040880986,21.95911901,1,2,0,0,696.172688,654.8119793,0,693,1,0.3565032482
5,0,653.2256353,681,-42.94705267,-15.17268798,-0.03371954363,-0.0119127177,27.77436468,0.02180682593,0.4208237073,0.4208237073,0,0,1,1,696.172688,653.2256353,0,681,0,0.3959476948
6,0,654.8119793,1477,-41.36070868,780.827312,-0.03247403801,0.6130604775,822.1880207,0.6455345155,0.3967881923,22.60321181,0,0,1,0,696.172688,654.8119793,0,681,1,0.4095144272
7,0,653.2256353,682,-42.94705267,-14.17268798,-0.03371954363,-0.0111275755,28.77436468,0.02259196814,0.4359752225,0.4359752225,0,0,1,0,696.172688,653.2256353,0,681,2,0.4218189716
8,0,654.8119793,1143,-41.36070868,446.827312,-0.03247403801,0.350822981,488.1880207,0.3832970191,0.4119397075,15.58806029,0,0,1,0,696.172688,654.8119793,0,681,3,0.4319953918
9,0,653.2256353,681,-42.94705267,-15.17268798,-0.03371954363,-0.0119127177,27.77436468,0.02180682593,0.4208237073,0.4208237073,0,0,1,0,696.172688,653.2256353,0,681,4,0.4428126812
10,0,654.8119793,1144,-41.36070868,447.827312,-0.03247403801,0.3516081232,489.1880207,0.3840821613,0.3967881923,17.60321181,0,0,1,0,696.172688,654.8119793,0,681,5,0.453016758
11,0,576.6051513,550,-119.5675367,-146.172688,-0.0938775194,-0.1147663466,-26.6051513,-0.02088882716,0.4031083531,0.4031083531,0,0,1,1,696.172688,576.6051513,0,550,0,0.4637446404
12,0,550,1474,-146.172688,777.827312,-0.1147663466,0.6107050509,924,0.7254713975,0,21,0,0,1,0,696.172688,654.8119793,0,550,1,0.4746866226
13,0,578.1914953,549,-117.9811927,-147.172688,-0.09263201378,-0.1155514888,-29.1914953,-0.02291947499,0.4422953833,0.4422953833,0,0,1,1,696.172688,578.1914953,0,549,0,0.4850695133
14,0,549,1012,-147.172688,315.827312,-0.1155514888,0.2479693522,463,0.3635208409,0,10,0,0,1,0,696.172688,583.6914953,0,549,1,0.4961190224
15,0,450.2855056,418,-245.8871823,-278.172688,-0.1930564045,-0.2184051176,-32.28550564,-0.02534871309,0.4891743279,0.4891743279,0,0,1,1,696.172688,450.2855056,0,418,0,0.5063691139
16,0,418,945,-278.172688,248.827312,-0.2184051176,0.1953648244,527,0.4137699421,0,11,0,0,1,0,696.172688,450.2855056,0,418,1,0.5172662735
17,0,450.2855056,483,-245.8871823,-213.172688,-0.1930564045,-0.1673708743,32.71449436,0.02568553024,0.4956741569,0.4956741569,0,0,1,0,696.172688,450.2855056,0,418,2,0.5274829865
18,0,448.3154408,417,-247.8572472,-279.172688,-0.1946031856,-0.2191902598,-31.3154408,-0.02458707425,0.4744763758,0.4744763758,0,0,1,1,696.172688,448.3154408,0,417,0,0.5375084877
19,0,417,1741,-279.172688,1044.827312,-0.2191902598,0.8203380197,1324,1.03952828,0,23,0,0,1,0,696.172688,665.9282585,0,417,1,0.5492296219
20,0,448.3154408,418,-247.8572472,-278.172688,-0.1946031856,-0.2184051176,-30.3154408,-0.02380193204,0.4593248607,0.4593248607,0,0,1,0,696.172688,448.3154408,0,417,2,0.5594353676
21,0,418,1807,-278.172688,1110.827312,-0.2184051176,0.8721574052,1389,1.090562523,0,24,0,0,1,0,696.172688,693.1180165,0,417,3,0.569978714
22,0,448.3154408,417,-247.8572472,-279.172688,-0.1946031856,-0.2191902598,-31.3154408,-0.02458707425,0.4744763758,0.4744763758,0,0,1,0,696.172688,448.3154408,0,417,4,0.5800955296
23,0,417,1875,-279.172688,1178.827312,-0.2191902598,0.9255470751,1458,1.144737335,0,25,0,0,1,0,696.172688,694.4111885,0,417,5,0.5906560421
24,0,448.3154408,40845,-247.8572472,40148.82731,-0.1946031856,31.52253881,40396.68456,31.71714199,0.4593248607,815.5406751,0,0,1,0,696.172688,448.3154408,0,417,6,0.600982666
25,0,416.3154408,414,-279.8572472,-282.172688,-0.2197277362,-0.2215456865,-2.315440804,-0.001817950299,0.2315440804,0.2315440804,0,0,1,1,696.172688,416.3154408,0,414,0,0.6115372181
26,0,414,1667,-282.172688,970.827312,-0.2215456865,0.7622374965,1253,0.9837831829,0,20,0,0,1,0,696.172688,416.3154408,0,414,1,0.6226696968
27,0,84.81846845,68,-611.3542195,-628.172688,-0.48,-0.4932048894,-16.81846845,-0.0132048894,15.35701061,15.35701061,1,29,0,0,696.172688,84.81846845,0,414,2,0.6457090378
28,0,84.81846845,80,-611.3542195,-616.172688,-0.48,-0.4837831829,-4.818468448,-0.003783182942,8.514864885,8.514864885,1,7,0,0,696.172688,84.81846845,0,414,3,0.6746101379
29,0,84.81846845,84,-611.3542195,-612.172688,-0.48,-0.4806426141,-0.8184684479,-0.000642614122,3.908840108,3.908840108,1,4,0,0,696.172688,84.81846845,0,414,4,0.6919467449
30,0,135.5,782,-560.672688,85.82731202,-0.4402077906,0.06738664501,646.5,0.5075944356,1.5,11.5,0,0,1,0,696.172688,696.172688,0,414,5,0.7548146248
31,0,373.3319222,353,-322.8407658,-343.172688,-0.2534759107,-0.269439361,-20.33192221,-0.01596345024,0.3080594274,0.3080594274,0,0,1,1,696.172688,373.3319222,0,353,0,0.7743666172
32,0,353,1547,-343.172688,850.827312,-0.269439361,0.6680204319,1194,0.9374597928,0,27,0,0,1,0,696.172688,696.172688,0,353,1,0.7904407978
33,0,373.3319222,352,-322.8407658,-344.172688,-0.2534759107,-0.2702245032,-21.33192221,-0.01674859244,0.3232109425,0.3232109425,0,0,1,1,696.172688,373.3319222,0,352,0,0.8062210083
34,0,352,1748,-344.172688,1051.827312,-0.2702245032,0.8258340151,1396,1.096058518,0,30,0,0,1,0,696.172688,696.172688,0,352,1,0.8229401112
35,0,696.172688,683,0,-13.17268798,0,-0.01034243329,-13.17268798,-0.01034243329,0.1995861816,0.1995861816,0,0,1,0,696.172688,696.172688,0,352,2,0.840852499
36,0,683,748,-13.17268798,51.82731202,-0.01034243329,0.04069181004,65,0.05103424333,0,18,0,0,1,0,696.172688,696.172688,0,352,3,0.8547768593
37,0,696.172688,682,0,-14.17268798,0,-0.0111275755,-14.17268798,-0.0111275755,0.2147376967,0.2147376967,0,0,1,0,696.172688,696.172688,0,352,4,0.8671777248
38,0,682,950,-14.17268798,253.827312,-0.0111275755,0.1992905355,268,0.210418111,0,23,0,0,1,0,696.172688,696.172688,0,352,5,0.8803596497
