it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,65.06657024,41,-834.7000723,-858.7666426,-0.75,-0.7716244472,-24.06657024,-0.02162444725,24.04447943,24.04447943,1,88,0,0,899.7666426,0,1,0,0,0.0004148483276
1,0,459.9595671,697,-439.8070755,-202.7666426,-0.3951782413,-0.182191169,237.0404329,0.2129870723,8.867779763,18.89038295,1,3,0,0,899.7666426,899.7666426,0,0,1,0.1821653843
2,0,773.5,2850,-126.2666426,1950.233357,-0.1134539041,1.752336039,2076.5,1.865789943,1.5,21.5,0,0,1,1,899.7666426,899.7666426,0,2850,0,0.2463488579
3,0,899.7666426,850,0,-49.76664256,0,-0.04471663914,-49.76664256,-0.04471663914,0.4976664256,0.4976664256,0,0,1,1,899.7666426,899.7666426,0,850,0,0.2637963295
4,0,850,855,-49.76664256,-44.76664256,-0.04471663914,-0.04022400744,5,0.004492631694,0,23,1,17,0,0,899.7666426,899.7666426,0,850,1,0.277037859
5,0,899.7666426,875,-1.136868377e-13,-24.76664256,-1.021506181e-16,-0.02225348067,-24.76664256,-0.02225348067,3.359726222,3.359726222,1,5,0,0,899.7666426,899.7666426,0,850,2,0.2930209637
6,0,899.7666426,895,0,-4.766642561,0,-0.004282953888,-4.766642561,-0.004282953888,1.46076414,1.46076414,1,2,0,0,899.7666426,899.7666426,0,850,3,0.3090310097
7,0,899.7666426,907,0,7.233357439,0,0.006499362178,7.233357439,0.006499362178,0.07534747333,0.07534747333,0,0,1,0,899.7666426,899.7666426,0,850,4,0.3224923611
8,0,899.7666426,2311,0,1411.233357,0,1.268030342,1411.233357,1.268030342,0.07534747333,15.92465253,0,0,1,0,899.7666426,899.7666426,0,850,5,0.3341844082
9,0,899.7666426,911,0,11.23335744,0,0.01009346753,11.23335744,0.01009346753,0.1123335744,0.1123335744,0,0,1,0,899.7666426,899.7666426,0,850,6,0.3461081982
10,0,899.7666426,2511,0,1611.233357,0,1.44773561,1611.233357,1.44773561,0.1123335744,17.88766643,0,0,1,0,899.7666426,899.7666426,0,850,7,0.3574783802
11,0,899.7666426,911,0,11.23335744,0,0.01009346753,11.23335744,0.01009346753,0.1123335744,0.1123335744,0,0,1,0,899.7666426,899.7666426,0,850,8,0.36906147
12,0,899.7666426,2811,0,1911.233357,0,1.717293511,1911.233357,1.717293511,0.1123335744,20.88766643,0,0,1,0,899.7666426,899.7666426,0,850,9,0.3804178238
13,0,899.7666426,911,0,11.23335744,0,0.01009346753,11.23335744,0.01009346753,0.1123335744,0.1123335744,0,0,1,0,899.7666426,899.7666426,0,850,10,0.3921175003
14,0,899.7666426,1711,0,811.2333574,0,0.7289145386,811.2333574,0.7289145386,0.1123335744,9.887666426,0,0,1,0,899.7666426,899.7666426,0,850,11,0.4038827419
15,0,899.7666426,42019,0,41119.23336,0,36.9467142,41119.23336,36.9467142,0.1123335744,813.8876664,0,0,1,0,899.7666426,899.7666426,0,850,12,0.4157493114
16,0,899.7666426,896,0,-3.766642561,0,-0.00338442755,-3.766642561,-0.00338442755,0.251109504,0.251109504,0,0,1,0,899.7666426,899.7666426,0,850,13,0.4281806946
17,0,896,899,-3.766642561,-0.7666425606,-0.00338442755,-0.0006888485331,3,0.002695579016,0,11,0,0,1,0,899.7666426,899.7666426,0,850,14,0.4407818317
18,0,899,896,-0.7666425606,-3.766642561,-0.0006888485331,-0.00338442755,-3,-0.002695579016,0,19,0,0,1,0,899.7666426,899.7666426,0,850,15,0.4522972107
19,0,896,896,-3.766642561,-3.766642561,-0.00338442755,-0.00338442755,0,0,0,28,0,0,1,0,899.7666426,899.7666426,0,850,16,0.4635965824
20,0,896,894,-3.766642561,-5.766642561,-0.00338442755,-0.005181480227,-2,-0.001797052678,0,26,0,0,1,0,899.7666426,899.7666426,0,850,17,0.475143671
21,0,894,898,-5.766642561,-1.766642561,-0.005181480227,-0.001587374872,4,0.003594105355,0,30,0,0,1,0,899.7666426,899.7666426,0,850,18,0.4866907597
22,0,898,897,-1.766642561,-2.766642561,-0.001587374872,-0.002485901211,-1,-0.0008985263388,0,13,0,0,1,0,899.7666426,899.7666426,0,850,19,0.4981381893
23,0,897,896,-2.766642561,-3.766642561,-0.002485901211,-0.00338442755,-1,-0.0008985263388,0,27,0,0,1,0,899.7666426,899.7666426,0,850,20,0.5096673965
24,0,896,896,-3.766642561,-3.766642561,-0.00338442755,-0.00338442755,0,0,0,30,0,0,1,0,899.7666426,899.7666426,0,850,21,0.5212101936
25,0,896,894,-3.766642561,-5.766642561,-0.00338442755,-0.005181480227,-2,-0.001797052678,0,18,0,0,1,0,899.7666426,899.7666426,0,850,22,0.5329749584
26,0,894,899,-5.766642561,-0.7666425606,-0.005181480227,-0.0006888485331,5,0.004492631694,0,23,0,0,1,0,899.7666426,899.7666426,0,850,23,0.5446951389
27,0,899,893,-0.7666425606,-6.766642561,-0.0006888485331,-0.006080006566,-6,-0.005391158033,0,24,0,0,1,0,899.7666426,899.7666426,0,850,24,0.5565009117
28,0,893,898,-6.766642561,-1.766642561,-0.006080006566,-0.001587374872,5,0.004492631694,0,23,0,0,1,0,899.7666426,899.7666426,0,850,25,0.5682079792
29,0,898,893,-1.766642561,-6.766642561,-0.001587374872,-0.006080006566,-5,-0.004492631694,0,21,0,0,1,0,899.7666426,899.7666426,0,850,26,0.5799863338
30,0,893,897,-6.766642561,-2.766642561,-0.006080006566,-0.002485901211,4,0.003594105355,0,20,0,0,1,0,899.7666426,899.7666426,0,850,27,0.5918216705
31,0,897,894,-2.766642561,-5.766642561,-0.002485901211,-0.005181480227,-3,-0.002695579016,0,23,0,0,1,0,899.7666426,899.7666426,0,850,28,0.6036598682
32,0,894,895,-5.766642561,-4.766642561,-0.005181480227,-0.004282953888,1,0.0008985263388,0,17,0,0,1,0,899.7666426,899.7666426,0,850,29,0.6153974533
33,0,895,897,-4.766642561,-2.766642561,-0.004282953888,-0.002485901211,2,0.001797052678,0,28,0,0,1,0,899.7666426,899.7666426,0,850,30,0.6271386147
34,0,897,895,-2.766642561,-4.766642561,-0.002485901211,-0.004282953888,-2,-0.001797052678,0,28,0,0,1,0,899.7666426,899.7666426,0,850,31,0.6388342381
35,0,895,896,-4.766642561,-3.766642561,-0.004282953888,-0.00338442755,1,0.0008985263388,0,23,0,0,1,0,899.7666426,899.7666426,0,850,32,0.6504123211
36,0,896,897,-3.766642561,-2.766642561,-0.00338442755,-0.002485901211,1,0.0008985263388,0,17,0,0,1,0,899.7666426,899.7666426,0,850,33,0.6621880531
37,0,897,895,-2.766642561,-4.766642561,-0.002485901211,-0.004282953888,-2,-0.001797052678,0,28,0,0,1,0,899.7666426,899.7666426,0,850,34,0.6739506721
38,0,895,897,-4.766642561,-2.766642561,-0.004282953888,-0.002485901211,2,0.001797052678,0,26,0,0,1,0,899.7666426,899.7666426,0,850,35,0.6856181622
39,0,897,898,-2.766642561,-1.766642561,-0.002485901211,-0.001587374872,1,0.0008985263388,0,15,0,0,1,0,899.7666426,899.7666426,0,850,36,0.6973180771
40,0,898,895,-1.766642561,-4.766642561,-0.001587374872,-0.004282953888,-3,-0.002695579016,0,11,0,0,1,0,899.7666426,899.7666426,0,850,37,0.709056139
41,0,895,896,-4.766642561,-3.766642561,-0.004282953888,-0.00338442755,1,0.0008985263388,0,25,0,0,1,0,899.7666426,899.7666426,0,850,38,0.7207224369
42,0,896,894,-3.766642561,-5.766642561,-0.00338442755,-0.005181480227,-2,-0.001797052678,0,18,0,0,1,0,899.7666426,899.7666426,0,850,39,0.7324261665
43,0,894,897,-5.766642561,-2.766642561,-0.005181480227,-0.002485901211,3,0.002695579016,0,19,0,0,1,0,899.7666426,899.7666426,0,850,40,0.7439682484
44,0,897,894,-2.766642561,-5.766642561,-0.002485901211,-0.005181480227,-3,-0.002695579016,0,17,0,0,1,0,899.7666426,899.7666426,0,850,41,0.7557365894
45,0,894,896,-5.766642561,-3.766642561,-0.005181480227,-0.00338442755,2,0.001797052678,0,10,0,0,1,0,899.7666426,899.7666426,0,850,42,0.7676184177
46,0,896,896,-3.766642561,-3.766642561,-0.00338442755,-0.00338442755,0,0,0,16,0,0,1,0,899.7666426,899.7666426,0,850,43,0.7791535854
47,0,896,896,-3.766642561,-3.766642561,-0.00338442755,-0.00338442755,0,0,0,28,0,0,1,0,899.7666426,899.7666426,0,850,44,0.7908737659
48,0,896,897,-3.766642561,-2.766642561,-0.00338442755,-0.002485901211,1,0.0008985263388,0,23,0,0,1,0,899.7666426,899.7666426,0,850,45,0.8024830818
49,0,897,895,-2.766642561,-4.766642561,-0.002485901211,-0.004282953888,-2,-0.001797052678,0,30,0,0,1,0,899.7666426,899.7666426,0,850,46,0.8140149117
50,0,895,897,-4.766642561,-2.766642561,-0.004282953888,-0.002485901211,2,0.001797052678,0,26,0,0,1,0,899.7666426,899.7666426,0,850,47,0.8257391453
51,0,897,897,-2.766642561,-2.766642561,-0.002485901211,-0.002485901211,0,0,0,14,0,0,1,0,899.7666426,899.7666426,0,850,48,0.8373537064
52,0,897,898,-2.766642561,-1.766642561,-0.002485901211,-0.001587374872,1,0.0008985263388,0,13,0,0,1,0,899.7666426,899.7666426,0,850,49,0.8487522602
53,0,898,895,-1.766642561,-4.766642561,-0.001587374872,-0.004282953888,-3,-0.002695579016,0,25,0,0,1,0,899.7666426,899.7666426,0,850,50,0.860213995
54,0,895,896,-4.766642561,-3.766642561,-0.004282953888,-0.00338442755,1,0.0008985263388,0,13,0,0,1,0,899.7666426,899.7666426,0,850,51,0.871874094
55,0,896,896,-3.766642561,-3.766642561,-0.00338442755,-0.00338442755,0,0,0,24,0,0,1,0,899.7666426,899.7666426,0,850,52,0.8836190701
56,0,896,896,-3.766642561,-3.766642561,-0.00338442755,-0.00338442755,0,0,0,12,0,0,1,0,899.7666426,899.7666426,0,850,53,0.8952405453
57,0,896,895,-3.766642561,-4.766642561,-0.00338442755,-0.004282953888,-1,-0.0008985263388,0,17,0,0,1,0,899.7666426,899.7666426,0,850,54,0.9070003033
58,0,895,898,-4.766642561,-1.766642561,-0.004282953888,-0.001587374872,3,0.002695579016,0,25,0,0,1,0,899.7666426,899.7666426,0,850,55,0.9186091423
59,0,898,895,-1.766642561,-4.766642561,-0.001587374872,-0.004282953888,-3,-0.002695579016,0,25,0,0,1,0,899.7666426,899.7666426,0,850,56,0.9303617477
60,0,895,896,-4.766642561,-3.766642561,-0.004282953888,-0.00338442755,1,0.0008985263388,0,29,0,0,1,0,899.7666426,899.7666426,0,850,57,0.9420506954
61,0,896,896,-3.766642561,-3.766642561,-0.00338442755,-0.00338442755,0,0,0,30,0,0,1,0,899.7666426,899.7666426,0,850,58,0.953804493
62,0,896,897,-3.766642561,-2.766642561,-0.00338442755,-0.002485901211,1,0.0008985263388,0,15,0,0,1,0,899.7666426,899.7666426,0,850,59,0.9655199051
63,0,897,896,-2.766642561,-3.766642561,-0.002485901211,-0.00338442755,-1,-0.0008985263388,0,23,0,0,1,0,899.7666426,899.7666426,0,850,60,0.9771547318
64,0,896,898,-3.766642561,-1.766642561,-0.00338442755,-0.001587374872,2,0.001797052678,0,28,0,0,1,0,899.7666426,899.7666426,0,850,61,0.9888620377
65,0,898,898,-1.766642561,-1.766642561,-0.001587374872,-0.001587374872,0,0,0,12,0,0,1,0,899.7666426,899.7666426,0,850,62,1.000597954
66,0,898,898,-1.766642561,-1.766642561,-0.001587374872,-0.001587374872,0,0,0,22,0,0,1,0,899.7666426,899.7666426,0,850,63,1.012290001
67,0,898,900,-1.766642561,0.2333574394,-0.001587374872,0.0002096778057,2,0.001797052678,0,10,0,0,1,0,899.7666426,899.7666426,0,850,64,1.024092436
68,0,899.7666426,1885,0,985.2333574,0,0.8852581216,985.2333574,0.8852581216,0.01555716263,10.98444284,0,0,1,0,899.7666426,899.7666426,0,850,65,1.03583169
69,0,899.7666426,885,0,-14.76664256,0,-0.01326821728,-14.76664256,-0.01326821728,0.1476664256,0.1476664256,0,0,1,0,899.7666426,899.7666426,0,850,66,1.048508406
70,0,885,881,-14.76664256,-18.76664256,-0.01326821728,-0.01686232263,-4,-0.003594105355,0,12,0,0,1,0,899.7666426,899.7666426,0,850,67,1.060094357
71,0,881,886,-18.76664256,-13.76664256,-0.01686232263,-0.01236969094,5,0.004492631694,0,17,0,0,1,0,899.7666426,899.7666426,0,850,68,1.071683168
72,0,886,884,-13.76664256,-15.76664256,-0.01236969094,-0.01416674362,-2,-0.001797052678,0,10,0,0,1,0,899.7666426,899.7666426,0,850,69,1.08343792
73,0,884,884,-15.76664256,-15.76664256,-0.01416674362,-0.01416674362,0,0,0,14,0,0,1,0,899.7666426,899.7666426,0,850,70,1.095109463
74,0,884,883,-15.76664256,-16.76664256,-0.01416674362,-0.01506526995,-1,-0.0008985263388,0,19,0,0,1,0,899.7666426,899.7666426,0,850,71,1.106678486
75,0,883,884,-16.76664256,-15.76664256,-0.01506526995,-0.01416674362,1,0.0008985263388,0,17,0,0,1,0,899.7666426,899.7666426,0,850,72,1.118584633
76,0,884,883,-15.76664256,-16.76664256,-0.01416674362,-0.01506526995,-1,-0.0008985263388,0,11,0,0,1,0,899.7666426,899.7666426,0,850,73,1.130228043
77,0,883,880,-16.76664256,-19.76664256,-0.01506526995,-0.01776084897,-3,-0.002695579016,0,25,0,0,1,0,899.7666426,899.7666426,0,850,74,1.141802311
78,0,880,880,-19.76664256,-19.76664256,-0.01776084897,-0.01776084897,0,0,0,22,0,0,1,0,899.7666426,899.7666426,0,850,75,1.153385162
79,0,880,882,-19.76664256,-17.76664256,-0.01776084897,-0.01596379629,2,0.001797052678,0,18,0,0,1,0,899.7666426,899.7666426,0,850,76,1.164933205
80,0,882,882,-17.76664256,-17.76664256,-0.01596379629,-0.01596379629,0,0,0,28,0,0,1,0,899.7666426,899.7666426,0,850,77,1.176649809
81,0,882,884,-17.76664256,-15.76664256,-0.01596379629,-0.01416674362,2,0.001797052678,0,12,0,0,1,0,899.7666426,899.7666426,0,850,78,1.188405037
82,0,884,882,-15.76664256,-17.76664256,-0.01416674362,-0.01596379629,-2,-0.001797052678,0,10,0,0,1,0,899.7666426,899.7666426,0,850,79,1.19994092
83,0,882,883,-17.76664256,-16.76664256,-0.01596379629,-0.01506526995,1,0.0008985263388,0,17,0,0,1,0,899.7666426,899.7666426,0,850,80,1.211508751
84,0,883,883,-16.76664256,-16.76664256,-0.01506526995,-0.01506526995,0,0,0,24,0,0,1,0,899.7666426,899.7666426,0,850,81,1.223174572
85,0,883,881,-16.76664256,-18.76664256,-0.01506526995,-0.01686232263,-2,-0.001797052678,0,28,0,0,1,0,899.7666426,899.7666426,0,850,82,1.234728098
86,0,881,879,-18.76664256,-20.76664256,-0.01686232263,-0.01865937531,-2,-0.001797052678,0,14,0,0,1,0,899.7666426,899.7666426,0,850,83,1.246108294
87,0,879,884,-20.76664256,-15.76664256,-0.01865937531,-0.01416674362,5,0.004492631694,0,21,0,0,1,0,899.7666426,899.7666426,0,850,84,1.257731915
88,0,884,882,-15.76664256,-17.76664256,-0.01416674362,-0.01596379629,-2,-0.001797052678,0,12,0,0,1,0,899.7666426,899.7666426,0,850,85,1.269187927
89,0,882,884,-17.76664256,-15.76664256,-0.01596379629,-0.01416674362,2,0.001797052678,0,12,0,0,1,0,899.7666426,899.7666426,0,850,86,1.280694485
90,0,884,879,-15.76664256,-20.76664256,-0.01416674362,-0.01865937531,-5,-0.004492631694,0,23,0,0,1,0,899.7666426,899.7666426,0,850,87,1.292413473
91,0,879,884,-20.76664256,-15.76664256,-0.01865937531,-0.01416674362,5,0.004492631694,0,19,0,0,1,0,899.7666426,899.7666426,0,850,88,1.303874254
92,0,884,879,-15.76664256,-20.76664256,-0.01416674362,-0.01865937531,-5,-0.004492631694,0,23,0,0,1,0,899.7666426,899.7666426,0,850,89,1.32125783
93,0,879,882,-20.76664256,-17.76664256,-0.01865937531,-0.01596379629,3,0.002695579016,0,17,0,0,1,0,899.7666426,899.7666426,0,850,90,1.332965612
94,0,882,881,-17.76664256,-18.76664256,-0.01596379629,-0.01686232263,-1,-0.0008985263388,0,27,0,0,1,0,899.7666426,899.7666426,0,850,91,1.344658852
95,0,881,883,-18.76664256,-16.76664256,-0.01686232263,-0.01506526995,2,0.001797052678,0,28,0,0,1,0,899.7666426,899.7666426,0,850,92,1.356234789
96,0,883,882,-16.76664256,-17.76664256,-0.01506526995,-0.01596379629,-1,-0.0008985263388,0,25,0,0,1,0,899.7666426,899.7666426,0,850,93,1.368762732
97,0,882,885,-17.76664256,-14.76664256,-0.01596379629,-0.01326821728,3,0.002695579016,0,17,0,0,1,0,899.7666426,899.7666426,0,850,94,1.380192757
98,0,885,881,-14.76664256,-18.76664256,-0.01326821728,-0.01686232263,-4,-0.003594105355,0,20,0,0,1,0,899.7666426,899.7666426,0,850,95,1.391983032
99,0,881,885,-18.76664256,-14.76664256,-0.01686232263,-0.01326821728,4,0.003594105355,0,20,0,0,1,0,899.7666426,899.7666426,0,850,96,1.403371572
100,0,885,884,-14.76664256,-15.76664256,-0.01326821728,-0.01416674362,-1,-0.0008985263388,0,13,0,0,1,0,899.7666426,899.7666426,0,850,97,1.414518356
101,0,884,882,-15.76664256,-17.76664256,-0.01416674362,-0.01596379629,-2,-0.001797052678,0,16,0,0,1,0,899.7666426,899.7666426,0,850,98,1.426024437
102,0,882,884,-17.76664256,-15.76664256,-0.01596379629,-0.01416674362,2,0.001797052678,0,20,0,0,1,0,899.7666426,899.7666426,0,850,99,1.43731451
103,0,884,878,-15.76664256,-21.76664256,-0.01416674362,-0.01955790165,-6,-0.005391158033,0,30,0,0,1,0,899.7666426,899.7666426,0,850,100,1.448664188
104,0,878,876,-21.76664256,-23.76664256,-0.01955790165,-0.02135495433,-2,-0.001797052678,0,10,0,0,1,0,899.7666426,899.7666426,0,850,101,1.459822416
105,0,876,884,-23.76664256,-15.76664256,-0.02135495433,-0.01416674362,8,0.007188210711,0,22,0,0,1,0,899.7666426,899.7666426,0,850,102,1.471236706
106,0,884,875,-15.76664256,-24.76664256,-0.01416674362,-0.02225348067,-9,-0.008086737049,0,23,0,0,1,0,899.7666426,899.7666426,0,850,103,1.482667208
107,0,875,876,-24.76664256,-23.76664256,-0.02225348067,-0.02135495433,1,0.0008985263388,0,11,0,0,1,0,899.7666426,899.7666426,0,850,104,1.494310379
108,0,876,880,-23.76664256,-19.76664256,-0.02135495433,-0.01776084897,4,0.003594105355,0,20,0,0,1,0,899.7666426,899.7666426,0,850,105,1.505770683
109,0,880,881,-19.76664256,-18.76664256,-0.01776084897,-0.01686232263,1,0.0008985263388,0,29,0,0,1,0,899.7666426,899.7666426,0,850,106,1.517396688
110,0,881,886,-18.76664256,-13.76664256,-0.01686232263,-0.01236969094,5,0.004492631694,0,17,0,0,1,0,899.7666426,899.7666426,0,850,107,1.529043436
