it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,65.06657024,41,-556.4667149,-580.5332851,-0.5,-0.5216244472,-24.06657024,-0.02162444725,24.04447943,24.04447943,1,88,0,0,621.5332851,0,1,0,0,0.0003662109375
1,0,459.9595671,697,-161.573718,75.46671488,-0.1451782413,0.06780883102,237.0404329,0.2129870723,8.867779763,18.89038295,1,3,0,0,621.5332851,0,1,0,1,0.1604866982
2,0,792,2180,170.4667149,1558.466715,0.1531688332,1.400323392,1388,1.247154558,1.5,21.5,0,0,1,1,621.5332851,0,1,2180,0,0.2031300068
3,0,1942.959567,1941,1321.426282,1319.466715,1.187336319,1.185575597,-1.959567077,-0.001760722631,0.02881716289,0.02881716289,0,0,1,1,621.5332851,1942.959567,0,1941,0,0.2157156467
4,0,1823.459567,1805,1201.926282,1183.466715,1.079962422,1.063376014,-18.45956708,-0.01658640722,0.2714642217,0.2714642217,0,0,1,1,621.5332851,1823.459567,0,1805,0,0.2275955677
5,0,1718.003329,1737,1096.470043,1115.466715,0.9852072137,1.002276223,18.99667149,0.01706900968,0.279362816,0.279362816,0,0,1,1,621.5332851,1718.003329,0,1737,0,0.2395894527
6,0,1653.403329,1669,1031.870043,1047.466715,0.9271624122,0.9411764324,15.59667149,0.01401402013,0.229362816,0.229362816,0,0,1,1,621.5332851,1653.403329,0,1669,0,0.2498743534
7,0,1588.803329,1601,967.2700434,979.4667149,0.8691176107,0.8800766413,12.19667149,0.01095903058,0.179362816,0.179362816,0,0,1,1,621.5332851,1588.803329,0,1601,0,0.2600231171
8,0,1524.203329,1533,902.6700434,911.4667149,0.8110728093,0.8189768503,8.796671488,0.007904041026,0.129362816,0.129362816,0,0,1,1,621.5332851,1524.203329,0,1533,0,0.2702145576
9,0,1459.603329,1465,838.0700434,843.4667149,0.7530280078,0.7578770592,5.396671488,0.004849051474,0.079362816,0.079362816,0,0,1,1,621.5332851,1459.603329,0,1465,0,0.2804229259
10,0,1395.003329,1397,773.4700434,775.4667149,0.6949832063,0.6967772682,1.996671488,0.001794061922,0.029362816,0.029362816,0,0,1,1,621.5332851,1395.003329,0,1397,0,0.2906501293
11,0,1330.403329,1329,708.8700434,707.4667149,0.6369384048,0.6356774772,-1.403328512,-0.00126092763,0.020637184,0.020637184,0,0,1,1,621.5332851,1330.403329,0,1329,0,0.300727129
12,0,1265.803329,1261,644.2700434,639.4667149,0.5788936033,0.5745776861,-4.803328512,-0.004315917182,0.070637184,0.070637184,0,0,1,1,621.5332851,1265.803329,0,1261,0,0.312595129
13,0,1201.203329,1193,579.6700434,571.4667149,0.5208488018,0.5134778951,-8.203328512,-0.007370906734,0.120637184,0.120637184,0,0,1,1,621.5332851,1201.203329,0,1193,0,0.3244512081
14,0,1136.603329,1125,515.0700434,503.4667149,0.4628040003,0.452378104,-11.60332851,-0.01042589629,0.170637184,0.170637184,0,0,1,1,621.5332851,1136.603329,0,1125,0,0.3366239071
15,0,1072.003329,1057,450.4700434,435.4667149,0.4047591988,0.391278313,-15.00332851,-0.01348088584,0.220637184,0.220637184,0,0,1,1,621.5332851,1072.003329,0,1057,0,0.3484792709
16,0,1007.403329,989,385.8700434,367.4667149,0.3467143974,0.330178522,-18.40332851,-0.01653587539,0.270637184,0.270637184,0,0,1,1,621.5332851,1007.403329,0,989,0,0.3603110313
17,0,942.8033285,921,321.2700434,299.4667149,0.2886695959,0.2690787309,-21.80332851,-0.01959086494,0.320637184,0.320637184,0,0,1,1,621.5332851,942.8033285,0,921,0,0.3721337318
18,0,878.2033285,853,256.6700434,231.4667149,0.2306247944,0.2079789399,-25.20332851,-0.02264585449,0.370637184,0.370637184,0,0,1,1,621.5332851,878.2033285,0,853,0,0.383970499
19,0,813.6033285,785,192.0700434,163.4667149,0.1725799929,0.1468791488,-28.60332851,-0.02570084405,0.420637184,0.420637184,0,0,1,1,621.5332851,813.6033285,0,785,0,0.3958280087
20,0,749.0033285,717,127.4700434,95.46671488,0.1145351914,0.0857793578,-32.00332851,-0.0287558336,0.470637184,0.470637184,0,0,1,1,621.5332851,749.0033285,0,717,0,0.4076554775
21,0,684.4033285,661,62.87004339,39.46671488,0.05649038991,0.03546188283,-23.40332851,-0.02102850708,0.4179165806,0.4179165806,0,0,1,1,621.5332851,684.4033285,0,661,0,0.4195270538
22,0,631.2033285,605,9.670043391,-16.53328512,0.008688788684,-0.01485559215,-26.20332851,-0.02354438083,0.4679165806,0.4679165806,0,0,1,1,621.5332851,631.2033285,0,605,0,0.4314908981
23,0,578.0033285,554,-43.52995661,-67.53328512,-0.03911281254,-0.06068043543,-24.00332851,-0.02156762289,0.4706535002,0.4706535002,0,0,1,1,621.5332851,578.0033285,0,554,0,0.4434230328
24,0,529.5533285,1840,-91.97995661,1218.466715,-0.08264641366,1.094824436,1310.446671,1.17747085,0.6697718216,22.33022818,0,0,1,0,621.5332851,529.5533285,0,554,1,0.4549834728
25,0,529.5533285,481,-91.97995661,-140.5332851,-0.08264641366,-0.1262728582,-48.55332851,-0.04362644451,1.078962856,1.078962856,0,0,1,1,621.5332851,529.5533285,0,481,0,0.4670653343
26,0,460.2033285,568,-161.3299566,-53.53328512,-0.1449592153,-0.04810106669,107.7966715,0.09685814857,0.8416865358,15.15831346,1,3,0,0,621.5332851,460.2033285,0,481,1,0.479265213
27,0,460.2033285,435,-161.3299566,-186.5332851,-0.1449592153,-0.1676050697,-25.20332851,-0.02264585449,0.370637184,0.370637184,0,0,1,1,621.5332851,460.2033285,0,435,0,0.4906885624
