it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,3.298903245,0,-11.85054838,-15.14945162,-0.5,-0.6391877886,-3.298903245,-0.1391877886,3.298903245,3.298903245,1,50,0,0,15.14945162,0,1,0,0,0.0001308917999
1,0,3.298903245,18,-11.85054838,2.850548378,-0.5,0.1202707371,14.70109676,0.6202707371,3.298903245,16.19644496,0,0,1,1,15.14945162,0,1,18,0,0.00138092041
2,0,18,39,2.850548378,23.85054838,0.1202707371,1.006305684,21,0.8860349467,0,23,0,0,1,0,15.14945162,0,1,18,1,0.003793001175
3,0,39,18,23.85054838,2.850548378,1.006305684,0.1202707371,-21,-0.8860349467,0,23,0,0,1,0,15.14945162,0,1,18,2,0.004895925522
4,0,18,32,2.850548378,16.85054838,0.1202707371,0.7109607016,14,0.5906899645,0,16,0,0,1,0,15.14945162,0,1,18,3,0.006002426147
5,0,32,20,16.85054838,4.850548378,0.7109607016,0.2046550178,-12,-0.5063056838,0,18,0,0,1,0,15.14945162,0,1,18,4,0.007106781006
6,0,20,35,4.850548378,19.85054838,0.2046550178,0.8375371225,15,0.6328821048,0,21,0,0,1,0,15.14945162,0,1,18,5,0.008206129074
7,0,35,27,19.85054838,11.85054838,0.8375371225,0.5,-8,-0.3375371225,0,10,0,0,1,0,15.14945162,0,1,18,6,0.009308099747
8,0,27,34,11.85054838,18.85054838,0.5,0.7953449822,7,0.2953449822,0,11,0,0,1,0,15.14945162,0,1,18,7,0.01041579247
9,0,34,23,18.85054838,7.850548378,0.7953449822,0.3312314387,-11,-0.4641135435,0,23,0,0,1,0,15.14945162,0,1,18,8,0.01153802872
10,0,23,35,7.850548378,19.85054838,0.3312314387,0.8375371225,12,0.5063056838,0,24,0,0,1,0,15.14945162,0,1,18,9,0.01263952255
11,0,35,24,19.85054838,8.850548378,0.8375371225,0.373423579,-11,-0.4641135435,0,25,0,0,1,0,15.14945162,0,1,18,10,0.01375079155
12,0,24,36,8.850548378,20.85054838,0.373423579,0.8797292629,12,0.5063056838,0,20,0,0,1,0,15.14945162,0,1,18,11,0.01485562325
13,0,36,23,20.85054838,7.850548378,0.8797292629,0.3312314387,-13,-0.5484978241,0,25,0,0,1,0,15.14945162,0,1,18,12,0.01596617699
14,0,23,35,7.850548378,19.85054838,0.3312314387,0.8375371225,12,0.5063056838,0,16,0,0,1,0,15.14945162,0,1,18,13,0.01707053185
15,0,35,27,19.85054838,11.85054838,0.8375371225,0.5,-8,-0.3375371225,0,28,0,0,1,0,15.14945162,0,1,18,14,0.01818180084
16,0,27,39,11.85054838,23.85054838,0.5,1.006305684,12,0.5063056838,0,16,0,0,1,0,15.14945162,0,1,18,15,0.01929235458
17,0,39,28,23.85054838,12.85054838,1.006305684,0.5421921403,-11,-0.4641135435,0,15,0,0,1,0,15.14945162,0,1,18,16,0.02040219307
18,0,28,34,12.85054838,18.85054838,0.5421921403,0.7953449822,6,0.2531528419,0,28,0,0,1,0,15.14945162,0,1,18,17,0.02152705193
19,0,34,29,18.85054838,13.85054838,0.7953449822,0.5843842806,-5,-0.2109607016,0,29,0,0,1,0,15.14945162,0,1,18,18,0.02263522148
