it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,148.9465209,67,-1577.52674,-1659.47326,-0.5,-0.5259731005,-81.94652094,-0.02597310045,62.60740902,62.60740902,1,283,0,0,1726.47326,0,1,0,0,0.0006878376007
1,0,1250.519302,865,-475.9539582,-861.4732605,-0.150854482,-0.2730455335,-385.5193023,-0.1221910515,24.50369328,33.06790176,1,90,0,0,1726.47326,0,1,0,1,2.797758341
2,0,1526.393689,912,-200.0795713,-814.4732605,-0.06341558792,-0.2581487971,-614.3936892,-0.1947332092,14.22054395,14.22054395,1,74,0,0,1726.47326,0,1,0,2,4.249163866
3,0,1509.158897,1922,-217.314363,195.5267395,-0.06887818683,0.06197255952,412.8411025,0.1308507464,12.76754984,20.72162642,1,1,0,0,1726.47326,0,1,0,3,4.472708225
4,0,1986,1986,259.5267395,259.5267395,0.08225747717,0.08225747717,0,0,0,0,0,0,1,1,1726.47326,0,1,1986,0,4.732875824
5,0,1986,3481,259.5267395,1754.52674,0.08225747717,0.5561004754,1495,0.4738429982,0,23,1,5,0,0,1726.47326,0,1,1986,1,4.776184082
6,0,3482,3482,1755.52674,1755.52674,0.5564174272,0.5564174272,0,0,0,0,0,0,1,0,1726.47326,0,1,1986,2,4.808060408
7,0,3482,2461,1755.52674,734.5267395,0.5564174272,0.2328096003,-1021,-0.3236078269,0,16,1,6,0,0,1726.47326,0,1,1986,3,4.838757753
8,0,2462,2462,735.5267395,735.5267395,0.2331265522,0.2331265522,0,0,0,0,0,0,1,0,1726.47326,0,1,1986,4,4.868633032
9,0,2462,3345,735.5267395,1618.52674,0.2331265522,0.5129950254,883,0.2798684732,0,18,1,7,0,0,1726.47326,0,1,1986,5,4.898801327
10,0,3346,3346,1619.52674,1619.52674,0.5133119772,0.5133119772,0,0,0,0,0,0,1,0,1726.47326,0,1,1986,6,4.928574085
11,0,3346,2257,1619.52674,530.5267395,0.5133119772,0.1681514253,-1089,-0.3451605519,0,21,1,6,0,0,1726.47326,0,1,1986,7,4.955686092
12,0,2258,2258,531.5267395,531.5267395,0.1684683772,0.1684683772,0,0,0,0,0,0,1,0,1726.47326,0,1,1986,8,4.982479811
13,0,2258,2869,531.5267395,1142.52674,0.1684683772,0.3621259504,611,0.1936575732,0,10,1,5,0,0,1726.47326,0,1,1986,9,5.00949645
14,0,2870,2870,1143.52674,1143.52674,0.3624429022,0.3624429022,0,0,0,0,0,0,1,0,1726.47326,0,1,1986,10,5.036329508
