it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,148.9465209,67,-1577.52674,-1659.47326,-0.5,-0.5259731005,-81.94652094,-0.02597310045,62.60740902,62.60740902,1,283,0,0,1726.47326,0,1,0,0,0.0007429122925
1,0,1250.519302,865,-475.9539582,-861.4732605,-0.150854482,-0.2730455335,-385.5193023,-0.1221910515,24.50369328,33.06790176,1,90,0,0,1726.47326,0,1,0,1,2.809099197
2,0,1526.393689,912,-200.0795713,-814.4732605,-0.06341558792,-0.2581487971,-614.3936892,-0.1947332092,14.22054395,14.22054395,1,74,0,0,1726.47326,0,1,0,2,4.25510025
3,0,1509.158897,1922,-217.314363,195.5267395,-0.06887818683,0.06197255952,412.8411025,0.1308507464,12.76754984,20.72162642,1,1,0,0,1726.47326,0,1,0,3,4.475408554
4,0,1986,1986,259.5267395,259.5267395,0.08225747717,0.08225747717,0,0,0,0,0,0,1,1,1726.47326,0,1,1986,0,4.733057499
5,0,1894.147326,1889,167.6740656,162.5267395,0.05314460331,0.05151314886,-5.147326047,-0.001631454453,0.05306521698,0.05306521698,0,0,1,1,1726.47326,1894.147326,0,1889,0,4.778865576
6,0,1801.997326,1796,75.52406558,69.52673953,0.02393749142,0.0220366279,-5.997326047,-0.001900863515,0.06448737685,0.06448737685,0,0,1,1,1726.47326,1801.997326,0,1796,0,4.813212872
7,0,1713.647326,1743,-12.82593442,16.52673953,-0.004065203492,0.005238180475,29.35267395,0.009303383967,1.223028081,1.223028081,0,0,1,1,1726.47326,1713.647326,0,1743,0,4.85615921
8,0,1663.297326,1146,-63.17593442,-580.4732605,-0.02002372855,-0.183982067,-517.297326,-0.1639583384,1.79082291,21.20917709,1,1,0,0,1726.47326,1663.297326,0,1743,1,4.899278641
9,0,1185,1185,-541.4732605,-541.4732605,-0.1716209453,-0.1716209453,0,0,0,0,0,0,1,1,1726.47326,1663.297326,0,1185,0,4.980359554
10,0,1133.197326,1144,-593.2759344,-582.4732605,-0.188039898,-0.1846159706,10.80267395,0.003423927368,0.3086478272,0.3086478272,0,0,1,1,1726.47326,1133.197326,0,1144,0,5.02449584
11,0,1094.247326,1109,-632.2259344,-617.4732605,-0.2003851721,-0.195709285,14.75267395,0.004675887129,0.4364696436,0.4364696436,0,0,1,1,1726.47326,1094.247326,0,1109,0,5.05237484
12,0,1060.997326,1049,-665.4759344,-677.4732605,-0.2109238207,-0.2147263953,-11.99732605,-0.003802574545,1.284039491,1.284039491,1,1,0,0,1726.47326,1060.997326,0,1109,1,5.078817844
13,0,1060.997326,1050,-665.4759344,-676.4732605,-0.2109238207,-0.2144094434,-10.99732605,-0.003485622707,0.3142093156,0.3142093156,0,0,1,1,1726.47326,1060.997326,0,1050,0,5.124720335
14,0,1004.947326,1616,-721.5259344,-110.4732605,-0.2286889713,-0.03501470298,611.052674,0.1936742683,1.635575622,14.36442438,0,0,1,0,1726.47326,1004.947326,0,1050,1,5.177081823
15,0,1004.947326,1004,-721.5259344,-722.4732605,-0.2286889713,-0.228989228,-0.9473260469,-0.000300256732,0.01393126539,0.01393126539,0,0,1,1,1726.47326,1004.947326,0,1004,0,5.21338129
16,0,961.247326,936,-765.2259344,-790.4732605,-0.2425397666,-0.250541953,-25.24732605,-0.008002186402,0.3712842066,0.3712842066,0,0,1,1,1726.47326,961.247326,0,936,0,5.242428541
17,0,896.647326,1808,-829.8259344,81.52673953,-0.2630148554,0.02584004996,911.352674,0.2888549053,1.49440534,16.50559466,1,6,0,0,1726.47326,896.647326,0,936,1,5.275040388
18,0,896.647326,925,-829.8259344,-801.4732605,-0.2630148554,-0.2540284232,28.35267395,0.008986432129,0.4169510875,0.4169510875,0,0,1,1,1726.47326,896.647326,0,925,0,5.310063124
19,0,886.197326,857,-840.2759344,-869.4732605,-0.2663270021,-0.2755811482,-29.19732605,-0.009254146163,0.4293724419,0.4293724419,0,0,1,1,1726.47326,886.197326,0,857,0,5.338070393
20,0,821.597326,552,-904.8759344,-1174.47326,-0.2868020908,-0.3722514589,-269.597326,-0.08544936808,1.674515081,19.40159924,1,6,0,0,1726.47326,821.597326,0,857,1,5.381579876
21,0,697,1182,-1029.47326,-544.4732605,-0.3262934423,-0.1725718008,485,0.1537216416,2.5,7.5,0,0,1,0,1726.47326,821.597326,0,857,2,5.493793249
22,0,821.597326,813,-904.8759344,-913.4732605,-0.2868020908,-0.2895270291,-8.597326047,-0.002724938295,0.1264312654,0.1264312654,0,0,1,1,1726.47326,821.597326,0,813,0,5.544542789
23,0,779.797326,1220,-946.6759344,-506.4732605,-0.3000506777,-0.1605276309,440.202674,0.1395230467,0.488274617,10.51172538,1,5,0,0,1726.47326,779.797326,0,813,1,5.580372572
24,0,779.797326,813,-946.6759344,-913.4732605,-0.3000506777,-0.2895270291,33.20267395,0.01052364854,0.488274617,0.488274617,0,0,1,0,1726.47326,779.797326,0,813,2,5.629571676
25,0,779.797326,2036,-946.6759344,309.5267395,-0.3000506777,0.09810506909,1256.202674,0.3981557467,0.488274617,22.51172538,1,3,0,0,1726.47326,779.797326,0,813,3,5.682902336
26,0,779.797326,813,-946.6759344,-913.4732605,-0.3000506777,-0.2895270291,33.20267395,0.01052364854,0.488274617,0.488274617,0,0,1,0,1726.47326,779.797326,0,813,4,5.741793871
27,0,779.797326,2104,-946.6759344,377.5267395,-0.3000506777,0.1196577941,1324.202674,0.4197084717,0.488274617,23.51172538,1,3,0,0,1726.47326,779.797326,0,813,5,5.789406776
28,0,779.797326,813,-946.6759344,-913.4732605,-0.3000506777,-0.2895270291,33.20267395,0.01052364854,0.488274617,0.488274617,0,0,1,0,1726.47326,779.797326,0,813,6,5.836308479
29,0,779.797326,2172,-946.6759344,445.5267395,-0.3000506777,0.1412105191,1392.202674,0.4412611967,0.488274617,24.51172538,1,3,0,0,1726.47326,779.797326,0,813,7,5.886612892
30,0,576.297326,581,-1150.175934,-1145.47326,-0.3645503767,-0.3630598556,4.702673953,0.001490521154,0.7376743456,0.7376743456,0,0,1,1,1726.47326,576.297326,0,581,0,5.974876881
31,0,344.297326,332,-1382.175934,-1394.47326,-0.4380832032,-0.4419808633,-12.29732605,-0.003897660096,13.01843601,13.01843601,1,10,0,0,1726.47326,344.297326,0,581,1,6.109210253
32,0,526.5,504,-1199.97326,-1222.47326,-0.3803337308,-0.3874651471,-22.5,-0.007131416361,2.166666667,2.166666667,1,1,0,0,1726.47326,547.797326,0,581,2,6.396582603
33,0,541,541,-1185.47326,-1185.47326,-0.3757379291,-0.3757379291,0,0,0,0,0,0,1,1,1726.47326,547.797326,0,541,0,6.471522331
34,0,507.797326,1623,-1218.675934,-103.4732605,-0.3862615777,-0.03279604012,1115.202674,0.3534655375,0.9096623001,19.0903377,1,2,0,0,1726.47326,507.797326,0,541,1,6.513661861
35,0,507.797326,536,-1218.675934,-1190.47326,-0.3862615777,-0.3773226883,28.20267395,0.008938889353,0.4147452052,0.4147452052,0,0,1,1,1726.47326,507.797326,0,536,0,6.548248291
36,0,505.297326,2031,-1221.175934,304.5267395,-0.3870539573,0.09652030989,1525.702674,0.4835742671,0.4515099111,24.54849009,1,3,0,0,1726.47326,505.297326,0,536,1,6.576822996
37,0,505.297326,536,-1221.175934,-1190.47326,-0.3870539573,-0.3773226883,30.70267395,0.009731268949,0.4515099111,0.4515099111,0,0,1,0,1726.47326,505.297326,0,536,2,6.606545687
