it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,25877.60927,13098,-6166.597683,-18946.20695,-0.25,-0.7680980633,-12779.60927,-0.5180980633,45.88049695,45.88049695,1,201,0,0,32044.20695,0,1,0,0,0.0004551410675
1,0,30433.81184,25198,-1610.395112,-6846.206951,-0.06528701864,-0.2775520353,-5235.811839,-0.2122650166,19.30162086,19.30162086,1,58,0,0,32044.20695,32044.20695,0,0,1,0.3176002502
2,0,31940,30370,-104.2069509,-1674.206951,-0.004224653376,-0.06787401404,-1570,-0.06364936066,7.333333333,7.333333333,1,18,0,0,32044.20695,32044.20695,0,0,2,0.5418736935
3,0,32044.20695,30739,1.455191523e-11,-1305.206951,5.899491087e-16,-0.05291438723,-1305.206951,-0.05291438723,6.606062402,6.606062402,1,14,0,0,32044.20695,32044.20695,0,0,3,0.686068058
4,0,32044.20695,35725,0,3680.793049,0,0.1492230091,3680.793049,0.1492230091,6.478383042,19.28289376,3,44,0,0,32044.20695,32044.20695,0,0,4,0.7718398571
5,0,31723.5,28475,-320.7069509,-3569.206951,-0.01300177859,-0.1446991978,-3248.5,-0.1316974192,8,8,1,40,0,0,32044.20695,32044.20695,0,0,5,0.9562575817
6,0,31687,31687,-357.2069509,-357.2069509,-0.01448152487,-0.01448152487,0,0,-1.554312234e-15,2.886579864e-15,0,0,1,1,32044.20695,32044.20695,0,31687,0,1.054666996
7,0,31687,41931,-357.2069509,9886.793049,-0.01448152487,0.4008204182,10244,0.4153019431,0,23,8,142,0,0,32044.20695,32044.20695,0,31687,1,1.117576838
8,0,31687,31687,-357.2069509,-357.2069509,-0.01448152487,-0.01448152487,-3.637978807e-12,-1.474872772e-16,6.814558107e-14,3.856413741e-12,0,0,1,0,32044.20695,32044.20695,0,31687,2,1.181858778
9,0,31687,41562,-357.2069509,9517.793049,-0.01448152487,0.3858607914,9875,0.4003423163,0,22,7,138,0,0,32044.20695,32044.20695,0,31687,3,1.237497091
10,0,31687,31687,-357.2069509,-357.2069509,-0.01448152487,-0.01448152487,7.275957614e-12,2.949745544e-16,1.533405811e-13,3.991006719e-12,0,0,1,0,32044.20695,32044.20695,0,31687,4,1.280314922
11,0,31687,42325,-357.2069509,10280.79305,-0.01448152487,0.4167935699,10638,0.4312750947,0,24,9,148,0,0,32044.20695,32044.20695,0,31687,5,1.352209806
