it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,3,4,-0.75,0.25,-0.75,0.25,1,1,6461.374504,6461.374504,1,1214,0,0,3.75,0,1,0,0,0.01458120346
1,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1389.25,1389.25,1,47,0,0,3.75,3.75,0,0,1,14.0966146
2,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1313.5,1313.5,1,16,0,0,3.75,3.75,0,0,2,15.79383969
3,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1313,1313,1,9,0,0,3.75,3.75,0,0,3,16.23391819
4,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1309,1309,1,9,0,0,3.75,3.75,0,0,4,16.52259111
5,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1309,1309,1,6,0,0,3.75,3.75,0,0,5,16.63368917
6,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1307,1307,1,5,0,0,3.75,3.75,0,0,6,16.96655703
7,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1307,1307,1,6,0,0,3.75,3.75,0,0,7,17.09722805
8,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1307,8853.75,3,12859,0,0,3.75,3.75,0,0,8,17.2326088
9,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1868.5,1868.5,1,226,0,0,3.75,3.75,0,0,9,18.07470036
10,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1490.416667,1490.416667,1,39,0,0,3.75,3.75,0,0,10,22.01044917
11,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1474.25,1474.25,1,28,0,0,3.75,3.75,0,0,11,22.58764005
12,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1472.75,1472.75,1,17,0,0,3.75,3.75,0,0,12,22.78769398
13,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1464,1464,1,16,0,0,3.75,3.75,0,0,13,22.98968005
14,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1464,1464,1,10,0,0,3.75,3.75,0,0,14,23.19058299
15,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1458.75,1458.75,1,7,0,0,3.75,3.75,0,0,15,23.40551949
16,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1457.75,1464.25,1,14,0,0,3.75,3.75,0,0,16,23.55869269
17,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1454.5,1454.5,1,5,0,0,3.75,3.75,0,0,17,23.70366597
18,0,3.75,3,0,-0.75,0,-0.75,-0.75,-0.75,1454.5,1461,1,3735,0,0,3.75,3.75,0,0,18,23.85096407
19,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1453.5,1453.5,1,5,0,0,3.75,3.75,0,0,19,24.00364804
20,0,3.75,3,0,-0.75,0,-0.75,-0.75,-0.75,1453.5,1463.5,1,3740,0,0,3.75,3.75,0,0,20,24.15767169
21,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1452.5,1452.5,1,5,0,0,3.75,3.75,0,0,21,24.26685882
22,0,3.75,3,0,-0.75,0,-0.75,-0.75,-0.75,1452.5,1462.5,1,3740,0,0,3.75,3.75,0,0,22,24.347682
23,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1452.5,1452.5,1,5,0,0,3.75,3.75,0,0,23,24.50770855
24,0,3.75,3,0,-0.75,0,-0.75,-0.75,-0.75,1452.5,1457.5,1,3734,0,0,3.75,3.75,0,0,24,24.60558677
25,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1452.5,9006,3,12685,0,0,3.75,3.75,0,0,25,24.6793716
26,0,3.75,4,0,0.25,0,0.25,0.25,0.25,2059.25,2059.25,1,307,0,0,3.75,3.75,0,0,26,25.18259048
27,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1596.541667,1596.541667,1,65,0,0,3.75,3.75,0,0,27,29.31272244
28,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1571.583333,1571.583333,1,55,0,0,3.75,3.75,0,0,28,30.23162937
29,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1570.083333,1570.083333,1,47,0,0,3.75,3.75,0,0,29,30.4689827
30,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1561.083333,1561.083333,1,43,0,0,3.75,3.75,0,0,30,30.65523791
31,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1560.583333,1560.583333,1,25,0,0,3.75,3.75,0,0,31,30.86556363
32,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1543.833333,1543.833333,1,14,0,0,3.75,3.75,0,0,32,31.20844436
33,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1542.333333,1542.333333,1,13,0,0,3.75,3.75,0,0,33,31.42468357
34,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1542.333333,1542.333333,1,9,0,0,3.75,3.75,0,0,34,31.67588878
35,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1539.666667,1539.666667,1,7,0,0,3.75,3.75,0,0,35,31.99372363
36,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1539.583333,1541.083333,1,6,0,0,3.75,3.75,0,0,36,32.16358304
37,0,3.75,4,0,0.25,0,0.25,0.25,0.25,1536.083333,1536.083333,1,5,0,0,3.75,3.75,0,0,37,32.35427856
