it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-106,-2,-78,26,-0.75,0.25,104,1,175,175,0,0,1,1,-28,0,1,-2,0,0.0003821849823
1,0,-28,-25,6.821210263e-13,3,6.558856022e-15,0.02884615385,3,0.02884615385,16.95714286,16.95714286,0.375,0.375,0,0,-28,-28,0,-2,1,0.7839763165
2,0,-28,-22,3.552713679e-15,6,3.416070845e-17,0.05769230769,6,0.05769230769,10.71551724,10.71551724,0,0,1,1,-28,-28,0,-22,0,0.9310877323
3,0,-28,-37,3.552713679e-15,-9,3.416070845e-17,-0.08653846154,-9,-0.08653846154,10.71551724,27.09482759,1.125,19.125,0,0,-28,-28,0,-22,1,0.9442021847
4,0,-28,-28,6.821210263e-13,6.821210263e-13,6.558856022e-15,6.558856022e-15,0,0,0,0,0,0,1,1,-28,-28,0,-28,0,1.011487484
5,0,-28,-30,0,-2,0,-0.01923076923,-2,-0.01923076923,6.821210263e-13,23,12,20.125,0,0,-28,-28,0,-28,1,1.018385649
6,0,-28,-28,6.821210263e-13,6.821210263e-13,6.558856022e-15,6.558856022e-15,0,0,0,0,0,0,1,0,-28,-28,0,-28,2,1.025030136
7,0,-28,-30,0,-2,0,-0.01923076923,-2,-0.01923076923,6.821210263e-13,22,10,20,0,0,-28,-28,0,-28,3,1.034380674
8,0,-28,-28,6.821210263e-13,6.821210263e-13,6.558856022e-15,6.558856022e-15,0,0,0,0,0,0,1,0,-28,-28,0,-28,4,1.040651798
9,0,-28,-30,0,-2,0,-0.01923076923,-2,-0.01923076923,6.821210263e-13,24,13,22,0,0,-28,-28,0,-28,5,1.049954891
10,0,-28,-28,6.821210263e-13,6.821210263e-13,6.558856022e-15,6.558856022e-15,0,0,0,0,0,0,1,0,-28,-28,0,-28,6,1.056272984
11,0,-28,-30,0,-2,0,-0.01923076923,-2,-0.01923076923,6.821210263e-13,29,11,26,0,0,-28,-28,0,-28,7,1.065617561
12,0,-28,-28,6.821210263e-13,6.821210263e-13,6.558856022e-15,6.558856022e-15,0,0,0,0,0,0,1,0,-28,-28,0,-28,8,1.071912527
13,0,-28,-30,0,-2,0,-0.01923076923,-2,-0.01923076923,6.821210263e-13,18,8,16,0,0,-28,-28,0,-28,9,1.081322908
14,0,-28,-28,6.821210263e-13,6.821210263e-13,6.558856022e-15,6.558856022e-15,0,0,0,0,0,0,1,0,-28,-28,0,-28,10,1.087596893
15,0,-28,-30,0,-2,0,-0.01923076923,-2,-0.01923076923,6.821210263e-13,28,11,26,0,0,-28,-28,0,-28,11,1.096928358
16,0,-28,-28,6.821210263e-13,6.821210263e-13,6.558856022e-15,6.558856022e-15,0,0,0,0,0,0,1,0,-28,-28,0,-28,12,1.103256226
17,0,-28,-30,0,-2,0,-0.01923076923,-2,-0.01923076923,6.821210263e-13,23,12,23.125,0,0,-28,-28,0,-28,13,1.112591028
18,0,-28,-28,6.821210263e-13,6.821210263e-13,6.558856022e-15,6.558856022e-15,0,0,0,0,0,0,1,0,-28,-28,0,-28,14,1.118856668
19,0,-28,-30,0,-2,0,-0.01923076923,-2,-0.01923076923,6.821210263e-13,21,11,21,0,0,-28,-28,0,-28,15,1.128209829
20,0,-28,-28,6.821210263e-13,6.821210263e-13,6.558856022e-15,6.558856022e-15,0,0,0,0,0,0,1,0,-28,-28,0,-28,16,1.134447336
21,0,-28,-30,0,-2,0,-0.01923076923,-2,-0.01923076923,6.821210263e-13,26,12,22.125,0,0,-28,-28,0,-28,17,1.143813372
22,0,-28,-28,6.821210263e-13,6.821210263e-13,6.558856022e-15,6.558856022e-15,0,0,0,0,0,0,1,0,-28,-28,0,-28,18,1.150084257
