it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,14.08029586,0,-6.979926036,-21.06022189,-0.25,-0.7543139349,-14.08029586,-0.5043139349,14.08029586,14.08029586,1,6119,0,0,21.06022189,0,1,0,0,0.000440120697
1,0,14.08029586,15,-6.979926036,-6.060221892,-0.25,-0.2170589581,0.9197041435,0.03294104188,14.08029586,21.02241341,1,473,0,0,21.06022189,21.06022189,0,0,1,0.006031513214
2,0,21.06022189,13,3.552713679e-15,-8.060221892,1.272475403e-16,-0.288692955,-8.060221892,-0.288692955,10.9217353,10.9217353,1,656,0,0,21.06022189,21.06022189,0,0,2,0.192196846
3,0,21.06022189,21,7.105427358e-15,-0.0602218924,2.544950806e-16,-0.002156967427,-0.0602218924,-0.002156967427,10.16370186,15.10859797,1,152,0,0,21.06022189,21.06022189,0,0,3,0.2537362576
4,0,21.06022189,21,3.552713679e-15,-0.0602218924,1.272475403e-16,-0.002156967427,-0.0602218924,-0.002156967427,9.86860678,9.86860678,1,123,0,0,21.06022189,21.06022189,0,0,4,0.3507285118
5,0,21.06022189,22,0,0.9397781076,0,0.03366003102,0.9397781076,0.03366003102,8.582356017,8.582356017,1,62,0,0,21.06022189,21.06022189,0,0,5,0.4026947021
6,0,21.06022189,18,0,-3.060221892,0,-0.1096079628,-3.060221892,-0.1096079628,8.372443559,11.24836489,1,223,0,0,21.06022189,21.06022189,0,0,6,0.4236876965
7,0,21.06022189,18,7.105427358e-15,-3.060221892,2.544950806e-16,-0.1096079628,-3.060221892,-0.1096079628,8.490968134,8.490968134,1,153,0,0,21.06022189,21.06022189,0,0,7,0.4899811745
8,0,21.06022189,29,0,7.939778108,0,0.2843790202,7.939778108,0.2843790202,8.021458904,21.99606796,1,73,0,0,21.06022189,21.06022189,0,0,8,0.5306854248
9,0,21.06022189,22,0,0.9397781076,0,0.03366003102,0.9397781076,0.03366003102,11.05691281,11.05691281,1,135,0,0,21.06022189,21.06022189,0,0,9,0.592325449
10,0,21.06022189,23,0,1.939778108,0,0.06947702947,1.939778108,0.06947702947,8.359897826,8.359897826,1,26,0,0,21.06022189,21.06022189,0,0,10,0.6570820808
11,0,21.06022189,17,0,-4.060221892,0,-0.1454249612,-4.060221892,-0.1454249612,7.937908404,18.65456113,1,203,0,0,21.06022189,21.06022189,0,0,11,0.7020068169
12,0,21.06022189,18,-3.552713679e-15,-3.060221892,-1.272475403e-16,-0.1096079628,-3.060221892,-0.1096079628,8.144607776,8.144607776,1,113,0,0,21.06022189,21.06022189,0,0,12,0.7841622829
13,0,21.06022189,26,0,4.939778108,0,0.1769280248,4.939778108,0.1769280248,7.323456409,15.43794509,1,61,0,0,21.06022189,21.06022189,0,0,13,0.8517074585
14,0,21.06022189,23,0,1.939778108,0,0.06947702947,1.939778108,0.06947702947,8.811203694,8.811203694,1,5,0,0,21.06022189,21.06022189,0,0,14,0.9246752262
15,0,21.06022189,23,0,1.939778108,0,0.06947702947,1.939778108,0.06947702947,6.87148302,6.87148302,1,3,0,0,21.06022189,21.06022189,0,0,15,0.9780526161
16,0,21.06022189,17,0,-4.060221892,0,-0.1454249612,-4.060221892,-0.1454249612,6.163090358,10.12241607,1,325,0,0,21.06022189,21.06022189,0,0,16,1.031647921
17,0,21.06022189,18,0,-3.060221892,0,-0.1096079628,-3.060221892,-0.1096079628,7.220605809,7.220605809,1,224,0,0,21.06022189,21.06022189,0,0,17,1.111358643
