it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,52000,34000,-1834800,-1852800,-0.5,-0.5049051668,-18000,-0.004905166776,53.07084093,53.07084093,2,49,0,0,1886800,0,1,0,0,0.0009777545929
1,0,68522.5489,44800,-1818277.451,-1842000,-0.4954974523,-0.5019620667,-23722.5489,-0.006464614371,26.74987222,26.74987222,3,30,0,0,1886800,1886800,0,0,1,0.5496256351
2,0,65524.53416,56000,-1821275.466,-1830800,-0.4963144391,-0.4989099629,-9524.534161,-0.002595523807,25.39751553,26.62598344,3,29,0,0,1886800,1886800,0,0,2,0.7186145782
3,0,97590.47619,98400,-1789209.524,-1788400,-0.4875761728,-0.4873555701,809.5238095,0.0002206027386,6.59047619,6.59047619,2,8,0,0,1886800,1886800,0,0,3,0.9096152782
4,0,98600,98400,-1788200,-1788400,-0.4873010682,-0.4873555701,-200,-5.450185306e-05,4.65,4.65,2,7,0,0,1886800,1886800,0,0,4,1.074651003
5,0,98600,104000,-1788200,-1782800,-0.4873010682,-0.4858295182,5400,0.001471550033,4.65,18.35,7,38,0,0,1886800,1886800,0,0,5,1.20776248
6,0,104000,104000,-1782800,-1782800,-0.4858295182,-0.4858295182,0,0,2,2,1,2,0,0,1886800,1886800,0,0,6,1.396658421
7,0,104000,104600,-1782800,-1782200,-0.4858295182,-0.4856660126,600,0.0001635055592,2,20,14,41,0,0,1886800,1886800,0,0,7,1.529673815
8,0,108600,108600,-1778200,-1778200,-0.4845759756,-0.4845759756,0,0,1,1,1,1,0,0,1886800,1886800,0,0,8,1.649668694
9,0,108600,108000,-1778200,-1778800,-0.4845759756,-0.4847394811,-600,-0.0001635055592,1,23,18,45,0,0,1886800,1886800,0,0,9,1.75567317
10,0,108000,108000,-1778800,-1778800,-0.4847394811,-0.4847394811,0,0,1,1,1,1,0,0,1886800,1886800,0,0,10,1.892622232
11,0,108000,108600,-1778800,-1778200,-0.4847394811,-0.4845759756,600,0.0001635055592,1,28,23,67,0,0,1886800,1886800,0,0,11,2.014610052
12,0,108600,19962000,-1778200,18075200,-0.4845759756,4.925659472,19853400,5.410235448,1,4480.5,1198,18252,0,0,1886800,1886800,0,0,12,2.148599625
13,0,1886800,1884000,0,-2800,0,-0.0007630259429,-2800,-0.0007630259429,16.64166667,16.64166667,3,23,0,0,1886800,1886800,0,0,13,2.418820858
